time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:36:39.920000,1080,1920,892,322
2022-10-15 22:36:39.940000,1080,1920,865,338
2022-10-15 22:36:39.950000,1080,1920,854,344
2022-10-15 22:36:39.970000,1080,1920,852,335
2022-10-15 22:36:39.980000,1080,1920,853,336
2022-10-15 22:36:40,1080,1920,856,346
2022-10-15 22:36:40.020000,1080,1920,851,346
2022-10-15 22:36:40.030000,1080,1920,854,345
2022-10-15 22:36:40.050000,1080,1920,854,346
2022-10-15 22:36:40.070000,1080,1920,848,342
2022-10-15 22:36:40.090000,1080,1920,851,341
2022-10-15 22:36:40.100000,1080,1920,855,338
2022-10-15 22:36:40.120000,1080,1920,850,332
2022-10-15 22:36:40.130000,1080,1920,849,334
2022-10-15 22:36:40.150000,1080,1920,852,338
2022-10-15 22:36:40.170000,1080,1920,854,348
2022-10-15 22:36:40.190000,1080,1920,854,348
2022-10-15 22:36:40.200000,1080,1920,851,344
2022-10-15 22:36:40.220000,1080,1920,855,350
2022-10-15 22:36:40.230000,1080,1920,860,348
2022-10-15 22:36:40.250000,1080,1920,852,345
2022-10-15 22:36:40.270000,1080,1920,847,352
2022-10-15 22:36:40.280000,1080,1920,851,358
2022-10-15 22:36:40.300000,1080,1920,856,355
2022-10-15 22:36:40.320000,1080,1920,857,349
2022-10-15 22:36:40.330000,1080,1920,856,349
2022-10-15 22:36:40.350000,1080,1920,847,345
2022-10-15 22:36:40.370000,1080,1920,848,335
2022-10-15 22:36:40.380000,1080,1920,856,335
2022-10-15 22:36:40.400000,1080,1920,852,337
2022-10-15 22:36:40.420000,1080,1920,849,343
2022-10-15 22:36:40.430000,1080,1920,853,344
2022-10-15 22:36:40.450000,1080,1920,853,343
2022-10-15 22:36:40.470000,1080,1920,852,351
2022-10-15 22:36:40.480000,1080,1920,856,352
2022-10-15 22:36:40.500000,1080,1920,859,353
2022-10-15 22:36:40.520000,1080,1920,858,353
2022-10-15 22:36:40.530000,1080,1920,851,346
2022-10-15 22:36:40.550000,1080,1920,852,349
2022-10-15 22:36:40.570000,1080,1920,848,352
2022-10-15 22:36:40.580000,1080,1920,869,347
2022-10-15 22:36:40.600000,1080,1920,918,352
2022-10-15 22:36:40.620000,1080,1920,1164,309
2022-10-15 22:36:40.630000,1080,1920,1159,309
2022-10-15 22:36:40.650000,1080,1920,1163,312
2022-10-15 22:36:40.670000,1080,1920,1158,315
2022-10-15 22:36:40.680000,1080,1920,1155,316
2022-10-15 22:36:40.700000,1080,1920,1153,315
2022-10-15 22:36:40.720000,1080,1920,1156,316
2022-10-15 22:36:40.730000,1080,1920,1156,315
