time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:36:52.080000,1080,1920,925,448
2022-10-15 22:36:52.230000,1080,1920,1093,784
2022-10-15 22:36:52.240000,1080,1920,1087,790
2022-10-15 22:36:52.260000,1080,1920,1077,781
2022-10-15 22:36:52.280000,1080,1920,1076,786
2022-10-15 22:36:52.290000,1080,1920,1078,780
2022-10-15 22:36:52.310000,1080,1920,1076,778
2022-10-15 22:36:52.330000,1080,1920,1071,780
2022-10-15 22:36:52.340000,1080,1920,1072,779
2022-10-15 22:36:52.360000,1080,1920,1075,779
2022-10-15 22:36:52.380000,1080,1920,1087,773
2022-10-15 22:36:52.390000,1080,1920,1106,759
2022-10-15 22:36:52.410000,1080,1920,1108,755
2022-10-15 22:36:52.430000,1080,1920,1110,753
2022-10-15 22:36:52.440000,1080,1920,1105,758
2022-10-15 22:36:52.460000,1080,1920,1106,765
2022-10-15 22:36:52.480000,1080,1920,1106,765
2022-10-15 22:36:52.490000,1080,1920,1108,765
2022-10-15 22:36:52.510000,1080,1920,1110,767
2022-10-15 22:36:52.530000,1080,1920,1110,771
2022-10-15 22:36:52.540000,1080,1920,1109,772
2022-10-15 22:36:52.560000,1080,1920,1104,765
2022-10-15 22:36:52.580000,1080,1920,1105,762
2022-10-15 22:36:52.590000,1080,1920,1106,769
2022-10-15 22:36:52.610000,1080,1920,1103,772
2022-10-15 22:36:52.630000,1080,1920,1103,767
2022-10-15 22:36:52.640000,1080,1920,1103,762
2022-10-15 22:36:52.660000,1080,1920,1100,760
2022-10-15 22:36:52.680000,1080,1920,1105,750
2022-10-15 22:36:52.690000,1080,1920,1112,739
2022-10-15 22:36:52.710000,1080,1920,1108,746
2022-10-15 22:36:52.730000,1080,1920,1113,751
2022-10-15 22:36:52.740000,1080,1920,1112,749
2022-10-15 22:36:52.760000,1080,1920,1111,747
2022-10-15 22:36:52.770000,1080,1920,1115,748
2022-10-15 22:36:52.790000,1080,1920,1110,751
2022-10-15 22:36:52.810000,1080,1920,1108,744
2022-10-15 22:36:52.820000,1080,1920,1107,740
2022-10-15 22:36:52.840000,1080,1920,1106,745
2022-10-15 22:36:52.860000,1080,1920,1103,749
2022-10-15 22:36:52.870000,1080,1920,1104,746
2022-10-15 22:36:52.890000,1080,1920,1106,747
2022-10-15 22:36:52.910000,1080,1920,1107,752
2022-10-15 22:36:52.930000,1080,1920,1101,750
2022-10-15 22:36:52.940000,1080,1920,1100,745
2022-10-15 22:36:52.960000,1080,1920,1111,739
2022-10-15 22:36:52.980000,1080,1920,1112,738
2022-10-15 22:36:52.990000,1080,1920,1105,740
2022-10-15 22:36:53.010000,1080,1920,1106,740
2022-10-15 22:36:53.020000,1080,1920,1105,745
2022-10-15 22:36:53.040000,1080,1920,1104,743
2022-10-15 22:36:53.060000,1080,1920,1102,741
2022-10-15 22:36:53.070000,1080,1920,1102,740
2022-10-15 22:36:53.090000,1080,1920,1105,736
2022-10-15 22:36:53.110000,1080,1920,1105,738
2022-10-15 22:36:53.120000,1080,1920,1105,744
2022-10-15 22:36:53.140000,1080,1920,1104,750
2022-10-15 22:36:53.160000,1080,1920,1107,747
2022-10-15 22:36:53.180000,1080,1920,1105,748
2022-10-15 22:36:53.190000,1080,1920,1102,748
2022-10-15 22:36:53.210000,1080,1920,1106,750
2022-10-15 22:36:53.230000,1080,1920,1103,757
2022-10-15 22:36:53.240000,1080,1920,1103,758
2022-10-15 22:36:53.260000,1080,1920,1102,762
2022-10-15 22:36:53.270000,1080,1920,1098,758
2022-10-15 22:36:53.290000,1080,1920,1101,757
2022-10-15 22:36:53.310000,1080,1920,1105,752
2022-10-15 22:36:53.320000,1080,1920,1037,749
2022-10-15 22:36:53.340000,1080,1920,988,756
2022-10-15 22:36:53.360000,1080,1920,959,749
2022-10-15 22:36:53.370000,1080,1920,955,747
2022-10-15 22:36:53.390000,1080,1920,957,742
2022-10-15 22:36:53.410000,1080,1920,961,745
2022-10-15 22:36:53.430000,1080,1920,961,750
2022-10-15 22:36:53.440000,1080,1920,966,751
2022-10-15 22:36:53.460000,1080,1920,962,749
2022-10-15 22:36:53.480000,1080,1920,958,749
2022-10-15 22:36:53.490000,1080,1920,955,749
2022-10-15 22:36:53.510000,1080,1920,950,749
2022-10-15 22:36:53.520000,1080,1920,957,750
2022-10-15 22:36:53.540000,1080,1920,958,748
2022-10-15 22:36:53.560000,1080,1920,952,752
2022-10-15 22:36:53.570000,1080,1920,953,751
2022-10-15 22:36:53.590000,1080,1920,952,750
2022-10-15 22:36:53.610000,1080,1920,952,746
2022-10-15 22:36:53.620000,1080,1920,954,742
2022-10-15 22:36:53.640000,1080,1920,952,749
2022-10-15 22:36:53.660000,1080,1920,953,759
2022-10-15 22:36:53.680000,1080,1920,952,756
2022-10-15 22:36:53.690000,1080,1920,948,759
2022-10-15 22:36:53.710000,1080,1920,949,764
2022-10-15 22:36:53.730000,1080,1920,950,765
2022-10-15 22:36:53.740000,1080,1920,951,762
2022-10-15 22:36:53.760000,1080,1920,947,757
2022-10-15 22:36:53.770000,1080,1920,945,760
2022-10-15 22:36:53.790000,1080,1920,949,761
2022-10-15 22:36:53.810000,1080,1920,952,755
2022-10-15 22:36:53.820000,1080,1920,945,756
2022-10-15 22:36:53.840000,1080,1920,944,755
2022-10-15 22:36:53.860000,1080,1920,944,756
2022-10-15 22:36:53.870000,1080,1920,943,751
2022-10-15 22:36:53.890000,1080,1920,948,744
2022-10-15 22:36:53.910000,1080,1920,950,744
2022-10-15 22:36:53.930000,1080,1920,952,745
2022-10-15 22:36:53.940000,1080,1920,952,744
2022-10-15 22:36:53.960000,1080,1920,949,737
2022-10-15 22:36:53.980000,1080,1920,950,736
2022-10-15 22:36:53.990000,1080,1920,954,737
2022-10-15 22:36:54.010000,1080,1920,952,736
2022-10-15 22:36:54.020000,1080,1920,955,733
2022-10-15 22:36:54.040000,1080,1920,954,735
2022-10-15 22:36:54.060000,1080,1920,953,739
2022-10-15 22:36:54.070000,1080,1920,959,737
2022-10-15 22:36:54.090000,1080,1920,954,736
2022-10-15 22:36:54.110000,1080,1920,949,736
2022-10-15 22:36:54.120000,1080,1920,953,734
2022-10-15 22:36:54.140000,1080,1920,953,732
2022-10-15 22:36:54.160000,1080,1920,957,733
2022-10-15 22:36:54.170000,1080,1920,959,741
2022-10-15 22:36:54.190000,1080,1920,958,745
2022-10-15 22:36:54.210000,1080,1920,957,741
2022-10-15 22:36:54.220000,1080,1920,957,739
2022-10-15 22:36:54.240000,1080,1920,958,741
2022-10-15 22:36:54.260000,1080,1920,952,741
2022-10-15 22:36:54.270000,1080,1920,954,743
2022-10-15 22:36:54.290000,1080,1920,958,742
2022-10-15 22:36:54.310000,1080,1920,952,739
2022-10-15 22:36:54.320000,1080,1920,907,726
2022-10-15 22:36:54.340000,1080,1920,872,698
2022-10-15 22:36:54.360000,1080,1920,834,649
2022-10-15 22:36:54.370000,1080,1920,836,636
2022-10-15 22:36:54.390000,1080,1920,830,628
2022-10-15 22:36:54.410000,1080,1920,830,630
2022-10-15 22:36:54.420000,1080,1920,832,619
2022-10-15 22:36:54.440000,1080,1920,830,618
