time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:36:58.100000,1080,1920,1206,433
2022-10-15 22:36:58.120000,1080,1920,1195,419
2022-10-15 22:36:58.140000,1080,1920,1198,424
2022-10-15 22:36:58.150000,1080,1920,1201,414
2022-10-15 22:36:58.170000,1080,1920,1202,413
2022-10-15 22:36:58.190000,1080,1920,1206,409
2022-10-15 22:36:58.210000,1080,1920,1207,408
2022-10-15 22:36:58.220000,1080,1920,1201,403
2022-10-15 22:36:58.240000,1080,1920,1206,354
2022-10-15 22:36:58.260000,1080,1920,1226,281
2022-10-15 22:36:58.270000,1080,1920,1227,283
2022-10-15 22:36:58.290000,1080,1920,1226,283
2022-10-15 22:36:58.300000,1080,1920,1227,282
2022-10-15 22:36:58.320000,1080,1920,1225,280
2022-10-15 22:36:58.340000,1080,1920,1220,280
2022-10-15 22:36:58.350000,1080,1920,1225,278
2022-10-15 22:36:58.370000,1080,1920,1220,285
2022-10-15 22:36:58.390000,1080,1920,1217,285
2022-10-15 22:36:58.400000,1080,1920,1222,283
2022-10-15 22:36:58.420000,1080,1920,1221,284
2022-10-15 22:36:58.440000,1080,1920,1221,286
2022-10-15 22:36:58.460000,1080,1920,1219,292
2022-10-15 22:36:58.470000,1080,1920,1216,290
2022-10-15 22:36:58.490000,1080,1920,1212,290
2022-10-15 22:36:58.510000,1080,1920,1211,287
2022-10-15 22:36:58.520000,1080,1920,1195,272
2022-10-15 22:36:58.540000,1080,1920,1188,266
2022-10-15 22:36:58.560000,1080,1920,1188,268
2022-10-15 22:36:58.570000,1080,1920,1183,267
2022-10-15 22:36:58.590000,1080,1920,1182,261
2022-10-15 22:36:58.600000,1080,1920,1184,269
2022-10-15 22:36:58.620000,1080,1920,1182,275
2022-10-15 22:36:58.640000,1080,1920,1182,266
2022-10-15 22:36:58.650000,1080,1920,1179,267
2022-10-15 22:36:58.670000,1080,1920,1180,274
2022-10-15 22:36:58.690000,1080,1920,1179,271
2022-10-15 22:36:58.710000,1080,1920,1180,263
2022-10-15 22:36:58.720000,1080,1920,1183,265
2022-10-15 22:36:58.740000,1080,1920,1183,271
2022-10-15 22:36:58.760000,1080,1920,1181,265
2022-10-15 22:36:58.770000,1080,1920,1176,266
2022-10-15 22:36:58.790000,1080,1920,1180,266
2022-10-15 22:36:58.800000,1080,1920,1185,261
2022-10-15 22:36:58.820000,1080,1920,1178,264
