time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:37:04.100000,1080,1920,1097,278
2022-10-15 22:37:04.120000,1080,1920,1096,276
2022-10-15 22:37:04.130000,1080,1920,1094,273
2022-10-15 22:37:04.150000,1080,1920,1097,271
2022-10-15 22:37:04.170000,1080,1920,1101,276
2022-10-15 22:37:04.180000,1080,1920,1105,300
2022-10-15 22:37:04.200000,1080,1920,1101,363
2022-10-15 22:37:04.350000,1080,1920,1086,371
2022-10-15 22:37:04.370000,1080,1920,1085,371
2022-10-15 22:37:04.380000,1080,1920,1065,259
2022-10-15 22:37:04.400000,1080,1920,1061,254
2022-10-15 22:37:04.420000,1080,1920,1076,274
2022-10-15 22:37:04.430000,1080,1920,1072,276
2022-10-15 22:37:04.450000,1080,1920,1046,267
2022-10-15 22:37:04.470000,1080,1920,1052,239
2022-10-15 22:37:04.670000,1080,1920,1036,376
2022-10-15 22:37:04.680000,1080,1920,1058,400
2022-10-15 22:37:04.700000,1080,1920,1039,250
2022-10-15 22:37:04.720000,1080,1920,1055,284
2022-10-15 22:37:04.730000,1080,1920,1061,289
2022-10-15 22:37:04.750000,1080,1920,1054,263
2022-10-15 22:37:04.770000,1080,1920,1046,263
2022-10-15 22:37:04.780000,1080,1920,1057,268
2022-10-15 22:37:04.800000,1080,1920,1059,269
2022-10-15 22:37:04.820000,1080,1920,1057,270
2022-10-15 22:37:04.830000,1080,1920,1061,274
2022-10-15 22:37:04.850000,1080,1920,1066,273
2022-10-15 22:37:04.870000,1080,1920,1063,276
2022-10-15 22:37:04.880000,1080,1920,1058,277
2022-10-15 22:37:04.900000,1080,1920,1059,272
2022-10-15 22:37:04.920000,1080,1920,1058,273
2022-10-15 22:37:04.930000,1080,1920,1061,279
2022-10-15 22:37:04.950000,1080,1920,1060,290
2022-10-15 22:37:04.970000,1080,1920,1060,293
2022-10-15 22:37:04.980000,1080,1920,1060,288
2022-10-15 22:37:05,1080,1920,1058,287
2022-10-15 22:37:05.020000,1080,1920,1062,293
2022-10-15 22:37:05.030000,1080,1920,1046,282
2022-10-15 22:37:05.050000,1080,1920,973,237
2022-10-15 22:37:05.070000,1080,1920,944,220
2022-10-15 22:37:05.080000,1080,1920,939,227
2022-10-15 22:37:05.100000,1080,1920,942,229
2022-10-15 22:37:05.120000,1080,1920,940,230
2022-10-15 22:37:05.130000,1080,1920,940,224
2022-10-15 22:37:05.150000,1080,1920,937,224
2022-10-15 22:37:05.170000,1080,1920,942,224
2022-10-15 22:37:05.180000,1080,1920,942,229
2022-10-15 22:37:05.200000,1080,1920,940,236
