time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:37:10.210000,1080,1920,1167,211
2022-10-15 22:37:10.230000,1080,1920,1162,203
2022-10-15 22:37:10.250000,1080,1920,1153,204
2022-10-15 22:37:10.260000,1080,1920,1159,203
2022-10-15 22:37:10.280000,1080,1920,1159,198
2022-10-15 22:37:10.300000,1080,1920,1163,208
2022-10-15 22:37:10.310000,1080,1920,1163,210
2022-10-15 22:37:10.330000,1080,1920,1124,222
2022-10-15 22:37:10.350000,1080,1920,942,318
2022-10-15 22:37:10.360000,1080,1920,851,387
2022-10-15 22:37:10.380000,1080,1920,693,618
2022-10-15 22:37:10.400000,1080,1920,688,651
2022-10-15 22:37:10.410000,1080,1920,659,771
2022-10-15 22:37:10.430000,1080,1920,663,785
2022-10-15 22:37:10.450000,1080,1920,668,780
2022-10-15 22:37:10.460000,1080,1920,661,773
2022-10-15 22:37:10.480000,1080,1920,656,772
2022-10-15 22:37:10.500000,1080,1920,655,772
2022-10-15 22:37:10.510000,1080,1920,654,773
2022-10-15 22:37:10.530000,1080,1920,655,778
2022-10-15 22:37:10.550000,1080,1920,660,781
2022-10-15 22:37:10.560000,1080,1920,665,780
2022-10-15 22:37:10.580000,1080,1920,664,780
2022-10-15 22:37:10.600000,1080,1920,656,778
2022-10-15 22:37:10.610000,1080,1920,657,784
2022-10-15 22:37:10.630000,1080,1920,656,789
2022-10-15 22:37:10.650000,1080,1920,562,865
2022-10-15 22:37:10.660000,1080,1920,515,901
2022-10-15 22:37:10.680000,1080,1920,506,916
2022-10-15 22:37:10.700000,1080,1920,510,912
2022-10-15 22:37:10.710000,1080,1920,507,914
2022-10-15 22:37:10.730000,1080,1920,500,918
2022-10-15 22:37:10.750000,1080,1920,505,917
2022-10-15 22:37:10.760000,1080,1920,504,913
2022-10-15 22:37:10.780000,1080,1920,497,913
2022-10-15 22:37:10.800000,1080,1920,502,917
2022-10-15 22:37:10.810000,1080,1920,504,919
2022-10-15 22:37:10.830000,1080,1920,497,920
2022-10-15 22:37:10.850000,1080,1920,502,919
2022-10-15 22:37:10.860000,1080,1920,508,915
2022-10-15 22:37:10.880000,1080,1920,499,914
2022-10-15 22:37:10.900000,1080,1920,501,911
2022-10-15 22:37:10.910000,1080,1920,496,910
2022-10-15 22:37:10.930000,1080,1920,492,914
2022-10-15 22:37:10.950000,1080,1920,491,913
2022-10-15 22:37:10.960000,1080,1920,490,913
2022-10-15 22:37:10.980000,1080,1920,497,918
2022-10-15 22:37:11,1080,1920,834,913
2022-10-15 22:37:11.010000,1080,1920,882,894
2022-10-15 22:37:11.030000,1080,1920,896,889
2022-10-15 22:37:11.050000,1080,1920,897,893
2022-10-15 22:37:11.060000,1080,1920,892,895
2022-10-15 22:37:11.080000,1080,1920,891,894
2022-10-15 22:37:11.100000,1080,1920,889,895
2022-10-15 22:37:11.110000,1080,1920,894,894
2022-10-15 22:37:11.130000,1080,1920,892,897
2022-10-15 22:37:11.150000,1080,1920,897,899
2022-10-15 22:37:11.160000,1080,1920,899,900
2022-10-15 22:37:11.180000,1080,1920,897,900
2022-10-15 22:37:11.200000,1080,1920,899,897
2022-10-15 22:37:11.210000,1080,1920,905,898
2022-10-15 22:37:11.230000,1080,1920,904,901
2022-10-15 22:37:11.250000,1080,1920,895,902
2022-10-15 22:37:11.260000,1080,1920,899,899
2022-10-15 22:37:11.280000,1080,1920,895,897
2022-10-15 22:37:11.300000,1080,1920,884,881
2022-10-15 22:37:11.310000,1080,1920,843,858
2022-10-15 22:37:11.330000,1080,1920,840,853
2022-10-15 22:37:11.350000,1080,1920,841,849
2022-10-15 22:37:11.360000,1080,1920,839,847
2022-10-15 22:37:11.380000,1080,1920,841,838
2022-10-15 22:37:11.400000,1080,1920,843,838
2022-10-15 22:37:11.410000,1080,1920,842,841
2022-10-15 22:37:11.430000,1080,1920,840,840
2022-10-15 22:37:11.450000,1080,1920,848,837
2022-10-15 22:37:11.460000,1080,1920,888,795
2022-10-15 22:37:11.480000,1080,1920,1040,616
2022-10-15 22:37:11.490000,1080,1920,1063,573
2022-10-15 22:37:11.510000,1080,1920,1058,537
2022-10-15 22:37:11.530000,1080,1920,1060,536
2022-10-15 22:37:11.540000,1080,1920,1063,537
2022-10-15 22:37:11.560000,1080,1920,1068,541
2022-10-15 22:37:11.580000,1080,1920,1072,540
2022-10-15 22:37:11.600000,1080,1920,1067,538
2022-10-15 22:37:11.610000,1080,1920,1071,529
2022-10-15 22:37:11.630000,1080,1920,1072,530
2022-10-15 22:37:11.650000,1080,1920,1069,536
2022-10-15 22:37:11.660000,1080,1920,1071,537
2022-10-15 22:37:11.680000,1080,1920,1069,526
2022-10-15 22:37:11.700000,1080,1920,1062,520
2022-10-15 22:37:11.710000,1080,1920,1059,529
2022-10-15 22:37:11.730000,1080,1920,1061,528
2022-10-15 22:37:11.740000,1080,1920,1067,528
