time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:37:16.110000,1080,1920,981,292
2022-10-15 22:37:16.120000,1080,1920,984,290
2022-10-15 22:37:16.140000,1080,1920,985,294
2022-10-15 22:37:16.160000,1080,1920,984,300
2022-10-15 22:37:16.180000,1080,1920,988,301
2022-10-15 22:37:16.190000,1080,1920,981,305
2022-10-15 22:37:16.210000,1080,1920,978,306
2022-10-15 22:37:16.230000,1080,1920,981,302
2022-10-15 22:37:16.240000,1080,1920,984,305
2022-10-15 22:37:16.260000,1080,1920,986,305
2022-10-15 22:37:16.270000,1080,1920,984,304
2022-10-15 22:37:16.290000,1080,1920,986,301
2022-10-15 22:37:16.310000,1080,1920,987,302
2022-10-15 22:37:16.320000,1080,1920,985,306
2022-10-15 22:37:16.340000,1080,1920,982,308
2022-10-15 22:37:16.360000,1080,1920,979,308
2022-10-15 22:37:16.370000,1080,1920,981,307
2022-10-15 22:37:16.390000,1080,1920,976,237
2022-10-15 22:37:16.410000,1080,1920,952,83
2022-10-15 22:37:16.560000,1080,1920,968,575
2022-10-15 22:37:16.570000,1080,1920,935,592
2022-10-15 22:37:16.590000,1080,1920,896,564
2022-10-15 22:37:16.610000,1080,1920,912,522
2022-10-15 22:37:16.620000,1080,1920,916,508
2022-10-15 22:37:16.640000,1080,1920,910,527
2022-10-15 22:37:16.660000,1080,1920,912,529
2022-10-15 22:37:16.680000,1080,1920,920,527
2022-10-15 22:37:16.690000,1080,1920,919,542
2022-10-15 22:37:16.710000,1080,1920,914,554
2022-10-15 22:37:16.730000,1080,1920,912,549
2022-10-15 22:37:16.740000,1080,1920,909,537
2022-10-15 22:37:16.760000,1080,1920,939,486
2022-10-15 22:37:16.770000,1080,1920,1020,340
2022-10-15 22:37:16.790000,1080,1920,1033,337
2022-10-15 22:37:16.810000,1080,1920,1029,331
2022-10-15 22:37:16.820000,1080,1920,1030,323
2022-10-15 22:37:16.840000,1080,1920,1028,327
2022-10-15 22:37:16.860000,1080,1920,1025,334
2022-10-15 22:37:16.870000,1080,1920,1030,336
2022-10-15 22:37:16.890000,1080,1920,1030,339
2022-10-15 22:37:16.910000,1080,1920,1022,339
2022-10-15 22:37:16.930000,1080,1920,1023,342
2022-10-15 22:37:16.940000,1080,1920,1024,348
2022-10-15 22:37:16.960000,1080,1920,1024,344
2022-10-15 22:37:16.980000,1080,1920,1068,350
2022-10-15 22:37:16.990000,1080,1920,1082,352
2022-10-15 22:37:17.010000,1080,1920,1083,347
2022-10-15 22:37:17.020000,1080,1920,1085,345
2022-10-15 22:37:17.040000,1080,1920,1084,356
2022-10-15 22:37:17.060000,1080,1920,1082,362
2022-10-15 22:37:17.070000,1080,1920,1077,355
2022-10-15 22:37:17.090000,1080,1920,1080,344
2022-10-15 22:37:17.110000,1080,1920,1082,342
2022-10-15 22:37:17.120000,1080,1920,1081,347
2022-10-15 22:37:17.140000,1080,1920,1080,351
2022-10-15 22:37:17.160000,1080,1920,1082,352
2022-10-15 22:37:17.180000,1080,1920,1078,355
2022-10-15 22:37:17.190000,1080,1920,1075,355
2022-10-15 22:37:17.210000,1080,1920,1078,359
2022-10-15 22:37:17.230000,1080,1920,1079,364
2022-10-15 22:37:17.240000,1080,1920,1079,359
2022-10-15 22:37:17.260000,1080,1920,1078,356
2022-10-15 22:37:17.270000,1080,1920,1073,356
2022-10-15 22:37:17.290000,1080,1920,1076,351
2022-10-15 22:37:17.310000,1080,1920,1074,359
2022-10-15 22:37:17.320000,1080,1920,1069,360
2022-10-15 22:37:17.340000,1080,1920,1075,357
2022-10-15 22:37:17.360000,1080,1920,1078,358
2022-10-15 22:37:17.370000,1080,1920,1082,353
2022-10-15 22:37:17.390000,1080,1920,1087,352
2022-10-15 22:37:17.440000,1080,1920,958,331
2022-10-15 22:37:17.460000,1080,1920,955,337
2022-10-15 22:37:17.470000,1080,1920,957,344
2022-10-15 22:37:17.490000,1080,1920,956,347
2022-10-15 22:37:17.510000,1080,1920,961,352
2022-10-15 22:37:17.520000,1080,1920,960,350
2022-10-15 22:37:17.540000,1080,1920,943,349
