time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:37:34.150000,1080,1920,1357,525
2022-10-15 22:37:34.160000,1080,1920,1375,507
2022-10-15 22:37:34.180000,1080,1920,1375,504
2022-10-15 22:37:34.200000,1080,1920,1378,504
2022-10-15 22:37:34.210000,1080,1920,1377,509
2022-10-15 22:37:34.230000,1080,1920,1362,525
2022-10-15 22:37:34.250000,1080,1920,1363,526
2022-10-15 22:37:34.260000,1080,1920,1366,527
2022-10-15 22:37:34.280000,1080,1920,1364,525
2022-10-15 22:37:34.300000,1080,1920,1397,565
2022-10-15 22:37:34.310000,1080,1920,1424,604
2022-10-15 22:37:34.330000,1080,1920,1450,618
2022-10-15 22:37:34.350000,1080,1920,1451,617
2022-10-15 22:37:34.360000,1080,1920,1452,618
2022-10-15 22:37:34.380000,1080,1920,1455,617
2022-10-15 22:37:34.400000,1080,1920,1446,628
2022-10-15 22:37:34.410000,1080,1920,1444,630
2022-10-15 22:37:34.430000,1080,1920,1442,635
2022-10-15 22:37:34.450000,1080,1920,1458,673
2022-10-15 22:37:34.600000,1080,1920,1469,717
2022-10-15 22:37:34.610000,1080,1920,1456,695
2022-10-15 22:37:34.630000,1080,1920,1395,593
2022-10-15 22:37:34.650000,1080,1920,1391,589
2022-10-15 22:37:34.660000,1080,1920,1416,601
2022-10-15 22:37:34.680000,1080,1920,1416,602
2022-10-15 22:37:34.700000,1080,1920,1394,580
2022-10-15 22:37:34.710000,1080,1920,1395,579
2022-10-15 22:37:34.730000,1080,1920,1398,572
2022-10-15 22:37:34.740000,1080,1920,1400,575
2022-10-15 22:37:34.760000,1080,1920,1399,572
2022-10-15 22:37:34.780000,1080,1920,1404,569
2022-10-15 22:37:34.790000,1080,1920,1407,565
2022-10-15 22:37:34.810000,1080,1920,1405,561
2022-10-15 22:37:34.830000,1080,1920,1401,571
2022-10-15 22:37:34.850000,1080,1920,1397,575
2022-10-15 22:37:34.860000,1080,1920,1397,574
2022-10-15 22:37:34.880000,1080,1920,1399,576
2022-10-15 22:37:34.900000,1080,1920,1394,582
