time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:37:46.150000,1080,1920,1157,335
2022-10-15 22:37:46.170000,1080,1920,1159,340
2022-10-15 22:37:46.190000,1080,1920,1163,334
2022-10-15 22:37:46.200000,1080,1920,1162,328
2022-10-15 22:37:46.220000,1080,1920,1161,330
2022-10-15 22:37:46.240000,1080,1920,1161,328
2022-10-15 22:37:46.250000,1080,1920,1164,327
2022-10-15 22:37:46.270000,1080,1920,1193,331
2022-10-15 22:37:46.290000,1080,1920,1257,329
2022-10-15 22:37:46.300000,1080,1920,1264,329
2022-10-15 22:37:46.320000,1080,1920,1265,329
2022-10-15 22:37:46.340000,1080,1920,1266,328
2022-10-15 22:37:46.350000,1080,1920,1263,326
2022-10-15 22:37:46.370000,1080,1920,1262,334
2022-10-15 22:37:46.390000,1080,1920,1268,333
2022-10-15 22:37:46.400000,1080,1920,1269,333
2022-10-15 22:37:46.420000,1080,1920,1269,339
2022-10-15 22:37:46.440000,1080,1920,1266,338
2022-10-15 22:37:46.450000,1080,1920,1266,338
2022-10-15 22:37:46.470000,1080,1920,1264,338
2022-10-15 22:37:46.490000,1080,1920,1264,333
2022-10-15 22:37:46.500000,1080,1920,1267,331
2022-10-15 22:37:46.520000,1080,1920,1269,333
2022-10-15 22:37:46.540000,1080,1920,1270,333
2022-10-15 22:37:46.550000,1080,1920,1269,334
2022-10-15 22:37:46.570000,1080,1920,1267,339
2022-10-15 22:37:46.590000,1080,1920,1264,338
2022-10-15 22:37:46.600000,1080,1920,1265,330
2022-10-15 22:37:46.620000,1080,1920,1264,334
2022-10-15 22:37:46.640000,1080,1920,1265,333
2022-10-15 22:37:46.650000,1080,1920,1270,325
2022-10-15 22:37:46.670000,1080,1920,1271,325
2022-10-15 22:37:46.690000,1080,1920,1273,321
2022-10-15 22:37:46.700000,1080,1920,1268,324
2022-10-15 22:37:46.720000,1080,1920,1249,323
2022-10-15 22:37:46.740000,1080,1920,1230,312
2022-10-15 22:37:46.750000,1080,1920,1213,314
2022-10-15 22:37:46.770000,1080,1920,1215,318
2022-10-15 22:37:46.790000,1080,1920,1217,310
2022-10-15 22:37:46.800000,1080,1920,1215,308
2022-10-15 22:37:46.820000,1080,1920,1217,309
2022-10-15 22:37:46.840000,1080,1920,1217,311
2022-10-15 22:37:46.850000,1080,1920,1214,314
2022-10-15 22:37:46.870000,1080,1920,1216,313
2022-10-15 22:37:46.890000,1080,1920,1218,314
2022-10-15 22:37:46.900000,1080,1920,1219,318
2022-10-15 22:37:46.920000,1080,1920,1216,321
2022-10-15 22:37:46.940000,1080,1920,1215,321
2022-10-15 22:37:46.950000,1080,1920,1218,316
2022-10-15 22:37:46.970000,1080,1920,1220,307
2022-10-15 22:37:46.990000,1080,1920,1151,317
2022-10-15 22:37:47,1080,1920,1116,326
2022-10-15 22:37:47.020000,1080,1920,711,387
2022-10-15 22:37:47.040000,1080,1920,714,395
2022-10-15 22:37:47.050000,1080,1920,723,399
2022-10-15 22:37:47.070000,1080,1920,723,400
2022-10-15 22:37:47.090000,1080,1920,722,402
2022-10-15 22:37:47.100000,1080,1920,720,403
2022-10-15 22:37:47.120000,1080,1920,725,401
2022-10-15 22:37:47.140000,1080,1920,724,399
2022-10-15 22:37:47.150000,1080,1920,729,404
2022-10-15 22:37:47.170000,1080,1920,725,407
2022-10-15 22:37:47.189000,1080,1920,723,406
2022-10-15 22:37:47.200000,1080,1920,729,403
2022-10-15 22:37:47.219000,1080,1920,725,406
2022-10-15 22:37:47.240000,1080,1920,726,407
2022-10-15 22:37:47.250000,1080,1920,725,406
2022-10-15 22:37:47.270000,1080,1920,718,406
2022-10-15 22:37:47.290000,1080,1920,720,401
2022-10-15 22:37:47.300000,1080,1920,723,402
2022-10-15 22:37:47.319000,1080,1920,719,409
2022-10-15 22:37:47.340000,1080,1920,725,411
2022-10-15 22:37:47.349000,1080,1920,723,404
2022-10-15 22:37:47.370000,1080,1920,720,400
2022-10-15 22:37:47.390000,1080,1920,723,407
2022-10-15 22:37:47.400000,1080,1920,720,411
2022-10-15 22:37:47.420000,1080,1920,720,410
2022-10-15 22:37:47.439000,1080,1920,720,412
2022-10-15 22:37:47.450000,1080,1920,718,414
2022-10-15 22:37:47.469000,1080,1920,708,411
2022-10-15 22:37:47.490000,1080,1920,624,410
2022-10-15 22:37:47.500000,1080,1920,623,410
2022-10-15 22:37:47.520000,1080,1920,622,406
2022-10-15 22:37:47.540000,1080,1920,619,405
2022-10-15 22:37:47.550000,1080,1920,621,407
2022-10-15 22:37:47.569000,1080,1920,622,406
2022-10-15 22:37:47.590000,1080,1920,623,409
2022-10-15 22:37:47.599000,1080,1920,623,411
2022-10-15 22:37:47.620000,1080,1920,623,404
2022-10-15 22:37:47.640000,1080,1920,621,401
2022-10-15 22:37:47.650000,1080,1920,621,405
2022-10-15 22:37:47.670000,1080,1920,622,402
2022-10-15 22:37:47.689000,1080,1920,624,402
2022-10-15 22:37:47.700000,1080,1920,620,404
2022-10-15 22:37:47.719000,1080,1920,617,403
2022-10-15 22:37:47.740000,1080,1920,619,407
2022-10-15 22:37:47.750000,1080,1920,623,409
2022-10-15 22:37:47.770000,1080,1920,622,410
2022-10-15 22:37:47.790000,1080,1920,622,409
2022-10-15 22:37:47.800000,1080,1920,656,416
2022-10-15 22:37:47.819000,1080,1920,720,428
2022-10-15 22:37:47.840000,1080,1920,721,426
2022-10-15 22:37:47.849000,1080,1920,720,430
2022-10-15 22:37:47.870000,1080,1920,717,432
2022-10-15 22:37:47.890000,1080,1920,717,431
2022-10-15 22:37:47.900000,1080,1920,722,433
2022-10-15 22:37:47.920000,1080,1920,720,433
2022-10-15 22:37:47.939000,1080,1920,722,435
2022-10-15 22:37:47.950000,1080,1920,722,439
2022-10-15 22:37:47.969000,1080,1920,722,432
2022-10-15 22:37:47.990000,1080,1920,723,429
2022-10-15 22:37:48,1080,1920,722,433
2022-10-15 22:37:48.020000,1080,1920,722,429
2022-10-15 22:37:48.040000,1080,1920,723,425
2022-10-15 22:37:48.050000,1080,1920,722,426
2022-10-15 22:37:48.069000,1080,1920,699,455
2022-10-15 22:37:48.090000,1080,1920,645,541
2022-10-15 22:37:48.099000,1080,1920,648,582
2022-10-15 22:37:48.120000,1080,1920,664,681
2022-10-15 22:37:48.140000,1080,1920,667,694
2022-10-15 22:37:48.150000,1080,1920,677,683
2022-10-15 22:37:48.170000,1080,1920,685,684
2022-10-15 22:37:48.189000,1080,1920,684,690
2022-10-15 22:37:48.200000,1080,1920,679,691
2022-10-15 22:37:48.219000,1080,1920,684,689
2022-10-15 22:37:48.240000,1080,1920,685,684
2022-10-15 22:37:48.250000,1080,1920,676,685
2022-10-15 22:37:48.270000,1080,1920,676,688
2022-10-15 22:37:48.290000,1080,1920,677,688
2022-10-15 22:37:48.300000,1080,1920,681,689
2022-10-15 22:37:48.319000,1080,1920,692,687
2022-10-15 22:37:48.340000,1080,1920,692,570
2022-10-15 22:37:48.349000,1080,1920,711,398
2022-10-15 22:37:48.370000,1080,1920,706,390
2022-10-15 22:37:48.390000,1080,1920,709,387
2022-10-15 22:37:48.400000,1080,1920,709,381
2022-10-15 22:37:48.420000,1080,1920,701,384
2022-10-15 22:37:48.439000,1080,1920,704,381
2022-10-15 22:37:48.450000,1080,1920,705,377
2022-10-15 22:37:48.469000,1080,1920,702,377
2022-10-15 22:37:48.490000,1080,1920,704,375
2022-10-15 22:37:48.500000,1080,1920,705,373
2022-10-15 22:37:48.520000,1080,1920,700,376
2022-10-15 22:37:48.530000,1080,1920,698,374
2022-10-15 22:37:48.550000,1080,1920,700,372
2022-10-15 22:37:48.569000,1080,1920,700,371
2022-10-15 22:37:48.590000,1080,1920,735,395
2022-10-15 22:37:48.599000,1080,1920,741,412
2022-10-15 22:37:48.620000,1080,1920,738,422
2022-10-15 22:37:48.640000,1080,1920,741,426
2022-10-15 22:37:48.650000,1080,1920,739,421
2022-10-15 22:37:48.670000,1080,1920,740,420
2022-10-15 22:37:48.680000,1080,1920,739,421
2022-10-15 22:37:48.700000,1080,1920,740,424
2022-10-15 22:37:48.719000,1080,1920,742,425
2022-10-15 22:37:48.740000,1080,1920,741,419
2022-10-15 22:37:48.750000,1080,1920,737,416
2022-10-15 22:37:48.770000,1080,1920,733,415
2022-10-15 22:37:48.780000,1080,1920,735,412
2022-10-15 22:37:48.800000,1080,1920,738,410
2022-10-15 22:37:48.819000,1080,1920,735,410
2022-10-15 22:37:48.840000,1080,1920,734,409
2022-10-15 22:37:48.849000,1080,1920,729,401
2022-10-15 22:37:48.870000,1080,1920,727,401
2022-10-15 22:37:48.890000,1080,1920,710,394
2022-10-15 22:37:48.900000,1080,1920,745,388
2022-10-15 22:37:48.920000,1080,1920,834,397
2022-10-15 22:37:48.930000,1080,1920,1212,378
2022-10-15 22:37:48.950000,1080,1920,1230,370
2022-10-15 22:37:48.969000,1080,1920,1236,371
2022-10-15 22:37:48.990000,1080,1920,1232,371
2022-10-15 22:37:49,1080,1920,1231,365
2022-10-15 22:37:49.020000,1080,1920,1229,360
2022-10-15 22:37:49.030000,1080,1920,1231,365
2022-10-15 22:37:49.050000,1080,1920,1231,367
2022-10-15 22:37:49.069000,1080,1920,1227,363
2022-10-15 22:37:49.090000,1080,1920,1220,362
2022-10-15 22:37:49.099000,1080,1920,1224,363
2022-10-15 22:37:49.120000,1080,1920,1230,351
2022-10-15 22:37:49.140000,1080,1920,1226,349
2022-10-15 22:37:49.150000,1080,1920,1273,350
2022-10-15 22:37:49.170000,1080,1920,1294,347
2022-10-15 22:37:49.180000,1080,1920,1291,339
2022-10-15 22:37:49.200000,1080,1920,1293,335
2022-10-15 22:37:49.219000,1080,1920,1298,332
2022-10-15 22:37:49.240000,1080,1920,1295,335
2022-10-15 22:37:49.250000,1080,1920,1299,327
2022-10-15 22:37:49.270000,1080,1920,1301,327
2022-10-15 22:37:49.280000,1080,1920,1295,334
2022-10-15 22:37:49.300000,1080,1920,1295,330
2022-10-15 22:37:49.319000,1080,1920,1300,325
2022-10-15 22:37:49.340000,1080,1920,1300,327
2022-10-15 22:37:49.349000,1080,1920,1292,336
2022-10-15 22:37:49.370000,1080,1920,1291,335
2022-10-15 22:37:49.390000,1080,1920,1295,334
2022-10-15 22:37:49.400000,1080,1920,1300,332
2022-10-15 22:37:49.420000,1080,1920,1295,336
2022-10-15 22:37:49.430000,1080,1920,1295,340
2022-10-15 22:37:49.450000,1080,1920,1296,342
2022-10-15 22:37:49.469000,1080,1920,1293,343
2022-10-15 22:37:49.490000,1080,1920,1292,346
2022-10-15 22:37:49.500000,1080,1920,1294,345
2022-10-15 22:37:49.520000,1080,1920,1277,427
2022-10-15 22:37:49.530000,1080,1920,1244,519
2022-10-15 22:37:49.550000,1080,1920,1166,653
2022-10-15 22:37:49.569000,1080,1920,1151,667
2022-10-15 22:37:49.590000,1080,1920,1156,665
2022-10-15 22:37:49.599000,1080,1920,1152,671
2022-10-15 22:37:49.620000,1080,1920,1151,677
