time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:37:52.170000,1080,1920,1175,324
2022-10-15 22:37:52.180000,1080,1920,1179,317
2022-10-15 22:37:52.200000,1080,1920,1179,315
2022-10-15 22:37:52.220000,1080,1920,1177,313
2022-10-15 22:37:52.230000,1080,1920,1179,311
2022-10-15 22:37:52.250000,1080,1920,1170,334
2022-10-15 22:37:52.270000,1080,1920,1148,359
2022-10-15 22:37:52.420000,1080,1920,1220,377
2022-10-15 22:37:52.430000,1080,1920,1198,313
2022-10-15 22:37:52.450000,1080,1920,1197,249
2022-10-15 22:37:52.470000,1080,1920,1195,261
2022-10-15 22:37:52.480000,1080,1920,1220,280
2022-10-15 22:37:52.500000,1080,1920,1222,281
2022-10-15 22:37:52.520000,1080,1920,1212,263
2022-10-15 22:37:52.530000,1080,1920,1217,260
2022-10-15 22:37:52.550000,1080,1920,1216,254
2022-10-15 22:37:52.570000,1080,1920,1211,257
2022-10-15 22:37:52.580000,1080,1920,1212,262
2022-10-15 22:37:52.600000,1080,1920,1216,264
2022-10-15 22:37:52.620000,1080,1920,1212,262
2022-10-15 22:37:52.630000,1080,1920,1213,258
2022-10-15 22:37:52.650000,1080,1920,1212,254
2022-10-15 22:37:52.670000,1080,1920,1209,262
2022-10-15 22:37:52.680000,1080,1920,1211,265
2022-10-15 22:37:52.700000,1080,1920,1212,263
2022-10-15 22:37:52.720000,1080,1920,1212,265
2022-10-15 22:37:52.730000,1080,1920,1192,266
2022-10-15 22:37:52.750000,1080,1920,1156,265
2022-10-15 22:37:52.770000,1080,1920,1160,261
2022-10-15 22:37:52.780000,1080,1920,1161,262
2022-10-15 22:37:52.800000,1080,1920,1160,261
2022-10-15 22:37:52.820000,1080,1920,1160,265
2022-10-15 22:37:52.830000,1080,1920,1160,263
2022-10-15 22:37:52.850000,1080,1920,1162,257
2022-10-15 22:37:52.870000,1080,1920,1161,255
2022-10-15 22:37:52.880000,1080,1920,1161,251
2022-10-15 22:37:52.900000,1080,1920,1160,259
2022-10-15 22:37:52.920000,1080,1920,1159,263
2022-10-15 22:37:52.930000,1080,1920,1162,257
2022-10-15 22:37:52.950000,1080,1920,1161,260
2022-10-15 22:37:52.970000,1080,1920,1161,262
2022-10-15 22:37:52.980000,1080,1920,1161,259
2022-10-15 22:37:53,1080,1920,1161,253
2022-10-15 22:37:53.020000,1080,1920,1162,251
2022-10-15 22:37:53.030000,1080,1920,1163,254
2022-10-15 22:37:53.050000,1080,1920,1164,256
2022-10-15 22:37:53.070000,1080,1920,1161,255
2022-10-15 22:37:53.080000,1080,1920,1161,259
2022-10-15 22:37:53.100000,1080,1920,1158,262
2022-10-15 22:37:53.120000,1080,1920,1159,262
2022-10-15 22:37:53.130000,1080,1920,1167,265
2022-10-15 22:37:53.150000,1080,1920,1164,265
2022-10-15 22:37:53.170000,1080,1920,1159,268
2022-10-15 22:37:53.180000,1080,1920,1166,271
2022-10-15 22:37:53.200000,1080,1920,1167,268
2022-10-15 22:37:53.210000,1080,1920,1166,264
2022-10-15 22:37:53.230000,1080,1920,1164,263
2022-10-15 22:37:53.250000,1080,1920,1160,268
2022-10-15 22:37:53.270000,1080,1920,1160,269
2022-10-15 22:37:53.280000,1080,1920,1162,263
2022-10-15 22:37:53.300000,1080,1920,1164,264
2022-10-15 22:37:53.310000,1080,1920,1163,271
2022-10-15 22:37:53.330000,1080,1920,1162,271
2022-10-15 22:37:53.350000,1080,1920,1164,266
2022-10-15 22:37:53.370000,1080,1920,1166,264
2022-10-15 22:37:53.380000,1080,1920,1166,263
2022-10-15 22:37:53.400000,1080,1920,1162,269
2022-10-15 22:37:53.420000,1080,1920,1162,271
2022-10-15 22:37:53.430000,1080,1920,1166,268
2022-10-15 22:37:53.450000,1080,1920,1168,258
2022-10-15 22:37:53.460000,1080,1920,1163,259
2022-10-15 22:37:53.480000,1080,1920,1158,266
2022-10-15 22:37:53.500000,1080,1920,1161,264
2022-10-15 22:37:53.520000,1080,1920,1163,266
2022-10-15 22:37:53.530000,1080,1920,1159,268
2022-10-15 22:37:53.550000,1080,1920,1163,261
2022-10-15 22:37:53.560000,1080,1920,1164,254
2022-10-15 22:37:53.580000,1080,1920,1159,261
2022-10-15 22:37:53.600000,1080,1920,1160,270
2022-10-15 22:37:53.620000,1080,1920,1162,268
2022-10-15 22:37:53.630000,1080,1920,1163,267
2022-10-15 22:37:53.650000,1080,1920,1161,273
2022-10-15 22:37:53.670000,1080,1920,1160,274
2022-10-15 22:37:53.680000,1080,1920,1165,265
2022-10-15 22:37:53.700000,1080,1920,1168,269
2022-10-15 22:37:53.710000,1080,1920,1166,271
2022-10-15 22:37:53.730000,1080,1920,1164,264
2022-10-15 22:37:53.750000,1080,1920,1167,266
2022-10-15 22:37:53.770000,1080,1920,1166,268
2022-10-15 22:37:53.780000,1080,1920,1163,274
2022-10-15 22:37:53.800000,1080,1920,1167,274
2022-10-15 22:37:53.810000,1080,1920,1167,276
2022-10-15 22:37:53.830000,1080,1920,1166,280
2022-10-15 22:37:53.850000,1080,1920,1162,274
2022-10-15 22:37:53.870000,1080,1920,1161,273
2022-10-15 22:37:53.880000,1080,1920,1163,274
2022-10-15 22:37:53.900000,1080,1920,1162,273
2022-10-15 22:37:53.920000,1080,1920,1162,272
2022-10-15 22:37:53.930000,1080,1920,1162,270
2022-10-15 22:37:53.950000,1080,1920,1161,271
2022-10-15 22:37:53.960000,1080,1920,1162,268
2022-10-15 22:37:53.980000,1080,1920,1160,270
2022-10-15 22:37:54,1080,1920,1163,276
2022-10-15 22:37:54.020000,1080,1920,1168,275
2022-10-15 22:37:54.030000,1080,1920,1165,266
2022-10-15 22:37:54.050000,1080,1920,1163,264
2022-10-15 22:37:54.060000,1080,1920,1165,270
2022-10-15 22:37:54.080000,1080,1920,1164,271
2022-10-15 22:37:54.100000,1080,1920,1164,271
2022-10-15 22:37:54.120000,1080,1920,1164,274
2022-10-15 22:37:54.130000,1080,1920,1164,274
2022-10-15 22:37:54.150000,1080,1920,1166,272
2022-10-15 22:37:54.170000,1080,1920,1164,274
2022-10-15 22:37:54.180000,1080,1920,1160,277
2022-10-15 22:37:54.200000,1080,1920,1163,273
2022-10-15 22:37:54.210000,1080,1920,1167,266
2022-10-15 22:37:54.230000,1080,1920,1164,267
2022-10-15 22:37:54.250000,1080,1920,1166,272
2022-10-15 22:37:54.270000,1080,1920,1166,272
2022-10-15 22:37:54.280000,1080,1920,1165,270
2022-10-15 22:37:54.300000,1080,1920,1165,268
2022-10-15 22:37:54.310000,1080,1920,1165,268
2022-10-15 22:37:54.330000,1080,1920,1163,267
2022-10-15 22:37:54.350000,1080,1920,1163,268
2022-10-15 22:37:54.370000,1080,1920,1163,267
2022-10-15 22:37:54.380000,1080,1920,1162,267
2022-10-15 22:37:54.400000,1080,1920,1162,269
2022-10-15 22:37:54.420000,1080,1920,1169,279
2022-10-15 22:37:54.430000,1080,1920,1178,290
2022-10-15 22:37:54.610000,1080,1920,1133,429
2022-10-15 22:37:54.630000,1080,1920,1143,332
2022-10-15 22:37:54.650000,1080,1920,1132,267
2022-10-15 22:37:54.660000,1080,1920,1127,255
2022-10-15 22:37:54.680000,1080,1920,1123,255
2022-10-15 22:37:54.700000,1080,1920,1124,258
2022-10-15 22:37:54.710000,1080,1920,1135,255
2022-10-15 22:37:54.730000,1080,1920,1133,253
2022-10-15 22:37:54.750000,1080,1920,1133,249
2022-10-15 22:37:54.760000,1080,1920,1136,258
2022-10-15 22:37:54.780000,1080,1920,1133,261
2022-10-15 22:37:54.800000,1080,1920,1137,264
2022-10-15 22:37:54.810000,1080,1920,1135,262
2022-10-15 22:37:54.830000,1080,1920,1122,262
2022-10-15 22:37:54.850000,1080,1920,1050,352
2022-10-15 22:37:54.860000,1080,1920,1007,434
2022-10-15 22:37:54.880000,1080,1920,947,551
2022-10-15 22:37:54.900000,1080,1920,929,584
