time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:37:58.180000,1080,1920,1085,330
2022-10-15 22:37:58.190000,1080,1920,1084,336
2022-10-15 22:37:58.210000,1080,1920,1077,346
2022-10-15 22:37:58.230000,1080,1920,1077,358
2022-10-15 22:37:58.380000,1080,1920,1087,415
2022-10-15 22:37:58.400000,1080,1920,1079,410
2022-10-15 22:37:58.410000,1080,1920,1076,376
2022-10-15 22:37:58.430000,1080,1920,1079,370
2022-10-15 22:37:58.440000,1080,1920,1088,382
2022-10-15 22:37:58.460000,1080,1920,1096,395
2022-10-15 22:37:58.480000,1080,1920,1091,378
2022-10-15 22:37:58.490000,1080,1920,1085,374
2022-10-15 22:37:58.510000,1080,1920,977,357
2022-10-15 22:37:58.530000,1080,1920,933,349
2022-10-15 22:37:58.580000,1080,1920,797,302
2022-10-15 22:37:58.590000,1080,1920,794,307
2022-10-15 22:37:58.610000,1080,1920,794,313
2022-10-15 22:37:58.630000,1080,1920,789,316
2022-10-15 22:37:58.650000,1080,1920,792,320
2022-10-15 22:37:58.660000,1080,1920,792,323
2022-10-15 22:37:58.680000,1080,1920,785,324
2022-10-15 22:37:58.690000,1080,1920,786,320
2022-10-15 22:37:58.710000,1080,1920,793,321
2022-10-15 22:37:58.730000,1080,1920,788,323
2022-10-15 22:37:58.740000,1080,1920,790,325
2022-10-15 22:37:58.760000,1080,1920,797,332
2022-10-15 22:37:58.780000,1080,1920,790,339
2022-10-15 22:37:58.800000,1080,1920,794,336
2022-10-15 22:37:58.810000,1080,1920,796,336
2022-10-15 22:37:58.830000,1080,1920,795,332
2022-10-15 22:37:58.840000,1080,1920,796,331
2022-10-15 22:37:58.860000,1080,1920,794,337
2022-10-15 22:37:58.880000,1080,1920,795,338
2022-10-15 22:37:58.900000,1080,1920,790,336
2022-10-15 22:37:58.910000,1080,1920,788,337
2022-10-15 22:37:58.930000,1080,1920,794,333
2022-10-15 22:37:58.940000,1080,1920,786,336
2022-10-15 22:37:58.960000,1080,1920,789,341
2022-10-15 22:37:58.980000,1080,1920,788,331
2022-10-15 22:37:58.990000,1080,1920,783,333
2022-10-15 22:37:59.010000,1080,1920,788,334
2022-10-15 22:37:59.030000,1080,1920,787,333
2022-10-15 22:37:59.050000,1080,1920,788,329
2022-10-15 22:37:59.060000,1080,1920,785,328
2022-10-15 22:37:59.080000,1080,1920,788,339
2022-10-15 22:37:59.090000,1080,1920,792,339
2022-10-15 22:37:59.110000,1080,1920,791,340
2022-10-15 22:37:59.130000,1080,1920,788,339
2022-10-15 22:37:59.150000,1080,1920,788,344
2022-10-15 22:37:59.160000,1080,1920,792,344
2022-10-15 22:37:59.180000,1080,1920,790,339
2022-10-15 22:37:59.190000,1080,1920,786,341
2022-10-15 22:37:59.210000,1080,1920,787,349
2022-10-15 22:37:59.230000,1080,1920,786,343
2022-10-15 22:37:59.240000,1080,1920,786,335
2022-10-15 22:37:59.260000,1080,1920,787,334
2022-10-15 22:37:59.280000,1080,1920,783,327
2022-10-15 22:37:59.290000,1080,1920,783,330
2022-10-15 22:37:59.310000,1080,1920,782,332
2022-10-15 22:37:59.330000,1080,1920,783,332
2022-10-15 22:37:59.340000,1080,1920,784,334
2022-10-15 22:37:59.360000,1080,1920,783,331
2022-10-15 22:37:59.380000,1080,1920,785,339
2022-10-15 22:37:59.390000,1080,1920,784,341
2022-10-15 22:37:59.410000,1080,1920,787,344
2022-10-15 22:37:59.430000,1080,1920,790,347
2022-10-15 22:37:59.440000,1080,1920,793,346
2022-10-15 22:37:59.460000,1080,1920,794,347
2022-10-15 22:37:59.480000,1080,1920,793,351
2022-10-15 22:37:59.490000,1080,1920,790,343
2022-10-15 22:37:59.510000,1080,1920,792,339
2022-10-15 22:37:59.530000,1080,1920,795,346
2022-10-15 22:37:59.540000,1080,1920,790,350
2022-10-15 22:37:59.560000,1080,1920,790,352
2022-10-15 22:37:59.580000,1080,1920,791,350
2022-10-15 22:37:59.590000,1080,1920,791,352
2022-10-15 22:37:59.610000,1080,1920,793,353
2022-10-15 22:37:59.630000,1080,1920,791,347
2022-10-15 22:37:59.640000,1080,1920,792,338
2022-10-15 22:37:59.660000,1080,1920,794,346
2022-10-15 22:37:59.680000,1080,1920,793,359
2022-10-15 22:37:59.690000,1080,1920,789,356
2022-10-15 22:37:59.710000,1080,1920,790,357
2022-10-15 22:37:59.730000,1080,1920,794,362
2022-10-15 22:37:59.740000,1080,1920,793,352
2022-10-15 22:37:59.760000,1080,1920,793,353
2022-10-15 22:37:59.780000,1080,1920,793,357
2022-10-15 22:37:59.790000,1080,1920,790,355
2022-10-15 22:37:59.810000,1080,1920,792,357
2022-10-15 22:37:59.830000,1080,1920,791,354
2022-10-15 22:37:59.840000,1080,1920,792,355
2022-10-15 22:37:59.860000,1080,1920,794,365
2022-10-15 22:37:59.880000,1080,1920,790,366
2022-10-15 22:37:59.890000,1080,1920,791,363
2022-10-15 22:37:59.910000,1080,1920,788,363
2022-10-15 22:37:59.930000,1080,1920,791,361
2022-10-15 22:37:59.940000,1080,1920,798,356
2022-10-15 22:37:59.960000,1080,1920,797,356
2022-10-15 22:37:59.980000,1080,1920,796,363
2022-10-15 22:37:59.990000,1080,1920,796,365
2022-10-15 22:38:00.010000,1080,1920,792,367
2022-10-15 22:38:00.030000,1080,1920,791,366
2022-10-15 22:38:00.040000,1080,1920,793,363
2022-10-15 22:38:00.060000,1080,1920,794,364
2022-10-15 22:38:00.080000,1080,1920,797,359
2022-10-15 22:38:00.090000,1080,1920,794,357
