time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:38:10.190000,1080,1920,1005,321
2022-10-15 22:38:10.200000,1080,1920,1010,319
2022-10-15 22:38:10.220000,1080,1920,1013,323
2022-10-15 22:38:10.240000,1080,1920,1007,327
2022-10-15 22:38:10.250000,1080,1920,1000,330
2022-10-15 22:38:10.270000,1080,1920,1004,334
2022-10-15 22:38:10.290000,1080,1920,1012,331
2022-10-15 22:38:10.300000,1080,1920,1017,337
2022-10-15 22:38:10.320000,1080,1920,1017,348
2022-10-15 22:38:10.540000,1080,1920,929,350
2022-10-15 22:38:10.550000,1080,1920,922,351
2022-10-15 22:38:10.570000,1080,1920,914,343
2022-10-15 22:38:10.590000,1080,1920,914,326
2022-10-15 22:38:10.600000,1080,1920,913,318
2022-10-15 22:38:10.640000,1080,1920,941,345
2022-10-15 22:38:10.650000,1080,1920,928,342
2022-10-15 22:38:10.670000,1080,1920,865,341
2022-10-15 22:38:10.690000,1080,1920,853,337
2022-10-15 22:38:10.700000,1080,1920,859,331
2022-10-15 22:38:10.720000,1080,1920,856,330
2022-10-15 22:38:10.740000,1080,1920,859,329
2022-10-15 22:38:10.750000,1080,1920,854,331
2022-10-15 22:38:10.770000,1080,1920,850,337
2022-10-15 22:38:10.790000,1080,1920,852,341
2022-10-15 22:38:10.800000,1080,1920,857,341
2022-10-15 22:38:10.820000,1080,1920,854,343
2022-10-15 22:38:10.840000,1080,1920,852,339
2022-10-15 22:38:10.850000,1080,1920,858,338
2022-10-15 22:38:10.870000,1080,1920,855,337
2022-10-15 22:38:10.890000,1080,1920,854,334
2022-10-15 22:38:10.900000,1080,1920,860,339
2022-10-15 22:38:10.920000,1080,1920,859,336
2022-10-15 22:38:10.940000,1080,1920,860,326
2022-10-15 22:38:10.950000,1080,1920,864,330
2022-10-15 22:38:10.970000,1080,1920,861,341
2022-10-15 22:38:10.990000,1080,1920,863,334
2022-10-15 22:38:11,1080,1920,866,334
2022-10-15 22:38:11.020000,1080,1920,865,334
2022-10-15 22:38:11.040000,1080,1920,868,333
2022-10-15 22:38:11.050000,1080,1920,866,332
2022-10-15 22:38:11.070000,1080,1920,863,335
2022-10-15 22:38:11.090000,1080,1920,866,342
2022-10-15 22:38:11.100000,1080,1920,729,295
2022-10-15 22:38:11.120000,1080,1920,721,288
2022-10-15 22:38:11.140000,1080,1920,721,290
2022-10-15 22:38:11.150000,1080,1920,723,292
2022-10-15 22:38:11.170000,1080,1920,723,294
2022-10-15 22:38:11.190000,1080,1920,720,291
2022-10-15 22:38:11.200000,1080,1920,720,291
2022-10-15 22:38:11.220000,1080,1920,719,288
2022-10-15 22:38:11.240000,1080,1920,722,290
2022-10-15 22:38:11.250000,1080,1920,728,297
2022-10-15 22:38:11.270000,1080,1920,723,297
2022-10-15 22:38:11.290000,1080,1920,719,293
2022-10-15 22:38:11.300000,1080,1920,716,286
2022-10-15 22:38:11.320000,1080,1920,717,291
2022-10-15 22:38:11.340000,1080,1920,715,295
2022-10-15 22:38:11.350000,1080,1920,714,290
2022-10-15 22:38:11.370000,1080,1920,712,286
2022-10-15 22:38:11.390000,1080,1920,710,284
2022-10-15 22:38:11.400000,1080,1920,710,288
2022-10-15 22:38:11.420000,1080,1920,745,298
2022-10-15 22:38:11.440000,1080,1920,842,316
2022-10-15 22:38:11.450000,1080,1920,912,345
2022-10-15 22:38:11.470000,1080,1920,910,338
2022-10-15 22:38:11.490000,1080,1920,909,334
2022-10-15 22:38:11.500000,1080,1920,907,332
2022-10-15 22:38:11.520000,1080,1920,909,332
2022-10-15 22:38:11.540000,1080,1920,910,329
2022-10-15 22:38:11.550000,1080,1920,909,329
2022-10-15 22:38:11.570000,1080,1920,917,335
2022-10-15 22:38:11.590000,1080,1920,916,343
2022-10-15 22:38:11.600000,1080,1920,915,336
2022-10-15 22:38:11.620000,1080,1920,912,336
2022-10-15 22:38:11.640000,1080,1920,911,348
2022-10-15 22:38:11.650000,1080,1920,912,348
2022-10-15 22:38:11.670000,1080,1920,909,346
2022-10-15 22:38:11.690000,1080,1920,911,346
2022-10-15 22:38:11.700000,1080,1920,918,345
2022-10-15 22:38:11.720000,1080,1920,918,345
2022-10-15 22:38:11.740000,1080,1920,907,361
2022-10-15 22:38:11.750000,1080,1920,925,367
2022-10-15 22:38:11.770000,1080,1920,1002,382
2022-10-15 22:38:11.780000,1080,1920,1017,386
2022-10-15 22:38:11.800000,1080,1920,1012,384
2022-10-15 22:38:11.820000,1080,1920,1008,384
2022-10-15 22:38:11.840000,1080,1920,1007,379
2022-10-15 22:38:11.850000,1080,1920,1008,375
2022-10-15 22:38:11.870000,1080,1920,1006,380
2022-10-15 22:38:11.890000,1080,1920,1008,383
2022-10-15 22:38:11.900000,1080,1920,1013,376
2022-10-15 22:38:11.920000,1080,1920,1011,373
2022-10-15 22:38:11.930000,1080,1920,1005,376
2022-10-15 22:38:11.950000,1080,1920,1003,380
2022-10-15 22:38:11.970000,1080,1920,1007,388
2022-10-15 22:38:11.990000,1080,1920,1008,386
2022-10-15 22:38:12,1080,1920,1010,387
2022-10-15 22:38:12.020000,1080,1920,1011,386
2022-10-15 22:38:12.030000,1080,1920,1010,386
2022-10-15 22:38:12.050000,1080,1920,1038,384
2022-10-15 22:38:12.070000,1080,1920,1134,360
2022-10-15 22:38:12.090000,1080,1920,1209,330
2022-10-15 22:38:12.100000,1080,1920,1224,320
2022-10-15 22:38:12.120000,1080,1920,1231,316
2022-10-15 22:38:12.140000,1080,1920,1228,319
2022-10-15 22:38:12.150000,1080,1920,1228,319
2022-10-15 22:38:12.170000,1080,1920,1233,317
2022-10-15 22:38:12.180000,1080,1920,1227,313
2022-10-15 22:38:12.200000,1080,1920,1232,307
2022-10-15 22:38:12.220000,1080,1920,1236,312
2022-10-15 22:38:12.240000,1080,1920,1237,316
2022-10-15 22:38:12.250000,1080,1920,1237,311
2022-10-15 22:38:12.270000,1080,1920,1232,316
2022-10-15 22:38:12.280000,1080,1920,1229,319
2022-10-15 22:38:12.300000,1080,1920,1237,311
2022-10-15 22:38:12.320000,1080,1920,1233,309
2022-10-15 22:38:12.340000,1080,1920,1231,308
2022-10-15 22:38:12.350000,1080,1920,1233,310
2022-10-15 22:38:12.370000,1080,1920,1230,310
2022-10-15 22:38:12.390000,1080,1920,1230,314
2022-10-15 22:38:12.400000,1080,1920,1232,317
2022-10-15 22:38:12.420000,1080,1920,1234,314
2022-10-15 22:38:12.430000,1080,1920,1229,322
2022-10-15 22:38:12.450000,1080,1920,1230,321
2022-10-15 22:38:12.470000,1080,1920,1232,318
2022-10-15 22:38:12.490000,1080,1920,1231,323
2022-10-15 22:38:12.500000,1080,1920,1215,307
2022-10-15 22:38:12.520000,1080,1920,1201,284
2022-10-15 22:38:12.530000,1080,1920,1181,253
2022-10-15 22:38:12.550000,1080,1920,1176,251
2022-10-15 22:38:12.570000,1080,1920,1177,250
2022-10-15 22:38:12.590000,1080,1920,1177,256
2022-10-15 22:38:12.600000,1080,1920,1176,261
2022-10-15 22:38:12.620000,1080,1920,1181,260
2022-10-15 22:38:12.640000,1080,1920,1177,265
2022-10-15 22:38:12.650000,1080,1920,1175,267
2022-10-15 22:38:12.670000,1080,1920,1173,265
2022-10-15 22:38:12.680000,1080,1920,1174,266
2022-10-15 22:38:12.700000,1080,1920,1175,266
2022-10-15 22:38:12.720000,1080,1920,1175,268
2022-10-15 22:38:12.740000,1080,1920,1174,265
2022-10-15 22:38:12.750000,1080,1920,1195,267
2022-10-15 22:38:12.770000,1080,1920,1251,295
2022-10-15 22:38:12.780000,1080,1920,1258,297
2022-10-15 22:38:12.800000,1080,1920,1262,294
2022-10-15 22:38:12.820000,1080,1920,1259,297
2022-10-15 22:38:12.840000,1080,1920,1261,297
2022-10-15 22:38:12.850000,1080,1920,1265,299
2022-10-15 22:38:12.870000,1080,1920,1264,298
2022-10-15 22:38:12.890000,1080,1920,1261,294
2022-10-15 22:38:12.900000,1080,1920,1264,295
2022-10-15 22:38:12.920000,1080,1920,1266,297
2022-10-15 22:38:12.930000,1080,1920,1262,299
2022-10-15 22:38:12.950000,1080,1920,1255,297
2022-10-15 22:38:12.970000,1080,1920,1259,300
2022-10-15 22:38:12.990000,1080,1920,1263,304
2022-10-15 22:38:13,1080,1920,1262,305
2022-10-15 22:38:13.020000,1080,1920,1262,300
2022-10-15 22:38:13.030000,1080,1920,1263,319
2022-10-15 22:38:13.050000,1080,1920,1263,308
2022-10-15 22:38:13.070000,1080,1920,1219,284
2022-10-15 22:38:13.150000,1080,1920,777,228
2022-10-15 22:38:13.170000,1080,1920,783,276
2022-10-15 22:38:13.180000,1080,1920,803,304
2022-10-15 22:38:13.200000,1080,1920,796,296
2022-10-15 22:38:13.230000,1080,1920,814,302
2022-10-15 22:38:13.250000,1080,1920,805,303
2022-10-15 22:38:13.270000,1080,1920,799,304
2022-10-15 22:38:13.280000,1080,1920,802,308
2022-10-15 22:38:13.300000,1080,1920,805,310
2022-10-15 22:38:13.320000,1080,1920,803,310
2022-10-15 22:38:13.330000,1080,1920,802,313
2022-10-15 22:38:13.350000,1080,1920,805,309
2022-10-15 22:38:13.370000,1080,1920,804,307
2022-10-15 22:38:13.380000,1080,1920,802,310
2022-10-15 22:38:13.400000,1080,1920,802,309
2022-10-15 22:38:13.420000,1080,1920,811,315
2022-10-15 22:38:13.430000,1080,1920,861,359
2022-10-15 22:38:13.450000,1080,1920,878,363
2022-10-15 22:38:13.470000,1080,1920,881,362
2022-10-15 22:38:13.480000,1080,1920,881,364
2022-10-15 22:38:13.500000,1080,1920,878,368
2022-10-15 22:38:13.520000,1080,1920,878,368
2022-10-15 22:38:13.530000,1080,1920,880,371
2022-10-15 22:38:13.550000,1080,1920,879,369
2022-10-15 22:38:13.570000,1080,1920,878,366
2022-10-15 22:38:13.580000,1080,1920,876,370
2022-10-15 22:38:13.600000,1080,1920,883,369
2022-10-15 22:38:13.620000,1080,1920,885,362
2022-10-15 22:38:13.630000,1080,1920,880,364
2022-10-15 22:38:13.650000,1080,1920,877,363
2022-10-15 22:38:13.670000,1080,1920,875,368
2022-10-15 22:38:13.680000,1080,1920,877,376
2022-10-15 22:38:13.700000,1080,1920,879,376
2022-10-15 22:38:13.720000,1080,1920,878,373
2022-10-15 22:38:13.730000,1080,1920,879,367
2022-10-15 22:38:13.750000,1080,1920,882,367
2022-10-15 22:38:13.770000,1080,1920,883,366
2022-10-15 22:38:13.780000,1080,1920,880,363
2022-10-15 22:38:13.800000,1080,1920,876,368
2022-10-15 22:38:13.820000,1080,1920,878,367
2022-10-15 22:38:13.830000,1080,1920,880,349
2022-10-15 22:38:13.850000,1080,1920,882,353
2022-10-15 22:38:13.870000,1080,1920,884,369
2022-10-15 22:38:13.880000,1080,1920,881,366
2022-10-15 22:38:13.900000,1080,1920,881,363
2022-10-15 22:38:13.920000,1080,1920,882,366
2022-10-15 22:38:13.930000,1080,1920,884,375
2022-10-15 22:38:13.950000,1080,1920,883,375
2022-10-15 22:38:13.970000,1080,1920,881,362
2022-10-15 22:38:13.980000,1080,1920,881,360
2022-10-15 22:38:14,1080,1920,882,360
2022-10-15 22:38:14.020000,1080,1920,882,364
2022-10-15 22:38:14.030000,1080,1920,884,365
2022-10-15 22:38:14.050000,1080,1920,885,359
2022-10-15 22:38:14.070000,1080,1920,886,358
2022-10-15 22:38:14.080000,1080,1920,886,360
2022-10-15 22:38:14.100000,1080,1920,881,363
2022-10-15 22:38:14.120000,1080,1920,886,349
2022-10-15 22:38:14.130000,1080,1920,807,426
2022-10-15 22:38:14.150000,1080,1920,715,535
2022-10-15 22:38:14.230000,1080,1920,651,719
2022-10-15 22:38:14.250000,1080,1920,818,578
2022-10-15 22:38:14.270000,1080,1920,922,462
2022-10-15 22:38:14.280000,1080,1920,900,477
2022-10-15 22:38:14.300000,1080,1920,888,444
2022-10-15 22:38:14.320000,1080,1920,888,439
2022-10-15 22:38:14.330000,1080,1920,883,437
2022-10-15 22:38:14.350000,1080,1920,882,446
2022-10-15 22:38:14.370000,1080,1920,886,429
2022-10-15 22:38:14.380000,1080,1920,886,424
2022-10-15 22:38:14.400000,1080,1920,890,427
2022-10-15 22:38:14.420000,1080,1920,893,426
2022-10-15 22:38:14.430000,1080,1920,898,435
2022-10-15 22:38:14.450000,1080,1920,897,436
2022-10-15 22:38:14.470000,1080,1920,893,443
2022-10-15 22:38:14.480000,1080,1920,891,442
2022-10-15 22:38:14.500000,1080,1920,924,477
2022-10-15 22:38:14.520000,1080,1920,938,485
2022-10-15 22:38:14.530000,1080,1920,932,482
2022-10-15 22:38:14.550000,1080,1920,936,490
