time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:38:16.200000,1080,1920,986,370
2022-10-15 22:38:16.220000,1080,1920,950,338
2022-10-15 22:38:16.230000,1080,1920,816,263
2022-10-15 22:38:16.250000,1080,1920,818,266
2022-10-15 22:38:16.270000,1080,1920,819,266
2022-10-15 22:38:16.280000,1080,1920,820,266
2022-10-15 22:38:16.300000,1080,1920,819,269
2022-10-15 22:38:16.320000,1080,1920,814,267
2022-10-15 22:38:16.330000,1080,1920,824,262
2022-10-15 22:38:16.350000,1080,1920,829,261
2022-10-15 22:38:16.370000,1080,1920,822,259
2022-10-15 22:38:16.380000,1080,1920,818,254
2022-10-15 22:38:16.400000,1080,1920,820,254
2022-10-15 22:38:16.420000,1080,1920,823,264
2022-10-15 22:38:16.430000,1080,1920,803,249
2022-10-15 22:38:16.450000,1080,1920,794,237
2022-10-15 22:38:16.460000,1080,1920,790,241
2022-10-15 22:38:16.480000,1080,1920,785,241
2022-10-15 22:38:16.500000,1080,1920,794,244
2022-10-15 22:38:16.520000,1080,1920,801,239
2022-10-15 22:38:16.530000,1080,1920,793,233
2022-10-15 22:38:16.550000,1080,1920,790,238
2022-10-15 22:38:16.560000,1080,1920,791,241
2022-10-15 22:38:16.580000,1080,1920,791,236
2022-10-15 22:38:16.600000,1080,1920,792,233
2022-10-15 22:38:16.620000,1080,1920,795,235
2022-10-15 22:38:16.630000,1080,1920,798,236
2022-10-15 22:38:16.650000,1080,1920,792,234
2022-10-15 22:38:16.670000,1080,1920,792,239
2022-10-15 22:38:16.680000,1080,1920,790,245
2022-10-15 22:38:16.700000,1080,1920,790,245
2022-10-15 22:38:16.710000,1080,1920,788,241
2022-10-15 22:38:16.730000,1080,1920,790,240
2022-10-15 22:38:16.750000,1080,1920,792,246
2022-10-15 22:38:16.770000,1080,1920,793,245
2022-10-15 22:38:16.780000,1080,1920,792,242
2022-10-15 22:38:16.800000,1080,1920,792,240
2022-10-15 22:38:16.810000,1080,1920,801,239
2022-10-15 22:38:16.830000,1080,1920,797,242
2022-10-15 22:38:16.850000,1080,1920,794,240
2022-10-15 22:38:16.870000,1080,1920,793,238
2022-10-15 22:38:16.880000,1080,1920,793,240
2022-10-15 22:38:16.900000,1080,1920,793,236
2022-10-15 22:38:16.920000,1080,1920,789,238
2022-10-15 22:38:16.930000,1080,1920,792,246
2022-10-15 22:38:16.950000,1080,1920,791,247
2022-10-15 22:38:16.960000,1080,1920,792,249
2022-10-15 22:38:16.980000,1080,1920,791,246
2022-10-15 22:38:17,1080,1920,791,250
2022-10-15 22:38:17.020000,1080,1920,796,252
2022-10-15 22:38:17.030000,1080,1920,793,250
2022-10-15 22:38:17.050000,1080,1920,794,249
2022-10-15 22:38:17.060000,1080,1920,792,247
2022-10-15 22:38:17.080000,1080,1920,791,246
2022-10-15 22:38:17.100000,1080,1920,790,249
2022-10-15 22:38:17.120000,1080,1920,786,248
2022-10-15 22:38:17.130000,1080,1920,817,241
2022-10-15 22:38:17.150000,1080,1920,849,237
2022-10-15 22:38:17.170000,1080,1920,866,225
2022-10-15 22:38:17.180000,1080,1920,866,225
2022-10-15 22:38:17.200000,1080,1920,867,228
2022-10-15 22:38:17.210000,1080,1920,861,226
2022-10-15 22:38:17.230000,1080,1920,864,229
2022-10-15 22:38:17.250000,1080,1920,864,231
2022-10-15 22:38:17.270000,1080,1920,861,229
2022-10-15 22:38:17.280000,1080,1920,861,228
2022-10-15 22:38:17.300000,1080,1920,862,227
2022-10-15 22:38:17.310000,1080,1920,863,228
2022-10-15 22:38:17.330000,1080,1920,859,232
2022-10-15 22:38:17.350000,1080,1920,862,234
2022-10-15 22:38:17.370000,1080,1920,864,227
2022-10-15 22:38:17.380000,1080,1920,861,222
2022-10-15 22:38:17.400000,1080,1920,860,226
2022-10-15 22:38:17.420000,1080,1920,862,231
2022-10-15 22:38:17.430000,1080,1920,865,236
2022-10-15 22:38:17.450000,1080,1920,863,236
2022-10-15 22:38:17.460000,1080,1920,860,234
2022-10-15 22:38:17.480000,1080,1920,862,234
2022-10-15 22:38:17.500000,1080,1920,860,231
2022-10-15 22:38:17.520000,1080,1920,825,233
2022-10-15 22:38:17.530000,1080,1920,781,238
2022-10-15 22:38:17.550000,1080,1920,787,236
2022-10-15 22:38:17.560000,1080,1920,783,229
2022-10-15 22:38:17.580000,1080,1920,788,231
2022-10-15 22:38:17.600000,1080,1920,792,224
2022-10-15 22:38:17.620000,1080,1920,787,225
2022-10-15 22:38:17.630000,1080,1920,782,227
