time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:38:22.210000,1080,1920,820,403
2022-10-15 22:38:22.230000,1080,1920,822,399
2022-10-15 22:38:22.240000,1080,1920,822,405
2022-10-15 22:38:22.260000,1080,1920,827,403
2022-10-15 22:38:22.280000,1080,1920,832,403
2022-10-15 22:38:22.300000,1080,1920,828,405
2022-10-15 22:38:22.310000,1080,1920,825,400
2022-10-15 22:38:22.330000,1080,1920,825,396
2022-10-15 22:38:22.340000,1080,1920,810,383
2022-10-15 22:38:22.360000,1080,1920,637,329
2022-10-15 22:38:22.380000,1080,1920,622,333
2022-10-15 22:38:22.400000,1080,1920,628,336
2022-10-15 22:38:22.410000,1080,1920,627,332
2022-10-15 22:38:22.430000,1080,1920,625,339
2022-10-15 22:38:22.440000,1080,1920,623,337
2022-10-15 22:38:22.460000,1080,1920,624,333
2022-10-15 22:38:22.480000,1080,1920,623,336
2022-10-15 22:38:22.490000,1080,1920,628,334
2022-10-15 22:38:22.510000,1080,1920,629,332
2022-10-15 22:38:22.530000,1080,1920,624,332
2022-10-15 22:38:22.540000,1080,1920,626,332
2022-10-15 22:38:22.560000,1080,1920,626,336
2022-10-15 22:38:22.580000,1080,1920,623,336
2022-10-15 22:38:22.590000,1080,1920,626,330
2022-10-15 22:38:22.610000,1080,1920,630,334
2022-10-15 22:38:22.630000,1080,1920,622,334
2022-10-15 22:38:22.640000,1080,1920,610,329
2022-10-15 22:38:22.660000,1080,1920,591,320
2022-10-15 22:38:22.680000,1080,1920,584,321
2022-10-15 22:38:22.690000,1080,1920,587,328
2022-10-15 22:38:22.710000,1080,1920,590,327
2022-10-15 22:38:22.730000,1080,1920,582,324
2022-10-15 22:38:22.740000,1080,1920,584,330
2022-10-15 22:38:22.760000,1080,1920,590,335
2022-10-15 22:38:22.780000,1080,1920,583,325
2022-10-15 22:38:22.790000,1080,1920,582,322
2022-10-15 22:38:22.810000,1080,1920,585,327
2022-10-15 22:38:22.830000,1080,1920,580,329
2022-10-15 22:38:22.840000,1080,1920,582,327
2022-10-15 22:38:22.860000,1080,1920,582,329
2022-10-15 22:38:22.880000,1080,1920,581,333
2022-10-15 22:38:22.890000,1080,1920,592,389
2022-10-15 22:38:22.910000,1080,1920,600,420
2022-10-15 22:38:23.090000,1080,1920,574,371
2022-10-15 22:38:23.110000,1080,1920,576,387
2022-10-15 22:38:23.130000,1080,1920,587,308
2022-10-15 22:38:23.140000,1080,1920,588,307
2022-10-15 22:38:23.160000,1080,1920,587,300
2022-10-15 22:38:23.180000,1080,1920,588,305
2022-10-15 22:38:23.190000,1080,1920,594,309
2022-10-15 22:38:23.210000,1080,1920,589,305
2022-10-15 22:38:23.230000,1080,1920,591,310
2022-10-15 22:38:23.240000,1080,1920,592,320
2022-10-15 22:38:23.260000,1080,1920,583,338
2022-10-15 22:38:23.280000,1080,1920,581,336
2022-10-15 22:38:23.290000,1080,1920,587,317
2022-10-15 22:38:23.310000,1080,1920,588,312
2022-10-15 22:38:23.330000,1080,1920,585,317
2022-10-15 22:38:23.340000,1080,1920,584,316
2022-10-15 22:38:23.360000,1080,1920,583,318
2022-10-15 22:38:23.380000,1080,1920,582,321
2022-10-15 22:38:23.390000,1080,1920,580,317
2022-10-15 22:38:23.410000,1080,1920,581,321
2022-10-15 22:38:23.430000,1080,1920,580,326
2022-10-15 22:38:23.440000,1080,1920,565,329
2022-10-15 22:38:23.460000,1080,1920,523,357
2022-10-15 22:38:23.480000,1080,1920,523,370
2022-10-15 22:38:23.490000,1080,1920,531,369
2022-10-15 22:38:23.510000,1080,1920,529,369
2022-10-15 22:38:23.530000,1080,1920,524,359
2022-10-15 22:38:23.540000,1080,1920,525,361
2022-10-15 22:38:23.560000,1080,1920,531,365
2022-10-15 22:38:23.580000,1080,1920,527,367
2022-10-15 22:38:23.590000,1080,1920,523,374
2022-10-15 22:38:23.610000,1080,1920,527,364
2022-10-15 22:38:23.630000,1080,1920,527,360
2022-10-15 22:38:23.640000,1080,1920,524,368
2022-10-15 22:38:23.660000,1080,1920,539,366
2022-10-15 22:38:23.680000,1080,1920,562,349
2022-10-15 22:38:23.690000,1080,1920,593,342
2022-10-15 22:38:23.710000,1080,1920,593,345
2022-10-15 22:38:23.730000,1080,1920,594,342
2022-10-15 22:38:23.740000,1080,1920,590,345
2022-10-15 22:38:23.760000,1080,1920,590,337
2022-10-15 22:38:23.780000,1080,1920,591,330
2022-10-15 22:38:23.790000,1080,1920,594,336
2022-10-15 22:38:23.810000,1080,1920,596,343
2022-10-15 22:38:23.830000,1080,1920,590,336
2022-10-15 22:38:23.840000,1080,1920,584,330
2022-10-15 22:38:23.860000,1080,1920,589,331
2022-10-15 22:38:23.880000,1080,1920,591,335
2022-10-15 22:38:23.890000,1080,1920,592,341
2022-10-15 22:38:23.910000,1080,1920,592,343
2022-10-15 22:38:23.930000,1080,1920,592,346
2022-10-15 22:38:23.940000,1080,1920,591,345
2022-10-15 22:38:23.960000,1080,1920,591,339
2022-10-15 22:38:23.980000,1080,1920,591,338
2022-10-15 22:38:23.990000,1080,1920,589,340
2022-10-15 22:38:24.010000,1080,1920,591,340
2022-10-15 22:38:24.030000,1080,1920,591,346
2022-10-15 22:38:24.040000,1080,1920,590,352
2022-10-15 22:38:24.060000,1080,1920,592,348
2022-10-15 22:38:24.080000,1080,1920,592,346
2022-10-15 22:38:24.090000,1080,1920,590,345
2022-10-15 22:38:24.110000,1080,1920,589,349
2022-10-15 22:38:24.130000,1080,1920,586,343
2022-10-15 22:38:24.140000,1080,1920,587,333
2022-10-15 22:38:24.160000,1080,1920,653,305
2022-10-15 22:38:24.180000,1080,1920,696,265
