time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:38:28.260000,1080,1920,1197,333
2022-10-15 22:38:28.270000,1080,1920,1197,333
2022-10-15 22:38:28.290000,1080,1920,1199,340
2022-10-15 22:38:28.310000,1080,1920,1200,346
2022-10-15 22:38:28.320000,1080,1920,1186,360
2022-10-15 22:38:28.340000,1080,1920,1185,360
2022-10-15 22:38:28.470000,1080,1920,1194,376
2022-10-15 22:38:28.490000,1080,1920,1188,390
2022-10-15 22:38:28.510000,1080,1920,1201,229
2022-10-15 22:38:28.520000,1080,1920,1217,235
2022-10-15 22:38:28.540000,1080,1920,1219,242
2022-10-15 22:38:28.560000,1080,1920,1218,233
2022-10-15 22:38:28.570000,1080,1920,1213,229
2022-10-15 22:38:28.590000,1080,1920,1214,240
2022-10-15 22:38:28.610000,1080,1920,1216,240
2022-10-15 22:38:28.620000,1080,1920,1215,241
2022-10-15 22:38:28.640000,1080,1920,1213,245
2022-10-15 22:38:28.660000,1080,1920,1212,244
2022-10-15 22:38:28.670000,1080,1920,1211,236
2022-10-15 22:38:28.690000,1080,1920,1213,233
2022-10-15 22:38:28.710000,1080,1920,1214,236
2022-10-15 22:38:28.720000,1080,1920,1217,233
2022-10-15 22:38:28.740000,1080,1920,1222,235
2022-10-15 22:38:28.760000,1080,1920,1215,237
2022-10-15 22:38:28.770000,1080,1920,1216,241
2022-10-15 22:38:28.790000,1080,1920,1217,237
2022-10-15 22:38:28.810000,1080,1920,1216,232
2022-10-15 22:38:28.820000,1080,1920,1216,222
2022-10-15 22:38:28.840000,1080,1920,1213,212
2022-10-15 22:38:28.860000,1080,1920,1218,210
2022-10-15 22:38:28.870000,1080,1920,1218,210
2022-10-15 22:38:28.890000,1080,1920,1220,207
2022-10-15 22:38:28.910000,1080,1920,1215,213
2022-10-15 22:38:28.920000,1080,1920,1215,219
2022-10-15 22:38:28.940000,1080,1920,1216,223
2022-10-15 22:38:28.960000,1080,1920,1214,225
2022-10-15 22:38:28.970000,1080,1920,1219,221
2022-10-15 22:38:28.990000,1080,1920,1221,218
2022-10-15 22:38:29.010000,1080,1920,1219,212
2022-10-15 22:38:29.020000,1080,1920,1218,214
2022-10-15 22:38:29.040000,1080,1920,1219,212
2022-10-15 22:38:29.060000,1080,1920,1222,211
2022-10-15 22:38:29.070000,1080,1920,1224,209
2022-10-15 22:38:29.090000,1080,1920,1225,209
2022-10-15 22:38:29.110000,1080,1920,1223,212
2022-10-15 22:38:29.120000,1080,1920,1220,213
2022-10-15 22:38:29.140000,1080,1920,1218,217
2022-10-15 22:38:29.160000,1080,1920,1223,220
2022-10-15 22:38:29.170000,1080,1920,1221,222
2022-10-15 22:38:29.190000,1080,1920,1218,220
2022-10-15 22:38:29.210000,1080,1920,1217,218
2022-10-15 22:38:29.220000,1080,1920,1218,216
2022-10-15 22:38:29.240000,1080,1920,1222,220
2022-10-15 22:38:29.260000,1080,1920,1217,228
2022-10-15 22:38:29.270000,1080,1920,1219,225
2022-10-15 22:38:29.290000,1080,1920,1201,237
2022-10-15 22:38:29.310000,1080,1920,1077,376
2022-10-15 22:38:29.320000,1080,1920,1016,433
2022-10-15 22:38:29.340000,1080,1920,989,443
2022-10-15 22:38:29.360000,1080,1920,984,451
2022-10-15 22:38:29.370000,1080,1920,986,458
2022-10-15 22:38:29.390000,1080,1920,981,469
2022-10-15 22:38:29.410000,1080,1920,979,465
2022-10-15 22:38:29.420000,1080,1920,985,451
2022-10-15 22:38:29.440000,1080,1920,982,456
2022-10-15 22:38:29.460000,1080,1920,980,458
2022-10-15 22:38:29.470000,1080,1920,978,457
2022-10-15 22:38:29.490000,1080,1920,974,471
2022-10-15 22:38:29.510000,1080,1920,978,476
2022-10-15 22:38:29.520000,1080,1920,976,482
2022-10-15 22:38:29.540000,1080,1920,975,482
2022-10-15 22:38:29.560000,1080,1920,980,481
2022-10-15 22:38:29.570000,1080,1920,974,484
2022-10-15 22:38:29.590000,1080,1920,978,475
2022-10-15 22:38:29.610000,1080,1920,983,475
2022-10-15 22:38:29.620000,1080,1920,975,488
2022-10-15 22:38:29.640000,1080,1920,977,487
2022-10-15 22:38:29.660000,1080,1920,977,490
2022-10-15 22:38:29.670000,1080,1920,978,489
2022-10-15 22:38:29.690000,1080,1920,983,484
2022-10-15 22:38:29.710000,1080,1920,976,484
2022-10-15 22:38:29.720000,1080,1920,978,487
2022-10-15 22:38:29.740000,1080,1920,978,485
2022-10-15 22:38:29.760000,1080,1920,976,482
2022-10-15 22:38:29.770000,1080,1920,979,479
2022-10-15 22:38:29.790000,1080,1920,979,486
2022-10-15 22:38:29.810000,1080,1920,981,490
2022-10-15 22:38:29.820000,1080,1920,915,520
2022-10-15 22:38:29.840000,1080,1920,871,557
2022-10-15 22:38:29.860000,1080,1920,816,597
2022-10-15 22:38:29.870000,1080,1920,812,595
2022-10-15 22:38:29.890000,1080,1920,820,588
2022-10-15 22:38:29.910000,1080,1920,815,585
2022-10-15 22:38:29.920000,1080,1920,820,588
2022-10-15 22:38:29.940000,1080,1920,825,590
2022-10-15 22:38:29.960000,1080,1920,822,592
2022-10-15 22:38:29.970000,1080,1920,818,593
2022-10-15 22:38:29.990000,1080,1920,818,589
2022-10-15 22:38:30.010000,1080,1920,817,589
2022-10-15 22:38:30.020000,1080,1920,817,594
2022-10-15 22:38:30.040000,1080,1920,820,596
2022-10-15 22:38:30.060000,1080,1920,804,606
2022-10-15 22:38:30.070000,1080,1920,787,641
2022-10-15 22:38:30.090000,1080,1920,729,748
2022-10-15 22:38:30.110000,1080,1920,714,782
2022-10-15 22:38:30.120000,1080,1920,706,838
2022-10-15 22:38:30.140000,1080,1920,706,840
2022-10-15 22:38:30.160000,1080,1920,707,834
2022-10-15 22:38:30.170000,1080,1920,712,834
2022-10-15 22:38:30.190000,1080,1920,706,836
2022-10-15 22:38:30.210000,1080,1920,704,838
2022-10-15 22:38:30.220000,1080,1920,711,839
2022-10-15 22:38:30.240000,1080,1920,725,844
2022-10-15 22:38:30.260000,1080,1920,761,860
2022-10-15 22:38:30.270000,1080,1920,1056,871
2022-10-15 22:38:30.290000,1080,1920,1052,867
2022-10-15 22:38:30.310000,1080,1920,1049,871
2022-10-15 22:38:30.320000,1080,1920,1068,882
2022-10-15 22:38:30.340000,1080,1920,1068,882
2022-10-15 22:38:30.360000,1080,1920,1067,880
2022-10-15 22:38:30.370000,1080,1920,1070,879
2022-10-15 22:38:30.390000,1080,1920,1068,882
2022-10-15 22:38:30.400000,1080,1920,1073,830
2022-10-15 22:38:30.420000,1080,1920,1078,614
2022-10-15 22:38:30.440000,1080,1920,1124,370
2022-10-15 22:38:30.460000,1080,1920,1149,335
2022-10-15 22:38:30.470000,1080,1920,1149,340
2022-10-15 22:38:30.490000,1080,1920,1143,327
2022-10-15 22:38:30.500000,1080,1920,1144,329
2022-10-15 22:38:30.520000,1080,1920,1145,330
2022-10-15 22:38:30.540000,1080,1920,1147,329
2022-10-15 22:38:30.560000,1080,1920,1146,328
2022-10-15 22:38:30.570000,1080,1920,1144,330
2022-10-15 22:38:30.590000,1080,1920,1145,324
2022-10-15 22:38:30.610000,1080,1920,1141,320
2022-10-15 22:38:30.620000,1080,1920,1143,319
2022-10-15 22:38:30.640000,1080,1920,1148,317
2022-10-15 22:38:30.650000,1080,1920,1147,315
2022-10-15 22:38:30.670000,1080,1920,1146,321
2022-10-15 22:38:30.690000,1080,1920,1190,316
2022-10-15 22:38:30.710000,1080,1920,1215,307
2022-10-15 22:38:30.720000,1080,1920,1225,302
2022-10-15 22:38:30.740000,1080,1920,1222,300
2022-10-15 22:38:30.750000,1080,1920,1221,299
2022-10-15 22:38:30.770000,1080,1920,1226,294
2022-10-15 22:38:30.790000,1080,1920,1229,295
2022-10-15 22:38:30.800000,1080,1920,1229,293
2022-10-15 22:38:30.820000,1080,1920,1231,300
2022-10-15 22:38:30.840000,1080,1920,1229,284
2022-10-15 22:38:30.860000,1080,1920,1194,282
2022-10-15 22:38:31.060000,1080,1920,1251,299
2022-10-15 22:38:31.070000,1080,1920,1253,238
2022-10-15 22:38:31.090000,1080,1920,1258,197
2022-10-15 22:38:31.110000,1080,1920,1261,233
2022-10-15 22:38:31.120000,1080,1920,1260,238
2022-10-15 22:38:31.140000,1080,1920,1257,232
2022-10-15 22:38:31.150000,1080,1920,1266,228
2022-10-15 22:38:31.170000,1080,1920,1263,228
2022-10-15 22:38:31.190000,1080,1920,1262,221
2022-10-15 22:38:31.210000,1080,1920,1263,221
2022-10-15 22:38:31.220000,1080,1920,1263,224
2022-10-15 22:38:31.240000,1080,1920,1262,231
2022-10-15 22:38:31.250000,1080,1920,1259,232
2022-10-15 22:38:31.270000,1080,1920,1260,231
2022-10-15 22:38:31.290000,1080,1920,1263,235
2022-10-15 22:38:31.300000,1080,1920,1264,244
2022-10-15 22:38:31.320000,1080,1920,1259,242
2022-10-15 22:38:31.340000,1080,1920,1258,235
2022-10-15 22:38:31.360000,1080,1920,1260,244
2022-10-15 22:38:31.370000,1080,1920,1259,243
2022-10-15 22:38:31.390000,1080,1920,1260,242
2022-10-15 22:38:31.400000,1080,1920,1265,238
2022-10-15 22:38:31.420000,1080,1920,1260,240
