time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:38:34.290000,1080,1920,739,404
2022-10-15 22:38:34.300000,1080,1920,739,401
2022-10-15 22:38:34.320000,1080,1920,718,406
2022-10-15 22:38:34.340000,1080,1920,726,402
2022-10-15 22:38:34.350000,1080,1920,747,400
2022-10-15 22:38:34.370000,1080,1920,750,406
2022-10-15 22:38:34.390000,1080,1920,748,407
2022-10-15 22:38:34.400000,1080,1920,751,400
2022-10-15 22:38:34.420000,1080,1920,750,398
2022-10-15 22:38:34.440000,1080,1920,747,398
2022-10-15 22:38:34.450000,1080,1920,750,395
2022-10-15 22:38:34.470000,1080,1920,747,396
2022-10-15 22:38:34.490000,1080,1920,743,397
2022-10-15 22:38:34.500000,1080,1920,745,401
2022-10-15 22:38:34.520000,1080,1920,743,395
2022-10-15 22:38:34.540000,1080,1920,745,397
2022-10-15 22:38:34.550000,1080,1920,751,407
2022-10-15 22:38:34.570000,1080,1920,753,406
2022-10-15 22:38:34.590000,1080,1920,748,414
2022-10-15 22:38:34.600000,1080,1920,746,408
2022-10-15 22:38:34.620000,1080,1920,744,413
2022-10-15 22:38:34.650000,1080,1920,749,403
2022-10-15 22:38:34.670000,1080,1920,746,406
2022-10-15 22:38:34.690000,1080,1920,748,405
2022-10-15 22:38:34.700000,1080,1920,744,401
2022-10-15 22:38:34.720000,1080,1920,744,404
2022-10-15 22:38:34.740000,1080,1920,747,407
2022-10-15 22:38:34.750000,1080,1920,747,411
2022-10-15 22:38:34.770000,1080,1920,742,412
2022-10-15 22:38:34.790000,1080,1920,743,413
2022-10-15 22:38:34.800000,1080,1920,747,412
2022-10-15 22:38:34.820000,1080,1920,745,409
2022-10-15 22:38:34.840000,1080,1920,752,414
2022-10-15 22:38:34.850000,1080,1920,751,411
2022-10-15 22:38:34.870000,1080,1920,748,408
2022-10-15 22:38:34.890000,1080,1920,751,407
2022-10-15 22:38:34.900000,1080,1920,747,407
2022-10-15 22:38:34.920000,1080,1920,747,418
2022-10-15 22:38:34.940000,1080,1920,749,419
2022-10-15 22:38:34.950000,1080,1920,747,413
2022-10-15 22:38:34.970000,1080,1920,751,410
2022-10-15 22:38:34.990000,1080,1920,752,409
2022-10-15 22:38:35,1080,1920,751,407
2022-10-15 22:38:35.020000,1080,1920,748,409
2022-10-15 22:38:35.030000,1080,1920,745,410
2022-10-15 22:38:35.050000,1080,1920,747,403
2022-10-15 22:38:35.070000,1080,1920,748,409
2022-10-15 22:38:35.090000,1080,1920,744,420
2022-10-15 22:38:35.100000,1080,1920,746,419
2022-10-15 22:38:35.120000,1080,1920,744,423
2022-10-15 22:38:35.140000,1080,1920,737,424
2022-10-15 22:38:35.150000,1080,1920,742,422
2022-10-15 22:38:35.170000,1080,1920,748,422
2022-10-15 22:38:35.180000,1080,1920,746,421
2022-10-15 22:38:35.200000,1080,1920,744,417
2022-10-15 22:38:35.220000,1080,1920,743,409
2022-10-15 22:38:35.240000,1080,1920,742,411
2022-10-15 22:38:35.250000,1080,1920,744,419
2022-10-15 22:38:35.270000,1080,1920,749,419
2022-10-15 22:38:35.280000,1080,1920,750,416
2022-10-15 22:38:35.300000,1080,1920,747,417
2022-10-15 22:38:35.320000,1080,1920,749,420
2022-10-15 22:38:35.340000,1080,1920,750,419
2022-10-15 22:38:35.350000,1080,1920,739,417
2022-10-15 22:38:35.370000,1080,1920,709,399
2022-10-15 22:38:35.390000,1080,1920,630,327
2022-10-15 22:38:35.400000,1080,1920,614,300
2022-10-15 22:38:35.420000,1080,1920,624,304
2022-10-15 22:38:35.430000,1080,1920,627,305
2022-10-15 22:38:35.450000,1080,1920,626,290
2022-10-15 22:38:35.470000,1080,1920,630,293
2022-10-15 22:38:35.490000,1080,1920,630,309
2022-10-15 22:38:35.500000,1080,1920,625,308
2022-10-15 22:38:35.520000,1080,1920,625,301
2022-10-15 22:38:35.530000,1080,1920,628,298
2022-10-15 22:38:35.550000,1080,1920,624,299
2022-10-15 22:38:35.570000,1080,1920,623,304
2022-10-15 22:38:35.590000,1080,1920,627,304
2022-10-15 22:38:35.600000,1080,1920,621,304
2022-10-15 22:38:35.620000,1080,1920,619,310
2022-10-15 22:38:35.640000,1080,1920,621,313
2022-10-15 22:38:35.650000,1080,1920,618,313
2022-10-15 22:38:35.670000,1080,1920,622,312
2022-10-15 22:38:35.680000,1080,1920,620,312
2022-10-15 22:38:35.700000,1080,1920,627,319
2022-10-15 22:38:35.720000,1080,1920,675,372
2022-10-15 22:38:35.740000,1080,1920,688,398
2022-10-15 22:38:35.750000,1080,1920,682,405
2022-10-15 22:38:35.770000,1080,1920,680,407
2022-10-15 22:38:35.780000,1080,1920,677,397
2022-10-15 22:38:35.800000,1080,1920,677,391
2022-10-15 22:38:35.820000,1080,1920,676,398
2022-10-15 22:38:35.840000,1080,1920,678,402
2022-10-15 22:38:35.850000,1080,1920,680,413
2022-10-15 22:38:35.870000,1080,1920,678,409
2022-10-15 22:38:35.890000,1080,1920,680,407
2022-10-15 22:38:35.900000,1080,1920,682,413
2022-10-15 22:38:35.920000,1080,1920,646,367
2022-10-15 22:38:35.930000,1080,1920,634,340
2022-10-15 22:38:35.950000,1080,1920,642,342
2022-10-15 22:38:35.970000,1080,1920,637,349
2022-10-15 22:38:35.990000,1080,1920,640,347
