time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:38:40.280000,1080,1920,724,325
2022-10-15 22:38:40.300000,1080,1920,720,317
2022-10-15 22:38:40.310000,1080,1920,700,309
2022-10-15 22:38:40.330000,1080,1920,697,310
2022-10-15 22:38:40.350000,1080,1920,700,300
2022-10-15 22:38:40.370000,1080,1920,700,289
2022-10-15 22:38:40.380000,1080,1920,678,355
2022-10-15 22:38:40.580000,1080,1920,702,296
2022-10-15 22:38:40.600000,1080,1920,696,291
2022-10-15 22:38:40.620000,1080,1920,691,240
2022-10-15 22:38:40.630000,1080,1920,691,232
2022-10-15 22:38:40.650000,1080,1920,686,216
2022-10-15 22:38:40.670000,1080,1920,678,235
2022-10-15 22:38:40.680000,1080,1920,689,221
2022-10-15 22:38:40.700000,1080,1920,689,212
2022-10-15 22:38:40.710000,1080,1920,689,204
2022-10-15 22:38:40.730000,1080,1920,688,208
2022-10-15 22:38:40.750000,1080,1920,681,215
2022-10-15 22:38:40.770000,1080,1920,685,209
2022-10-15 22:38:40.780000,1080,1920,683,202
2022-10-15 22:38:40.800000,1080,1920,683,199
2022-10-15 22:38:40.810000,1080,1920,642,223
2022-10-15 22:38:40.830000,1080,1920,628,240
2022-10-15 22:38:40.850000,1080,1920,635,247
2022-10-15 22:38:40.870000,1080,1920,630,245
2022-10-15 22:38:40.880000,1080,1920,628,249
2022-10-15 22:38:40.900000,1080,1920,628,247
2022-10-15 22:38:40.920000,1080,1920,629,246
2022-10-15 22:38:40.930000,1080,1920,631,253
2022-10-15 22:38:40.950000,1080,1920,629,252
2022-10-15 22:38:40.960000,1080,1920,628,250
2022-10-15 22:38:40.980000,1080,1920,628,249
2022-10-15 22:38:41,1080,1920,626,253
2022-10-15 22:38:41.020000,1080,1920,624,257
2022-10-15 22:38:41.030000,1080,1920,627,256
2022-10-15 22:38:41.050000,1080,1920,629,252
2022-10-15 22:38:41.060000,1080,1920,629,250
2022-10-15 22:38:41.080000,1080,1920,622,247
2022-10-15 22:38:41.100000,1080,1920,621,248
2022-10-15 22:38:41.110000,1080,1920,626,256
2022-10-15 22:38:41.130000,1080,1920,627,251
2022-10-15 22:38:41.150000,1080,1920,625,244
2022-10-15 22:38:41.160000,1080,1920,619,243
2022-10-15 22:38:41.180000,1080,1920,621,248
2022-10-15 22:38:41.200000,1080,1920,624,269
2022-10-15 22:38:41.210000,1080,1920,614,325
2022-10-15 22:38:41.230000,1080,1920,610,337
2022-10-15 22:38:41.250000,1080,1920,607,331
2022-10-15 22:38:41.260000,1080,1920,606,331
2022-10-15 22:38:41.280000,1080,1920,608,328
2022-10-15 22:38:41.300000,1080,1920,610,331
2022-10-15 22:38:41.310000,1080,1920,615,335
2022-10-15 22:38:41.330000,1080,1920,612,333
2022-10-15 22:38:41.350000,1080,1920,614,326
2022-10-15 22:38:41.360000,1080,1920,612,324
2022-10-15 22:38:41.380000,1080,1920,610,332
2022-10-15 22:38:41.400000,1080,1920,611,336
2022-10-15 22:38:41.410000,1080,1920,608,329
2022-10-15 22:38:41.430000,1080,1920,610,331
2022-10-15 22:38:41.450000,1080,1920,609,336
2022-10-15 22:38:41.460000,1080,1920,611,336
2022-10-15 22:38:41.480000,1080,1920,612,337
2022-10-15 22:38:41.500000,1080,1920,609,334
2022-10-15 22:38:41.510000,1080,1920,608,334
2022-10-15 22:38:41.530000,1080,1920,611,332
2022-10-15 22:38:41.550000,1080,1920,641,291
2022-10-15 22:38:41.560000,1080,1920,658,259
2022-10-15 22:38:41.580000,1080,1920,665,242
2022-10-15 22:38:41.600000,1080,1920,670,240
2022-10-15 22:38:41.610000,1080,1920,670,235
2022-10-15 22:38:41.630000,1080,1920,665,232
2022-10-15 22:38:41.650000,1080,1920,662,234
2022-10-15 22:38:41.660000,1080,1920,667,234
2022-10-15 22:38:41.680000,1080,1920,688,229
2022-10-15 22:38:41.700000,1080,1920,689,254
2022-10-15 22:38:41.710000,1080,1920,677,240
2022-10-15 22:38:41.730000,1080,1920,675,237
2022-10-15 22:38:41.750000,1080,1920,672,237
2022-10-15 22:38:41.760000,1080,1920,663,233
2022-10-15 22:38:41.780000,1080,1920,663,230
2022-10-15 22:38:41.800000,1080,1920,669,236
2022-10-15 22:38:41.810000,1080,1920,668,235
2022-10-15 22:38:41.830000,1080,1920,669,232
2022-10-15 22:38:41.850000,1080,1920,671,237
2022-10-15 22:38:41.860000,1080,1920,670,235
2022-10-15 22:38:41.880000,1080,1920,670,235
2022-10-15 22:38:41.900000,1080,1920,674,240
2022-10-15 22:38:41.910000,1080,1920,674,236
2022-10-15 22:38:41.930000,1080,1920,660,231
2022-10-15 22:38:41.950000,1080,1920,646,230
2022-10-15 22:38:41.960000,1080,1920,649,225
2022-10-15 22:38:41.980000,1080,1920,646,225
2022-10-15 22:38:42,1080,1920,655,236
2022-10-15 22:38:42.010000,1080,1920,658,234
2022-10-15 22:38:42.030000,1080,1920,653,226
2022-10-15 22:38:42.050000,1080,1920,648,223
2022-10-15 22:38:42.060000,1080,1920,640,235
2022-10-15 22:38:42.080000,1080,1920,629,243
2022-10-15 22:38:42.250000,1080,1920,600,321
2022-10-15 22:38:42.260000,1080,1920,651,219
2022-10-15 22:38:42.280000,1080,1920,676,203
2022-10-15 22:38:42.300000,1080,1920,663,232
2022-10-15 22:38:42.310000,1080,1920,660,212
2022-10-15 22:38:42.330000,1080,1920,661,217
2022-10-15 22:38:42.350000,1080,1920,660,226
2022-10-15 22:38:42.360000,1080,1920,662,222
2022-10-15 22:38:42.380000,1080,1920,663,223
2022-10-15 22:38:42.400000,1080,1920,661,222
2022-10-15 22:38:42.410000,1080,1920,653,200
2022-10-15 22:38:42.430000,1080,1920,650,213
2022-10-15 22:38:42.450000,1080,1920,667,220
2022-10-15 22:38:42.460000,1080,1920,661,219
2022-10-15 22:38:42.480000,1080,1920,659,220
2022-10-15 22:38:42.500000,1080,1920,657,218
2022-10-15 22:38:42.510000,1080,1920,659,225
2022-10-15 22:38:42.530000,1080,1920,661,230
2022-10-15 22:38:42.550000,1080,1920,662,229
2022-10-15 22:38:42.560000,1080,1920,664,233
2022-10-15 22:38:42.580000,1080,1920,660,234
2022-10-15 22:38:42.600000,1080,1920,662,232
2022-10-15 22:38:42.610000,1080,1920,665,235
2022-10-15 22:38:42.630000,1080,1920,666,236
2022-10-15 22:38:42.650000,1080,1920,667,244
2022-10-15 22:38:42.660000,1080,1920,669,250
2022-10-15 22:38:42.680000,1080,1920,669,252
2022-10-15 22:38:42.700000,1080,1920,669,245
2022-10-15 22:38:42.710000,1080,1920,667,245
2022-10-15 22:38:42.730000,1080,1920,667,243
2022-10-15 22:38:42.750000,1080,1920,666,249
2022-10-15 22:38:42.760000,1080,1920,664,255
2022-10-15 22:38:42.780000,1080,1920,667,255
2022-10-15 22:38:42.800000,1080,1920,669,252
2022-10-15 22:38:42.810000,1080,1920,633,252
2022-10-15 22:38:42.830000,1080,1920,624,254
