time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:38:58.320000,1080,1920,967,298
2022-10-15 22:38:58.340000,1080,1920,970,300
2022-10-15 22:38:58.350000,1080,1920,970,299
2022-10-15 22:38:58.370000,1080,1920,968,305
2022-10-15 22:38:58.390000,1080,1920,971,308
2022-10-15 22:38:58.400000,1080,1920,971,313
2022-10-15 22:38:58.420000,1080,1920,971,311
2022-10-15 22:38:58.430000,1080,1920,971,312
2022-10-15 22:38:58.450000,1080,1920,969,317
2022-10-15 22:38:58.470000,1080,1920,969,316
2022-10-15 22:38:58.490000,1080,1920,975,316
2022-10-15 22:38:58.500000,1080,1920,741,267
2022-10-15 22:38:58.520000,1080,1920,741,267
2022-10-15 22:38:58.550000,1080,1920,710,240
2022-10-15 22:38:58.570000,1080,1920,709,252
2022-10-15 22:38:58.590000,1080,1920,706,254
2022-10-15 22:38:58.600000,1080,1920,705,246
2022-10-15 22:38:58.620000,1080,1920,711,247
2022-10-15 22:38:58.640000,1080,1920,707,252
2022-10-15 22:38:58.650000,1080,1920,705,255
2022-10-15 22:38:58.670000,1080,1920,710,255
2022-10-15 22:38:58.680000,1080,1920,712,255
2022-10-15 22:38:58.700000,1080,1920,706,246
2022-10-15 22:38:58.720000,1080,1920,702,243
2022-10-15 22:38:58.740000,1080,1920,702,253
2022-10-15 22:38:58.750000,1080,1920,706,251
2022-10-15 22:38:58.770000,1080,1920,706,252
2022-10-15 22:38:58.780000,1080,1920,705,251
2022-10-15 22:38:58.800000,1080,1920,705,253
2022-10-15 22:38:58.820000,1080,1920,701,250
2022-10-15 22:38:58.840000,1080,1920,698,244
2022-10-15 22:38:58.850000,1080,1920,705,248
2022-10-15 22:38:58.870000,1080,1920,707,247
2022-10-15 22:38:58.890000,1080,1920,704,247
2022-10-15 22:38:58.900000,1080,1920,703,248
2022-10-15 22:38:58.920000,1080,1920,702,244
2022-10-15 22:38:58.930000,1080,1920,703,240
2022-10-15 22:38:58.950000,1080,1920,704,245
2022-10-15 22:38:58.970000,1080,1920,704,244
2022-10-15 22:38:58.990000,1080,1920,707,242
2022-10-15 22:38:59,1080,1920,704,233
2022-10-15 22:38:59.020000,1080,1920,699,232
2022-10-15 22:38:59.030000,1080,1920,702,220
2022-10-15 22:38:59.050000,1080,1920,699,217
2022-10-15 22:38:59.070000,1080,1920,700,221
2022-10-15 22:38:59.090000,1080,1920,703,222
2022-10-15 22:38:59.100000,1080,1920,707,226
2022-10-15 22:38:59.120000,1080,1920,702,232
2022-10-15 22:38:59.140000,1080,1920,698,232
2022-10-15 22:38:59.150000,1080,1920,704,228
2022-10-15 22:38:59.170000,1080,1920,702,232
2022-10-15 22:38:59.180000,1080,1920,701,235
2022-10-15 22:38:59.200000,1080,1920,704,230
2022-10-15 22:38:59.220000,1080,1920,707,236
2022-10-15 22:38:59.240000,1080,1920,702,237
2022-10-15 22:38:59.250000,1080,1920,702,238
2022-10-15 22:38:59.270000,1080,1920,707,243
2022-10-15 22:38:59.280000,1080,1920,703,240
2022-10-15 22:38:59.300000,1080,1920,699,238
2022-10-15 22:38:59.320000,1080,1920,701,233
2022-10-15 22:38:59.340000,1080,1920,703,218
2022-10-15 22:38:59.350000,1080,1920,699,215
2022-10-15 22:38:59.370000,1080,1920,699,209
2022-10-15 22:38:59.390000,1080,1920,699,213
2022-10-15 22:38:59.400000,1080,1920,700,218
2022-10-15 22:38:59.420000,1080,1920,698,216
2022-10-15 22:38:59.430000,1080,1920,699,219
2022-10-15 22:38:59.450000,1080,1920,700,223
2022-10-15 22:38:59.470000,1080,1920,703,234
2022-10-15 22:38:59.490000,1080,1920,705,233
2022-10-15 22:38:59.500000,1080,1920,703,231
2022-10-15 22:38:59.520000,1080,1920,702,230
2022-10-15 22:38:59.530000,1080,1920,705,232
2022-10-15 22:38:59.550000,1080,1920,708,233
2022-10-15 22:38:59.570000,1080,1920,702,235
2022-10-15 22:38:59.590000,1080,1920,706,237
2022-10-15 22:38:59.600000,1080,1920,710,234
2022-10-15 22:38:59.620000,1080,1920,706,224
2022-10-15 22:38:59.640000,1080,1920,700,221
2022-10-15 22:38:59.650000,1080,1920,703,228
2022-10-15 22:38:59.670000,1080,1920,707,223
2022-10-15 22:38:59.680000,1080,1920,709,224
2022-10-15 22:38:59.700000,1080,1920,706,219
2022-10-15 22:38:59.720000,1080,1920,703,216
2022-10-15 22:38:59.730000,1080,1920,701,227
2022-10-15 22:38:59.750000,1080,1920,702,223
2022-10-15 22:38:59.770000,1080,1920,701,221
2022-10-15 22:38:59.780000,1080,1920,703,227
2022-10-15 22:38:59.800000,1080,1920,703,228
2022-10-15 22:38:59.820000,1080,1920,700,231
2022-10-15 22:38:59.830000,1080,1920,699,228
2022-10-15 22:38:59.850000,1080,1920,702,225
2022-10-15 22:38:59.870000,1080,1920,706,226
2022-10-15 22:38:59.880000,1080,1920,701,222
2022-10-15 22:38:59.900000,1080,1920,699,217
2022-10-15 22:38:59.920000,1080,1920,700,218
2022-10-15 22:38:59.930000,1080,1920,700,226
2022-10-15 22:38:59.950000,1080,1920,702,228
2022-10-15 22:38:59.970000,1080,1920,703,228
2022-10-15 22:38:59.980000,1080,1920,697,227
2022-10-15 22:39:00,1080,1920,728,223
2022-10-15 22:39:00.020000,1080,1920,865,190
2022-10-15 22:39:00.030000,1080,1920,899,173
2022-10-15 22:39:00.050000,1080,1920,899,174
2022-10-15 22:39:00.070000,1080,1920,901,169
2022-10-15 22:39:00.080000,1080,1920,905,164
2022-10-15 22:39:00.100000,1080,1920,903,164
2022-10-15 22:39:00.120000,1080,1920,905,166
2022-10-15 22:39:00.130000,1080,1920,907,167
2022-10-15 22:39:00.150000,1080,1920,905,172
2022-10-15 22:39:00.170000,1080,1920,905,178
2022-10-15 22:39:00.180000,1080,1920,903,172
2022-10-15 22:39:00.200000,1080,1920,910,165
2022-10-15 22:39:00.220000,1080,1920,908,167
2022-10-15 22:39:00.230000,1080,1920,908,172
2022-10-15 22:39:00.250000,1080,1920,909,171
2022-10-15 22:39:00.270000,1080,1920,904,172
2022-10-15 22:39:00.280000,1080,1920,910,175
2022-10-15 22:39:00.300000,1080,1920,907,178
2022-10-15 22:39:00.320000,1080,1920,899,176
2022-10-15 22:39:00.330000,1080,1920,907,175
2022-10-15 22:39:00.350000,1080,1920,910,173
2022-10-15 22:39:00.370000,1080,1920,905,165
2022-10-15 22:39:00.380000,1080,1920,910,168
2022-10-15 22:39:00.400000,1080,1920,907,169
2022-10-15 22:39:00.420000,1080,1920,901,166
2022-10-15 22:39:00.430000,1080,1920,900,169
2022-10-15 22:39:00.450000,1080,1920,903,174
2022-10-15 22:39:00.470000,1080,1920,906,177
2022-10-15 22:39:00.480000,1080,1920,901,172
2022-10-15 22:39:00.500000,1080,1920,905,171
2022-10-15 22:39:00.520000,1080,1920,908,175
2022-10-15 22:39:00.530000,1080,1920,903,177
2022-10-15 22:39:00.550000,1080,1920,905,177
2022-10-15 22:39:00.570000,1080,1920,910,182
2022-10-15 22:39:00.580000,1080,1920,905,184
2022-10-15 22:39:00.600000,1080,1920,901,191
2022-10-15 22:39:00.620000,1080,1920,900,195
2022-10-15 22:39:00.630000,1080,1920,905,181
2022-10-15 22:39:00.650000,1080,1920,910,178
2022-10-15 22:39:00.670000,1080,1920,911,183
2022-10-15 22:39:00.680000,1080,1920,907,181
2022-10-15 22:39:00.700000,1080,1920,906,178
2022-10-15 22:39:00.720000,1080,1920,908,175
2022-10-15 22:39:00.730000,1080,1920,911,176
2022-10-15 22:39:00.750000,1080,1920,911,174
2022-10-15 22:39:00.770000,1080,1920,913,173
2022-10-15 22:39:00.780000,1080,1920,911,181
2022-10-15 22:39:00.800000,1080,1920,907,186
2022-10-15 22:39:00.820000,1080,1920,907,184
2022-10-15 22:39:00.830000,1080,1920,901,190
2022-10-15 22:39:00.850000,1080,1920,903,184
2022-10-15 22:39:00.870000,1080,1920,903,194
2022-10-15 22:39:00.880000,1080,1920,906,195
2022-10-15 22:39:00.900000,1080,1920,907,192
2022-10-15 22:39:00.920000,1080,1920,901,190
2022-10-15 22:39:00.930000,1080,1920,903,189
2022-10-15 22:39:00.950000,1080,1920,908,190
2022-10-15 22:39:00.970000,1080,1920,902,191
2022-10-15 22:39:00.980000,1080,1920,901,192
2022-10-15 22:39:01,1080,1920,906,191
2022-10-15 22:39:01.020000,1080,1920,901,198
2022-10-15 22:39:01.030000,1080,1920,903,203
2022-10-15 22:39:01.050000,1080,1920,903,203
2022-10-15 22:39:01.070000,1080,1920,902,202
2022-10-15 22:39:01.080000,1080,1920,905,201
2022-10-15 22:39:01.100000,1080,1920,904,199
2022-10-15 22:39:01.120000,1080,1920,904,194
2022-10-15 22:39:01.130000,1080,1920,908,195
2022-10-15 22:39:01.150000,1080,1920,909,202
2022-10-15 22:39:01.170000,1080,1920,901,199
2022-10-15 22:39:01.180000,1080,1920,902,199
2022-10-15 22:39:01.200000,1080,1920,904,195
2022-10-15 22:39:01.220000,1080,1920,897,189
2022-10-15 22:39:01.230000,1080,1920,907,194
2022-10-15 22:39:01.250000,1080,1920,914,197
2022-10-15 22:39:01.270000,1080,1920,905,195
2022-10-15 22:39:01.280000,1080,1920,906,193
2022-10-15 22:39:01.300000,1080,1920,906,189
2022-10-15 22:39:01.320000,1080,1920,900,187
2022-10-15 22:39:01.330000,1080,1920,906,191
2022-10-15 22:39:01.350000,1080,1920,913,200
2022-10-15 22:39:01.370000,1080,1920,900,205
2022-10-15 22:39:01.380000,1080,1920,893,205
2022-10-15 22:39:01.400000,1080,1920,906,198
2022-10-15 22:39:01.420000,1080,1920,912,191
2022-10-15 22:39:01.430000,1080,1920,906,192
2022-10-15 22:39:01.450000,1080,1920,902,201
2022-10-15 22:39:01.470000,1080,1920,906,207
2022-10-15 22:39:01.480000,1080,1920,906,204
