time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:39:10.340000,1080,1920,852,418
2022-10-15 22:39:10.360000,1080,1920,856,413
2022-10-15 22:39:10.380000,1080,1920,854,414
2022-10-15 22:39:10.390000,1080,1920,856,413
2022-10-15 22:39:10.410000,1080,1920,860,412
2022-10-15 22:39:10.430000,1080,1920,858,413
2022-10-15 22:39:10.440000,1080,1920,856,416
2022-10-15 22:39:10.460000,1080,1920,858,411
2022-10-15 22:39:10.480000,1080,1920,860,410
2022-10-15 22:39:10.490000,1080,1920,855,418
2022-10-15 22:39:10.510000,1080,1920,854,418
2022-10-15 22:39:10.530000,1080,1920,852,420
2022-10-15 22:39:10.540000,1080,1920,851,420
2022-10-15 22:39:10.560000,1080,1920,853,417
2022-10-15 22:39:10.580000,1080,1920,852,421
2022-10-15 22:39:10.590000,1080,1920,854,425
2022-10-15 22:39:10.610000,1080,1920,854,419
2022-10-15 22:39:10.630000,1080,1920,857,411
2022-10-15 22:39:10.640000,1080,1920,862,420
2022-10-15 22:39:10.660000,1080,1920,939,543
2022-10-15 22:39:10.680000,1080,1920,982,641
2022-10-15 22:39:10.690000,1080,1920,994,727
2022-10-15 22:39:10.710000,1080,1920,997,733
2022-10-15 22:39:10.730000,1080,1920,994,731
2022-10-15 22:39:10.740000,1080,1920,992,727
2022-10-15 22:39:10.760000,1080,1920,996,729
2022-10-15 22:39:10.780000,1080,1920,991,733
2022-10-15 22:39:10.790000,1080,1920,989,731
2022-10-15 22:39:10.810000,1080,1920,993,729
2022-10-15 22:39:10.830000,1080,1920,994,727
2022-10-15 22:39:10.840000,1080,1920,993,730
2022-10-15 22:39:10.860000,1080,1920,992,729
2022-10-15 22:39:10.880000,1080,1920,991,727
2022-10-15 22:39:10.890000,1080,1920,993,729
2022-10-15 22:39:10.910000,1080,1920,992,731
2022-10-15 22:39:10.930000,1080,1920,991,732
2022-10-15 22:39:10.940000,1080,1920,993,728
2022-10-15 22:39:10.960000,1080,1920,997,729
2022-10-15 22:39:10.980000,1080,1920,997,734
2022-10-15 22:39:10.990000,1080,1920,993,739
2022-10-15 22:39:11.010000,1080,1920,988,738
2022-10-15 22:39:11.030000,1080,1920,991,732
2022-10-15 22:39:11.040000,1080,1920,991,734
2022-10-15 22:39:11.060000,1080,1920,990,737
2022-10-15 22:39:11.080000,1080,1920,992,737
2022-10-15 22:39:11.090000,1080,1920,992,741
2022-10-15 22:39:11.110000,1080,1920,992,741
2022-10-15 22:39:11.130000,1080,1920,990,745
2022-10-15 22:39:11.140000,1080,1920,994,742
2022-10-15 22:39:11.160000,1080,1920,992,736
2022-10-15 22:39:11.180000,1080,1920,989,737
2022-10-15 22:39:11.190000,1080,1920,992,742
2022-10-15 22:39:11.210000,1080,1920,990,746
2022-10-15 22:39:11.230000,1080,1920,991,747
2022-10-15 22:39:11.240000,1080,1920,989,743
2022-10-15 22:39:11.260000,1080,1920,986,745
2022-10-15 22:39:11.280000,1080,1920,994,747
2022-10-15 22:39:11.290000,1080,1920,990,747
2022-10-15 22:39:11.310000,1080,1920,987,745
2022-10-15 22:39:11.330000,1080,1920,995,741
2022-10-15 22:39:11.340000,1080,1920,994,743
2022-10-15 22:39:11.360000,1080,1920,993,741
2022-10-15 22:39:11.380000,1080,1920,989,743
2022-10-15 22:39:11.390000,1080,1920,985,754
2022-10-15 22:39:11.410000,1080,1920,989,757
2022-10-15 22:39:11.430000,1080,1920,992,751
2022-10-15 22:39:11.440000,1080,1920,992,748
2022-10-15 22:39:11.460000,1080,1920,994,746
2022-10-15 22:39:11.480000,1080,1920,995,743
2022-10-15 22:39:11.490000,1080,1920,991,746
2022-10-15 22:39:11.510000,1080,1920,990,749
2022-10-15 22:39:11.530000,1080,1920,992,754
2022-10-15 22:39:11.540000,1080,1920,990,754
2022-10-15 22:39:11.560000,1080,1920,991,753
2022-10-15 22:39:11.580000,1080,1920,990,754
2022-10-15 22:39:11.590000,1080,1920,989,754
2022-10-15 22:39:11.610000,1080,1920,996,756
2022-10-15 22:39:11.630000,1080,1920,989,760
2022-10-15 22:39:11.640000,1080,1920,1020,755
2022-10-15 22:39:11.660000,1080,1920,1106,749
2022-10-15 22:39:11.680000,1080,1920,1094,811
2022-10-15 22:39:11.690000,1080,1920,1152,818
2022-10-15 22:39:11.710000,1080,1920,1156,798
2022-10-15 22:39:11.730000,1080,1920,1135,739
2022-10-15 22:39:11.740000,1080,1920,1135,755
2022-10-15 22:39:11.760000,1080,1920,1141,758
2022-10-15 22:39:11.780000,1080,1920,1144,757
2022-10-15 22:39:11.790000,1080,1920,1137,761
2022-10-15 22:39:11.810000,1080,1920,1134,760
2022-10-15 22:39:11.830000,1080,1920,1126,773
2022-10-15 22:39:11.840000,1080,1920,1104,807
2022-10-15 22:39:11.860000,1080,1920,1012,970
2022-10-15 22:39:12.030000,1080,1920,1149,820
2022-10-15 22:39:12.040000,1080,1920,1135,787
2022-10-15 22:39:12.060000,1080,1920,1135,722
2022-10-15 22:39:12.080000,1080,1920,1141,767
2022-10-15 22:39:12.090000,1080,1920,1132,737
2022-10-15 22:39:12.110000,1080,1920,1124,734
2022-10-15 22:39:12.130000,1080,1920,1127,738
2022-10-15 22:39:12.140000,1080,1920,1123,736
2022-10-15 22:39:12.160000,1080,1920,1125,744
2022-10-15 22:39:12.180000,1080,1920,1136,743
2022-10-15 22:39:12.190000,1080,1920,1130,747
2022-10-15 22:39:12.210000,1080,1920,1124,753
2022-10-15 22:39:12.230000,1080,1920,1127,756
2022-10-15 22:39:12.240000,1080,1920,1127,755
2022-10-15 22:39:12.260000,1080,1920,1125,751
2022-10-15 22:39:12.270000,1080,1920,1127,749
2022-10-15 22:39:12.290000,1080,1920,1123,753
2022-10-15 22:39:12.310000,1080,1920,1124,758
2022-10-15 22:39:12.330000,1080,1920,1121,762
2022-10-15 22:39:12.340000,1080,1920,1125,760
2022-10-15 22:39:12.360000,1080,1920,1127,755
2022-10-15 22:39:12.370000,1080,1920,1127,755
2022-10-15 22:39:12.390000,1080,1920,1124,762
2022-10-15 22:39:12.410000,1080,1920,1122,764
2022-10-15 22:39:12.430000,1080,1920,1127,760
2022-10-15 22:39:12.440000,1080,1920,1126,756
2022-10-15 22:39:12.460000,1080,1920,1124,759
2022-10-15 22:39:12.470000,1080,1920,1122,763
2022-10-15 22:39:12.490000,1080,1920,1125,761
2022-10-15 22:39:12.510000,1080,1920,1122,760
2022-10-15 22:39:12.520000,1080,1920,1122,759
2022-10-15 22:39:12.540000,1080,1920,1124,762
2022-10-15 22:39:12.560000,1080,1920,1119,762
2022-10-15 22:39:12.580000,1080,1920,1122,763
2022-10-15 22:39:12.590000,1080,1920,1128,764
2022-10-15 22:39:12.610000,1080,1920,1121,759
2022-10-15 22:39:12.620000,1080,1920,1123,756
2022-10-15 22:39:12.640000,1080,1920,1120,756
2022-10-15 22:39:12.660000,1080,1920,1012,766
2022-10-15 22:39:12.680000,1080,1920,965,767
2022-10-15 22:39:12.690000,1080,1920,945,765
2022-10-15 22:39:12.710000,1080,1920,945,765
