time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:39:16.740000,1080,1920,1114,755
2022-10-15 22:39:16.760000,1080,1920,964,535
2022-10-15 22:39:16.770000,1080,1920,950,509
2022-10-15 22:39:16.810000,1080,1920,914,431
2022-10-15 22:39:16.820000,1080,1920,910,428
2022-10-15 22:39:16.840000,1080,1920,909,425
2022-10-15 22:39:16.860000,1080,1920,910,416
2022-10-15 22:39:16.870000,1080,1920,905,409
2022-10-15 22:39:17.020000,1080,1920,715,611
2022-10-15 22:39:17.040000,1080,1920,806,599
2022-10-15 22:39:17.060000,1080,1920,926,405
2022-10-15 22:39:17.070000,1080,1920,930,341
2022-10-15 22:39:17.090000,1080,1920,932,309
2022-10-15 22:39:17.110000,1080,1920,931,320
2022-10-15 22:39:17.120000,1080,1920,928,322
2022-10-15 22:39:17.140000,1080,1920,925,324
2022-10-15 22:39:17.150000,1080,1920,921,312
2022-10-15 22:39:17.170000,1080,1920,920,299
2022-10-15 22:39:17.190000,1080,1920,925,300
2022-10-15 22:39:17.210000,1080,1920,923,306
2022-10-15 22:39:17.220000,1080,1920,919,309
2022-10-15 22:39:17.240000,1080,1920,920,313
2022-10-15 22:39:17.250000,1080,1920,922,316
2022-10-15 22:39:17.270000,1080,1920,920,318
2022-10-15 22:39:17.290000,1080,1920,920,312
2022-10-15 22:39:17.300000,1080,1920,924,312
2022-10-15 22:39:17.320000,1080,1920,925,317
2022-10-15 22:39:17.340000,1080,1920,928,319
2022-10-15 22:39:17.360000,1080,1920,929,319
2022-10-15 22:39:17.370000,1080,1920,928,316
2022-10-15 22:39:17.390000,1080,1920,929,300
2022-10-15 22:39:17.400000,1080,1920,929,303
2022-10-15 22:39:17.420000,1080,1920,929,307
2022-10-15 22:39:17.440000,1080,1920,927,306
2022-10-15 22:39:17.460000,1080,1920,930,313
2022-10-15 22:39:17.470000,1080,1920,930,315
2022-10-15 22:39:17.490000,1080,1920,927,317
2022-10-15 22:39:17.500000,1080,1920,930,314
2022-10-15 22:39:17.520000,1080,1920,935,304
2022-10-15 22:39:17.540000,1080,1920,927,302
2022-10-15 22:39:17.560000,1080,1920,923,312
2022-10-15 22:39:17.570000,1080,1920,927,315
2022-10-15 22:39:17.590000,1080,1920,928,317
2022-10-15 22:39:17.610000,1080,1920,931,319
2022-10-15 22:39:17.620000,1080,1920,933,314
2022-10-15 22:39:17.640000,1080,1920,933,305
2022-10-15 22:39:17.650000,1080,1920,934,301
2022-10-15 22:39:17.670000,1080,1920,932,306
2022-10-15 22:39:17.690000,1080,1920,931,312
2022-10-15 22:39:17.710000,1080,1920,931,314
2022-10-15 22:39:17.720000,1080,1920,928,306
2022-10-15 22:39:17.740000,1080,1920,929,306
2022-10-15 22:39:17.750000,1080,1920,924,317
2022-10-15 22:39:17.770000,1080,1920,923,318
2022-10-15 22:39:17.790000,1080,1920,924,313
2022-10-15 22:39:17.800000,1080,1920,925,309
2022-10-15 22:39:17.820000,1080,1920,923,309
2022-10-15 22:39:17.840000,1080,1920,923,309
2022-10-15 22:39:17.860000,1080,1920,924,309
2022-10-15 22:39:17.870000,1080,1920,921,303
2022-10-15 22:39:17.890000,1080,1920,922,302
2022-10-15 22:39:17.900000,1080,1920,920,311
2022-10-15 22:39:17.920000,1080,1920,925,310
2022-10-15 22:39:17.940000,1080,1920,927,306
2022-10-15 22:39:17.960000,1080,1920,921,301
2022-10-15 22:39:17.970000,1080,1920,924,300
2022-10-15 22:39:17.990000,1080,1920,928,310
2022-10-15 22:39:18,1080,1920,924,314
2022-10-15 22:39:18.020000,1080,1920,923,305
2022-10-15 22:39:18.040000,1080,1920,930,301
2022-10-15 22:39:18.060000,1080,1920,930,306
2022-10-15 22:39:18.070000,1080,1920,928,308
2022-10-15 22:39:18.090000,1080,1920,923,315
2022-10-15 22:39:18.110000,1080,1920,923,311
2022-10-15 22:39:18.120000,1080,1920,926,305
2022-10-15 22:39:18.140000,1080,1920,926,299
2022-10-15 22:39:18.150000,1080,1920,923,306
2022-10-15 22:39:18.170000,1080,1920,922,314
2022-10-15 22:39:18.190000,1080,1920,923,310
2022-10-15 22:39:18.210000,1080,1920,921,305
2022-10-15 22:39:18.220000,1080,1920,919,301
2022-10-15 22:39:18.240000,1080,1920,921,303
2022-10-15 22:39:18.250000,1080,1920,924,307
2022-10-15 22:39:18.270000,1080,1920,925,306
2022-10-15 22:39:18.290000,1080,1920,925,308
2022-10-15 22:39:18.300000,1080,1920,923,312
2022-10-15 22:39:18.320000,1080,1920,925,312
2022-10-15 22:39:18.340000,1080,1920,923,311
2022-10-15 22:39:18.350000,1080,1920,926,309
2022-10-15 22:39:18.370000,1080,1920,925,310
2022-10-15 22:39:18.390000,1080,1920,921,304
2022-10-15 22:39:18.400000,1080,1920,924,305
2022-10-15 22:39:18.420000,1080,1920,927,300
2022-10-15 22:39:18.440000,1080,1920,926,302
2022-10-15 22:39:18.450000,1080,1920,924,310
2022-10-15 22:39:18.470000,1080,1920,922,306
2022-10-15 22:39:18.490000,1080,1920,924,297
2022-10-15 22:39:18.500000,1080,1920,929,301
2022-10-15 22:39:18.520000,1080,1920,925,304
2022-10-15 22:39:18.540000,1080,1920,920,301
2022-10-15 22:39:18.550000,1080,1920,924,303
2022-10-15 22:39:18.570000,1080,1920,926,301
