time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:39:34.760000,1080,1920,714,320
2022-10-15 22:39:34.780000,1080,1920,712,319
2022-10-15 22:39:34.790000,1080,1920,712,319
2022-10-15 22:39:34.810000,1080,1920,711,317
2022-10-15 22:39:34.830000,1080,1920,710,315
2022-10-15 22:39:34.840000,1080,1920,711,335
2022-10-15 22:39:34.860000,1080,1920,700,330
2022-10-15 22:39:34.880000,1080,1920,705,318
2022-10-15 22:39:34.890000,1080,1920,718,313
2022-10-15 22:39:34.910000,1080,1920,652,391
2022-10-15 22:39:35.030000,1080,1920,935,457
2022-10-15 22:39:35.040000,1080,1920,947,462
2022-10-15 22:39:35.080000,1080,1920,941,336
2022-10-15 22:39:35.090000,1080,1920,939,366
2022-10-15 22:39:35.110000,1080,1920,940,364
2022-10-15 22:39:35.130000,1080,1920,936,362
2022-10-15 22:39:35.140000,1080,1920,937,357
2022-10-15 22:39:35.160000,1080,1920,938,358
2022-10-15 22:39:35.180000,1080,1920,939,355
2022-10-15 22:39:35.190000,1080,1920,938,354
2022-10-15 22:39:35.210000,1080,1920,937,356
2022-10-15 22:39:35.230000,1080,1920,937,365
2022-10-15 22:39:35.240000,1080,1920,936,371
2022-10-15 22:39:35.260000,1080,1920,939,372
2022-10-15 22:39:35.280000,1080,1920,936,373
2022-10-15 22:39:35.290000,1080,1920,934,372
2022-10-15 22:39:35.310000,1080,1920,933,373
2022-10-15 22:39:35.330000,1080,1920,931,368
2022-10-15 22:39:35.340000,1080,1920,931,367
2022-10-15 22:39:35.360000,1080,1920,932,369
2022-10-15 22:39:35.380000,1080,1920,928,374
2022-10-15 22:39:35.390000,1080,1920,931,373
2022-10-15 22:39:35.410000,1080,1920,930,364
2022-10-15 22:39:35.430000,1080,1920,932,364
2022-10-15 22:39:35.440000,1080,1920,934,366
2022-10-15 22:39:35.460000,1080,1920,935,369
2022-10-15 22:39:35.480000,1080,1920,936,374
2022-10-15 22:39:35.490000,1080,1920,933,372
2022-10-15 22:39:35.510000,1080,1920,936,368
2022-10-15 22:39:35.530000,1080,1920,938,370
2022-10-15 22:39:35.540000,1080,1920,938,366
2022-10-15 22:39:35.560000,1080,1920,931,365
2022-10-15 22:39:35.580000,1080,1920,928,372
2022-10-15 22:39:35.590000,1080,1920,931,372
2022-10-15 22:39:35.610000,1080,1920,926,371
2022-10-15 22:39:35.620000,1080,1920,929,371
2022-10-15 22:39:35.640000,1080,1920,925,371
2022-10-15 22:39:35.660000,1080,1920,923,370
2022-10-15 22:39:35.680000,1080,1920,930,368
2022-10-15 22:39:35.690000,1080,1920,931,366
2022-10-15 22:39:35.710000,1080,1920,933,366
2022-10-15 22:39:35.720000,1080,1920,934,367
2022-10-15 22:39:35.740000,1080,1920,934,370
2022-10-15 22:39:35.760000,1080,1920,934,372
2022-10-15 22:39:35.770000,1080,1920,932,374
2022-10-15 22:39:35.790000,1080,1920,930,372
2022-10-15 22:39:35.810000,1080,1920,931,373
2022-10-15 22:39:35.830000,1080,1920,931,372
2022-10-15 22:39:35.840000,1080,1920,932,370
2022-10-15 22:39:35.860000,1080,1920,931,367
2022-10-15 22:39:35.870000,1080,1920,929,368
2022-10-15 22:39:35.890000,1080,1920,928,372
2022-10-15 22:39:35.910000,1080,1920,931,373
2022-10-15 22:39:35.930000,1080,1920,927,375
2022-10-15 22:39:35.940000,1080,1920,929,375
2022-10-15 22:39:35.960000,1080,1920,938,377
2022-10-15 22:39:35.970000,1080,1920,932,380
2022-10-15 22:39:35.990000,1080,1920,925,375
2022-10-15 22:39:36.010000,1080,1920,929,377
2022-10-15 22:39:36.020000,1080,1920,929,378
2022-10-15 22:39:36.040000,1080,1920,927,380
2022-10-15 22:39:36.060000,1080,1920,929,382
2022-10-15 22:39:36.080000,1080,1920,926,388
2022-10-15 22:39:36.090000,1080,1920,923,390
2022-10-15 22:39:36.110000,1080,1920,922,378
2022-10-15 22:39:36.120000,1080,1920,923,372
2022-10-15 22:39:36.140000,1080,1920,926,372
2022-10-15 22:39:36.160000,1080,1920,928,375
2022-10-15 22:39:36.180000,1080,1920,924,382
2022-10-15 22:39:36.190000,1080,1920,920,383
2022-10-15 22:39:36.210000,1080,1920,921,367
2022-10-15 22:39:36.220000,1080,1920,924,370
2022-10-15 22:39:36.240000,1080,1920,922,383
2022-10-15 22:39:36.260000,1080,1920,921,382
2022-10-15 22:39:36.270000,1080,1920,922,368
2022-10-15 22:39:36.290000,1080,1920,923,369
2022-10-15 22:39:36.310000,1080,1920,925,379
2022-10-15 22:39:36.330000,1080,1920,923,376
2022-10-15 22:39:36.340000,1080,1920,925,367
2022-10-15 22:39:36.360000,1080,1920,927,368
2022-10-15 22:39:36.370000,1080,1920,927,384
2022-10-15 22:39:36.390000,1080,1920,926,391
2022-10-15 22:39:36.410000,1080,1920,925,377
2022-10-15 22:39:36.430000,1080,1920,925,367
2022-10-15 22:39:36.440000,1080,1920,921,377
2022-10-15 22:39:36.460000,1080,1920,918,377
2022-10-15 22:39:36.470000,1080,1920,921,372
2022-10-15 22:39:36.490000,1080,1920,924,377
2022-10-15 22:39:36.510000,1080,1920,921,387
2022-10-15 22:39:36.520000,1080,1920,916,385
2022-10-15 22:39:36.540000,1080,1920,916,386
2022-10-15 22:39:36.560000,1080,1920,921,383
2022-10-15 22:39:36.580000,1080,1920,919,382
2022-10-15 22:39:36.590000,1080,1920,917,385
2022-10-15 22:39:36.610000,1080,1920,916,389
2022-10-15 22:39:36.620000,1080,1920,921,394
2022-10-15 22:39:36.640000,1080,1920,920,395
2022-10-15 22:39:36.660000,1080,1920,916,388
2022-10-15 22:39:36.680000,1080,1920,915,388
2022-10-15 22:39:36.690000,1080,1920,921,392
2022-10-15 22:39:36.710000,1080,1920,922,380
2022-10-15 22:39:36.720000,1080,1920,917,382
2022-10-15 22:39:36.740000,1080,1920,916,395
2022-10-15 22:39:36.760000,1080,1920,915,393
2022-10-15 22:39:36.770000,1080,1920,912,396
2022-10-15 22:39:36.790000,1080,1920,912,396
2022-10-15 22:39:36.810000,1080,1920,916,396
2022-10-15 22:39:36.830000,1080,1920,917,396
2022-10-15 22:39:36.840000,1080,1920,916,391
2022-10-15 22:39:36.860000,1080,1920,917,390
2022-10-15 22:39:36.870000,1080,1920,916,392
2022-10-15 22:39:36.890000,1080,1920,914,398
2022-10-15 22:39:36.910000,1080,1920,916,401
2022-10-15 22:39:36.930000,1080,1920,916,400
2022-10-15 22:39:36.940000,1080,1920,918,398
2022-10-15 22:39:36.960000,1080,1920,922,394
2022-10-15 22:39:36.970000,1080,1920,918,400
2022-10-15 22:39:36.990000,1080,1920,915,398
2022-10-15 22:39:37.010000,1080,1920,916,392
2022-10-15 22:39:37.020000,1080,1920,913,398
2022-10-15 22:39:37.040000,1080,1920,917,401
2022-10-15 22:39:37.060000,1080,1920,918,399
2022-10-15 22:39:37.070000,1080,1920,915,399
2022-10-15 22:39:37.090000,1080,1920,912,399
2022-10-15 22:39:37.110000,1080,1920,916,403
2022-10-15 22:39:37.120000,1080,1920,919,404
2022-10-15 22:39:37.140000,1080,1920,920,402
2022-10-15 22:39:37.160000,1080,1920,921,400
2022-10-15 22:39:37.170000,1080,1920,920,386
2022-10-15 22:39:37.190000,1080,1920,921,387
