time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:39:40.770000,1080,1920,966,390
2022-10-15 22:39:40.790000,1080,1920,965,381
2022-10-15 22:39:40.800000,1080,1920,968,381
2022-10-15 22:39:40.820000,1080,1920,974,387
2022-10-15 22:39:40.840000,1080,1920,969,391
2022-10-15 22:39:40.860000,1080,1920,971,388
2022-10-15 22:39:41.110000,1080,1920,990,357
2022-10-15 22:39:41.120000,1080,1920,993,356
2022-10-15 22:39:41.140000,1080,1920,997,368
2022-10-15 22:39:41.150000,1080,1920,996,375
2022-10-15 22:39:41.370000,1080,1920,964,387
2022-10-15 22:39:41.390000,1080,1920,965,408
2022-10-15 22:39:41.400000,1080,1920,963,365
2022-10-15 22:39:41.460000,1080,1920,970,356
2022-10-15 22:39:41.470000,1080,1920,970,355
2022-10-15 22:39:41.490000,1080,1920,967,354
2022-10-15 22:39:41.500000,1080,1920,972,355
2022-10-15 22:39:41.520000,1080,1920,974,357
2022-10-15 22:39:41.540000,1080,1920,977,354
2022-10-15 22:39:41.560000,1080,1920,974,356
2022-10-15 22:39:41.570000,1080,1920,975,359
2022-10-15 22:39:41.590000,1080,1920,977,360
2022-10-15 22:39:41.600000,1080,1920,979,357
2022-10-15 22:39:41.620000,1080,1920,996,363
2022-10-15 22:39:41.640000,1080,1920,1019,366
2022-10-15 22:39:41.650000,1080,1920,1019,365
2022-10-15 22:39:41.670000,1080,1920,1025,359
2022-10-15 22:39:41.690000,1080,1920,1023,363
2022-10-15 22:39:41.700000,1080,1920,1017,376
2022-10-15 22:39:41.720000,1080,1920,1019,374
2022-10-15 22:39:41.770000,1080,1920,1023,366
2022-10-15 22:39:41.790000,1080,1920,1025,364
2022-10-15 22:39:41.800000,1080,1920,1021,366
2022-10-15 22:39:41.820000,1080,1920,1019,368
2022-10-15 22:39:41.840000,1080,1920,1016,372
2022-10-15 22:39:41.850000,1080,1920,957,474
2022-10-15 22:39:41.870000,1080,1920,966,486
2022-10-15 22:39:41.890000,1080,1920,968,495
2022-10-15 22:39:41.900000,1080,1920,974,492
2022-10-15 22:39:41.920000,1080,1920,972,490
2022-10-15 22:39:41.940000,1080,1920,968,491
2022-10-15 22:39:41.950000,1080,1920,969,495
2022-10-15 22:39:41.970000,1080,1920,970,500
2022-10-15 22:39:41.990000,1080,1920,972,494
2022-10-15 22:39:42,1080,1920,970,488
2022-10-15 22:39:42.020000,1080,1920,970,488
2022-10-15 22:39:42.040000,1080,1920,968,487
2022-10-15 22:39:42.050000,1080,1920,965,488
2022-10-15 22:39:42.070000,1080,1920,966,490
2022-10-15 22:39:42.090000,1080,1920,967,493
2022-10-15 22:39:42.100000,1080,1920,963,498
2022-10-15 22:39:42.120000,1080,1920,962,500
2022-10-15 22:39:42.140000,1080,1920,963,504
2022-10-15 22:39:42.150000,1080,1920,963,494
2022-10-15 22:39:42.170000,1080,1920,955,485
2022-10-15 22:39:42.190000,1080,1920,948,484
2022-10-15 22:39:42.200000,1080,1920,955,493
2022-10-15 22:39:42.220000,1080,1920,954,500
2022-10-15 22:39:42.240000,1080,1920,934,479
2022-10-15 22:39:42.250000,1080,1920,930,462
2022-10-15 22:39:42.270000,1080,1920,935,460
2022-10-15 22:39:42.290000,1080,1920,933,467
2022-10-15 22:39:42.300000,1080,1920,937,459
2022-10-15 22:39:42.320000,1080,1920,937,461
2022-10-15 22:39:42.340000,1080,1920,936,469
2022-10-15 22:39:42.350000,1080,1920,938,461
2022-10-15 22:39:42.370000,1080,1920,969,386
2022-10-15 22:39:42.390000,1080,1920,985,342
2022-10-15 22:39:42.400000,1080,1920,983,318
2022-10-15 22:39:42.420000,1080,1920,985,313
2022-10-15 22:39:42.440000,1080,1920,989,307
2022-10-15 22:39:42.450000,1080,1920,988,318
2022-10-15 22:39:42.470000,1080,1920,985,310
2022-10-15 22:39:42.490000,1080,1920,983,311
2022-10-15 22:39:42.500000,1080,1920,985,310
2022-10-15 22:39:42.520000,1080,1920,982,311
2022-10-15 22:39:42.540000,1080,1920,982,316
2022-10-15 22:39:42.550000,1080,1920,982,308
2022-10-15 22:39:42.570000,1080,1920,972,306
2022-10-15 22:39:42.590000,1080,1920,974,331
2022-10-15 22:39:42.600000,1080,1920,983,320
2022-10-15 22:39:42.620000,1080,1920,979,314
2022-10-15 22:39:42.640000,1080,1920,933,292
2022-10-15 22:39:42.650000,1080,1920,916,285
2022-10-15 22:39:42.670000,1080,1920,909,292
2022-10-15 22:39:42.690000,1080,1920,923,289
2022-10-15 22:39:42.700000,1080,1920,927,297
2022-10-15 22:39:42.740000,1080,1920,912,289
2022-10-15 22:39:42.750000,1080,1920,912,287
2022-10-15 22:39:42.770000,1080,1920,902,294
2022-10-15 22:39:42.790000,1080,1920,902,297
2022-10-15 22:39:42.800000,1080,1920,905,294
2022-10-15 22:39:42.820000,1080,1920,904,287
2022-10-15 22:39:42.840000,1080,1920,901,285
2022-10-15 22:39:42.850000,1080,1920,897,281
2022-10-15 22:39:42.870000,1080,1920,876,288
2022-10-15 22:39:42.890000,1080,1920,874,289
2022-10-15 22:39:42.900000,1080,1920,889,284
2022-10-15 22:39:42.920000,1080,1920,890,282
2022-10-15 22:39:42.940000,1080,1920,889,285
2022-10-15 22:39:42.950000,1080,1920,885,289
2022-10-15 22:39:42.970000,1080,1920,890,289
2022-10-15 22:39:42.990000,1080,1920,895,289
2022-10-15 22:39:43,1080,1920,927,300
2022-10-15 22:39:43.020000,1080,1920,967,307
2022-10-15 22:39:43.040000,1080,1920,1006,315
2022-10-15 22:39:43.050000,1080,1920,1008,317
2022-10-15 22:39:43.070000,1080,1920,1011,332
2022-10-15 22:39:43.090000,1080,1920,1011,336
2022-10-15 22:39:43.100000,1080,1920,1007,328
2022-10-15 22:39:43.120000,1080,1920,1009,330
2022-10-15 22:39:43.140000,1080,1920,1009,324
2022-10-15 22:39:43.150000,1080,1920,1011,317
2022-10-15 22:39:43.170000,1080,1920,987,345
2022-10-15 22:39:43.190000,1080,1920,965,374
2022-10-15 22:39:43.200000,1080,1920,961,399
2022-10-15 22:39:43.220000,1080,1920,959,400
