time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:39:52.900000,1080,1920,1150,701
2022-10-15 22:39:52.930000,1080,1920,1052,500
2022-10-15 22:39:52.950000,1080,1920,1051,494
2022-10-15 22:39:52.960000,1080,1920,1061,482
2022-10-15 22:39:52.980000,1080,1920,1062,491
2022-10-15 22:39:53,1080,1920,1065,495
2022-10-15 22:39:53.010000,1080,1920,1064,491
2022-10-15 22:39:53.030000,1080,1920,1063,491
2022-10-15 22:39:53.050000,1080,1920,1062,493
2022-10-15 22:39:53.060000,1080,1920,1065,500
2022-10-15 22:39:53.080000,1080,1920,1061,487
2022-10-15 22:39:53.100000,1080,1920,978,500
2022-10-15 22:39:53.110000,1080,1920,950,520
2022-10-15 22:39:53.130000,1080,1920,787,558
2022-10-15 22:39:53.150000,1080,1920,777,550
2022-10-15 22:39:53.160000,1080,1920,764,512
2022-10-15 22:39:53.180000,1080,1920,765,509
2022-10-15 22:39:53.200000,1080,1920,773,522
2022-10-15 22:39:53.210000,1080,1920,787,522
2022-10-15 22:39:53.380000,1080,1920,640,604
2022-10-15 22:39:53.400000,1080,1920,823,580
2022-10-15 22:39:53.410000,1080,1920,841,554
2022-10-15 22:39:53.430000,1080,1920,857,511
2022-10-15 22:39:53.450000,1080,1920,837,518
2022-10-15 22:39:53.460000,1080,1920,834,507
2022-10-15 22:39:53.480000,1080,1920,879,511
2022-10-15 22:39:53.500000,1080,1920,992,533
2022-10-15 22:39:53.510000,1080,1920,1094,560
2022-10-15 22:39:53.530000,1080,1920,1109,544
2022-10-15 22:39:53.550000,1080,1920,1109,543
2022-10-15 22:39:53.560000,1080,1920,1112,540
2022-10-15 22:39:53.580000,1080,1920,1113,538
2022-10-15 22:39:53.600000,1080,1920,1109,544
2022-10-15 22:39:53.610000,1080,1920,1113,546
2022-10-15 22:39:53.630000,1080,1920,1114,547
2022-10-15 22:39:53.650000,1080,1920,1113,546
2022-10-15 22:39:53.660000,1080,1920,1112,551
2022-10-15 22:39:53.680000,1080,1920,1113,561
2022-10-15 22:39:53.700000,1080,1920,1110,564
2022-10-15 22:39:53.710000,1080,1920,1109,558
2022-10-15 22:39:53.730000,1080,1920,1110,558
2022-10-15 22:39:53.750000,1080,1920,1109,561
2022-10-15 22:39:53.760000,1080,1920,1112,562
2022-10-15 22:39:53.780000,1080,1920,1111,562
2022-10-15 22:39:53.800000,1080,1920,1111,564
2022-10-15 22:39:53.810000,1080,1920,1113,564
2022-10-15 22:39:53.830000,1080,1920,1113,562
2022-10-15 22:39:53.850000,1080,1920,1111,561
2022-10-15 22:39:53.860000,1080,1920,1108,562
2022-10-15 22:39:53.880000,1080,1920,1112,556
2022-10-15 22:39:53.900000,1080,1920,1091,575
2022-10-15 22:39:53.910000,1080,1920,1083,582
2022-10-15 22:39:53.960000,1080,1920,869,821
2022-10-15 22:39:53.980000,1080,1920,862,818
2022-10-15 22:39:54,1080,1920,865,815
2022-10-15 22:39:54.010000,1080,1920,863,818
2022-10-15 22:39:54.030000,1080,1920,864,821
2022-10-15 22:39:54.050000,1080,1920,864,817
2022-10-15 22:39:54.060000,1080,1920,852,814
2022-10-15 22:39:54.080000,1080,1920,853,815
2022-10-15 22:39:54.100000,1080,1920,862,815
2022-10-15 22:39:54.110000,1080,1920,863,819
2022-10-15 22:39:54.130000,1080,1920,810,709
2022-10-15 22:39:54.150000,1080,1920,793,645
2022-10-15 22:39:54.160000,1080,1920,792,584
2022-10-15 22:39:54.180000,1080,1920,787,573
2022-10-15 22:39:54.190000,1080,1920,790,567
2022-10-15 22:39:54.210000,1080,1920,791,571
2022-10-15 22:39:54.230000,1080,1920,788,568
2022-10-15 22:39:54.240000,1080,1920,788,569
2022-10-15 22:39:54.260000,1080,1920,788,572
2022-10-15 22:39:54.280000,1080,1920,791,575
2022-10-15 22:39:54.300000,1080,1920,790,576
2022-10-15 22:39:54.310000,1080,1920,789,573
2022-10-15 22:39:54.330000,1080,1920,772,561
2022-10-15 22:39:54.340000,1080,1920,753,552
2022-10-15 22:39:54.360000,1080,1920,744,539
2022-10-15 22:39:54.380000,1080,1920,748,540
2022-10-15 22:39:54.400000,1080,1920,744,543
2022-10-15 22:39:54.410000,1080,1920,744,545
