time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:39:58.840000,1080,1920,999,496
2022-10-15 22:39:58.860000,1080,1920,1006,496
2022-10-15 22:39:58.870000,1080,1920,1006,494
2022-10-15 22:39:58.889000,1080,1920,1004,493
2022-10-15 22:39:58.910000,1080,1920,1005,494
2022-10-15 22:39:58.930000,1080,1920,1006,498
2022-10-15 22:39:58.940000,1080,1920,1011,496
2022-10-15 22:39:58.959000,1080,1920,1000,529
2022-10-15 22:39:58.980000,1080,1920,997,562
2022-10-15 22:39:59.090000,1080,1920,1296,707
2022-10-15 22:39:59.110000,1080,1920,1296,707
2022-10-15 22:39:59.120000,1080,1920,1191,494
2022-10-15 22:39:59.139000,1080,1920,1189,488
2022-10-15 22:39:59.160000,1080,1920,1189,444
2022-10-15 22:39:59.180000,1080,1920,1192,426
2022-10-15 22:39:59.190000,1080,1920,1198,455
2022-10-15 22:39:59.209000,1080,1920,1200,454
2022-10-15 22:39:59.230000,1080,1920,1198,441
2022-10-15 22:39:59.240000,1080,1920,1197,443
2022-10-15 22:39:59.259000,1080,1920,1083,429
2022-10-15 22:39:59.280000,1080,1920,1027,432
2022-10-15 22:39:59.290000,1080,1920,1012,430
2022-10-15 22:39:59.310000,1080,1920,1010,428
2022-10-15 22:39:59.320000,1080,1920,1004,426
2022-10-15 22:39:59.340000,1080,1920,1001,422
2022-10-15 22:39:59.360000,1080,1920,998,420
2022-10-15 22:39:59.370000,1080,1920,1001,422
2022-10-15 22:39:59.389000,1080,1920,1002,417
2022-10-15 22:39:59.410000,1080,1920,1022,421
2022-10-15 22:39:59.430000,1080,1920,1059,418
2022-10-15 22:39:59.440000,1080,1920,1303,448
2022-10-15 22:39:59.459000,1080,1920,1293,456
2022-10-15 22:39:59.480000,1080,1920,1294,459
2022-10-15 22:39:59.490000,1080,1920,1292,460
2022-10-15 22:39:59.509000,1080,1920,1294,462
2022-10-15 22:39:59.530000,1080,1920,1293,458
2022-10-15 22:39:59.540000,1080,1920,1291,450
2022-10-15 22:39:59.560000,1080,1920,1291,450
2022-10-15 22:39:59.570000,1080,1920,1291,450
2022-10-15 22:39:59.590000,1080,1920,1294,447
2022-10-15 22:39:59.610000,1080,1920,1296,448
