time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:40:04.840000,1080,1920,961,375
2022-10-15 22:40:04.860000,1080,1920,959,372
2022-10-15 22:40:04.870000,1080,1920,961,376
2022-10-15 22:40:04.890000,1080,1920,967,392
2022-10-15 22:40:04.900000,1080,1920,962,387
2022-10-15 22:40:04.920000,1080,1920,958,388
2022-10-15 22:40:04.940000,1080,1920,950,370
2022-10-15 22:40:04.950000,1080,1920,920,324
2022-10-15 22:40:04.970000,1080,1920,917,318
2022-10-15 22:40:04.990000,1080,1920,921,317
2022-10-15 22:40:05,1080,1920,921,324
2022-10-15 22:40:05.020000,1080,1920,926,319
2022-10-15 22:40:05.040000,1080,1920,924,315
2022-10-15 22:40:05.050000,1080,1920,924,319
2022-10-15 22:40:05.070000,1080,1920,925,315
2022-10-15 22:40:05.090000,1080,1920,923,317
2022-10-15 22:40:05.100000,1080,1920,923,316
2022-10-15 22:40:05.120000,1080,1920,920,319
2022-10-15 22:40:05.140000,1080,1920,923,322
2022-10-15 22:40:05.150000,1080,1920,926,325
2022-10-15 22:40:05.170000,1080,1920,926,328
2022-10-15 22:40:05.190000,1080,1920,922,323
2022-10-15 22:40:05.200000,1080,1920,921,320
2022-10-15 22:40:05.220000,1080,1920,934,308
2022-10-15 22:40:05.240000,1080,1920,939,305
2022-10-15 22:40:05.250000,1080,1920,936,309
2022-10-15 22:40:05.270000,1080,1920,933,306
2022-10-15 22:40:05.290000,1080,1920,932,298
2022-10-15 22:40:05.300000,1080,1920,937,298
2022-10-15 22:40:05.320000,1080,1920,942,302
2022-10-15 22:40:05.340000,1080,1920,935,305
2022-10-15 22:40:05.350000,1080,1920,936,301
2022-10-15 22:40:05.370000,1080,1920,937,293
2022-10-15 22:40:05.390000,1080,1920,932,295
2022-10-15 22:40:05.400000,1080,1920,936,306
2022-10-15 22:40:05.420000,1080,1920,935,303
2022-10-15 22:40:05.440000,1080,1920,936,296
2022-10-15 22:40:05.450000,1080,1920,940,290
2022-10-15 22:40:05.470000,1080,1920,939,293
2022-10-15 22:40:05.490000,1080,1920,935,297
2022-10-15 22:40:05.500000,1080,1920,935,299
2022-10-15 22:40:05.520000,1080,1920,937,303
2022-10-15 22:40:05.540000,1080,1920,935,301
2022-10-15 22:40:05.550000,1080,1920,937,298
2022-10-15 22:40:05.570000,1080,1920,936,299
2022-10-15 22:40:05.590000,1080,1920,933,298
2022-10-15 22:40:05.600000,1080,1920,931,301
2022-10-15 22:40:05.620000,1080,1920,931,308
2022-10-15 22:40:05.640000,1080,1920,937,307
2022-10-15 22:40:05.650000,1080,1920,937,307
2022-10-15 22:40:05.670000,1080,1920,933,298
2022-10-15 22:40:05.690000,1080,1920,935,295
2022-10-15 22:40:05.700000,1080,1920,937,305
2022-10-15 22:40:05.720000,1080,1920,936,308
2022-10-15 22:40:05.740000,1080,1920,932,305
2022-10-15 22:40:05.750000,1080,1920,932,295
2022-10-15 22:40:05.770000,1080,1920,910,303
2022-10-15 22:40:05.790000,1080,1920,862,315
2022-10-15 22:40:05.800000,1080,1920,860,319
2022-10-15 22:40:05.820000,1080,1920,862,322
2022-10-15 22:40:05.840000,1080,1920,863,310
2022-10-15 22:40:05.850000,1080,1920,861,307
2022-10-15 22:40:05.870000,1080,1920,861,311
2022-10-15 22:40:05.890000,1080,1920,859,311
2022-10-15 22:40:05.900000,1080,1920,855,310
2022-10-15 22:40:05.920000,1080,1920,854,304
2022-10-15 22:40:05.940000,1080,1920,859,309
2022-10-15 22:40:05.950000,1080,1920,860,318
2022-10-15 22:40:05.970000,1080,1920,855,337
2022-10-15 22:40:05.990000,1080,1920,841,351
2022-10-15 22:40:06,1080,1920,837,351
2022-10-15 22:40:06.020000,1080,1920,837,353
2022-10-15 22:40:06.040000,1080,1920,835,342
2022-10-15 22:40:06.050000,1080,1920,840,357
2022-10-15 22:40:06.070000,1080,1920,840,359
2022-10-15 22:40:06.090000,1080,1920,841,362
2022-10-15 22:40:06.100000,1080,1920,843,363
2022-10-15 22:40:06.120000,1080,1920,881,376
2022-10-15 22:40:06.140000,1080,1920,940,381
2022-10-15 22:40:06.150000,1080,1920,936,382
2022-10-15 22:40:06.170000,1080,1920,934,379
2022-10-15 22:40:06.190000,1080,1920,935,372
2022-10-15 22:40:06.200000,1080,1920,933,376
2022-10-15 22:40:06.220000,1080,1920,927,379
2022-10-15 22:40:06.240000,1080,1920,928,383
2022-10-15 22:40:06.250000,1080,1920,929,380
2022-10-15 22:40:06.270000,1080,1920,927,377
2022-10-15 22:40:06.290000,1080,1920,927,371
2022-10-15 22:40:06.300000,1080,1920,930,372
2022-10-15 22:40:06.320000,1080,1920,933,373
2022-10-15 22:40:06.340000,1080,1920,932,374
2022-10-15 22:40:06.350000,1080,1920,930,373
2022-10-15 22:40:06.370000,1080,1920,933,373
2022-10-15 22:40:06.390000,1080,1920,938,365
2022-10-15 22:40:06.400000,1080,1920,938,367
2022-10-15 22:40:06.420000,1080,1920,936,377
2022-10-15 22:40:06.440000,1080,1920,932,375
2022-10-15 22:40:06.450000,1080,1920,934,367
2022-10-15 22:40:06.470000,1080,1920,935,365
2022-10-15 22:40:06.490000,1080,1920,932,377
2022-10-15 22:40:06.500000,1080,1920,934,378
2022-10-15 22:40:06.520000,1080,1920,937,379
2022-10-15 22:40:06.540000,1080,1920,937,381
2022-10-15 22:40:06.550000,1080,1920,939,371
2022-10-15 22:40:06.570000,1080,1920,937,367
2022-10-15 22:40:06.590000,1080,1920,938,378
2022-10-15 22:40:06.600000,1080,1920,942,386
2022-10-15 22:40:06.620000,1080,1920,940,383
2022-10-15 22:40:06.640000,1080,1920,920,382
2022-10-15 22:40:06.650000,1080,1920,819,362
2022-10-15 22:40:06.670000,1080,1920,797,352
2022-10-15 22:40:06.690000,1080,1920,818,346
2022-10-15 22:40:06.700000,1080,1920,820,345
2022-10-15 22:40:06.720000,1080,1920,821,355
2022-10-15 22:40:06.740000,1080,1920,819,359
2022-10-15 22:40:06.750000,1080,1920,815,364
2022-10-15 22:40:06.770000,1080,1920,815,371
2022-10-15 22:40:06.790000,1080,1920,819,369
2022-10-15 22:40:06.800000,1080,1920,820,362
2022-10-15 22:40:06.820000,1080,1920,817,350
2022-10-15 22:40:06.840000,1080,1920,818,352
2022-10-15 22:40:06.850000,1080,1920,820,359
2022-10-15 22:40:06.870000,1080,1920,821,357
2022-10-15 22:40:06.890000,1080,1920,838,343
2022-10-15 22:40:06.900000,1080,1920,871,326
2022-10-15 22:40:06.920000,1080,1920,926,297
2022-10-15 22:40:06.940000,1080,1920,926,294
2022-10-15 22:40:06.950000,1080,1920,921,299
2022-10-15 22:40:06.970000,1080,1920,923,299
