time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:40:16.850000,1080,1920,887,283
2022-10-15 22:40:16.860000,1080,1920,944,305
2022-10-15 22:40:16.880000,1080,1920,1071,341
2022-10-15 22:40:16.900000,1080,1920,1131,360
2022-10-15 22:40:16.910000,1080,1920,1144,351
2022-10-15 22:40:16.930000,1080,1920,1147,353
2022-10-15 22:40:16.950000,1080,1920,1143,362
2022-10-15 22:40:16.960000,1080,1920,1113,346
2022-10-15 22:40:17.150000,1080,1920,1040,635
2022-10-15 22:40:17.180000,1080,1920,1121,352
2022-10-15 22:40:17.200000,1080,1920,1113,341
2022-10-15 22:40:17.210000,1080,1920,1128,348
2022-10-15 22:40:17.230000,1080,1920,1138,361
2022-10-15 22:40:17.250000,1080,1920,1129,361
2022-10-15 22:40:17.260000,1080,1920,1130,364
2022-10-15 22:40:17.280000,1080,1920,1128,363
2022-10-15 22:40:17.300000,1080,1920,1125,366
2022-10-15 22:40:17.310000,1080,1920,1127,358
2022-10-15 22:40:17.330000,1080,1920,1127,360
2022-10-15 22:40:17.350000,1080,1920,1130,359
2022-10-15 22:40:17.360000,1080,1920,1131,361
2022-10-15 22:40:17.380000,1080,1920,1102,368
2022-10-15 22:40:17.400000,1080,1920,1091,361
2022-10-15 22:40:17.410000,1080,1920,837,363
2022-10-15 22:40:17.430000,1080,1920,838,364
2022-10-15 22:40:17.450000,1080,1920,843,367
2022-10-15 22:40:17.460000,1080,1920,843,367
2022-10-15 22:40:17.480000,1080,1920,844,351
2022-10-15 22:40:17.490000,1080,1920,841,357
2022-10-15 22:40:17.510000,1080,1920,839,355
2022-10-15 22:40:17.530000,1080,1920,842,353
2022-10-15 22:40:17.550000,1080,1920,839,367
2022-10-15 22:40:17.560000,1080,1920,836,368
2022-10-15 22:40:17.580000,1080,1920,839,365
2022-10-15 22:40:17.600000,1080,1920,836,369
2022-10-15 22:40:17.610000,1080,1920,833,368
2022-10-15 22:40:17.630000,1080,1920,839,371
2022-10-15 22:40:17.640000,1080,1920,839,370
2022-10-15 22:40:17.660000,1080,1920,816,357
2022-10-15 22:40:17.680000,1080,1920,741,383
2022-10-15 22:40:17.690000,1080,1920,744,392
2022-10-15 22:40:17.710000,1080,1920,741,387
2022-10-15 22:40:17.730000,1080,1920,737,379
2022-10-15 22:40:17.740000,1080,1920,737,374
2022-10-15 22:40:17.760000,1080,1920,738,369
2022-10-15 22:40:17.780000,1080,1920,731,373
2022-10-15 22:40:17.800000,1080,1920,732,378
2022-10-15 22:40:17.810000,1080,1920,740,374
2022-10-15 22:40:17.830000,1080,1920,735,374
2022-10-15 22:40:17.850000,1080,1920,734,375
2022-10-15 22:40:17.860000,1080,1920,741,380
2022-10-15 22:40:17.880000,1080,1920,733,378
2022-10-15 22:40:17.890000,1080,1920,733,374
2022-10-15 22:40:17.910000,1080,1920,739,378
2022-10-15 22:40:17.930000,1080,1920,1053,359
2022-10-15 22:40:17.940000,1080,1920,1069,363
2022-10-15 22:40:17.960000,1080,1920,1075,367
2022-10-15 22:40:17.980000,1080,1920,1076,366
2022-10-15 22:40:17.990000,1080,1920,1074,363
2022-10-15 22:40:18.010000,1080,1920,1080,360
2022-10-15 22:40:18.030000,1080,1920,1080,362
2022-10-15 22:40:18.050000,1080,1920,1080,367
2022-10-15 22:40:18.060000,1080,1920,1080,372
2022-10-15 22:40:18.080000,1080,1920,1080,373
2022-10-15 22:40:18.100000,1080,1920,1083,372
2022-10-15 22:40:18.110000,1080,1920,1081,372
2022-10-15 22:40:18.130000,1080,1920,1081,366
2022-10-15 22:40:18.140000,1080,1920,1077,369
2022-10-15 22:40:18.160000,1080,1920,1079,372
2022-10-15 22:40:18.180000,1080,1920,1076,371
2022-10-15 22:40:18.190000,1080,1920,1077,372
2022-10-15 22:40:18.210000,1080,1920,1078,376
2022-10-15 22:40:18.230000,1080,1920,1300,412
2022-10-15 22:40:18.240000,1080,1920,1303,400
2022-10-15 22:40:18.260000,1080,1920,1304,401
2022-10-15 22:40:18.280000,1080,1920,1309,396
2022-10-15 22:40:18.300000,1080,1920,1313,391
2022-10-15 22:40:18.310000,1080,1920,1307,397
2022-10-15 22:40:18.330000,1080,1920,1305,401
2022-10-15 22:40:18.350000,1080,1920,1310,401
2022-10-15 22:40:18.360000,1080,1920,1308,398
2022-10-15 22:40:18.380000,1080,1920,1308,398
2022-10-15 22:40:18.390000,1080,1920,1307,394
2022-10-15 22:40:18.410000,1080,1920,1302,386
2022-10-15 22:40:18.430000,1080,1920,1304,388
2022-10-15 22:40:18.440000,1080,1920,1302,393
2022-10-15 22:40:18.460000,1080,1920,1303,397
2022-10-15 22:40:18.480000,1080,1920,1304,400
2022-10-15 22:40:18.490000,1080,1920,1304,400
2022-10-15 22:40:18.510000,1080,1920,1306,401
2022-10-15 22:40:18.530000,1080,1920,1307,397
2022-10-15 22:40:18.550000,1080,1920,1303,395
2022-10-15 22:40:18.560000,1080,1920,1301,399
2022-10-15 22:40:18.580000,1080,1920,1304,400
2022-10-15 22:40:18.600000,1080,1920,1305,393
2022-10-15 22:40:18.610000,1080,1920,1308,390
2022-10-15 22:40:18.630000,1080,1920,1306,395
2022-10-15 22:40:18.640000,1080,1920,1307,401
2022-10-15 22:40:18.660000,1080,1920,1350,395
2022-10-15 22:40:18.680000,1080,1920,1409,397
2022-10-15 22:40:18.690000,1080,1920,1407,404
2022-10-15 22:40:18.710000,1080,1920,1417,393
2022-10-15 22:40:18.730000,1080,1920,1413,394
2022-10-15 22:40:18.740000,1080,1920,1406,401
2022-10-15 22:40:18.760000,1080,1920,1410,396
2022-10-15 22:40:18.780000,1080,1920,1417,397
2022-10-15 22:40:18.800000,1080,1920,1416,399
2022-10-15 22:40:18.810000,1080,1920,1422,415
2022-10-15 22:40:18.830000,1080,1920,1420,433
2022-10-15 22:40:18.850000,1080,1920,1419,488
2022-10-15 22:40:18.940000,1080,1920,1358,494
2022-10-15 22:40:18.960000,1080,1920,1345,442
2022-10-15 22:40:18.980000,1080,1920,1323,384
2022-10-15 22:40:18.990000,1080,1920,1319,373
2022-10-15 22:40:19.010000,1080,1920,1332,380
2022-10-15 22:40:19.030000,1080,1920,1333,385
2022-10-15 22:40:19.040000,1080,1920,1330,381
2022-10-15 22:40:19.060000,1080,1920,1331,382
2022-10-15 22:40:19.080000,1080,1920,1333,391
2022-10-15 22:40:19.090000,1080,1920,1332,393
2022-10-15 22:40:19.110000,1080,1920,1337,395
2022-10-15 22:40:19.130000,1080,1920,1338,394
2022-10-15 22:40:19.140000,1080,1920,1334,382
2022-10-15 22:40:19.160000,1080,1920,1332,381
2022-10-15 22:40:19.180000,1080,1920,1326,380
2022-10-15 22:40:19.190000,1080,1920,1326,379
2022-10-15 22:40:19.210000,1080,1920,1324,375
2022-10-15 22:40:19.230000,1080,1920,1326,376
2022-10-15 22:40:19.240000,1080,1920,1333,372
2022-10-15 22:40:19.260000,1080,1920,1322,377
2022-10-15 22:40:19.280000,1080,1920,1212,380
2022-10-15 22:40:19.290000,1080,1920,1160,374
2022-10-15 22:40:19.310000,1080,1920,1140,374
2022-10-15 22:40:19.330000,1080,1920,1139,377
2022-10-15 22:40:19.340000,1080,1920,1137,374
2022-10-15 22:40:19.360000,1080,1920,1134,372
