time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:40:22.980000,1080,1920,1047,458
2022-10-15 22:40:22.990000,1080,1920,1065,431
2022-10-15 22:40:23.010000,1080,1920,1064,405
2022-10-15 22:40:23.030000,1080,1920,1062,364
2022-10-15 22:40:23.040000,1080,1920,1069,326
2022-10-15 22:40:23.060000,1080,1920,1060,351
2022-10-15 22:40:23.070000,1080,1920,1060,347
2022-10-15 22:40:23.090000,1080,1920,1060,345
2022-10-15 22:40:23.110000,1080,1920,1066,359
2022-10-15 22:40:23.120000,1080,1920,1067,362
2022-10-15 22:40:23.140000,1080,1920,935,369
2022-10-15 22:40:23.160000,1080,1920,856,384
2022-10-15 22:40:23.180000,1080,1920,738,412
2022-10-15 22:40:23.190000,1080,1920,738,414
2022-10-15 22:40:23.210000,1080,1920,743,407
2022-10-15 22:40:23.230000,1080,1920,741,407
2022-10-15 22:40:23.240000,1080,1920,738,413
2022-10-15 22:40:23.260000,1080,1920,739,414
2022-10-15 22:40:23.280000,1080,1920,738,418
2022-10-15 22:40:23.290000,1080,1920,735,418
2022-10-15 22:40:23.310000,1080,1920,737,419
2022-10-15 22:40:23.320000,1080,1920,743,424
2022-10-15 22:40:23.340000,1080,1920,741,428
2022-10-15 22:40:23.360000,1080,1920,739,429
2022-10-15 22:40:23.370000,1080,1920,735,435
2022-10-15 22:40:23.390000,1080,1920,737,431
2022-10-15 22:40:23.410000,1080,1920,739,426
2022-10-15 22:40:23.430000,1080,1920,736,430
2022-10-15 22:40:23.440000,1080,1920,735,429
2022-10-15 22:40:23.460000,1080,1920,738,429
2022-10-15 22:40:23.480000,1080,1920,765,432
2022-10-15 22:40:23.490000,1080,1920,850,406
2022-10-15 22:40:23.510000,1080,1920,1020,361
2022-10-15 22:40:23.520000,1080,1920,1032,360
2022-10-15 22:40:23.540000,1080,1920,1024,353
2022-10-15 22:40:23.560000,1080,1920,1024,356
2022-10-15 22:40:23.570000,1080,1920,1034,348
2022-10-15 22:40:23.590000,1080,1920,1032,348
2022-10-15 22:40:23.610000,1080,1920,1032,350
2022-10-15 22:40:23.620000,1080,1920,1037,348
2022-10-15 22:40:23.640000,1080,1920,1034,344
2022-10-15 22:40:23.660000,1080,1920,1034,347
2022-10-15 22:40:23.670000,1080,1920,1036,357
2022-10-15 22:40:23.690000,1080,1920,1026,346
2022-10-15 22:40:23.710000,1080,1920,995,328
2022-10-15 22:40:23.720000,1080,1920,997,326
2022-10-15 22:40:23.740000,1080,1920,998,322
2022-10-15 22:40:23.760000,1080,1920,994,320
2022-10-15 22:40:23.770000,1080,1920,999,316
2022-10-15 22:40:23.790000,1080,1920,998,320
2022-10-15 22:40:23.810000,1080,1920,999,321
2022-10-15 22:40:23.820000,1080,1920,998,315
2022-10-15 22:40:23.840000,1080,1920,997,315
2022-10-15 22:40:23.860000,1080,1920,998,318
2022-10-15 22:40:23.870000,1080,1920,953,321
2022-10-15 22:40:23.890000,1080,1920,902,332
2022-10-15 22:40:23.910000,1080,1920,737,405
2022-10-15 22:40:23.920000,1080,1920,721,415
2022-10-15 22:40:23.940000,1080,1920,715,415
2022-10-15 22:40:23.960000,1080,1920,718,414
2022-10-15 22:40:23.970000,1080,1920,715,415
2022-10-15 22:40:23.990000,1080,1920,718,418
2022-10-15 22:40:24.010000,1080,1920,716,419
2022-10-15 22:40:24.020000,1080,1920,715,424
2022-10-15 22:40:24.040000,1080,1920,719,416
2022-10-15 22:40:24.060000,1080,1920,720,411
2022-10-15 22:40:24.070000,1080,1920,723,416
2022-10-15 22:40:24.090000,1080,1920,795,371
2022-10-15 22:40:24.110000,1080,1920,973,305
2022-10-15 22:40:24.120000,1080,1920,1004,310
2022-10-15 22:40:24.140000,1080,1920,1000,318
2022-10-15 22:40:24.160000,1080,1920,1001,319
2022-10-15 22:40:24.170000,1080,1920,1004,321
2022-10-15 22:40:24.190000,1080,1920,1001,324
2022-10-15 22:40:24.210000,1080,1920,1004,326
2022-10-15 22:40:24.220000,1080,1920,1004,322
2022-10-15 22:40:24.240000,1080,1920,999,317
2022-10-15 22:40:24.260000,1080,1920,1001,310
2022-10-15 22:40:24.270000,1080,1920,999,318
2022-10-15 22:40:24.290000,1080,1920,999,322
2022-10-15 22:40:24.310000,1080,1920,997,331
2022-10-15 22:40:24.320000,1080,1920,1031,335
2022-10-15 22:40:24.340000,1080,1920,1098,315
2022-10-15 22:40:24.360000,1080,1920,1105,321
2022-10-15 22:40:24.370000,1080,1920,1109,324
2022-10-15 22:40:24.390000,1080,1920,1101,319
2022-10-15 22:40:24.410000,1080,1920,1102,319
2022-10-15 22:40:24.420000,1080,1920,1107,318
2022-10-15 22:40:24.440000,1080,1920,1105,313
2022-10-15 22:40:24.460000,1080,1920,1105,313
2022-10-15 22:40:24.470000,1080,1920,1113,320
2022-10-15 22:40:24.490000,1080,1920,1108,321
2022-10-15 22:40:24.510000,1080,1920,1110,318
2022-10-15 22:40:24.520000,1080,1920,1111,315
2022-10-15 22:40:24.540000,1080,1920,1098,311
2022-10-15 22:40:24.560000,1080,1920,1250,439
2022-10-15 22:40:24.570000,1080,1920,1257,426
2022-10-15 22:40:24.590000,1080,1920,1260,424
2022-10-15 22:40:24.610000,1080,1920,1262,423
2022-10-15 22:40:24.620000,1080,1920,1258,429
2022-10-15 22:40:24.640000,1080,1920,1263,431
2022-10-15 22:40:24.660000,1080,1920,1260,428
2022-10-15 22:40:24.670000,1080,1920,1251,440
2022-10-15 22:40:24.690000,1080,1920,1256,442
2022-10-15 22:40:24.710000,1080,1920,1260,435
2022-10-15 22:40:24.720000,1080,1920,1261,434
2022-10-15 22:40:24.740000,1080,1920,1259,428
2022-10-15 22:40:24.760000,1080,1920,1239,433
2022-10-15 22:40:24.770000,1080,1920,1110,542
2022-10-15 22:40:24.790000,1080,1920,1109,547
2022-10-15 22:40:24.810000,1080,1920,1112,546
2022-10-15 22:40:24.820000,1080,1920,1112,546
2022-10-15 22:40:24.840000,1080,1920,1108,552
2022-10-15 22:40:24.860000,1080,1920,1101,549
2022-10-15 22:40:24.870000,1080,1920,1105,543
2022-10-15 22:40:24.890000,1080,1920,1113,548
2022-10-15 22:40:24.910000,1080,1920,1116,552
2022-10-15 22:40:24.920000,1080,1920,1111,552
2022-10-15 22:40:24.940000,1080,1920,1106,553
2022-10-15 22:40:24.960000,1080,1920,1110,553
2022-10-15 22:40:24.970000,1080,1920,1111,557
2022-10-15 22:40:24.990000,1080,1920,1105,556
2022-10-15 22:40:25.010000,1080,1920,1108,553
2022-10-15 22:40:25.020000,1080,1920,1108,556
2022-10-15 22:40:25.040000,1080,1920,1115,549
2022-10-15 22:40:25.060000,1080,1920,1114,545
2022-10-15 22:40:25.070000,1080,1920,1109,536
2022-10-15 22:40:25.090000,1080,1920,1110,538
2022-10-15 22:40:25.110000,1080,1920,1105,549
2022-10-15 22:40:25.120000,1080,1920,1110,548
2022-10-15 22:40:25.140000,1080,1920,1111,546
2022-10-15 22:40:25.160000,1080,1920,1107,543
2022-10-15 22:40:25.170000,1080,1920,1109,541
2022-10-15 22:40:25.190000,1080,1920,1110,541
2022-10-15 22:40:25.210000,1080,1920,1111,542
2022-10-15 22:40:25.220000,1080,1920,1109,545
2022-10-15 22:40:25.240000,1080,1920,1114,548
2022-10-15 22:40:25.260000,1080,1920,1117,546
2022-10-15 22:40:25.270000,1080,1920,1117,548
2022-10-15 22:40:25.290000,1080,1920,1115,549
2022-10-15 22:40:25.310000,1080,1920,1118,541
2022-10-15 22:40:25.320000,1080,1920,1121,546
2022-10-15 22:40:25.340000,1080,1920,1116,548
2022-10-15 22:40:25.360000,1080,1920,1112,542
2022-10-15 22:40:25.370000,1080,1920,1117,539
2022-10-15 22:40:25.390000,1080,1920,1116,536
2022-10-15 22:40:25.410000,1080,1920,1110,542
2022-10-15 22:40:25.420000,1080,1920,1114,548
2022-10-15 22:40:25.440000,1080,1920,853,448
2022-10-15 22:40:25.460000,1080,1920,830,435
2022-10-15 22:40:25.510000,1080,1920,751,398
2022-10-15 22:40:25.520000,1080,1920,749,403
2022-10-15 22:40:25.540000,1080,1920,739,407
2022-10-15 22:40:25.560000,1080,1920,738,413
2022-10-15 22:40:25.570000,1080,1920,746,403
2022-10-15 22:40:25.590000,1080,1920,749,406
2022-10-15 22:40:25.610000,1080,1920,752,414
2022-10-15 22:40:25.620000,1080,1920,749,409
2022-10-15 22:40:25.640000,1080,1920,750,399
2022-10-15 22:40:25.660000,1080,1920,751,408
2022-10-15 22:40:25.670000,1080,1920,748,412
2022-10-15 22:40:25.690000,1080,1920,747,409
2022-10-15 22:40:25.710000,1080,1920,749,415
2022-10-15 22:40:25.720000,1080,1920,752,411
2022-10-15 22:40:25.740000,1080,1920,759,412
2022-10-15 22:40:25.760000,1080,1920,762,417
2022-10-15 22:40:25.770000,1080,1920,759,415
2022-10-15 22:40:25.790000,1080,1920,757,413
2022-10-15 22:40:25.810000,1080,1920,759,413
2022-10-15 22:40:25.820000,1080,1920,756,410
2022-10-15 22:40:25.840000,1080,1920,752,408
2022-10-15 22:40:25.860000,1080,1920,758,374
2022-10-15 22:40:25.870000,1080,1920,727,409
2022-10-15 22:40:26.040000,1080,1920,524,475
2022-10-15 22:40:26.060000,1080,1920,656,426
2022-10-15 22:40:26.070000,1080,1920,744,421
2022-10-15 22:40:26.090000,1080,1920,742,433
2022-10-15 22:40:26.110000,1080,1920,729,406
2022-10-15 22:40:26.120000,1080,1920,727,414
2022-10-15 22:40:26.140000,1080,1920,730,416
2022-10-15 22:40:26.160000,1080,1920,723,417
2022-10-15 22:40:26.170000,1080,1920,711,437
2022-10-15 22:40:26.190000,1080,1920,721,441
2022-10-15 22:40:26.210000,1080,1920,725,426
2022-10-15 22:40:26.220000,1080,1920,724,419
2022-10-15 22:40:26.240000,1080,1920,727,423
2022-10-15 22:40:26.260000,1080,1920,726,428
2022-10-15 22:40:26.270000,1080,1920,729,426
2022-10-15 22:40:26.290000,1080,1920,724,426
2022-10-15 22:40:26.310000,1080,1920,727,433
2022-10-15 22:40:26.320000,1080,1920,732,431
2022-10-15 22:40:26.340000,1080,1920,726,431
2022-10-15 22:40:26.360000,1080,1920,731,436
2022-10-15 22:40:26.370000,1080,1920,736,433
2022-10-15 22:40:26.390000,1080,1920,727,428
2022-10-15 22:40:26.410000,1080,1920,729,427
2022-10-15 22:40:26.420000,1080,1920,798,420
2022-10-15 22:40:26.440000,1080,1920,972,421
2022-10-15 22:40:26.460000,1080,1920,1012,368
2022-10-15 22:40:26.470000,1080,1920,1012,349
2022-10-15 22:40:26.490000,1080,1920,1015,341
2022-10-15 22:40:26.510000,1080,1920,1009,347
2022-10-15 22:40:26.520000,1080,1920,1009,360
2022-10-15 22:40:26.540000,1080,1920,1011,361
2022-10-15 22:40:26.560000,1080,1920,1009,358
2022-10-15 22:40:26.570000,1080,1920,1011,353
2022-10-15 22:40:26.590000,1080,1920,1013,353
2022-10-15 22:40:26.610000,1080,1920,1011,357
2022-10-15 22:40:26.620000,1080,1920,1006,358
2022-10-15 22:40:26.640000,1080,1920,1007,360
2022-10-15 22:40:26.660000,1080,1920,1012,361
2022-10-15 22:40:26.670000,1080,1920,1008,338
2022-10-15 22:40:26.690000,1080,1920,1009,326
2022-10-15 22:40:26.710000,1080,1920,1007,322
2022-10-15 22:40:26.720000,1080,1920,1005,325
2022-10-15 22:40:26.740000,1080,1920,1004,323
2022-10-15 22:40:26.760000,1080,1920,1005,326
2022-10-15 22:40:26.770000,1080,1920,1009,324
2022-10-15 22:40:26.790000,1080,1920,1001,322
2022-10-15 22:40:26.800000,1080,1920,1001,326
2022-10-15 22:40:26.820000,1080,1920,1005,324
2022-10-15 22:40:26.840000,1080,1920,1004,325
2022-10-15 22:40:26.860000,1080,1920,1009,318
2022-10-15 22:40:26.870000,1080,1920,937,334
2022-10-15 22:40:26.890000,1080,1920,899,347
2022-10-15 22:40:26.910000,1080,1920,654,411
2022-10-15 22:40:26.920000,1080,1920,656,427
2022-10-15 22:40:26.940000,1080,1920,669,443
2022-10-15 22:40:26.950000,1080,1920,672,443
2022-10-15 22:40:26.970000,1080,1920,675,444
2022-10-15 22:40:26.990000,1080,1920,679,445
2022-10-15 22:40:27,1080,1920,672,436
2022-10-15 22:40:27.020000,1080,1920,669,430
2022-10-15 22:40:27.040000,1080,1920,670,432
2022-10-15 22:40:27.060000,1080,1920,674,433
2022-10-15 22:40:27.070000,1080,1920,670,432
2022-10-15 22:40:27.090000,1080,1920,669,430
2022-10-15 22:40:27.110000,1080,1920,678,439
2022-10-15 22:40:27.120000,1080,1920,673,441
2022-10-15 22:40:27.140000,1080,1920,675,440
2022-10-15 22:40:27.160000,1080,1920,676,437
2022-10-15 22:40:27.170000,1080,1920,672,428
2022-10-15 22:40:27.190000,1080,1920,677,438
2022-10-15 22:40:27.200000,1080,1920,677,444
2022-10-15 22:40:27.220000,1080,1920,671,436
2022-10-15 22:40:27.240000,1080,1920,676,438
2022-10-15 22:40:27.250000,1080,1920,673,443
2022-10-15 22:40:27.270000,1080,1920,673,439
2022-10-15 22:40:27.290000,1080,1920,674,439
2022-10-15 22:40:27.300000,1080,1920,675,444
2022-10-15 22:40:27.320000,1080,1920,683,441
2022-10-15 22:40:27.340000,1080,1920,680,441
2022-10-15 22:40:27.360000,1080,1920,679,443
2022-10-15 22:40:27.370000,1080,1920,681,456
2022-10-15 22:40:27.390000,1080,1920,859,415
2022-10-15 22:40:27.410000,1080,1920,875,422
2022-10-15 22:40:27.420000,1080,1920,875,424
2022-10-15 22:40:27.440000,1080,1920,877,423
2022-10-15 22:40:27.450000,1080,1920,875,419
2022-10-15 22:40:27.470000,1080,1920,875,421
2022-10-15 22:40:27.490000,1080,1920,879,422
2022-10-15 22:40:27.500000,1080,1920,876,424
2022-10-15 22:40:27.520000,1080,1920,880,429
2022-10-15 22:40:27.540000,1080,1920,882,426
2022-10-15 22:40:27.560000,1080,1920,883,424
2022-10-15 22:40:27.570000,1080,1920,887,417
2022-10-15 22:40:27.590000,1080,1920,884,419
2022-10-15 22:40:27.610000,1080,1920,882,418
2022-10-15 22:40:27.620000,1080,1920,883,411
2022-10-15 22:40:27.640000,1080,1920,928,374
2022-10-15 22:40:27.660000,1080,1920,946,350
2022-10-15 22:40:27.670000,1080,1920,953,332
2022-10-15 22:40:27.690000,1080,1920,954,336
2022-10-15 22:40:27.700000,1080,1920,949,345
2022-10-15 22:40:27.720000,1080,1920,948,346
2022-10-15 22:40:27.740000,1080,1920,950,347
2022-10-15 22:40:27.750000,1080,1920,953,342
2022-10-15 22:40:27.770000,1080,1920,956,343
2022-10-15 22:40:27.790000,1080,1920,958,348
2022-10-15 22:40:27.800000,1080,1920,956,349
2022-10-15 22:40:27.820000,1080,1920,952,351
2022-10-15 22:40:27.840000,1080,1920,951,352
2022-10-15 22:40:27.860000,1080,1920,955,349
2022-10-15 22:40:27.870000,1080,1920,985,334
2022-10-15 22:40:27.890000,1080,1920,1000,334
2022-10-15 22:40:27.910000,1080,1920,996,346
2022-10-15 22:40:27.920000,1080,1920,994,348
2022-10-15 22:40:27.940000,1080,1920,1000,337
2022-10-15 22:40:27.950000,1080,1920,1000,335
2022-10-15 22:40:27.970000,1080,1920,1003,339
2022-10-15 22:40:27.990000,1080,1920,999,334
2022-10-15 22:40:28,1080,1920,994,327
2022-10-15 22:40:28.020000,1080,1920,999,329
2022-10-15 22:40:28.040000,1080,1920,1000,329
2022-10-15 22:40:28.060000,1080,1920,1001,333
2022-10-15 22:40:28.070000,1080,1920,1002,326
2022-10-15 22:40:28.090000,1080,1920,1005,329
2022-10-15 22:40:28.110000,1080,1920,1000,339
2022-10-15 22:40:28.120000,1080,1920,998,332
2022-10-15 22:40:28.140000,1080,1920,1003,334
2022-10-15 22:40:28.160000,1080,1920,998,337
2022-10-15 22:40:28.170000,1080,1920,999,334
2022-10-15 22:40:28.190000,1080,1920,1005,334
2022-10-15 22:40:28.200000,1080,1920,1001,337
2022-10-15 22:40:28.220000,1080,1920,1001,338
2022-10-15 22:40:28.240000,1080,1920,1006,333
2022-10-15 22:40:28.250000,1080,1920,1005,327
2022-10-15 22:40:28.270000,1080,1920,1005,321
2022-10-15 22:40:28.290000,1080,1920,1002,322
2022-10-15 22:40:28.300000,1080,1920,1004,324
2022-10-15 22:40:28.320000,1080,1920,1009,328
2022-10-15 22:40:28.340000,1080,1920,1006,332
2022-10-15 22:40:28.350000,1080,1920,1001,328
2022-10-15 22:40:28.370000,1080,1920,1002,327
2022-10-15 22:40:28.390000,1080,1920,1003,333
2022-10-15 22:40:28.400000,1080,1920,1001,333
2022-10-15 22:40:28.420000,1080,1920,1003,332
2022-10-15 22:40:28.440000,1080,1920,1004,331
2022-10-15 22:40:28.450000,1080,1920,1002,332
2022-10-15 22:40:28.470000,1080,1920,1002,331
2022-10-15 22:40:28.490000,1080,1920,1001,331
2022-10-15 22:40:28.500000,1080,1920,998,337
2022-10-15 22:40:28.520000,1080,1920,1000,331
2022-10-15 22:40:28.540000,1080,1920,998,335
2022-10-15 22:40:28.550000,1080,1920,996,336
2022-10-15 22:40:28.570000,1080,1920,1002,346
2022-10-15 22:40:28.590000,1080,1920,1009,358
2022-10-15 22:40:28.800000,1080,1920,1000,299
2022-10-15 22:40:28.820000,1080,1920,979,302
2022-10-15 22:40:28.840000,1080,1920,988,273
2022-10-15 22:40:28.850000,1080,1920,1003,276
2022-10-15 22:40:28.870000,1080,1920,1006,283
2022-10-15 22:40:28.890000,1080,1920,1000,278
2022-10-15 22:40:28.900000,1080,1920,1007,280
