time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:40:28.920000,1080,1920,1037,289
2022-10-15 22:40:28.940000,1080,1920,1096,293
2022-10-15 22:40:28.950000,1080,1920,1326,295
2022-10-15 22:40:28.970000,1080,1920,1324,299
2022-10-15 22:40:28.990000,1080,1920,1326,306
2022-10-15 22:40:29,1080,1920,1323,301
2022-10-15 22:40:29.020000,1080,1920,1322,302
2022-10-15 22:40:29.040000,1080,1920,1322,305
2022-10-15 22:40:29.050000,1080,1920,1319,304
2022-10-15 22:40:29.070000,1080,1920,1323,300
2022-10-15 22:40:29.090000,1080,1920,1322,296
2022-10-15 22:40:29.100000,1080,1920,1330,294
2022-10-15 22:40:29.120000,1080,1920,1358,279
2022-10-15 22:40:29.140000,1080,1920,1381,263
2022-10-15 22:40:29.150000,1080,1920,1379,263
2022-10-15 22:40:29.170000,1080,1920,1390,257
2022-10-15 22:40:29.190000,1080,1920,1390,253
2022-10-15 22:40:29.200000,1080,1920,1393,246
2022-10-15 22:40:29.220000,1080,1920,1391,249
2022-10-15 22:40:29.240000,1080,1920,1385,259
2022-10-15 22:40:29.250000,1080,1920,1381,259
2022-10-15 22:40:29.270000,1080,1920,1377,261
2022-10-15 22:40:29.290000,1080,1920,1379,263
2022-10-15 22:40:29.300000,1080,1920,1372,265
2022-10-15 22:40:29.320000,1080,1920,1378,266
2022-10-15 22:40:29.340000,1080,1920,1373,270
2022-10-15 22:40:29.350000,1080,1920,1372,263
2022-10-15 22:40:29.370000,1080,1920,1380,254
2022-10-15 22:40:29.390000,1080,1920,1379,256
2022-10-15 22:40:29.400000,1080,1920,1384,251
2022-10-15 22:40:29.420000,1080,1920,1384,246
2022-10-15 22:40:29.440000,1080,1920,1388,244
2022-10-15 22:40:29.450000,1080,1920,1390,245
2022-10-15 22:40:29.470000,1080,1920,1388,248
2022-10-15 22:40:29.490000,1080,1920,1387,247
2022-10-15 22:40:29.500000,1080,1920,1389,248
2022-10-15 22:40:29.520000,1080,1920,1386,244
2022-10-15 22:40:29.540000,1080,1920,1398,239
2022-10-15 22:40:29.550000,1080,1920,1400,245
2022-10-15 22:40:29.570000,1080,1920,1395,248
2022-10-15 22:40:29.590000,1080,1920,1390,246
2022-10-15 22:40:29.600000,1080,1920,1392,234
2022-10-15 22:40:29.620000,1080,1920,1397,227
2022-10-15 22:40:29.640000,1080,1920,1398,228
2022-10-15 22:40:29.650000,1080,1920,1405,234
2022-10-15 22:40:29.670000,1080,1920,1403,231
2022-10-15 22:40:29.690000,1080,1920,1397,228
2022-10-15 22:40:29.700000,1080,1920,1403,224
2022-10-15 22:40:29.720000,1080,1920,1401,228
2022-10-15 22:40:29.740000,1080,1920,1397,233
2022-10-15 22:40:29.750000,1080,1920,1397,219
2022-10-15 22:40:29.770000,1080,1920,1393,220
2022-10-15 22:40:29.790000,1080,1920,1400,229
2022-10-15 22:40:29.800000,1080,1920,1408,223
2022-10-15 22:40:29.820000,1080,1920,1408,226
2022-10-15 22:40:29.840000,1080,1920,1405,228
2022-10-15 22:40:29.850000,1080,1920,1406,225
2022-10-15 22:40:29.870000,1080,1920,1409,222
2022-10-15 22:40:29.890000,1080,1920,1401,209
2022-10-15 22:40:29.900000,1080,1920,1346,195
2022-10-15 22:40:29.920000,1080,1920,1315,191
2022-10-15 22:40:29.940000,1080,1920,1309,195
2022-10-15 22:40:29.950000,1080,1920,1306,206
2022-10-15 22:40:29.970000,1080,1920,1306,211
2022-10-15 22:40:29.990000,1080,1920,1306,202
2022-10-15 22:40:30,1080,1920,1301,201
2022-10-15 22:40:30.020000,1080,1920,1299,205
2022-10-15 22:40:30.040000,1080,1920,1293,212
2022-10-15 22:40:30.050000,1080,1920,1296,209
2022-10-15 22:40:30.070000,1080,1920,1296,203
2022-10-15 22:40:30.090000,1080,1920,1293,207
2022-10-15 22:40:30.100000,1080,1920,1299,213
2022-10-15 22:40:30.120000,1080,1920,1341,217
2022-10-15 22:40:30.140000,1080,1920,1418,217
2022-10-15 22:40:30.150000,1080,1920,1420,227
2022-10-15 22:40:30.170000,1080,1920,1418,231
2022-10-15 22:40:30.190000,1080,1920,1416,224
2022-10-15 22:40:30.200000,1080,1920,1415,221
2022-10-15 22:40:30.220000,1080,1920,1416,228
2022-10-15 22:40:30.240000,1080,1920,1413,228
2022-10-15 22:40:30.250000,1080,1920,1410,223
2022-10-15 22:40:30.270000,1080,1920,1417,220
2022-10-15 22:40:30.290000,1080,1920,1419,216
2022-10-15 22:40:30.300000,1080,1920,1416,220
2022-10-15 22:40:30.320000,1080,1920,1416,227
2022-10-15 22:40:30.340000,1080,1920,1407,236
2022-10-15 22:40:30.350000,1080,1920,1345,254
2022-10-15 22:40:30.370000,1080,1920,1125,322
2022-10-15 22:40:30.390000,1080,1920,1073,339
2022-10-15 22:40:30.400000,1080,1920,846,445
2022-10-15 22:40:30.420000,1080,1920,836,460
2022-10-15 22:40:30.440000,1080,1920,832,477
2022-10-15 22:40:30.450000,1080,1920,835,478
2022-10-15 22:40:30.470000,1080,1920,833,475
2022-10-15 22:40:30.490000,1080,1920,826,476
2022-10-15 22:40:30.500000,1080,1920,811,481
2022-10-15 22:40:30.520000,1080,1920,823,501
2022-10-15 22:40:30.540000,1080,1920,836,495
2022-10-15 22:40:30.550000,1080,1920,846,487
2022-10-15 22:40:30.570000,1080,1920,579,597
2022-10-15 22:40:30.590000,1080,1920,576,610
2022-10-15 22:40:30.600000,1080,1920,499,666
2022-10-15 22:40:30.620000,1080,1920,488,683
2022-10-15 22:40:30.640000,1080,1920,477,705
2022-10-15 22:40:30.650000,1080,1920,469,706
2022-10-15 22:40:30.670000,1080,1920,469,709
2022-10-15 22:40:30.690000,1080,1920,477,711
2022-10-15 22:40:30.700000,1080,1920,480,719
2022-10-15 22:40:30.720000,1080,1920,481,718
2022-10-15 22:40:30.740000,1080,1920,478,714
2022-10-15 22:40:30.750000,1080,1920,477,717
2022-10-15 22:40:30.770000,1080,1920,481,720
2022-10-15 22:40:30.790000,1080,1920,476,720
2022-10-15 22:40:30.800000,1080,1920,476,711
2022-10-15 22:40:30.820000,1080,1920,481,707
2022-10-15 22:40:30.840000,1080,1920,469,700
2022-10-15 22:40:30.850000,1080,1920,472,705
2022-10-15 22:40:30.870000,1080,1920,500,738
2022-10-15 22:40:30.890000,1080,1920,1063,507
2022-10-15 22:40:30.900000,1080,1920,1063,507
2022-10-15 22:40:30.940000,1080,1920,1388,334
2022-10-15 22:40:30.950000,1080,1920,1383,328
2022-10-15 22:40:30.970000,1080,1920,1375,315
2022-10-15 22:40:30.990000,1080,1920,1374,318
2022-10-15 22:40:31,1080,1920,1371,326
2022-10-15 22:40:31.020000,1080,1920,1372,324
2022-10-15 22:40:31.040000,1080,1920,1370,330
2022-10-15 22:40:31.050000,1080,1920,1368,330
2022-10-15 22:40:31.070000,1080,1920,1374,325
