time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:40:40.960000,1080,1920,1073,429
2022-10-15 22:40:40.980000,1080,1920,1076,428
2022-10-15 22:40:40.990000,1080,1920,1074,427
2022-10-15 22:40:41.010000,1080,1920,1071,428
2022-10-15 22:40:41.080000,1080,1920,579,420
2022-10-15 22:40:41.100000,1080,1920,575,391
2022-10-15 22:40:41.110000,1080,1920,573,387
2022-10-15 22:40:41.130000,1080,1920,574,384
2022-10-15 22:40:41.140000,1080,1920,578,385
2022-10-15 22:40:41.160000,1080,1920,584,409
2022-10-15 22:40:41.180000,1080,1920,580,409
2022-10-15 22:40:41.190000,1080,1920,580,389
2022-10-15 22:40:41.210000,1080,1920,582,389
2022-10-15 22:40:41.230000,1080,1920,586,384
2022-10-15 22:40:41.240000,1080,1920,583,386
2022-10-15 22:40:41.260000,1080,1920,633,410
2022-10-15 22:40:41.280000,1080,1920,658,415
2022-10-15 22:40:41.300000,1080,1920,657,411
2022-10-15 22:40:41.310000,1080,1920,661,411
2022-10-15 22:40:41.330000,1080,1920,654,405
2022-10-15 22:40:41.350000,1080,1920,652,397
2022-10-15 22:40:41.360000,1080,1920,655,395
2022-10-15 22:40:41.380000,1080,1920,655,401
2022-10-15 22:40:41.390000,1080,1920,657,405
2022-10-15 22:40:41.410000,1080,1920,653,401
2022-10-15 22:40:41.430000,1080,1920,652,389
2022-10-15 22:40:41.440000,1080,1920,654,389
2022-10-15 22:40:41.460000,1080,1920,654,404
2022-10-15 22:40:41.480000,1080,1920,651,410
2022-10-15 22:40:41.490000,1080,1920,487,401
2022-10-15 22:40:41.510000,1080,1920,457,403
2022-10-15 22:40:41.550000,1080,1920,435,426
2022-10-15 22:40:41.560000,1080,1920,432,410
2022-10-15 22:40:41.580000,1080,1920,433,409
2022-10-15 22:40:41.600000,1080,1920,437,423
2022-10-15 22:40:41.610000,1080,1920,443,421
2022-10-15 22:40:41.630000,1080,1920,441,415
2022-10-15 22:40:41.640000,1080,1920,431,421
2022-10-15 22:40:41.660000,1080,1920,432,427
2022-10-15 22:40:41.680000,1080,1920,435,422
2022-10-15 22:40:41.690000,1080,1920,437,409
2022-10-15 22:40:41.710000,1080,1920,439,410
2022-10-15 22:40:41.730000,1080,1920,435,410
2022-10-15 22:40:41.740000,1080,1920,431,403
2022-10-15 22:40:41.760000,1080,1920,425,400
2022-10-15 22:40:41.780000,1080,1920,431,405
2022-10-15 22:40:41.800000,1080,1920,436,411
2022-10-15 22:40:41.810000,1080,1920,435,409
2022-10-15 22:40:41.830000,1080,1920,529,417
2022-10-15 22:40:41.850000,1080,1920,604,424
2022-10-15 22:40:41.860000,1080,1920,664,409
2022-10-15 22:40:41.880000,1080,1920,668,411
2022-10-15 22:40:41.890000,1080,1920,676,419
2022-10-15 22:40:41.910000,1080,1920,675,414
2022-10-15 22:40:41.930000,1080,1920,676,419
2022-10-15 22:40:41.940000,1080,1920,679,421
2022-10-15 22:40:41.960000,1080,1920,675,420
2022-10-15 22:40:41.980000,1080,1920,677,419
2022-10-15 22:40:41.990000,1080,1920,672,412
2022-10-15 22:40:42.010000,1080,1920,661,409
2022-10-15 22:40:42.030000,1080,1920,670,409
2022-10-15 22:40:42.050000,1080,1920,683,402
2022-10-15 22:40:42.100000,1080,1920,671,402
2022-10-15 22:40:42.110000,1080,1920,670,410
2022-10-15 22:40:42.130000,1080,1920,672,415
2022-10-15 22:40:42.140000,1080,1920,671,412
2022-10-15 22:40:42.380000,1080,1920,625,397
2022-10-15 22:40:42.390000,1080,1920,623,406
2022-10-15 22:40:42.410000,1080,1920,622,413
2022-10-15 22:40:42.430000,1080,1920,515,402
