time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:40:46.960000,1080,1920,1079,369
2022-10-15 22:40:46.990000,1080,1920,1281,378
2022-10-15 22:40:47.010000,1080,1920,1286,386
2022-10-15 22:40:47.020000,1080,1920,1286,391
2022-10-15 22:40:47.040000,1080,1920,1281,389
2022-10-15 22:40:47.060000,1080,1920,1284,382
2022-10-15 22:40:47.070000,1080,1920,1281,384
2022-10-15 22:40:47.090000,1080,1920,1283,387
2022-10-15 22:40:47.110000,1080,1920,1318,383
2022-10-15 22:40:47.120000,1080,1920,1383,371
2022-10-15 22:40:47.140000,1080,1920,1410,346
2022-10-15 22:40:47.160000,1080,1920,1408,334
2022-10-15 22:40:47.170000,1080,1920,1412,328
2022-10-15 22:40:47.190000,1080,1920,1418,323
2022-10-15 22:40:47.210000,1080,1920,1411,327
2022-10-15 22:40:47.220000,1080,1920,1406,330
2022-10-15 22:40:47.240000,1080,1920,1411,326
2022-10-15 22:40:47.260000,1080,1920,1413,326
2022-10-15 22:40:47.270000,1080,1920,1413,327
2022-10-15 22:40:47.290000,1080,1920,1411,327
2022-10-15 22:40:47.310000,1080,1920,1406,324
2022-10-15 22:40:47.320000,1080,1920,1408,322
2022-10-15 22:40:47.340000,1080,1920,1409,313
2022-10-15 22:40:47.360000,1080,1920,1402,303
2022-10-15 22:40:47.370000,1080,1920,1401,308
2022-10-15 22:40:47.390000,1080,1920,1408,299
2022-10-15 22:40:47.410000,1080,1920,1410,297
2022-10-15 22:40:47.420000,1080,1920,1408,310
2022-10-15 22:40:47.440000,1080,1920,1414,320
2022-10-15 22:40:47.460000,1080,1920,1409,303
2022-10-15 22:40:47.470000,1080,1920,1406,305
2022-10-15 22:40:47.490000,1080,1920,1410,301
2022-10-15 22:40:47.510000,1080,1920,1413,297
2022-10-15 22:40:47.520000,1080,1920,1407,305
2022-10-15 22:40:47.540000,1080,1920,1405,304
2022-10-15 22:40:47.560000,1080,1920,1410,295
2022-10-15 22:40:47.570000,1080,1920,1409,289
2022-10-15 22:40:47.590000,1080,1920,1415,277
2022-10-15 22:40:47.610000,1080,1920,1419,272
2022-10-15 22:40:47.620000,1080,1920,1411,289
