time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:40:52.970000,1080,1920,1116,462
2022-10-15 22:40:52.990000,1080,1920,1121,466
2022-10-15 22:40:53,1080,1920,1093,447
2022-10-15 22:40:53.020000,1080,1920,794,349
2022-10-15 22:40:53.040000,1080,1920,735,335
2022-10-15 22:40:53.050000,1080,1920,683,322
2022-10-15 22:40:53.070000,1080,1920,682,317
2022-10-15 22:40:53.090000,1080,1920,682,307
2022-10-15 22:40:53.100000,1080,1920,680,306
2022-10-15 22:40:53.120000,1080,1920,683,306
2022-10-15 22:40:53.140000,1080,1920,678,301
2022-10-15 22:40:53.150000,1080,1920,679,300
2022-10-15 22:40:53.170000,1080,1920,680,300
2022-10-15 22:40:53.190000,1080,1920,676,303
2022-10-15 22:40:53.200000,1080,1920,680,307
2022-10-15 22:40:53.220000,1080,1920,614,305
2022-10-15 22:40:53.240000,1080,1920,584,311
2022-10-15 22:40:53.250000,1080,1920,583,299
2022-10-15 22:40:53.270000,1080,1920,579,291
2022-10-15 22:40:53.290000,1080,1920,585,300
2022-10-15 22:40:53.300000,1080,1920,585,300
2022-10-15 22:40:53.320000,1080,1920,584,299
2022-10-15 22:40:53.340000,1080,1920,583,296
2022-10-15 22:40:53.350000,1080,1920,584,292
2022-10-15 22:40:53.370000,1080,1920,582,292
2022-10-15 22:40:53.390000,1080,1920,584,307
2022-10-15 22:40:53.400000,1080,1920,614,302
2022-10-15 22:40:53.420000,1080,1920,662,288
2022-10-15 22:40:53.490000,1080,1920,302,635
2022-10-15 22:40:53.520000,1080,1920,559,292
2022-10-15 22:40:53.540000,1080,1920,553,295
2022-10-15 22:40:53.550000,1080,1920,546,274
2022-10-15 22:40:53.570000,1080,1920,552,278
2022-10-15 22:40:53.590000,1080,1920,556,262
2022-10-15 22:40:53.600000,1080,1920,555,256
2022-10-15 22:40:53.620000,1080,1920,569,260
2022-10-15 22:40:53.640000,1080,1920,544,232
2022-10-15 22:40:53.650000,1080,1920,558,276
2022-10-15 22:40:53.840000,1080,1920,595,221
2022-10-15 22:40:53.850000,1080,1920,576,254
2022-10-15 22:40:53.870000,1080,1920,571,289
2022-10-15 22:40:53.890000,1080,1920,570,301
2022-10-15 22:40:53.900000,1080,1920,571,303
2022-10-15 22:40:53.920000,1080,1920,574,274
2022-10-15 22:40:53.940000,1080,1920,579,267
2022-10-15 22:40:53.950000,1080,1920,579,270
2022-10-15 22:40:53.970000,1080,1920,568,268
2022-10-15 22:40:53.990000,1080,1920,566,272
2022-10-15 22:40:54,1080,1920,573,274
2022-10-15 22:40:54.020000,1080,1920,573,278
2022-10-15 22:40:54.040000,1080,1920,565,284
2022-10-15 22:40:54.050000,1080,1920,549,290
2022-10-15 22:40:54.070000,1080,1920,545,291
2022-10-15 22:40:54.090000,1080,1920,546,297
2022-10-15 22:40:54.100000,1080,1920,545,297
2022-10-15 22:40:54.120000,1080,1920,548,293
2022-10-15 22:40:54.140000,1080,1920,550,297
2022-10-15 22:40:54.150000,1080,1920,552,295
2022-10-15 22:40:54.170000,1080,1920,556,289
2022-10-15 22:40:54.190000,1080,1920,551,290
2022-10-15 22:40:54.200000,1080,1920,551,287
2022-10-15 22:40:54.220000,1080,1920,553,288
2022-10-15 22:40:54.240000,1080,1920,553,309
2022-10-15 22:40:54.250000,1080,1920,553,354
2022-10-15 22:40:54.270000,1080,1920,550,353
2022-10-15 22:40:54.290000,1080,1920,551,353
2022-10-15 22:40:54.300000,1080,1920,554,357
2022-10-15 22:40:54.320000,1080,1920,552,350
2022-10-15 22:40:54.340000,1080,1920,553,352
2022-10-15 22:40:54.350000,1080,1920,551,356
2022-10-15 22:40:54.370000,1080,1920,551,358
2022-10-15 22:40:54.390000,1080,1920,548,355
2022-10-15 22:40:54.400000,1080,1920,546,352
2022-10-15 22:40:54.420000,1080,1920,549,352
2022-10-15 22:40:54.440000,1080,1920,552,352
2022-10-15 22:40:54.450000,1080,1920,551,353
2022-10-15 22:40:54.470000,1080,1920,549,351
2022-10-15 22:40:54.490000,1080,1920,549,345
2022-10-15 22:40:54.500000,1080,1920,549,346
2022-10-15 22:40:54.520000,1080,1920,549,351
2022-10-15 22:40:54.540000,1080,1920,548,348
2022-10-15 22:40:54.550000,1080,1920,551,353
2022-10-15 22:40:54.570000,1080,1920,553,361
2022-10-15 22:40:54.590000,1080,1920,556,366
2022-10-15 22:40:54.600000,1080,1920,557,362
2022-10-15 22:40:54.620000,1080,1920,561,363
2022-10-15 22:40:54.640000,1080,1920,562,366
2022-10-15 22:40:54.650000,1080,1920,559,363
2022-10-15 22:40:54.670000,1080,1920,554,360
2022-10-15 22:40:54.690000,1080,1920,554,360
2022-10-15 22:40:54.700000,1080,1920,559,364
2022-10-15 22:40:54.720000,1080,1920,557,366
2022-10-15 22:40:54.740000,1080,1920,555,365
2022-10-15 22:40:54.750000,1080,1920,560,354
2022-10-15 22:40:54.770000,1080,1920,560,353
2022-10-15 22:40:54.790000,1080,1920,557,363
2022-10-15 22:40:54.800000,1080,1920,558,364
2022-10-15 22:40:54.820000,1080,1920,557,370
2022-10-15 22:40:54.830000,1080,1920,552,378
2022-10-15 22:40:54.850000,1080,1920,550,391
2022-10-15 22:40:54.870000,1080,1920,550,392
2022-10-15 22:40:54.880000,1080,1920,548,387
2022-10-15 22:40:54.900000,1080,1920,550,384
2022-10-15 22:40:54.920000,1080,1920,552,389
2022-10-15 22:40:54.930000,1080,1920,552,393
2022-10-15 22:40:54.950000,1080,1920,554,392
2022-10-15 22:40:54.970000,1080,1920,556,389
2022-10-15 22:40:54.990000,1080,1920,551,390
2022-10-15 22:40:55,1080,1920,550,399
2022-10-15 22:40:55.020000,1080,1920,556,399
2022-10-15 22:40:55.040000,1080,1920,556,391
2022-10-15 22:40:55.050000,1080,1920,556,385
2022-10-15 22:40:55.070000,1080,1920,555,384
2022-10-15 22:40:55.080000,1080,1920,554,393
2022-10-15 22:40:55.100000,1080,1920,550,389
2022-10-15 22:40:55.120000,1080,1920,546,380
2022-10-15 22:40:55.130000,1080,1920,551,384
2022-10-15 22:40:55.150000,1080,1920,576,355
2022-10-15 22:40:55.170000,1080,1920,590,308
2022-10-15 22:40:55.180000,1080,1920,602,254
2022-10-15 22:40:55.200000,1080,1920,606,246
2022-10-15 22:40:55.220000,1080,1920,606,246
2022-10-15 22:40:55.240000,1080,1920,608,242
2022-10-15 22:40:55.250000,1080,1920,612,245
2022-10-15 22:40:55.270000,1080,1920,611,248
2022-10-15 22:40:55.290000,1080,1920,608,253
2022-10-15 22:40:55.300000,1080,1920,608,256
2022-10-15 22:40:55.320000,1080,1920,608,250
2022-10-15 22:40:55.330000,1080,1920,606,249
2022-10-15 22:40:55.350000,1080,1920,604,248
2022-10-15 22:40:55.370000,1080,1920,607,250
2022-10-15 22:40:55.380000,1080,1920,607,254
2022-10-15 22:40:55.400000,1080,1920,605,256
2022-10-15 22:40:55.420000,1080,1920,605,255
2022-10-15 22:40:55.430000,1080,1920,605,252
2022-10-15 22:40:55.450000,1080,1920,604,250
2022-10-15 22:40:55.470000,1080,1920,604,254
2022-10-15 22:40:55.490000,1080,1920,607,257
2022-10-15 22:40:55.500000,1080,1920,613,238
2022-10-15 22:40:55.520000,1080,1920,619,216
2022-10-15 22:40:55.540000,1080,1920,621,218
2022-10-15 22:40:55.550000,1080,1920,620,213
2022-10-15 22:40:55.570000,1080,1920,620,210
2022-10-15 22:40:55.580000,1080,1920,621,217
2022-10-15 22:40:55.600000,1080,1920,619,215
2022-10-15 22:40:55.620000,1080,1920,620,212
2022-10-15 22:40:55.630000,1080,1920,619,215
2022-10-15 22:40:55.650000,1080,1920,617,216
2022-10-15 22:40:55.670000,1080,1920,618,220
2022-10-15 22:40:55.680000,1080,1920,621,221
2022-10-15 22:40:55.700000,1080,1920,622,219
2022-10-15 22:40:55.720000,1080,1920,621,217
2022-10-15 22:40:55.740000,1080,1920,620,217
2022-10-15 22:40:55.750000,1080,1920,621,215
2022-10-15 22:40:55.770000,1080,1920,623,211
2022-10-15 22:40:55.790000,1080,1920,632,205
2022-10-15 22:40:55.800000,1080,1920,639,199
2022-10-15 22:40:55.820000,1080,1920,636,195
2022-10-15 22:40:55.830000,1080,1920,637,195
2022-10-15 22:40:55.850000,1080,1920,636,200
2022-10-15 22:40:55.870000,1080,1920,633,195
2022-10-15 22:40:55.880000,1080,1920,634,191
2022-10-15 22:40:55.900000,1080,1920,637,195
2022-10-15 22:40:55.920000,1080,1920,641,193
2022-10-15 22:40:55.930000,1080,1920,635,187
2022-10-15 22:40:55.950000,1080,1920,631,172
2022-10-15 22:40:55.970000,1080,1920,627,190
2022-10-15 22:40:55.990000,1080,1920,635,199
2022-10-15 22:40:56,1080,1920,636,199
2022-10-15 22:40:56.020000,1080,1920,636,194
2022-10-15 22:40:56.040000,1080,1920,648,203
2022-10-15 22:40:56.050000,1080,1920,688,248
2022-10-15 22:40:56.070000,1080,1920,697,260
2022-10-15 22:40:56.080000,1080,1920,694,264
2022-10-15 22:40:56.100000,1080,1920,690,264
2022-10-15 22:40:56.120000,1080,1920,696,258
2022-10-15 22:40:56.130000,1080,1920,692,261
2022-10-15 22:40:56.150000,1080,1920,693,259
2022-10-15 22:40:56.170000,1080,1920,694,257
2022-10-15 22:40:56.180000,1080,1920,693,257
2022-10-15 22:40:56.200000,1080,1920,699,259
2022-10-15 22:40:56.220000,1080,1920,702,265
2022-10-15 22:40:56.230000,1080,1920,700,263
2022-10-15 22:40:56.250000,1080,1920,696,264
2022-10-15 22:40:56.270000,1080,1920,685,257
2022-10-15 22:40:56.280000,1080,1920,647,187
2022-10-15 22:40:56.300000,1080,1920,650,172
2022-10-15 22:40:56.320000,1080,1920,651,169
2022-10-15 22:40:56.330000,1080,1920,653,168
2022-10-15 22:40:56.350000,1080,1920,650,170
2022-10-15 22:40:56.370000,1080,1920,648,175
2022-10-15 22:40:56.380000,1080,1920,651,175
2022-10-15 22:40:56.400000,1080,1920,651,181
2022-10-15 22:40:56.420000,1080,1920,650,181
2022-10-15 22:40:56.430000,1080,1920,648,179
2022-10-15 22:40:56.450000,1080,1920,650,175
2022-10-15 22:40:56.470000,1080,1920,654,168
2022-10-15 22:40:56.480000,1080,1920,650,170
2022-10-15 22:40:56.500000,1080,1920,649,168
2022-10-15 22:40:56.520000,1080,1920,643,170
2022-10-15 22:40:56.530000,1080,1920,642,168
2022-10-15 22:40:56.550000,1080,1920,644,164
2022-10-15 22:40:56.570000,1080,1920,648,163
2022-10-15 22:40:56.580000,1080,1920,650,159
2022-10-15 22:40:56.600000,1080,1920,647,159
2022-10-15 22:40:56.620000,1080,1920,647,161
2022-10-15 22:40:56.630000,1080,1920,641,164
2022-10-15 22:40:56.650000,1080,1920,640,172
2022-10-15 22:40:56.670000,1080,1920,638,176
2022-10-15 22:40:56.680000,1080,1920,640,171
2022-10-15 22:40:56.700000,1080,1920,642,176
2022-10-15 22:40:56.720000,1080,1920,639,180
2022-10-15 22:40:56.730000,1080,1920,639,176
2022-10-15 22:40:56.750000,1080,1920,644,179
2022-10-15 22:40:56.770000,1080,1920,639,177
2022-10-15 22:40:56.780000,1080,1920,640,174
2022-10-15 22:40:56.800000,1080,1920,645,176
2022-10-15 22:40:56.820000,1080,1920,641,178
2022-10-15 22:40:56.830000,1080,1920,640,173
2022-10-15 22:40:56.850000,1080,1920,643,174
2022-10-15 22:40:56.870000,1080,1920,615,199
2022-10-15 22:40:56.880000,1080,1920,570,278
2022-10-15 22:40:56.900000,1080,1920,568,297
2022-10-15 22:40:56.920000,1080,1920,575,296
2022-10-15 22:40:56.930000,1080,1920,578,291
2022-10-15 22:40:56.950000,1080,1920,568,282
2022-10-15 22:40:56.970000,1080,1920,573,287
2022-10-15 22:40:56.980000,1080,1920,575,284
2022-10-15 22:40:57,1080,1920,573,282
2022-10-15 22:40:57.020000,1080,1920,574,287
2022-10-15 22:40:57.030000,1080,1920,573,294
2022-10-15 22:40:57.050000,1080,1920,577,294
2022-10-15 22:40:57.070000,1080,1920,574,290
2022-10-15 22:40:57.080000,1080,1920,573,291
2022-10-15 22:40:57.100000,1080,1920,575,292
2022-10-15 22:40:57.120000,1080,1920,574,291
2022-10-15 22:40:57.130000,1080,1920,579,295
2022-10-15 22:40:57.150000,1080,1920,576,292
2022-10-15 22:40:57.170000,1080,1920,573,292
2022-10-15 22:40:57.180000,1080,1920,574,295
2022-10-15 22:40:57.200000,1080,1920,573,293
2022-10-15 22:40:57.220000,1080,1920,573,296
2022-10-15 22:40:57.230000,1080,1920,574,299
2022-10-15 22:40:57.250000,1080,1920,555,303
2022-10-15 22:40:57.270000,1080,1920,553,311
2022-10-15 22:40:57.280000,1080,1920,560,315
2022-10-15 22:40:57.300000,1080,1920,562,316
2022-10-15 22:40:57.320000,1080,1920,559,317
2022-10-15 22:40:57.330000,1080,1920,556,315
2022-10-15 22:40:57.350000,1080,1920,560,318
2022-10-15 22:40:57.370000,1080,1920,560,322
2022-10-15 22:40:57.380000,1080,1920,555,322
2022-10-15 22:40:57.400000,1080,1920,555,319
2022-10-15 22:40:57.420000,1080,1920,557,317
2022-10-15 22:40:57.430000,1080,1920,559,317
2022-10-15 22:40:57.450000,1080,1920,561,320
2022-10-15 22:40:57.470000,1080,1920,556,321
2022-10-15 22:40:57.480000,1080,1920,557,314
2022-10-15 22:40:57.500000,1080,1920,570,328
2022-10-15 22:40:57.520000,1080,1920,588,398
2022-10-15 22:40:57.530000,1080,1920,591,419
2022-10-15 22:40:57.550000,1080,1920,590,403
2022-10-15 22:40:57.570000,1080,1920,590,407
2022-10-15 22:40:57.580000,1080,1920,586,408
2022-10-15 22:40:57.600000,1080,1920,590,413
2022-10-15 22:40:57.620000,1080,1920,591,430
2022-10-15 22:40:57.630000,1080,1920,584,425
2022-10-15 22:40:57.650000,1080,1920,584,431
2022-10-15 22:40:57.670000,1080,1920,589,431
2022-10-15 22:40:57.680000,1080,1920,582,423
2022-10-15 22:40:57.700000,1080,1920,581,415
2022-10-15 22:40:57.720000,1080,1920,587,412
2022-10-15 22:40:57.730000,1080,1920,586,418
2022-10-15 22:40:57.750000,1080,1920,588,418
2022-10-15 22:40:57.770000,1080,1920,591,412
2022-10-15 22:40:57.780000,1080,1920,589,409
2022-10-15 22:40:57.800000,1080,1920,589,417
2022-10-15 22:40:57.820000,1080,1920,591,417
2022-10-15 22:40:57.830000,1080,1920,601,383
2022-10-15 22:40:57.850000,1080,1920,622,300
2022-10-15 22:40:57.870000,1080,1920,642,209
2022-10-15 22:40:57.880000,1080,1920,643,219
2022-10-15 22:40:57.900000,1080,1920,643,220
2022-10-15 22:40:57.920000,1080,1920,646,217
2022-10-15 22:40:57.930000,1080,1920,648,221
2022-10-15 22:40:57.950000,1080,1920,648,219
2022-10-15 22:40:57.970000,1080,1920,644,214
2022-10-15 22:40:57.980000,1080,1920,643,218
2022-10-15 22:40:58,1080,1920,645,223
2022-10-15 22:40:58.020000,1080,1920,644,224
2022-10-15 22:40:58.030000,1080,1920,642,220
2022-10-15 22:40:58.050000,1080,1920,643,220
2022-10-15 22:40:58.070000,1080,1920,646,224
2022-10-15 22:40:58.080000,1080,1920,644,227
2022-10-15 22:40:58.100000,1080,1920,642,233
2022-10-15 22:40:58.120000,1080,1920,643,235
2022-10-15 22:40:58.130000,1080,1920,641,233
2022-10-15 22:40:58.150000,1080,1920,644,238
2022-10-15 22:40:58.170000,1080,1920,645,230
2022-10-15 22:40:58.180000,1080,1920,642,231
2022-10-15 22:40:58.200000,1080,1920,643,236
2022-10-15 22:40:58.220000,1080,1920,639,232
2022-10-15 22:40:58.230000,1080,1920,641,232
2022-10-15 22:40:58.250000,1080,1920,645,224
2022-10-15 22:40:58.270000,1080,1920,640,223
2022-10-15 22:40:58.280000,1080,1920,636,228
2022-10-15 22:40:58.300000,1080,1920,637,224
2022-10-15 22:40:58.320000,1080,1920,637,224
2022-10-15 22:40:58.330000,1080,1920,636,219
2022-10-15 22:40:58.350000,1080,1920,637,215
2022-10-15 22:40:58.370000,1080,1920,640,220
2022-10-15 22:40:58.380000,1080,1920,640,217
2022-10-15 22:40:58.400000,1080,1920,635,217
2022-10-15 22:40:58.420000,1080,1920,637,220
2022-10-15 22:40:58.430000,1080,1920,639,221
2022-10-15 22:40:58.450000,1080,1920,635,218
2022-10-15 22:40:58.470000,1080,1920,639,214
2022-10-15 22:40:58.480000,1080,1920,640,214
2022-10-15 22:40:58.500000,1080,1920,636,206
2022-10-15 22:40:58.520000,1080,1920,631,204
2022-10-15 22:40:58.530000,1080,1920,629,214
2022-10-15 22:40:58.550000,1080,1920,631,212
2022-10-15 22:40:58.630000,1080,1920,456,377
2022-10-15 22:40:58.650000,1080,1920,537,353
2022-10-15 22:40:58.670000,1080,1920,548,346
2022-10-15 22:40:58.680000,1080,1920,564,312
2022-10-15 22:40:58.700000,1080,1920,570,316
2022-10-15 22:40:58.720000,1080,1920,575,309
2022-10-15 22:40:58.730000,1080,1920,570,306
2022-10-15 22:40:58.750000,1080,1920,558,300
2022-10-15 22:40:58.770000,1080,1920,561,313
2022-10-15 22:40:58.780000,1080,1920,632,328
2022-10-15 22:40:58.800000,1080,1920,678,324
2022-10-15 22:40:58.970000,1080,1920,825,263
2022-10-15 22:40:58.980000,1080,1920,807,327
