time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:40:59,1080,1920,800,354
2022-10-15 22:40:59.020000,1080,1920,795,324
2022-10-15 22:40:59.030000,1080,1920,790,322
2022-10-15 22:40:59.050000,1080,1920,794,328
2022-10-15 22:40:59.070000,1080,1920,794,334
2022-10-15 22:40:59.080000,1080,1920,798,341
2022-10-15 22:40:59.100000,1080,1920,796,336
2022-10-15 22:40:59.120000,1080,1920,793,333
2022-10-15 22:40:59.130000,1080,1920,794,327
2022-10-15 22:40:59.150000,1080,1920,755,305
2022-10-15 22:40:59.170000,1080,1920,722,300
2022-10-15 22:40:59.200000,1080,1920,664,297
2022-10-15 22:40:59.220000,1080,1920,667,295
2022-10-15 22:40:59.230000,1080,1920,662,292
2022-10-15 22:40:59.250000,1080,1920,661,292
2022-10-15 22:40:59.270000,1080,1920,665,292
2022-10-15 22:40:59.280000,1080,1920,659,285
2022-10-15 22:40:59.300000,1080,1920,660,289
2022-10-15 22:40:59.320000,1080,1920,661,291
2022-10-15 22:40:59.330000,1080,1920,660,286
2022-10-15 22:40:59.350000,1080,1920,661,296
2022-10-15 22:40:59.370000,1080,1920,665,303
2022-10-15 22:40:59.380000,1080,1920,664,297
2022-10-15 22:40:59.400000,1080,1920,657,293
2022-10-15 22:40:59.420000,1080,1920,656,301
2022-10-15 22:40:59.430000,1080,1920,660,298
2022-10-15 22:40:59.450000,1080,1920,662,297
2022-10-15 22:40:59.470000,1080,1920,662,297
2022-10-15 22:40:59.480000,1080,1920,666,297
2022-10-15 22:40:59.500000,1080,1920,673,299
2022-10-15 22:40:59.510000,1080,1920,682,301
2022-10-15 22:40:59.530000,1080,1920,683,297
2022-10-15 22:40:59.550000,1080,1920,685,291
2022-10-15 22:40:59.560000,1080,1920,685,291
2022-10-15 22:40:59.580000,1080,1920,685,299
2022-10-15 22:40:59.600000,1080,1920,681,294
2022-10-15 22:40:59.620000,1080,1920,677,289
2022-10-15 22:40:59.630000,1080,1920,680,290
2022-10-15 22:40:59.650000,1080,1920,677,290
2022-10-15 22:40:59.670000,1080,1920,676,291
2022-10-15 22:40:59.680000,1080,1920,674,291
2022-10-15 22:40:59.700000,1080,1920,677,290
2022-10-15 22:40:59.720000,1080,1920,678,296
2022-10-15 22:40:59.730000,1080,1920,674,296
2022-10-15 22:40:59.750000,1080,1920,677,289
2022-10-15 22:40:59.760000,1080,1920,680,290
2022-10-15 22:40:59.780000,1080,1920,681,289
2022-10-15 22:40:59.800000,1080,1920,679,289
2022-10-15 22:40:59.810000,1080,1920,681,287
2022-10-15 22:40:59.830000,1080,1920,679,283
2022-10-15 22:40:59.850000,1080,1920,679,285
2022-10-15 22:40:59.870000,1080,1920,679,287
2022-10-15 22:40:59.880000,1080,1920,677,287
2022-10-15 22:40:59.900000,1080,1920,675,295
2022-10-15 22:40:59.920000,1080,1920,678,292
2022-10-15 22:40:59.930000,1080,1920,677,286
2022-10-15 22:40:59.950000,1080,1920,675,280
2022-10-15 22:40:59.970000,1080,1920,679,280
2022-10-15 22:40:59.980000,1080,1920,681,290
2022-10-15 22:41:00,1080,1920,679,291
2022-10-15 22:41:00.010000,1080,1920,673,286
2022-10-15 22:41:00.030000,1080,1920,676,290
2022-10-15 22:41:00.050000,1080,1920,676,289
2022-10-15 22:41:00.060000,1080,1920,672,279
2022-10-15 22:41:00.080000,1080,1920,672,282
2022-10-15 22:41:00.100000,1080,1920,672,286
2022-10-15 22:41:00.120000,1080,1920,673,278
2022-10-15 22:41:00.130000,1080,1920,701,269
2022-10-15 22:41:00.150000,1080,1920,764,270
2022-10-15 22:41:00.170000,1080,1920,768,271
2022-10-15 22:41:00.180000,1080,1920,767,285
2022-10-15 22:41:00.200000,1080,1920,771,284
2022-10-15 22:41:00.220000,1080,1920,767,283
2022-10-15 22:41:00.230000,1080,1920,769,285
2022-10-15 22:41:00.250000,1080,1920,774,272
2022-10-15 22:41:00.260000,1080,1920,774,261
2022-10-15 22:41:00.280000,1080,1920,775,261
2022-10-15 22:41:00.310000,1080,1920,661,256
2022-10-15 22:41:00.330000,1080,1920,662,262
2022-10-15 22:41:00.350000,1080,1920,665,255
2022-10-15 22:41:00.370000,1080,1920,666,250
2022-10-15 22:41:00.380000,1080,1920,670,248
2022-10-15 22:41:00.400000,1080,1920,671,250
2022-10-15 22:41:00.630000,1080,1920,670,242
2022-10-15 22:41:00.650000,1080,1920,616,283
2022-10-15 22:41:00.670000,1080,1920,586,300
2022-10-15 22:41:00.680000,1080,1920,590,300
2022-10-15 22:41:00.700000,1080,1920,593,304
2022-10-15 22:41:00.720000,1080,1920,595,299
