time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:41:05.010000,1080,1920,950,373
2022-10-15 22:41:05.030000,1080,1920,945,385
2022-10-15 22:41:05.180000,1080,1920,1049,407
2022-10-15 22:41:05.190000,1080,1920,1045,393
2022-10-15 22:41:05.210000,1080,1920,1056,351
2022-10-15 22:41:05.230000,1080,1920,1064,372
2022-10-15 22:41:05.240000,1080,1920,1065,361
2022-10-15 22:41:05.260000,1080,1920,1060,350
2022-10-15 22:41:05.280000,1080,1920,1052,345
2022-10-15 22:41:05.300000,1080,1920,1056,358
2022-10-15 22:41:05.310000,1080,1920,1058,365
2022-10-15 22:41:05.330000,1080,1920,1061,361
2022-10-15 22:41:05.350000,1080,1920,1068,366
2022-10-15 22:41:05.360000,1080,1920,1073,361
2022-10-15 22:41:05.380000,1080,1920,1072,361
2022-10-15 22:41:05.410000,1080,1920,1058,354
2022-10-15 22:41:05.430000,1080,1920,1056,358
2022-10-15 22:41:05.440000,1080,1920,995,360
2022-10-15 22:41:05.460000,1080,1920,948,362
2022-10-15 22:41:05.480000,1080,1920,876,366
2022-10-15 22:41:05.490000,1080,1920,878,379
2022-10-15 22:41:05.510000,1080,1920,881,387
2022-10-15 22:41:05.530000,1080,1920,883,397
2022-10-15 22:41:05.540000,1080,1920,875,406
2022-10-15 22:41:05.560000,1080,1920,872,400
2022-10-15 22:41:05.580000,1080,1920,874,388
2022-10-15 22:41:05.590000,1080,1920,872,382
2022-10-15 22:41:05.610000,1080,1920,872,395
2022-10-15 22:41:05.630000,1080,1920,876,398
2022-10-15 22:41:05.640000,1080,1920,880,398
2022-10-15 22:41:05.660000,1080,1920,883,393
2022-10-15 22:41:05.680000,1080,1920,931,376
2022-10-15 22:41:05.690000,1080,1920,971,366
2022-10-15 22:41:05.710000,1080,1920,990,368
2022-10-15 22:41:05.730000,1080,1920,989,370
2022-10-15 22:41:05.740000,1080,1920,991,365
2022-10-15 22:41:05.760000,1080,1920,990,371
2022-10-15 22:41:05.780000,1080,1920,992,370
2022-10-15 22:41:05.790000,1080,1920,991,365
2022-10-15 22:41:05.810000,1080,1920,989,367
2022-10-15 22:41:05.830000,1080,1920,991,365
2022-10-15 22:41:05.840000,1080,1920,991,372
2022-10-15 22:41:05.860000,1080,1920,985,374
2022-10-15 22:41:05.880000,1080,1920,895,371
2022-10-15 22:41:05.890000,1080,1920,860,381
2022-10-15 22:41:05.910000,1080,1920,866,387
2022-10-15 22:41:05.930000,1080,1920,866,393
2022-10-15 22:41:05.940000,1080,1920,864,399
2022-10-15 22:41:05.960000,1080,1920,866,397
2022-10-15 22:41:05.980000,1080,1920,871,385
2022-10-15 22:41:05.990000,1080,1920,871,380
2022-10-15 22:41:06.010000,1080,1920,871,383
2022-10-15 22:41:06.030000,1080,1920,868,377
2022-10-15 22:41:06.040000,1080,1920,866,380
2022-10-15 22:41:06.060000,1080,1920,862,377
2022-10-15 22:41:06.080000,1080,1920,860,379
2022-10-15 22:41:06.090000,1080,1920,864,385
2022-10-15 22:41:06.110000,1080,1920,867,376
2022-10-15 22:41:06.130000,1080,1920,863,378
2022-10-15 22:41:06.140000,1080,1920,862,379
2022-10-15 22:41:06.160000,1080,1920,862,383
2022-10-15 22:41:06.180000,1080,1920,863,398
2022-10-15 22:41:06.190000,1080,1920,869,401
2022-10-15 22:41:06.210000,1080,1920,869,400
2022-10-15 22:41:06.230000,1080,1920,863,402
2022-10-15 22:41:06.240000,1080,1920,862,388
2022-10-15 22:41:06.260000,1080,1920,869,380
2022-10-15 22:41:06.280000,1080,1920,868,386
2022-10-15 22:41:06.290000,1080,1920,863,388
2022-10-15 22:41:06.310000,1080,1920,861,401
2022-10-15 22:41:06.330000,1080,1920,863,402
2022-10-15 22:41:06.380000,1080,1920,999,334
2022-10-15 22:41:06.390000,1080,1920,1006,340
2022-10-15 22:41:06.410000,1080,1920,1011,343
2022-10-15 22:41:06.430000,1080,1920,1006,345
2022-10-15 22:41:06.440000,1080,1920,1009,340
2022-10-15 22:41:06.460000,1080,1920,1013,337
2022-10-15 22:41:06.480000,1080,1920,1003,344
2022-10-15 22:41:06.490000,1080,1920,1006,346
2022-10-15 22:41:06.510000,1080,1920,1007,351
2022-10-15 22:41:06.530000,1080,1920,1010,347
2022-10-15 22:41:06.540000,1080,1920,1011,341
2022-10-15 22:41:06.560000,1080,1920,1007,342
2022-10-15 22:41:06.580000,1080,1920,1007,345
2022-10-15 22:41:06.590000,1080,1920,1012,349
2022-10-15 22:41:06.610000,1080,1920,1012,344
2022-10-15 22:41:06.630000,1080,1920,1011,343
2022-10-15 22:41:06.640000,1080,1920,1012,344
2022-10-15 22:41:06.660000,1080,1920,1005,337
2022-10-15 22:41:06.680000,1080,1920,1007,345
2022-10-15 22:41:06.690000,1080,1920,1014,347
2022-10-15 22:41:06.710000,1080,1920,1012,342
2022-10-15 22:41:06.730000,1080,1920,1008,347
2022-10-15 22:41:06.740000,1080,1920,1007,345
2022-10-15 22:41:06.760000,1080,1920,1007,343
2022-10-15 22:41:06.780000,1080,1920,1068,342
2022-10-15 22:41:06.790000,1080,1920,1094,343
2022-10-15 22:41:06.810000,1080,1920,1081,342
2022-10-15 22:41:06.830000,1080,1920,1078,340
2022-10-15 22:41:06.840000,1080,1920,1081,340
2022-10-15 22:41:06.860000,1080,1920,1083,339
2022-10-15 22:41:06.880000,1080,1920,1076,341
2022-10-15 22:41:06.890000,1080,1920,1079,345
2022-10-15 22:41:06.910000,1080,1920,1088,344
2022-10-15 22:41:06.930000,1080,1920,1089,338
2022-10-15 22:41:06.940000,1080,1920,1087,340
2022-10-15 22:41:06.960000,1080,1920,1085,342
2022-10-15 22:41:06.980000,1080,1920,1089,334
2022-10-15 22:41:06.990000,1080,1920,1087,338
2022-10-15 22:41:07.010000,1080,1920,1084,351
2022-10-15 22:41:07.030000,1080,1920,1087,354
2022-10-15 22:41:07.040000,1080,1920,1087,347
2022-10-15 22:41:07.060000,1080,1920,1085,342
2022-10-15 22:41:07.080000,1080,1920,1082,347
2022-10-15 22:41:07.090000,1080,1920,1081,351
2022-10-15 22:41:07.110000,1080,1920,1084,346
2022-10-15 22:41:07.130000,1080,1920,1087,342
2022-10-15 22:41:07.140000,1080,1920,1091,340
2022-10-15 22:41:07.160000,1080,1920,1089,337
2022-10-15 22:41:07.180000,1080,1920,1122,358
2022-10-15 22:41:07.190000,1080,1920,1138,393
