time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:41:47.350000,1080,1920,1206,281
2022-10-15 22:41:47.370000,1080,1920,1156,202
2022-10-15 22:41:47.380000,1080,1920,993,87
2022-10-15 22:41:47.400000,1080,1920,1139,144
2022-10-15 22:41:47.410000,1080,1920,1141,168
2022-10-15 22:41:47.430000,1080,1920,1138,168
2022-10-15 22:41:47.450000,1080,1920,1144,169
2022-10-15 22:41:47.460000,1080,1920,1146,167
2022-10-15 22:41:47.480000,1080,1920,1042,198
2022-10-15 22:41:47.500000,1080,1920,996,229
2022-10-15 22:41:47.510000,1080,1920,785,335
2022-10-15 22:41:47.530000,1080,1920,782,338
2022-10-15 22:41:47.550000,1080,1920,786,346
2022-10-15 22:41:47.560000,1080,1920,789,347
2022-10-15 22:41:47.580000,1080,1920,789,336
2022-10-15 22:41:47.600000,1080,1920,788,332
2022-10-15 22:41:47.610000,1080,1920,782,336
2022-10-15 22:41:47.630000,1080,1920,780,350
2022-10-15 22:41:47.650000,1080,1920,786,333
2022-10-15 22:41:47.660000,1080,1920,789,340
2022-10-15 22:41:47.680000,1080,1920,791,354
2022-10-15 22:41:47.700000,1080,1920,792,357
2022-10-15 22:41:47.710000,1080,1920,791,361
2022-10-15 22:41:47.730000,1080,1920,787,354
2022-10-15 22:41:47.750000,1080,1920,787,352
2022-10-15 22:41:47.760000,1080,1920,790,351
2022-10-15 22:41:47.780000,1080,1920,790,345
2022-10-15 22:41:47.800000,1080,1920,789,348
2022-10-15 22:41:47.810000,1080,1920,789,353
2022-10-15 22:41:47.830000,1080,1920,791,355
2022-10-15 22:41:47.850000,1080,1920,789,352
2022-10-15 22:41:47.860000,1080,1920,785,349
2022-10-15 22:41:47.880000,1080,1920,786,352
2022-10-15 22:41:47.900000,1080,1920,790,354
2022-10-15 22:41:47.910000,1080,1920,787,354
2022-10-15 22:41:47.930000,1080,1920,786,355
2022-10-15 22:41:47.950000,1080,1920,784,359
2022-10-15 22:41:47.960000,1080,1920,783,353
2022-10-15 22:41:47.980000,1080,1920,787,350
2022-10-15 22:41:48,1080,1920,790,352
2022-10-15 22:41:48.010000,1080,1920,788,351
2022-10-15 22:41:48.030000,1080,1920,784,352
2022-10-15 22:41:48.050000,1080,1920,785,352
2022-10-15 22:41:48.060000,1080,1920,784,356
2022-10-15 22:41:48.080000,1080,1920,786,355
2022-10-15 22:41:48.100000,1080,1920,786,351
2022-10-15 22:41:48.110000,1080,1920,783,358
2022-10-15 22:41:48.130000,1080,1920,786,359
2022-10-15 22:41:48.150000,1080,1920,789,350
2022-10-15 22:41:48.160000,1080,1920,791,351
2022-10-15 22:41:48.180000,1080,1920,794,356
2022-10-15 22:41:48.200000,1080,1920,792,359
2022-10-15 22:41:48.210000,1080,1920,789,349
2022-10-15 22:41:48.230000,1080,1920,790,346
2022-10-15 22:41:48.250000,1080,1920,787,347
2022-10-15 22:41:48.260000,1080,1920,783,344
2022-10-15 22:41:48.280000,1080,1920,808,371
2022-10-15 22:41:48.300000,1080,1920,823,399
2022-10-15 22:41:48.310000,1080,1920,820,419
2022-10-15 22:41:48.330000,1080,1920,818,410
