time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:41:59.190000,1080,1920,1153,429
2022-10-15 22:41:59.210000,1080,1920,1158,416
2022-10-15 22:41:59.220000,1080,1920,1158,417
2022-10-15 22:41:59.240000,1080,1920,1154,432
2022-10-15 22:41:59.260000,1080,1920,1165,439
2022-10-15 22:41:59.270000,1080,1920,1192,445
2022-10-15 22:41:59.290000,1080,1920,1192,443
2022-10-15 22:41:59.310000,1080,1920,1196,441
2022-10-15 22:41:59.320000,1080,1920,1196,444
2022-10-15 22:41:59.340000,1080,1920,1200,443
2022-10-15 22:41:59.360000,1080,1920,1203,443
2022-10-15 22:41:59.370000,1080,1920,1197,439
2022-10-15 22:41:59.390000,1080,1920,1194,436
2022-10-15 22:41:59.410000,1080,1920,1194,446
2022-10-15 22:41:59.420000,1080,1920,1195,447
2022-10-15 22:41:59.440000,1080,1920,1197,435
2022-10-15 22:41:59.460000,1080,1920,1177,430
2022-10-15 22:41:59.470000,1080,1920,1072,428
2022-10-15 22:41:59.490000,1080,1920,1071,423
2022-10-15 22:41:59.510000,1080,1920,1073,415
2022-10-15 22:41:59.520000,1080,1920,1076,414
2022-10-15 22:41:59.540000,1080,1920,1067,418
2022-10-15 22:41:59.560000,1080,1920,1066,417
2022-10-15 22:41:59.570000,1080,1920,1074,414
2022-10-15 22:41:59.590000,1080,1920,1074,412
2022-10-15 22:41:59.610000,1080,1920,1075,410
2022-10-15 22:41:59.620000,1080,1920,1077,413
2022-10-15 22:41:59.640000,1080,1920,1071,414
2022-10-15 22:41:59.660000,1080,1920,1068,410
2022-10-15 22:41:59.670000,1080,1920,1075,415
2022-10-15 22:41:59.690000,1080,1920,1078,420
2022-10-15 22:41:59.710000,1080,1920,1074,419
2022-10-15 22:41:59.720000,1080,1920,1070,411
2022-10-15 22:41:59.740000,1080,1920,1062,430
2022-10-15 22:41:59.760000,1080,1920,1065,452
2022-10-15 22:41:59.940000,1080,1920,1082,428
2022-10-15 22:41:59.950000,1080,1920,1082,443
2022-10-15 22:41:59.970000,1080,1920,1073,400
2022-10-15 22:41:59.990000,1080,1920,1067,398
2022-10-15 22:42:00,1080,1920,1074,400
2022-10-15 22:42:00.020000,1080,1920,1073,401
2022-10-15 22:42:00.040000,1080,1920,1051,380
2022-10-15 22:42:00.060000,1080,1920,1055,378
2022-10-15 22:42:00.070000,1080,1920,1079,408
2022-10-15 22:42:00.090000,1080,1920,1075,407
2022-10-15 22:42:00.110000,1080,1920,1072,404
2022-10-15 22:42:00.120000,1080,1920,1076,411
2022-10-15 22:42:00.140000,1080,1920,1068,416
2022-10-15 22:42:00.160000,1080,1920,1071,417
2022-10-15 22:42:00.170000,1080,1920,1069,416
2022-10-15 22:42:00.190000,1080,1920,1065,412
2022-10-15 22:42:00.200000,1080,1920,1068,408
2022-10-15 22:42:00.220000,1080,1920,1068,413
2022-10-15 22:42:00.240000,1080,1920,1065,420
2022-10-15 22:42:00.250000,1080,1920,1068,413
2022-10-15 22:42:00.270000,1080,1920,1067,409
2022-10-15 22:42:00.290000,1080,1920,1067,409
2022-10-15 22:42:00.300000,1080,1920,1065,416
2022-10-15 22:42:00.320000,1080,1920,1066,428
2022-10-15 22:42:00.340000,1080,1920,1127,450
2022-10-15 22:42:00.360000,1080,1920,1175,466
2022-10-15 22:42:00.370000,1080,1920,1233,463
2022-10-15 22:42:00.390000,1080,1920,1230,464
2022-10-15 22:42:00.410000,1080,1920,1231,470
2022-10-15 22:42:00.420000,1080,1920,1229,474
2022-10-15 22:42:00.440000,1080,1920,1224,468
2022-10-15 22:42:00.450000,1080,1920,1225,460
2022-10-15 22:42:00.470000,1080,1920,1229,460
2022-10-15 22:42:00.490000,1080,1920,1231,458
2022-10-15 22:42:00.500000,1080,1920,1232,457
2022-10-15 22:42:00.520000,1080,1920,1232,459
2022-10-15 22:42:00.540000,1080,1920,1231,450
2022-10-15 22:42:00.560000,1080,1920,1232,440
2022-10-15 22:42:00.570000,1080,1920,1234,444
2022-10-15 22:42:00.590000,1080,1920,1236,448
2022-10-15 22:42:00.610000,1080,1920,1227,448
2022-10-15 22:42:00.620000,1080,1920,1223,450
2022-10-15 22:42:00.640000,1080,1920,1222,445
2022-10-15 22:42:00.660000,1080,1920,1227,438
2022-10-15 22:42:00.670000,1080,1920,1227,440
2022-10-15 22:42:00.690000,1080,1920,1226,442
2022-10-15 22:42:00.700000,1080,1920,1233,442
2022-10-15 22:42:00.720000,1080,1920,1227,447
2022-10-15 22:42:00.740000,1080,1920,1220,448
2022-10-15 22:42:00.750000,1080,1920,1219,445
2022-10-15 22:42:00.770000,1080,1920,1220,454
2022-10-15 22:42:00.790000,1080,1920,1223,455
2022-10-15 22:42:00.800000,1080,1920,1210,464
2022-10-15 22:42:00.820000,1080,1920,1177,497
2022-10-15 22:42:00.840000,1080,1920,1119,581
2022-10-15 22:42:00.860000,1080,1920,1119,587
2022-10-15 22:42:00.870000,1080,1920,1119,583
2022-10-15 22:42:00.890000,1080,1920,1121,583
2022-10-15 22:42:00.910000,1080,1920,1123,578
2022-10-15 22:42:00.920000,1080,1920,1121,580
2022-10-15 22:42:00.940000,1080,1920,1120,586
2022-10-15 22:42:00.950000,1080,1920,1121,585
2022-10-15 22:42:00.970000,1080,1920,1119,587
2022-10-15 22:42:00.990000,1080,1920,1116,588
2022-10-15 22:42:01,1080,1920,1118,582
2022-10-15 22:42:01.020000,1080,1920,1120,583
2022-10-15 22:42:01.040000,1080,1920,1115,591
2022-10-15 22:42:01.060000,1080,1920,1112,587
2022-10-15 22:42:01.070000,1080,1920,1120,572
2022-10-15 22:42:01.090000,1080,1920,1122,577
2022-10-15 22:42:01.110000,1080,1920,1118,591
2022-10-15 22:42:01.120000,1080,1920,1120,591
2022-10-15 22:42:01.140000,1080,1920,1113,596
2022-10-15 22:42:01.160000,1080,1920,1111,598
2022-10-15 22:42:01.170000,1080,1920,1113,596
