time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:42:05.200000,1080,1920,1012,397
2022-10-15 22:42:05.220000,1080,1920,1015,398
2022-10-15 22:42:05.240000,1080,1920,1015,385
2022-10-15 22:42:05.250000,1080,1920,1018,384
2022-10-15 22:42:05.270000,1080,1920,1019,399
2022-10-15 22:42:05.290000,1080,1920,1013,395
2022-10-15 22:42:05.300000,1080,1920,1010,395
2022-10-15 22:42:05.320000,1080,1920,996,394
2022-10-15 22:42:05.330000,1080,1920,955,414
2022-10-15 22:42:05.350000,1080,1920,959,428
2022-10-15 22:42:05.370000,1080,1920,971,427
2022-10-15 22:42:05.380000,1080,1920,976,416
2022-10-15 22:42:05.400000,1080,1920,955,431
2022-10-15 22:42:05.550000,1080,1920,937,373
2022-10-15 22:42:05.570000,1080,1920,937,421
2022-10-15 22:42:05.580000,1080,1920,930,395
2022-10-15 22:42:05.600000,1080,1920,784,357
2022-10-15 22:42:05.620000,1080,1920,713,374
2022-10-15 22:42:05.630000,1080,1920,681,339
2022-10-15 22:42:05.650000,1080,1920,694,341
2022-10-15 22:42:05.670000,1080,1920,684,346
2022-10-15 22:42:05.680000,1080,1920,679,341
2022-10-15 22:42:05.700000,1080,1920,673,340
2022-10-15 22:42:05.720000,1080,1920,673,341
2022-10-15 22:42:05.740000,1080,1920,666,338
2022-10-15 22:42:05.750000,1080,1920,665,341
2022-10-15 22:42:05.770000,1080,1920,671,340
2022-10-15 22:42:05.790000,1080,1920,665,335
2022-10-15 22:42:05.800000,1080,1920,668,332
2022-10-15 22:42:05.820000,1080,1920,669,329
2022-10-15 22:42:05.830000,1080,1920,671,332
2022-10-15 22:42:05.850000,1080,1920,670,337
2022-10-15 22:42:05.870000,1080,1920,669,333
2022-10-15 22:42:05.880000,1080,1920,668,328
2022-10-15 22:42:05.900000,1080,1920,671,333
2022-10-15 22:42:05.920000,1080,1920,673,341
2022-10-15 22:42:05.930000,1080,1920,669,346
2022-10-15 22:42:05.950000,1080,1920,675,338
2022-10-15 22:42:05.970000,1080,1920,673,340
2022-10-15 22:42:05.990000,1080,1920,672,344
2022-10-15 22:42:06,1080,1920,668,344
2022-10-15 22:42:06.020000,1080,1920,664,341
2022-10-15 22:42:06.030000,1080,1920,669,342
2022-10-15 22:42:06.050000,1080,1920,668,343
2022-10-15 22:42:06.070000,1080,1920,668,342
2022-10-15 22:42:06.080000,1080,1920,668,346
2022-10-15 22:42:06.100000,1080,1920,667,347
2022-10-15 22:42:06.120000,1080,1920,668,346
2022-10-15 22:42:06.130000,1080,1920,669,347
2022-10-15 22:42:06.150000,1080,1920,657,345
2022-10-15 22:42:06.170000,1080,1920,593,380
2022-10-15 22:42:06.180000,1080,1920,591,393
2022-10-15 22:42:06.200000,1080,1920,589,395
2022-10-15 22:42:06.220000,1080,1920,590,396
2022-10-15 22:42:06.230000,1080,1920,586,394
2022-10-15 22:42:06.250000,1080,1920,585,393
2022-10-15 22:42:06.270000,1080,1920,590,398
2022-10-15 22:42:06.280000,1080,1920,585,396
2022-10-15 22:42:06.300000,1080,1920,587,395
2022-10-15 22:42:06.320000,1080,1920,592,399
2022-10-15 22:42:06.330000,1080,1920,591,398
2022-10-15 22:42:06.350000,1080,1920,591,399
2022-10-15 22:42:06.370000,1080,1920,588,405
2022-10-15 22:42:06.380000,1080,1920,589,401
2022-10-15 22:42:06.400000,1080,1920,641,386
2022-10-15 22:42:06.420000,1080,1920,670,373
2022-10-15 22:42:06.430000,1080,1920,674,362
2022-10-15 22:42:06.450000,1080,1920,676,367
2022-10-15 22:42:06.470000,1080,1920,675,373
2022-10-15 22:42:06.480000,1080,1920,678,369
2022-10-15 22:42:06.500000,1080,1920,674,366
2022-10-15 22:42:06.520000,1080,1920,672,361
2022-10-15 22:42:06.530000,1080,1920,678,359
2022-10-15 22:42:06.550000,1080,1920,674,358
2022-10-15 22:42:06.570000,1080,1920,670,358
2022-10-15 22:42:06.580000,1080,1920,673,359
2022-10-15 22:42:06.600000,1080,1920,666,355
2022-10-15 22:42:06.620000,1080,1920,667,363
2022-10-15 22:42:06.630000,1080,1920,673,366
2022-10-15 22:42:06.650000,1080,1920,675,358
2022-10-15 22:42:06.670000,1080,1920,673,358
2022-10-15 22:42:06.680000,1080,1920,671,361
2022-10-15 22:42:06.700000,1080,1920,669,351
2022-10-15 22:42:06.720000,1080,1920,684,358
2022-10-15 22:42:06.730000,1080,1920,706,373
2022-10-15 22:42:06.750000,1080,1920,706,371
2022-10-15 22:42:06.770000,1080,1920,709,365
2022-10-15 22:42:06.780000,1080,1920,708,364
2022-10-15 22:42:06.800000,1080,1920,703,364
