time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:42:23.220000,1080,1920,914,306
2022-10-15 22:42:23.240000,1080,1920,916,307
2022-10-15 22:42:23.250000,1080,1920,914,305
2022-10-15 22:42:23.270000,1080,1920,921,304
2022-10-15 22:42:23.290000,1080,1920,915,317
2022-10-15 22:42:23.300000,1080,1920,900,321
2022-10-15 22:42:23.490000,1080,1920,1034,314
2022-10-15 22:42:23.500000,1080,1920,1030,311
2022-10-15 22:42:23.520000,1080,1920,1032,312
2022-10-15 22:42:23.540000,1080,1920,1030,304
2022-10-15 22:42:23.560000,1080,1920,1017,279
2022-10-15 22:42:23.590000,1080,1920,1039,316
2022-10-15 22:42:23.610000,1080,1920,1032,304
2022-10-15 22:42:23.620000,1080,1920,1031,301
2022-10-15 22:42:23.640000,1080,1920,1034,307
2022-10-15 22:42:23.660000,1080,1920,1021,297
2022-10-15 22:42:23.670000,1080,1920,1016,295
2022-10-15 22:42:23.690000,1080,1920,1031,310
2022-10-15 22:42:23.700000,1080,1920,1029,312
2022-10-15 22:42:23.720000,1080,1920,1027,318
2022-10-15 22:42:23.740000,1080,1920,1029,320
2022-10-15 22:42:23.750000,1080,1920,1026,322
2022-10-15 22:42:23.770000,1080,1920,1030,322
2022-10-15 22:42:23.790000,1080,1920,1031,324
2022-10-15 22:42:23.800000,1080,1920,1032,324
2022-10-15 22:42:23.820000,1080,1920,1030,324
2022-10-15 22:42:23.840000,1080,1920,1028,320
2022-10-15 22:42:23.860000,1080,1920,1030,321
2022-10-15 22:42:23.870000,1080,1920,1035,327
2022-10-15 22:42:23.890000,1080,1920,1042,313
2022-10-15 22:42:23.910000,1080,1920,1300,441
2022-10-15 22:42:23.920000,1080,1920,1307,440
2022-10-15 22:42:23.940000,1080,1920,1309,440
2022-10-15 22:42:23.950000,1080,1920,1311,449
2022-10-15 22:42:23.970000,1080,1920,1314,447
2022-10-15 22:42:23.990000,1080,1920,1312,442
2022-10-15 22:42:24,1080,1920,1311,444
2022-10-15 22:42:24.020000,1080,1920,1317,443
2022-10-15 22:42:24.040000,1080,1920,1317,447
2022-10-15 22:42:24.060000,1080,1920,1313,447
2022-10-15 22:42:24.070000,1080,1920,1317,446
2022-10-15 22:42:24.090000,1080,1920,1325,435
2022-10-15 22:42:24.110000,1080,1920,1317,432
2022-10-15 22:42:24.120000,1080,1920,1321,442
2022-10-15 22:42:24.140000,1080,1920,1320,444
