time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:42:29.240000,1080,1920,918,300
2022-10-15 22:42:29.250000,1080,1920,856,366
2022-10-15 22:42:29.270000,1080,1920,834,421
2022-10-15 22:42:29.280000,1080,1920,838,463
2022-10-15 22:42:29.300000,1080,1920,836,458
2022-10-15 22:42:29.320000,1080,1920,833,462
2022-10-15 22:42:29.330000,1080,1920,837,464
2022-10-15 22:42:29.350000,1080,1920,837,464
2022-10-15 22:42:29.370000,1080,1920,838,468
2022-10-15 22:42:29.380000,1080,1920,840,465
2022-10-15 22:42:29.400000,1080,1920,831,469
2022-10-15 22:42:29.420000,1080,1920,834,474
2022-10-15 22:42:29.430000,1080,1920,836,466
2022-10-15 22:42:29.450000,1080,1920,835,458
2022-10-15 22:42:29.470000,1080,1920,835,463
2022-10-15 22:42:29.480000,1080,1920,834,471
2022-10-15 22:42:29.500000,1080,1920,841,475
2022-10-15 22:42:29.520000,1080,1920,830,471
2022-10-15 22:42:29.530000,1080,1920,823,471
2022-10-15 22:42:29.550000,1080,1920,834,480
2022-10-15 22:42:29.570000,1080,1920,831,478
2022-10-15 22:42:29.580000,1080,1920,824,476
2022-10-15 22:42:29.600000,1080,1920,834,476
2022-10-15 22:42:29.620000,1080,1920,832,473
2022-10-15 22:42:29.630000,1080,1920,826,468
2022-10-15 22:42:29.650000,1080,1920,826,466
2022-10-15 22:42:29.670000,1080,1920,825,473
2022-10-15 22:42:29.680000,1080,1920,830,477
2022-10-15 22:42:29.700000,1080,1920,839,478
2022-10-15 22:42:29.720000,1080,1920,839,472
2022-10-15 22:42:29.730000,1080,1920,834,471
2022-10-15 22:42:29.750000,1080,1920,831,470
2022-10-15 22:42:29.770000,1080,1920,828,470
2022-10-15 22:42:29.780000,1080,1920,834,470
2022-10-15 22:42:29.800000,1080,1920,839,435
2022-10-15 22:42:29.820000,1080,1920,837,377
2022-10-15 22:42:29.830000,1080,1920,840,375
2022-10-15 22:42:29.850000,1080,1920,842,373
2022-10-15 22:42:29.870000,1080,1920,841,369
2022-10-15 22:42:29.880000,1080,1920,841,365
2022-10-15 22:42:29.900000,1080,1920,842,367
2022-10-15 22:42:29.920000,1080,1920,845,374
2022-10-15 22:42:29.930000,1080,1920,847,384
2022-10-15 22:42:29.950000,1080,1920,847,379
2022-10-15 22:42:29.970000,1080,1920,841,375
2022-10-15 22:42:29.980000,1080,1920,841,369
2022-10-15 22:42:30,1080,1920,843,363
2022-10-15 22:42:30.020000,1080,1920,844,364
2022-10-15 22:42:30.030000,1080,1920,850,363
2022-10-15 22:42:30.050000,1080,1920,846,366
2022-10-15 22:42:30.070000,1080,1920,838,365
2022-10-15 22:42:30.080000,1080,1920,843,367
