time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:42:35.250000,1080,1920,798,288
2022-10-15 22:42:35.260000,1080,1920,803,291
2022-10-15 22:42:35.280000,1080,1920,804,284
2022-10-15 22:42:35.300000,1080,1920,812,280
2022-10-15 22:42:35.310000,1080,1920,831,290
2022-10-15 22:42:35.330000,1080,1920,1053,205
2022-10-15 22:42:35.350000,1080,1920,1048,214
2022-10-15 22:42:35.360000,1080,1920,1037,215
2022-10-15 22:42:35.380000,1080,1920,1034,216
2022-10-15 22:42:35.400000,1080,1920,1034,219
2022-10-15 22:42:35.410000,1080,1920,1036,233
2022-10-15 22:42:35.430000,1080,1920,1035,233
2022-10-15 22:42:35.450000,1080,1920,1036,231
2022-10-15 22:42:35.460000,1080,1920,1037,230
2022-10-15 22:42:35.480000,1080,1920,1034,227
2022-10-15 22:42:35.500000,1080,1920,1034,233
2022-10-15 22:42:35.510000,1080,1920,1036,239
2022-10-15 22:42:35.530000,1080,1920,1033,238
2022-10-15 22:42:35.550000,1080,1920,1032,240
2022-10-15 22:42:35.560000,1080,1920,1033,242
2022-10-15 22:42:35.580000,1080,1920,1032,243
2022-10-15 22:42:35.600000,1080,1920,1033,239
2022-10-15 22:42:35.610000,1080,1920,1036,238
2022-10-15 22:42:35.630000,1080,1920,1039,235
2022-10-15 22:42:35.650000,1080,1920,1037,232
2022-10-15 22:42:35.660000,1080,1920,1031,235
2022-10-15 22:42:35.680000,1080,1920,1032,241
2022-10-15 22:42:35.700000,1080,1920,1034,243
2022-10-15 22:42:35.710000,1080,1920,1031,243
2022-10-15 22:42:35.730000,1080,1920,1028,240
2022-10-15 22:42:35.750000,1080,1920,1030,242
2022-10-15 22:42:35.760000,1080,1920,1034,250
2022-10-15 22:42:35.780000,1080,1920,1032,251
2022-10-15 22:42:35.800000,1080,1920,1033,251
2022-10-15 22:42:35.810000,1080,1920,1036,253
2022-10-15 22:42:35.830000,1080,1920,1036,260
2022-10-15 22:42:35.850000,1080,1920,1035,262
2022-10-15 22:42:35.860000,1080,1920,1043,258
2022-10-15 22:42:35.880000,1080,1920,1042,259
2022-10-15 22:42:35.900000,1080,1920,1034,255
2022-10-15 22:42:35.910000,1080,1920,1038,252
2022-10-15 22:42:35.930000,1080,1920,1037,255
2022-10-15 22:42:35.950000,1080,1920,1037,258
2022-10-15 22:42:35.960000,1080,1920,1037,255
2022-10-15 22:42:35.980000,1080,1920,1034,254
2022-10-15 22:42:36,1080,1920,1033,262
2022-10-15 22:42:36.010000,1080,1920,1032,260
2022-10-15 22:42:36.030000,1080,1920,1039,250
2022-10-15 22:42:36.050000,1080,1920,1043,253
2022-10-15 22:42:36.060000,1080,1920,1039,256
2022-10-15 22:42:36.080000,1080,1920,1038,255
2022-10-15 22:42:36.100000,1080,1920,1034,255
2022-10-15 22:42:36.110000,1080,1920,1030,252
2022-10-15 22:42:36.130000,1080,1920,1033,252
2022-10-15 22:42:36.150000,1080,1920,1033,257
2022-10-15 22:42:36.160000,1080,1920,1029,258
