time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:42:41.260000,1080,1920,1032,563
2022-10-15 22:42:41.280000,1080,1920,1035,565
2022-10-15 22:42:41.290000,1080,1920,1035,558
2022-10-15 22:42:41.310000,1080,1920,1028,563
2022-10-15 22:42:41.330000,1080,1920,1025,562
2022-10-15 22:42:41.340000,1080,1920,1028,565
2022-10-15 22:42:41.360000,1080,1920,1032,567
2022-10-15 22:42:41.380000,1080,1920,1027,570
2022-10-15 22:42:41.390000,1080,1920,1030,571
2022-10-15 22:42:41.410000,1080,1920,1076,619
2022-10-15 22:42:41.430000,1080,1920,1088,641
2022-10-15 22:42:41.440000,1080,1920,1076,642
2022-10-15 22:42:41.460000,1080,1920,1079,640
2022-10-15 22:42:41.480000,1080,1920,1076,637
2022-10-15 22:42:41.490000,1080,1920,1076,642
2022-10-15 22:42:41.510000,1080,1920,1083,646
2022-10-15 22:42:41.530000,1080,1920,1078,642
2022-10-15 22:42:41.540000,1080,1920,1081,639
2022-10-15 22:42:41.560000,1080,1920,1086,642
2022-10-15 22:42:41.580000,1080,1920,1090,633
2022-10-15 22:42:41.590000,1080,1920,1091,634
2022-10-15 22:42:41.610000,1080,1920,1087,645
2022-10-15 22:42:41.630000,1080,1920,1085,644
2022-10-15 22:42:41.640000,1080,1920,1079,646
2022-10-15 22:42:41.660000,1080,1920,1078,647
2022-10-15 22:42:41.680000,1080,1920,1088,648
2022-10-15 22:42:41.690000,1080,1920,1093,643
2022-10-15 22:42:41.710000,1080,1920,1091,640
2022-10-15 22:42:41.730000,1080,1920,1090,653
2022-10-15 22:42:41.740000,1080,1920,1089,658
2022-10-15 22:42:41.760000,1080,1920,1089,654
2022-10-15 22:42:41.780000,1080,1920,1084,653
2022-10-15 22:42:41.790000,1080,1920,1083,649
2022-10-15 22:42:41.810000,1080,1920,1086,645
2022-10-15 22:42:41.830000,1080,1920,1080,643
2022-10-15 22:42:41.840000,1080,1920,1082,645
2022-10-15 22:42:41.860000,1080,1920,1081,644
2022-10-15 22:42:41.870000,1080,1920,1075,653
2022-10-15 22:42:41.890000,1080,1920,1078,652
2022-10-15 22:42:41.910000,1080,1920,1077,640
2022-10-15 22:42:41.930000,1080,1920,1079,637
2022-10-15 22:42:41.940000,1080,1920,1084,642
2022-10-15 22:42:41.960000,1080,1920,1084,646
2022-10-15 22:42:41.980000,1080,1920,1084,640
2022-10-15 22:42:41.990000,1080,1920,1080,629
2022-10-15 22:42:42.010000,1080,1920,1078,633
2022-10-15 22:42:42.030000,1080,1920,1081,647
2022-10-15 22:42:42.040000,1080,1920,1085,649
2022-10-15 22:42:42.060000,1080,1920,1079,646
2022-10-15 22:42:42.070000,1080,1920,1076,645
2022-10-15 22:42:42.090000,1080,1920,1083,651
2022-10-15 22:42:42.110000,1080,1920,1078,653
2022-10-15 22:42:42.120000,1080,1920,1071,646
2022-10-15 22:42:42.140000,1080,1920,1076,650
2022-10-15 22:42:42.160000,1080,1920,1083,650
2022-10-15 22:42:42.180000,1080,1920,1087,648
2022-10-15 22:42:42.190000,1080,1920,1087,649
2022-10-15 22:42:42.210000,1080,1920,1080,660
2022-10-15 22:42:42.230000,1080,1920,1077,661
2022-10-15 22:42:42.240000,1080,1920,1078,660
2022-10-15 22:42:42.260000,1080,1920,1081,662
2022-10-15 22:42:42.280000,1080,1920,1087,651
2022-10-15 22:42:42.290000,1080,1920,1082,641
2022-10-15 22:42:42.310000,1080,1920,1076,643
2022-10-15 22:42:42.320000,1080,1920,1078,650
2022-10-15 22:42:42.340000,1080,1920,1076,657
2022-10-15 22:42:42.360000,1080,1920,1075,653
2022-10-15 22:42:42.370000,1080,1920,1078,644
2022-10-15 22:42:42.390000,1080,1920,1076,645
2022-10-15 22:42:42.410000,1080,1920,1080,641
2022-10-15 22:42:42.430000,1080,1920,1084,650
2022-10-15 22:42:42.440000,1080,1920,1074,661
2022-10-15 22:42:42.460000,1080,1920,1074,659
2022-10-15 22:42:42.480000,1080,1920,1078,659
