time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:42:47.270000,1080,1920,1072,690
2022-10-15 22:42:47.290000,1080,1920,1074,695
2022-10-15 22:42:47.300000,1080,1920,1073,693
2022-10-15 22:42:47.320000,1080,1920,1071,685
2022-10-15 22:42:47.340000,1080,1920,1070,682
2022-10-15 22:42:47.360000,1080,1920,1072,677
2022-10-15 22:42:47.370000,1080,1920,972,614
2022-10-15 22:42:47.390000,1080,1920,935,598
2022-10-15 22:42:47.410000,1080,1920,568,343
2022-10-15 22:42:47.420000,1080,1920,569,342
2022-10-15 22:42:47.440000,1080,1920,564,340
2022-10-15 22:42:47.450000,1080,1920,561,344
2022-10-15 22:42:47.470000,1080,1920,566,344
2022-10-15 22:42:47.490000,1080,1920,565,345
2022-10-15 22:42:47.500000,1080,1920,564,349
2022-10-15 22:42:47.520000,1080,1920,563,345
2022-10-15 22:42:47.540000,1080,1920,560,333
2022-10-15 22:42:47.560000,1080,1920,561,332
2022-10-15 22:42:47.570000,1080,1920,557,325
2022-10-15 22:42:47.590000,1080,1920,555,320
2022-10-15 22:42:47.610000,1080,1920,559,319
2022-10-15 22:42:47.620000,1080,1920,559,319
2022-10-15 22:42:47.640000,1080,1920,561,335
2022-10-15 22:42:47.660000,1080,1920,559,340
2022-10-15 22:42:47.670000,1080,1920,558,342
2022-10-15 22:42:47.690000,1080,1920,562,346
2022-10-15 22:42:47.700000,1080,1920,562,346
2022-10-15 22:42:47.720000,1080,1920,562,342
2022-10-15 22:42:47.740000,1080,1920,563,339
2022-10-15 22:42:47.750000,1080,1920,559,336
2022-10-15 22:42:47.770000,1080,1920,561,331
2022-10-15 22:42:47.790000,1080,1920,561,336
2022-10-15 22:42:47.800000,1080,1920,562,339
2022-10-15 22:42:47.820000,1080,1920,559,334
2022-10-15 22:42:47.840000,1080,1920,556,332
2022-10-15 22:42:47.860000,1080,1920,564,331
2022-10-15 22:42:47.870000,1080,1920,564,332
2022-10-15 22:42:47.890000,1080,1920,560,336
2022-10-15 22:42:47.910000,1080,1920,560,333
2022-10-15 22:42:47.920000,1080,1920,561,334
2022-10-15 22:42:47.940000,1080,1920,564,330
2022-10-15 22:42:47.950000,1080,1920,567,325
2022-10-15 22:42:47.970000,1080,1920,563,331
2022-10-15 22:42:47.990000,1080,1920,559,330
2022-10-15 22:42:48,1080,1920,558,316
2022-10-15 22:42:48.020000,1080,1920,558,319
2022-10-15 22:42:48.040000,1080,1920,565,333
2022-10-15 22:42:48.050000,1080,1920,572,337
2022-10-15 22:42:48.070000,1080,1920,567,338
2022-10-15 22:42:48.090000,1080,1920,561,337
2022-10-15 22:42:48.100000,1080,1920,564,337
2022-10-15 22:42:48.120000,1080,1920,564,335
2022-10-15 22:42:48.140000,1080,1920,559,334
2022-10-15 22:42:48.150000,1080,1920,562,334
2022-10-15 22:42:48.170000,1080,1920,562,332
2022-10-15 22:42:48.190000,1080,1920,557,331
2022-10-15 22:42:48.200000,1080,1920,561,332
2022-10-15 22:42:48.220000,1080,1920,567,334
