time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:42:59.280000,1080,1920,1131,323
2022-10-15 22:42:59.300000,1080,1920,1132,330
2022-10-15 22:42:59.310000,1080,1920,1129,327
2022-10-15 22:42:59.330000,1080,1920,1060,234
2022-10-15 22:42:59.350000,1080,1920,1049,216
2022-10-15 22:42:59.360000,1080,1920,1041,211
2022-10-15 22:42:59.380000,1080,1920,1047,210
2022-10-15 22:42:59.400000,1080,1920,1047,209
2022-10-15 22:42:59.410000,1080,1920,1046,210
2022-10-15 22:42:59.430000,1080,1920,1042,214
2022-10-15 22:42:59.450000,1080,1920,1042,213
2022-10-15 22:42:59.460000,1080,1920,1047,218
2022-10-15 22:42:59.480000,1080,1920,1044,219
2022-10-15 22:42:59.500000,1080,1920,1042,245
2022-10-15 22:42:59.510000,1080,1920,1048,268
2022-10-15 22:42:59.630000,1080,1920,934,209
2022-10-15 22:42:59.650000,1080,1920,922,152
2022-10-15 22:42:59.660000,1080,1920,922,158
2022-10-15 22:42:59.680000,1080,1920,923,204
2022-10-15 22:42:59.860000,1080,1920,1034,506
2022-10-15 22:42:59.880000,1080,1920,1041,465
2022-10-15 22:42:59.900000,1080,1920,1042,221
2022-10-15 22:42:59.910000,1080,1920,1046,215
2022-10-15 22:42:59.930000,1080,1920,1041,218
2022-10-15 22:42:59.950000,1080,1920,1038,215
2022-10-15 22:42:59.960000,1080,1920,1038,206
2022-10-15 22:42:59.980000,1080,1920,1041,212
2022-10-15 22:43:00,1080,1920,1042,209
2022-10-15 22:43:00.010000,1080,1920,1041,211
2022-10-15 22:43:00.030000,1080,1920,1033,216
2022-10-15 22:43:00.050000,1080,1920,1040,218
2022-10-15 22:43:00.060000,1080,1920,1056,220
2022-10-15 22:43:00.080000,1080,1920,1057,212
2022-10-15 22:43:00.100000,1080,1920,1061,206
2022-10-15 22:43:00.110000,1080,1920,1062,209
2022-10-15 22:43:00.130000,1080,1920,1060,204
2022-10-15 22:43:00.150000,1080,1920,1064,207
2022-10-15 22:43:00.160000,1080,1920,1063,207
2022-10-15 22:43:00.180000,1080,1920,1060,208
2022-10-15 22:43:00.200000,1080,1920,1064,210
2022-10-15 22:43:00.210000,1080,1920,1060,214
2022-10-15 22:43:00.230000,1080,1920,1059,212
2022-10-15 22:43:00.250000,1080,1920,1059,209
2022-10-15 22:43:00.260000,1080,1920,1061,210
2022-10-15 22:43:00.280000,1080,1920,1056,222
2022-10-15 22:43:00.300000,1080,1920,1048,236
2022-10-15 22:43:00.310000,1080,1920,1047,230
2022-10-15 22:43:00.330000,1080,1920,1051,234
2022-10-15 22:43:00.350000,1080,1920,1053,236
2022-10-15 22:43:00.360000,1080,1920,1053,234
2022-10-15 22:43:00.380000,1080,1920,1052,233
2022-10-15 22:43:00.400000,1080,1920,1049,235
2022-10-15 22:43:00.410000,1080,1920,1045,239
2022-10-15 22:43:00.430000,1080,1920,1045,248
2022-10-15 22:43:00.450000,1080,1920,1049,247
2022-10-15 22:43:00.460000,1080,1920,1050,247
2022-10-15 22:43:00.480000,1080,1920,1043,242
2022-10-15 22:43:00.490000,1080,1920,1037,244
2022-10-15 22:43:00.510000,1080,1920,1039,253
2022-10-15 22:43:00.530000,1080,1920,981,232
2022-10-15 22:43:00.550000,1080,1920,951,216
2022-10-15 22:43:00.560000,1080,1920,942,218
2022-10-15 22:43:00.580000,1080,1920,942,227
2022-10-15 22:43:00.600000,1080,1920,944,229
2022-10-15 22:43:00.610000,1080,1920,946,225
2022-10-15 22:43:00.630000,1080,1920,940,223
2022-10-15 22:43:00.640000,1080,1920,942,221
2022-10-15 22:43:00.660000,1080,1920,948,220
2022-10-15 22:43:00.680000,1080,1920,950,215
2022-10-15 22:43:00.690000,1080,1920,951,212
2022-10-15 22:43:00.710000,1080,1920,950,218
2022-10-15 22:43:00.730000,1080,1920,947,220
2022-10-15 22:43:00.740000,1080,1920,944,222
2022-10-15 22:43:00.760000,1080,1920,946,218
2022-10-15 22:43:00.780000,1080,1920,944,222
2022-10-15 22:43:00.800000,1080,1920,940,222
2022-10-15 22:43:00.810000,1080,1920,938,210
2022-10-15 22:43:00.830000,1080,1920,956,198
2022-10-15 22:43:00.850000,1080,1920,1056,201
2022-10-15 22:43:00.860000,1080,1920,1080,210
2022-10-15 22:43:00.880000,1080,1920,1080,214
2022-10-15 22:43:00.890000,1080,1920,1082,211
2022-10-15 22:43:00.910000,1080,1920,1080,210
2022-10-15 22:43:00.930000,1080,1920,1082,213
2022-10-15 22:43:00.940000,1080,1920,1083,213
2022-10-15 22:43:00.960000,1080,1920,1081,217
2022-10-15 22:43:00.980000,1080,1920,1083,221
2022-10-15 22:43:00.990000,1080,1920,1084,226
