time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:43:17.300000,1080,1920,627,275
2022-10-15 22:43:17.320000,1080,1920,631,292
2022-10-15 22:43:17.330000,1080,1920,633,291
2022-10-15 22:43:17.350000,1080,1920,635,296
2022-10-15 22:43:17.370000,1080,1920,635,301
2022-10-15 22:43:17.380000,1080,1920,640,292
2022-10-15 22:43:17.400000,1080,1920,641,285
2022-10-15 22:43:17.420000,1080,1920,636,284
2022-10-15 22:43:17.430000,1080,1920,637,286
2022-10-15 22:43:17.450000,1080,1920,622,271
2022-10-15 22:43:17.470000,1080,1920,588,256
2022-10-15 22:43:17.480000,1080,1920,550,240
2022-10-15 22:43:17.500000,1080,1920,553,241
2022-10-15 22:43:17.520000,1080,1920,553,240
2022-10-15 22:43:17.530000,1080,1920,551,233
2022-10-15 22:43:17.550000,1080,1920,545,231
2022-10-15 22:43:17.570000,1080,1920,545,237
2022-10-15 22:43:17.580000,1080,1920,549,243
2022-10-15 22:43:17.600000,1080,1920,553,241
2022-10-15 22:43:17.620000,1080,1920,550,233
2022-10-15 22:43:17.630000,1080,1920,553,233
2022-10-15 22:43:17.650000,1080,1920,552,235
2022-10-15 22:43:17.670000,1080,1920,544,236
2022-10-15 22:43:17.680000,1080,1920,548,244
2022-10-15 22:43:17.700000,1080,1920,551,247
2022-10-15 22:43:17.720000,1080,1920,551,247
2022-10-15 22:43:17.730000,1080,1920,535,239
2022-10-15 22:43:17.750000,1080,1920,517,230
2022-10-15 22:43:17.770000,1080,1920,516,226
2022-10-15 22:43:17.780000,1080,1920,513,224
2022-10-15 22:43:17.800000,1080,1920,515,222
2022-10-15 22:43:17.820000,1080,1920,521,219
2022-10-15 22:43:17.830000,1080,1920,523,223
2022-10-15 22:43:17.850000,1080,1920,517,242
2022-10-15 22:43:17.870000,1080,1920,521,240
2022-10-15 22:43:17.880000,1080,1920,523,209
2022-10-15 22:43:18.030000,1080,1920,565,230
2022-10-15 22:43:18.050000,1080,1920,514,217
