time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:43:23.300000,1080,1920,936,313
2022-10-15 22:43:23.310000,1080,1920,931,317
2022-10-15 22:43:23.330000,1080,1920,928,310
2022-10-15 22:43:23.350000,1080,1920,929,310
2022-10-15 22:43:23.360000,1080,1920,936,322
2022-10-15 22:43:23.380000,1080,1920,941,315
2022-10-15 22:43:23.400000,1080,1920,947,279
2022-10-15 22:43:23.410000,1080,1920,962,225
2022-10-15 22:43:23.580000,1080,1920,972,325
2022-10-15 22:43:23.600000,1080,1920,952,301
2022-10-15 22:43:23.610000,1080,1920,953,273
2022-10-15 22:43:23.630000,1080,1920,959,278
2022-10-15 22:43:23.650000,1080,1920,962,274
2022-10-15 22:43:23.660000,1080,1920,966,269
2022-10-15 22:43:23.680000,1080,1920,962,270
2022-10-15 22:43:23.700000,1080,1920,956,276
2022-10-15 22:43:23.710000,1080,1920,962,277
2022-10-15 22:43:23.730000,1080,1920,958,278
2022-10-15 22:43:23.750000,1080,1920,956,281
2022-10-15 22:43:23.760000,1080,1920,960,279
2022-10-15 22:43:23.780000,1080,1920,956,272
2022-10-15 22:43:23.800000,1080,1920,952,274
2022-10-15 22:43:23.810000,1080,1920,951,277
2022-10-15 22:43:23.830000,1080,1920,953,283
2022-10-15 22:43:23.850000,1080,1920,952,286
2022-10-15 22:43:23.860000,1080,1920,957,290
2022-10-15 22:43:23.880000,1080,1920,957,289
2022-10-15 22:43:23.890000,1080,1920,955,278
2022-10-15 22:43:23.910000,1080,1920,955,274
2022-10-15 22:43:23.930000,1080,1920,950,275
2022-10-15 22:43:23.940000,1080,1920,949,278
2022-10-15 22:43:23.960000,1080,1920,961,285
2022-10-15 22:43:23.980000,1080,1920,966,298
2022-10-15 22:43:23.990000,1080,1920,957,297
2022-10-15 22:43:24.010000,1080,1920,958,298
2022-10-15 22:43:24.030000,1080,1920,966,298
2022-10-15 22:43:24.050000,1080,1920,965,299
2022-10-15 22:43:24.060000,1080,1920,967,298
2022-10-15 22:43:24.080000,1080,1920,967,300
2022-10-15 22:43:24.100000,1080,1920,961,303
2022-10-15 22:43:24.110000,1080,1920,961,304
2022-10-15 22:43:24.130000,1080,1920,964,304
2022-10-15 22:43:24.140000,1080,1920,973,300
2022-10-15 22:43:24.160000,1080,1920,967,310
2022-10-15 22:43:24.180000,1080,1920,946,362
2022-10-15 22:43:24.190000,1080,1920,943,376
2022-10-15 22:43:24.210000,1080,1920,946,367
2022-10-15 22:43:24.230000,1080,1920,945,372
2022-10-15 22:43:24.240000,1080,1920,940,375
2022-10-15 22:43:24.260000,1080,1920,943,375
2022-10-15 22:43:24.280000,1080,1920,946,374
2022-10-15 22:43:24.300000,1080,1920,945,372
2022-10-15 22:43:24.310000,1080,1920,947,370
2022-10-15 22:43:24.330000,1080,1920,945,368
2022-10-15 22:43:24.350000,1080,1920,943,369
2022-10-15 22:43:24.360000,1080,1920,940,367
2022-10-15 22:43:24.380000,1080,1920,941,368
2022-10-15 22:43:24.390000,1080,1920,943,369
2022-10-15 22:43:24.410000,1080,1920,945,371
2022-10-15 22:43:24.430000,1080,1920,946,373
2022-10-15 22:43:24.440000,1080,1920,940,370
2022-10-15 22:43:24.460000,1080,1920,938,367
2022-10-15 22:43:24.480000,1080,1920,939,366
2022-10-15 22:43:24.490000,1080,1920,940,369
2022-10-15 22:43:24.510000,1080,1920,941,363
2022-10-15 22:43:24.530000,1080,1920,942,358
2022-10-15 22:43:24.550000,1080,1920,939,369
2022-10-15 22:43:24.560000,1080,1920,942,371
2022-10-15 22:43:24.580000,1080,1920,936,358
2022-10-15 22:43:24.600000,1080,1920,929,342
2022-10-15 22:43:24.610000,1080,1920,937,325
2022-10-15 22:43:24.630000,1080,1920,938,327
2022-10-15 22:43:24.640000,1080,1920,936,328
2022-10-15 22:43:24.660000,1080,1920,932,326
2022-10-15 22:43:24.680000,1080,1920,935,320
2022-10-15 22:43:24.690000,1080,1920,936,318
2022-10-15 22:43:24.710000,1080,1920,930,322
2022-10-15 22:43:24.730000,1080,1920,934,320
2022-10-15 22:43:24.740000,1080,1920,940,320
2022-10-15 22:43:24.760000,1080,1920,951,318
2022-10-15 22:43:24.780000,1080,1920,958,313
2022-10-15 22:43:24.800000,1080,1920,957,311
2022-10-15 22:43:24.810000,1080,1920,968,305
2022-10-15 22:43:24.830000,1080,1920,962,306
2022-10-15 22:43:24.850000,1080,1920,964,308
2022-10-15 22:43:24.860000,1080,1920,971,307
2022-10-15 22:43:24.880000,1080,1920,962,313
2022-10-15 22:43:24.890000,1080,1920,957,314
2022-10-15 22:43:24.910000,1080,1920,957,300
2022-10-15 22:43:24.930000,1080,1920,960,293
2022-10-15 22:43:24.940000,1080,1920,959,297
2022-10-15 22:43:24.960000,1080,1920,958,297
2022-10-15 22:43:24.980000,1080,1920,956,296
2022-10-15 22:43:24.990000,1080,1920,956,300
2022-10-15 22:43:25.010000,1080,1920,957,299
2022-10-15 22:43:25.030000,1080,1920,955,299
2022-10-15 22:43:25.050000,1080,1920,957,295
2022-10-15 22:43:25.060000,1080,1920,955,298
2022-10-15 22:43:25.080000,1080,1920,957,303
2022-10-15 22:43:25.100000,1080,1920,957,305
2022-10-15 22:43:25.110000,1080,1920,953,303
2022-10-15 22:43:25.130000,1080,1920,952,302
2022-10-15 22:43:25.140000,1080,1920,955,304
2022-10-15 22:43:25.160000,1080,1920,948,304
2022-10-15 22:43:25.180000,1080,1920,913,289
2022-10-15 22:43:25.190000,1080,1920,908,275
2022-10-15 22:43:25.210000,1080,1920,908,281
2022-10-15 22:43:25.230000,1080,1920,904,284
2022-10-15 22:43:25.240000,1080,1920,908,283
2022-10-15 22:43:25.260000,1080,1920,912,287
2022-10-15 22:43:25.280000,1080,1920,913,295
2022-10-15 22:43:25.290000,1080,1920,909,294
2022-10-15 22:43:25.310000,1080,1920,907,287
2022-10-15 22:43:25.330000,1080,1920,909,282
2022-10-15 22:43:25.340000,1080,1920,912,282
2022-10-15 22:43:25.360000,1080,1920,914,290
2022-10-15 22:43:25.380000,1080,1920,910,300
2022-10-15 22:43:25.390000,1080,1920,876,328
2022-10-15 22:43:25.410000,1080,1920,822,389
2022-10-15 22:43:25.430000,1080,1920,827,396
2022-10-15 22:43:25.440000,1080,1920,830,392
2022-10-15 22:43:25.460000,1080,1920,824,390
2022-10-15 22:43:25.480000,1080,1920,818,381
2022-10-15 22:43:25.490000,1080,1920,822,385
2022-10-15 22:43:25.510000,1080,1920,819,385
2022-10-15 22:43:25.530000,1080,1920,820,383
2022-10-15 22:43:25.540000,1080,1920,824,388
2022-10-15 22:43:25.560000,1080,1920,822,385
2022-10-15 22:43:25.580000,1080,1920,823,379
2022-10-15 22:43:25.590000,1080,1920,827,379
2022-10-15 22:43:25.610000,1080,1920,830,366
2022-10-15 22:43:25.630000,1080,1920,828,358
2022-10-15 22:43:25.640000,1080,1920,827,364
2022-10-15 22:43:25.660000,1080,1920,823,369
2022-10-15 22:43:25.680000,1080,1920,822,373
2022-10-15 22:43:25.690000,1080,1920,826,372
2022-10-15 22:43:25.710000,1080,1920,825,366
2022-10-15 22:43:25.730000,1080,1920,821,361
2022-10-15 22:43:25.740000,1080,1920,819,360
2022-10-15 22:43:25.760000,1080,1920,823,364
2022-10-15 22:43:25.780000,1080,1920,823,367
2022-10-15 22:43:25.790000,1080,1920,821,363
2022-10-15 22:43:25.810000,1080,1920,834,358
2022-10-15 22:43:25.830000,1080,1920,898,373
2022-10-15 22:43:25.840000,1080,1920,1045,394
2022-10-15 22:43:25.860000,1080,1920,1053,388
2022-10-15 22:43:25.880000,1080,1920,1045,376
2022-10-15 22:43:25.890000,1080,1920,1053,388
2022-10-15 22:43:25.910000,1080,1920,1062,391
2022-10-15 22:43:25.930000,1080,1920,1062,390
2022-10-15 22:43:25.940000,1080,1920,1061,398
2022-10-15 22:43:25.960000,1080,1920,1063,400
2022-10-15 22:43:25.980000,1080,1920,1060,397
2022-10-15 22:43:25.990000,1080,1920,1055,396
2022-10-15 22:43:26.010000,1080,1920,1061,396
2022-10-15 22:43:26.030000,1080,1920,1065,400
2022-10-15 22:43:26.040000,1080,1920,1061,402
2022-10-15 22:43:26.060000,1080,1920,1061,401
2022-10-15 22:43:26.080000,1080,1920,1060,403
2022-10-15 22:43:26.090000,1080,1920,1059,407
2022-10-15 22:43:26.110000,1080,1920,1060,408
2022-10-15 22:43:26.130000,1080,1920,1061,406
2022-10-15 22:43:26.140000,1080,1920,1060,403
2022-10-15 22:43:26.160000,1080,1920,1061,397
2022-10-15 22:43:26.180000,1080,1920,1062,396
2022-10-15 22:43:26.190000,1080,1920,1058,405
2022-10-15 22:43:26.210000,1080,1920,1043,373
2022-10-15 22:43:26.230000,1080,1920,1039,345
2022-10-15 22:43:26.240000,1080,1920,1037,337
2022-10-15 22:43:26.260000,1080,1920,1043,335
2022-10-15 22:43:26.280000,1080,1920,1044,332
2022-10-15 22:43:26.290000,1080,1920,1036,329
2022-10-15 22:43:26.310000,1080,1920,1038,333
2022-10-15 22:43:26.330000,1080,1920,1040,337
2022-10-15 22:43:26.340000,1080,1920,1035,334
2022-10-15 22:43:26.360000,1080,1920,1034,340
2022-10-15 22:43:26.380000,1080,1920,1034,341
2022-10-15 22:43:26.390000,1080,1920,1035,341
2022-10-15 22:43:26.410000,1080,1920,1017,340
2022-10-15 22:43:26.430000,1080,1920,988,308
2022-10-15 22:43:26.440000,1080,1920,944,279
2022-10-15 22:43:26.460000,1080,1920,942,279
2022-10-15 22:43:26.480000,1080,1920,940,286
2022-10-15 22:43:26.490000,1080,1920,939,287
2022-10-15 22:43:26.510000,1080,1920,938,280
2022-10-15 22:43:26.530000,1080,1920,939,284
2022-10-15 22:43:26.540000,1080,1920,944,278
2022-10-15 22:43:26.560000,1080,1920,948,280
2022-10-15 22:43:26.580000,1080,1920,948,285
2022-10-15 22:43:26.590000,1080,1920,946,284
2022-10-15 22:43:26.610000,1080,1920,946,282
2022-10-15 22:43:26.630000,1080,1920,943,277
2022-10-15 22:43:26.640000,1080,1920,943,275
2022-10-15 22:43:26.660000,1080,1920,946,279
2022-10-15 22:43:26.680000,1080,1920,945,280
2022-10-15 22:43:26.690000,1080,1920,946,274
2022-10-15 22:43:26.710000,1080,1920,943,277
2022-10-15 22:43:26.730000,1080,1920,943,278
2022-10-15 22:43:26.740000,1080,1920,945,275
2022-10-15 22:43:26.760000,1080,1920,944,276
2022-10-15 22:43:26.780000,1080,1920,942,273
2022-10-15 22:43:26.790000,1080,1920,941,271
2022-10-15 22:43:26.810000,1080,1920,942,269
2022-10-15 22:43:26.830000,1080,1920,943,270
2022-10-15 22:43:26.840000,1080,1920,943,269
2022-10-15 22:43:26.860000,1080,1920,939,273
2022-10-15 22:43:26.880000,1080,1920,936,273
2022-10-15 22:43:26.890000,1080,1920,931,261
2022-10-15 22:43:26.910000,1080,1920,920,263
2022-10-15 22:43:26.930000,1080,1920,914,262
2022-10-15 22:43:26.940000,1080,1920,917,260
2022-10-15 22:43:26.960000,1080,1920,922,259
2022-10-15 22:43:26.980000,1080,1920,914,261
2022-10-15 22:43:26.990000,1080,1920,914,262
2022-10-15 22:43:27.010000,1080,1920,919,267
