time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:43:29.310000,1080,1920,998,304
2022-10-15 22:43:29.320000,1080,1920,994,280
2022-10-15 22:43:29.340000,1080,1920,1006,264
2022-10-15 22:43:29.360000,1080,1920,1018,252
2022-10-15 22:43:29.370000,1080,1920,1026,247
2022-10-15 22:43:29.390000,1080,1920,1029,251
2022-10-15 22:43:29.410000,1080,1920,1028,236
2022-10-15 22:43:29.430000,1080,1920,1035,240
2022-10-15 22:43:29.440000,1080,1920,1034,259
2022-10-15 22:43:29.460000,1080,1920,1031,261
2022-10-15 22:43:29.610000,1080,1920,980,398
2022-10-15 22:43:29.620000,1080,1920,1000,362
2022-10-15 22:43:29.640000,1080,1920,1051,213
2022-10-15 22:43:29.660000,1080,1920,1048,229
2022-10-15 22:43:29.680000,1080,1920,1058,237
2022-10-15 22:43:29.690000,1080,1920,1062,233
2022-10-15 22:43:29.710000,1080,1920,1052,229
2022-10-15 22:43:29.730000,1080,1920,1053,243
2022-10-15 22:43:29.740000,1080,1920,1053,243
2022-10-15 22:43:29.760000,1080,1920,1048,238
2022-10-15 22:43:29.780000,1080,1920,1047,238
2022-10-15 22:43:29.790000,1080,1920,1053,238
2022-10-15 22:43:29.810000,1080,1920,1049,232
2022-10-15 22:43:29.820000,1080,1920,1048,237
2022-10-15 22:43:29.840000,1080,1920,1056,241
2022-10-15 22:43:29.860000,1080,1920,1052,237
2022-10-15 22:43:29.870000,1080,1920,1039,237
2022-10-15 22:43:29.890000,1080,1920,1236,263
2022-10-15 22:43:29.910000,1080,1920,1225,255
2022-10-15 22:43:29.920000,1080,1920,1224,253
2022-10-15 22:43:29.940000,1080,1920,1220,254
2022-10-15 22:43:29.960000,1080,1920,1222,250
2022-10-15 22:43:29.970000,1080,1920,1226,245
2022-10-15 22:43:29.990000,1080,1920,1223,250
2022-10-15 22:43:30.010000,1080,1920,1224,254
2022-10-15 22:43:30.020000,1080,1920,1225,247
2022-10-15 22:43:30.040000,1080,1920,1219,253
2022-10-15 22:43:30.060000,1080,1920,1197,253
2022-10-15 22:43:30.070000,1080,1920,1052,235
2022-10-15 22:43:30.090000,1080,1920,1036,236
2022-10-15 22:43:30.110000,1080,1920,1032,243
2022-10-15 22:43:30.120000,1080,1920,1033,234
2022-10-15 22:43:30.140000,1080,1920,1040,234
2022-10-15 22:43:30.160000,1080,1920,1036,236
2022-10-15 22:43:30.170000,1080,1920,1035,236
2022-10-15 22:43:30.190000,1080,1920,1036,233
2022-10-15 22:43:30.210000,1080,1920,1032,233
2022-10-15 22:43:30.220000,1080,1920,1032,241
2022-10-15 22:43:30.240000,1080,1920,1036,244
2022-10-15 22:43:30.260000,1080,1920,1039,239
2022-10-15 22:43:30.270000,1080,1920,1039,233
2022-10-15 22:43:30.290000,1080,1920,1032,228
2022-10-15 22:43:30.310000,1080,1920,1035,230
2022-10-15 22:43:30.320000,1080,1920,1040,234
2022-10-15 22:43:30.340000,1080,1920,1034,238
2022-10-15 22:43:30.360000,1080,1920,1036,238
2022-10-15 22:43:30.370000,1080,1920,1027,244
2022-10-15 22:43:30.390000,1080,1920,980,270
2022-10-15 22:43:30.410000,1080,1920,902,310
2022-10-15 22:43:30.420000,1080,1920,897,317
2022-10-15 22:43:30.440000,1080,1920,893,318
2022-10-15 22:43:30.460000,1080,1920,893,314
2022-10-15 22:43:30.470000,1080,1920,897,313
2022-10-15 22:43:30.490000,1080,1920,894,316
2022-10-15 22:43:30.510000,1080,1920,891,320
2022-10-15 22:43:30.520000,1080,1920,897,319
2022-10-15 22:43:30.540000,1080,1920,901,315
2022-10-15 22:43:30.560000,1080,1920,901,325
2022-10-15 22:43:30.570000,1080,1920,899,329
2022-10-15 22:43:30.590000,1080,1920,890,319
2022-10-15 22:43:30.610000,1080,1920,824,361
2022-10-15 22:43:30.620000,1080,1920,805,401
2022-10-15 22:43:30.640000,1080,1920,818,426
2022-10-15 22:43:30.660000,1080,1920,814,419
2022-10-15 22:43:30.670000,1080,1920,815,413
2022-10-15 22:43:30.690000,1080,1920,811,417
2022-10-15 22:43:30.710000,1080,1920,811,416
2022-10-15 22:43:30.720000,1080,1920,816,418
2022-10-15 22:43:30.740000,1080,1920,814,415
2022-10-15 22:43:30.760000,1080,1920,815,415
2022-10-15 22:43:30.770000,1080,1920,814,416
2022-10-15 22:43:30.790000,1080,1920,814,424
2022-10-15 22:43:30.810000,1080,1920,815,433
2022-10-15 22:43:30.820000,1080,1920,856,457
2022-10-15 22:43:30.840000,1080,1920,966,520
2022-10-15 22:43:30.860000,1080,1920,1036,546
2022-10-15 22:43:30.870000,1080,1920,1056,552
2022-10-15 22:43:30.890000,1080,1920,1064,551
2022-10-15 22:43:30.910000,1080,1920,1060,555
2022-10-15 22:43:30.920000,1080,1920,1057,562
2022-10-15 22:43:30.940000,1080,1920,1056,565
2022-10-15 22:43:30.960000,1080,1920,1055,562
2022-10-15 22:43:30.970000,1080,1920,1057,563
2022-10-15 22:43:30.990000,1080,1920,1055,564
2022-10-15 22:43:31.010000,1080,1920,1055,559
2022-10-15 22:43:31.020000,1080,1920,1054,560
2022-10-15 22:43:31.040000,1080,1920,1048,570
2022-10-15 22:43:31.060000,1080,1920,1049,568
2022-10-15 22:43:31.070000,1080,1920,1049,561
2022-10-15 22:43:31.090000,1080,1920,1054,564
2022-10-15 22:43:31.110000,1080,1920,1056,557
2022-10-15 22:43:31.120000,1080,1920,1051,559
2022-10-15 22:43:31.140000,1080,1920,1047,570
2022-10-15 22:43:31.160000,1080,1920,1046,567
2022-10-15 22:43:31.170000,1080,1920,1046,565
2022-10-15 22:43:31.190000,1080,1920,1047,568
2022-10-15 22:43:31.210000,1080,1920,972,599
2022-10-15 22:43:31.220000,1080,1920,929,613
2022-10-15 22:43:31.240000,1080,1920,922,618
2022-10-15 22:43:31.260000,1080,1920,920,619
2022-10-15 22:43:31.270000,1080,1920,917,616
2022-10-15 22:43:31.290000,1080,1920,925,612
2022-10-15 22:43:31.310000,1080,1920,917,620
