time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:43:35.340000,1080,1920,946,623
2022-10-15 22:43:35.350000,1080,1920,947,620
2022-10-15 22:43:35.370000,1080,1920,945,621
2022-10-15 22:43:35.390000,1080,1920,944,620
2022-10-15 22:43:35.400000,1080,1920,946,611
2022-10-15 22:43:35.420000,1080,1920,950,613
2022-10-15 22:43:35.440000,1080,1920,955,616
2022-10-15 22:43:35.450000,1080,1920,980,599
2022-10-15 22:43:35.470000,1080,1920,1048,511
2022-10-15 22:43:35.490000,1080,1920,1053,485
2022-10-15 22:43:35.500000,1080,1920,1054,479
2022-10-15 22:43:35.520000,1080,1920,1056,477
2022-10-15 22:43:35.540000,1080,1920,1056,476
2022-10-15 22:43:35.550000,1080,1920,1057,479
2022-10-15 22:43:35.570000,1080,1920,1054,479
2022-10-15 22:43:35.590000,1080,1920,1054,482
2022-10-15 22:43:35.600000,1080,1920,1047,491
2022-10-15 22:43:35.620000,1080,1920,1050,487
2022-10-15 22:43:35.640000,1080,1920,1058,478
2022-10-15 22:43:35.650000,1080,1920,1059,475
2022-10-15 22:43:35.670000,1080,1920,1057,479
2022-10-15 22:43:35.690000,1080,1920,1060,477
2022-10-15 22:43:35.700000,1080,1920,712,356
2022-10-15 22:43:35.720000,1080,1920,712,356
2022-10-15 22:43:35.750000,1080,1920,460,189
2022-10-15 22:43:35.770000,1080,1920,470,214
2022-10-15 22:43:35.790000,1080,1920,471,216
2022-10-15 22:43:35.800000,1080,1920,472,212
2022-10-15 22:43:35.820000,1080,1920,470,216
2022-10-15 22:43:35.840000,1080,1920,461,205
2022-10-15 22:43:35.850000,1080,1920,466,191
2022-10-15 22:43:35.870000,1080,1920,471,213
2022-10-15 22:43:35.890000,1080,1920,473,221
2022-10-15 22:43:35.900000,1080,1920,509,239
2022-10-15 22:43:35.920000,1080,1920,571,285
2022-10-15 22:43:35.950000,1080,1920,982,576
2022-10-15 22:43:35.970000,1080,1920,1000,573
2022-10-15 22:43:35.990000,1080,1920,1004,578
2022-10-15 22:43:36,1080,1920,1000,585
2022-10-15 22:43:36.020000,1080,1920,998,581
2022-10-15 22:43:36.040000,1080,1920,1000,582
2022-10-15 22:43:36.050000,1080,1920,1001,579
2022-10-15 22:43:36.070000,1080,1920,1003,576
2022-10-15 22:43:36.090000,1080,1920,1003,580
