time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:43:41.350000,1080,1920,971,437
2022-10-15 22:43:41.370000,1080,1920,960,423
2022-10-15 22:43:41.380000,1080,1920,958,431
2022-10-15 22:43:41.400000,1080,1920,971,435
2022-10-15 22:43:41.420000,1080,1920,968,436
2022-10-15 22:43:41.430000,1080,1920,969,444
2022-10-15 22:43:41.450000,1080,1920,990,431
2022-10-15 22:43:41.470000,1080,1920,1026,396
2022-10-15 22:43:41.480000,1080,1920,1032,372
2022-10-15 22:43:41.500000,1080,1920,1042,375
2022-10-15 22:43:41.520000,1080,1920,1042,368
2022-10-15 22:43:41.530000,1080,1920,1041,367
2022-10-15 22:43:41.550000,1080,1920,1047,367
2022-10-15 22:43:41.570000,1080,1920,1044,368
2022-10-15 22:43:41.580000,1080,1920,1046,375
2022-10-15 22:43:41.600000,1080,1920,1048,373
2022-10-15 22:43:41.620000,1080,1920,1043,381
2022-10-15 22:43:41.630000,1080,1920,1045,384
2022-10-15 22:43:41.650000,1080,1920,1032,377
2022-10-15 22:43:41.670000,1080,1920,835,280
2022-10-15 22:43:41.680000,1080,1920,804,261
2022-10-15 22:43:41.700000,1080,1920,794,251
2022-10-15 22:43:41.720000,1080,1920,796,247
2022-10-15 22:43:41.730000,1080,1920,788,243
2022-10-15 22:43:41.750000,1080,1920,784,241
2022-10-15 22:43:41.770000,1080,1920,789,243
2022-10-15 22:43:41.780000,1080,1920,785,247
2022-10-15 22:43:41.800000,1080,1920,786,250
2022-10-15 22:43:41.820000,1080,1920,790,256
2022-10-15 22:43:41.830000,1080,1920,792,261
2022-10-15 22:43:41.850000,1080,1920,794,260
2022-10-15 22:43:41.870000,1080,1920,795,260
2022-10-15 22:43:41.880000,1080,1920,796,259
2022-10-15 22:43:41.900000,1080,1920,793,259
2022-10-15 22:43:41.920000,1080,1920,1058,369
2022-10-15 22:43:41.930000,1080,1920,1067,368
2022-10-15 22:43:41.950000,1080,1920,1072,367
2022-10-15 22:43:41.970000,1080,1920,1079,367
2022-10-15 22:43:41.980000,1080,1920,1081,369
2022-10-15 22:43:42,1080,1920,1081,369
2022-10-15 22:43:42.020000,1080,1920,1079,368
2022-10-15 22:43:42.030000,1080,1920,1083,363
2022-10-15 22:43:42.050000,1080,1920,1080,361
2022-10-15 22:43:42.070000,1080,1920,1081,362
2022-10-15 22:43:42.080000,1080,1920,1083,362
2022-10-15 22:43:42.100000,1080,1920,1081,367
2022-10-15 22:43:42.120000,1080,1920,1078,369
2022-10-15 22:43:42.130000,1080,1920,1078,373
2022-10-15 22:43:42.150000,1080,1920,1076,369
2022-10-15 22:43:42.170000,1080,1920,1074,364
2022-10-15 22:43:42.180000,1080,1920,1066,360
2022-10-15 22:43:42.200000,1080,1920,1041,359
2022-10-15 22:43:42.220000,1080,1920,1044,356
2022-10-15 22:43:42.230000,1080,1920,1045,349
2022-10-15 22:43:42.250000,1080,1920,1042,355
2022-10-15 22:43:42.270000,1080,1920,1039,362
2022-10-15 22:43:42.280000,1080,1920,1037,354
2022-10-15 22:43:42.300000,1080,1920,1033,380
2022-10-15 22:43:42.320000,1080,1920,1037,409
2022-10-15 22:43:42.500000,1080,1920,1093,452
2022-10-15 22:43:42.510000,1080,1920,1101,438
2022-10-15 22:43:42.530000,1080,1920,1112,353
2022-10-15 22:43:42.550000,1080,1920,1102,356
2022-10-15 22:43:42.560000,1080,1920,1115,386
2022-10-15 22:43:42.580000,1080,1920,1117,389
2022-10-15 22:43:42.600000,1080,1920,1110,371
2022-10-15 22:43:42.620000,1080,1920,1110,368
2022-10-15 22:43:42.630000,1080,1920,1111,365
2022-10-15 22:43:42.650000,1080,1920,1108,365
2022-10-15 22:43:42.670000,1080,1920,1152,362
2022-10-15 22:43:42.680000,1080,1920,1183,373
2022-10-15 22:43:42.700000,1080,1920,1179,366
2022-10-15 22:43:42.720000,1080,1920,1176,365
2022-10-15 22:43:42.730000,1080,1920,1174,361
2022-10-15 22:43:42.750000,1080,1920,1169,363
2022-10-15 22:43:42.760000,1080,1920,1172,368
2022-10-15 22:43:42.780000,1080,1920,1172,373
2022-10-15 22:43:42.800000,1080,1920,1174,378
2022-10-15 22:43:42.810000,1080,1920,1173,377
2022-10-15 22:43:42.830000,1080,1920,1172,379
2022-10-15 22:43:42.850000,1080,1920,1173,378
2022-10-15 22:43:42.870000,1080,1920,1176,382
2022-10-15 22:43:42.880000,1080,1920,1174,377
2022-10-15 22:43:42.900000,1080,1920,1170,377
2022-10-15 22:43:42.920000,1080,1920,1198,396
2022-10-15 22:43:42.930000,1080,1920,1244,439
2022-10-15 22:43:42.950000,1080,1920,1244,445
2022-10-15 22:43:42.970000,1080,1920,1248,449
2022-10-15 22:43:42.980000,1080,1920,1242,453
2022-10-15 22:43:43,1080,1920,1232,454
2022-10-15 22:43:43.010000,1080,1920,1238,450
2022-10-15 22:43:43.030000,1080,1920,1240,444
2022-10-15 22:43:43.050000,1080,1920,1239,442
2022-10-15 22:43:43.060000,1080,1920,1238,446
2022-10-15 22:43:43.080000,1080,1920,1242,451
2022-10-15 22:43:43.100000,1080,1920,1238,459
2022-10-15 22:43:43.120000,1080,1920,1234,457
2022-10-15 22:43:43.130000,1080,1920,1245,447
2022-10-15 22:43:43.150000,1080,1920,1242,443
2022-10-15 22:43:43.170000,1080,1920,1233,448
2022-10-15 22:43:43.180000,1080,1920,1230,447
2022-10-15 22:43:43.200000,1080,1920,1053,377
2022-10-15 22:43:43.220000,1080,1920,1049,375
2022-10-15 22:43:43.230000,1080,1920,1053,375
2022-10-15 22:43:43.250000,1080,1920,1052,372
2022-10-15 22:43:43.260000,1080,1920,1046,374
2022-10-15 22:43:43.280000,1080,1920,1046,382
2022-10-15 22:43:43.300000,1080,1920,1047,384
2022-10-15 22:43:43.310000,1080,1920,1047,376
2022-10-15 22:43:43.330000,1080,1920,1049,370
2022-10-15 22:43:43.350000,1080,1920,1046,373
2022-10-15 22:43:43.370000,1080,1920,1044,376
2022-10-15 22:43:43.380000,1080,1920,1043,375
2022-10-15 22:43:43.400000,1080,1920,1047,381
2022-10-15 22:43:43.420000,1080,1920,1052,385
2022-10-15 22:43:43.430000,1080,1920,1051,384
2022-10-15 22:43:43.450000,1080,1920,1049,380
2022-10-15 22:43:43.470000,1080,1920,1046,380
2022-10-15 22:43:43.480000,1080,1920,1050,382
2022-10-15 22:43:43.500000,1080,1920,1049,377
2022-10-15 22:43:43.510000,1080,1920,1046,374
2022-10-15 22:43:43.530000,1080,1920,1047,379
2022-10-15 22:43:43.550000,1080,1920,1051,376
