time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:43:47.350000,1080,1920,989,336
2022-10-15 22:43:47.360000,1080,1920,969,335
2022-10-15 22:43:47.380000,1080,1920,969,335
2022-10-15 22:43:47.390000,1080,1920,967,339
2022-10-15 22:43:47.410000,1080,1920,966,334
2022-10-15 22:43:47.430000,1080,1920,964,338
2022-10-15 22:43:47.440000,1080,1920,965,343
2022-10-15 22:43:47.460000,1080,1920,967,345
2022-10-15 22:43:47.480000,1080,1920,968,340
2022-10-15 22:43:47.490000,1080,1920,970,341
2022-10-15 22:43:47.510000,1080,1920,970,339
2022-10-15 22:43:47.530000,1080,1920,972,338
2022-10-15 22:43:47.550000,1080,1920,969,338
2022-10-15 22:43:47.560000,1080,1920,964,340
2022-10-15 22:43:47.580000,1080,1920,963,338
2022-10-15 22:43:47.600000,1080,1920,967,342
2022-10-15 22:43:47.610000,1080,1920,966,349
2022-10-15 22:43:47.630000,1080,1920,964,351
2022-10-15 22:43:47.640000,1080,1920,964,354
2022-10-15 22:43:47.660000,1080,1920,965,360
2022-10-15 22:43:47.680000,1080,1920,967,358
2022-10-15 22:43:47.690000,1080,1920,968,359
2022-10-15 22:43:47.710000,1080,1920,968,357
2022-10-15 22:43:47.730000,1080,1920,968,357
2022-10-15 22:43:47.740000,1080,1920,972,359
2022-10-15 22:43:47.760000,1080,1920,969,356
2022-10-15 22:43:47.780000,1080,1920,966,352
2022-10-15 22:43:47.800000,1080,1920,969,353
2022-10-15 22:43:47.810000,1080,1920,970,360
2022-10-15 22:43:47.830000,1080,1920,968,365
2022-10-15 22:43:47.850000,1080,1920,967,361
2022-10-15 22:43:47.860000,1080,1920,970,354
2022-10-15 22:43:47.880000,1080,1920,971,351
2022-10-15 22:43:47.890000,1080,1920,970,353
2022-10-15 22:43:47.910000,1080,1920,971,358
2022-10-15 22:43:47.930000,1080,1920,966,352
2022-10-15 22:43:47.940000,1080,1920,964,350
2022-10-15 22:43:47.960000,1080,1920,968,361
2022-10-15 22:43:47.980000,1080,1920,966,364
2022-10-15 22:43:47.990000,1080,1920,966,360
2022-10-15 22:43:48.010000,1080,1920,966,359
2022-10-15 22:43:48.030000,1080,1920,965,365
2022-10-15 22:43:48.050000,1080,1920,967,363
2022-10-15 22:43:48.060000,1080,1920,966,355
2022-10-15 22:43:48.080000,1080,1920,966,356
2022-10-15 22:43:48.100000,1080,1920,964,360
2022-10-15 22:43:48.110000,1080,1920,965,360
2022-10-15 22:43:48.130000,1080,1920,969,355
2022-10-15 22:43:48.140000,1080,1920,966,357
2022-10-15 22:43:48.160000,1080,1920,961,363
2022-10-15 22:43:48.180000,1080,1920,962,362
2022-10-15 22:43:48.190000,1080,1920,965,365
2022-10-15 22:43:48.210000,1080,1920,966,369
2022-10-15 22:43:48.230000,1080,1920,966,363
2022-10-15 22:43:48.240000,1080,1920,964,359
2022-10-15 22:43:48.260000,1080,1920,969,365
2022-10-15 22:43:48.280000,1080,1920,970,368
2022-10-15 22:43:48.300000,1080,1920,963,370
2022-10-15 22:43:48.310000,1080,1920,963,365
2022-10-15 22:43:48.330000,1080,1920,968,365
2022-10-15 22:43:48.350000,1080,1920,972,368
2022-10-15 22:43:48.360000,1080,1920,968,368
2022-10-15 22:43:48.380000,1080,1920,965,367
2022-10-15 22:43:48.390000,1080,1920,965,361
2022-10-15 22:43:48.410000,1080,1920,966,366
2022-10-15 22:43:48.430000,1080,1920,960,373
2022-10-15 22:43:48.440000,1080,1920,958,369
2022-10-15 22:43:48.460000,1080,1920,963,363
2022-10-15 22:43:48.480000,1080,1920,964,360
2022-10-15 22:43:48.490000,1080,1920,967,359
2022-10-15 22:43:48.510000,1080,1920,975,356
2022-10-15 22:43:48.530000,1080,1920,983,356
2022-10-15 22:43:48.540000,1080,1920,980,358
2022-10-15 22:43:48.560000,1080,1920,979,362
2022-10-15 22:43:48.580000,1080,1920,976,362
2022-10-15 22:43:48.590000,1080,1920,978,355
2022-10-15 22:43:48.610000,1080,1920,980,356
2022-10-15 22:43:48.630000,1080,1920,977,358
2022-10-15 22:43:48.640000,1080,1920,974,362
2022-10-15 22:43:48.660000,1080,1920,976,363
2022-10-15 22:43:48.680000,1080,1920,978,363
2022-10-15 22:43:48.690000,1080,1920,979,364
2022-10-15 22:43:48.710000,1080,1920,979,365
2022-10-15 22:43:48.730000,1080,1920,981,359
2022-10-15 22:43:48.740000,1080,1920,980,357
2022-10-15 22:43:48.760000,1080,1920,977,359
2022-10-15 22:43:48.780000,1080,1920,973,358
2022-10-15 22:43:48.790000,1080,1920,974,362
2022-10-15 22:43:48.810000,1080,1920,976,359
2022-10-15 22:43:48.830000,1080,1920,976,355
2022-10-15 22:43:48.840000,1080,1920,980,357
2022-10-15 22:43:48.860000,1080,1920,979,360
2022-10-15 22:43:48.880000,1080,1920,977,360
2022-10-15 22:43:48.890000,1080,1920,980,358
2022-10-15 22:43:48.910000,1080,1920,985,354
2022-10-15 22:43:48.930000,1080,1920,988,355
2022-10-15 22:43:48.940000,1080,1920,975,355
2022-10-15 22:43:48.960000,1080,1920,958,341
2022-10-15 22:43:48.980000,1080,1920,961,335
2022-10-15 22:43:48.990000,1080,1920,959,335
2022-10-15 22:43:49.010000,1080,1920,961,331
2022-10-15 22:43:49.030000,1080,1920,961,330
2022-10-15 22:43:49.040000,1080,1920,959,337
2022-10-15 22:43:49.060000,1080,1920,956,342
2022-10-15 22:43:49.080000,1080,1920,957,339
2022-10-15 22:43:49.090000,1080,1920,962,333
2022-10-15 22:43:49.110000,1080,1920,960,331
2022-10-15 22:43:49.130000,1080,1920,960,330
2022-10-15 22:43:49.140000,1080,1920,961,330
