time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:43:59.390000,1080,1920,1360,460
2022-10-15 22:43:59.400000,1080,1920,1355,459
2022-10-15 22:43:59.420000,1080,1920,1351,469
2022-10-15 22:43:59.440000,1080,1920,1354,467
2022-10-15 22:43:59.450000,1080,1920,1358,470
2022-10-15 22:43:59.470000,1080,1920,1348,473
2022-10-15 22:43:59.490000,1080,1920,1353,469
2022-10-15 22:43:59.500000,1080,1920,1355,475
2022-10-15 22:43:59.520000,1080,1920,1358,474
2022-10-15 22:43:59.540000,1080,1920,1358,472
2022-10-15 22:43:59.550000,1080,1920,1365,468
2022-10-15 22:43:59.570000,1080,1920,1362,468
2022-10-15 22:43:59.590000,1080,1920,1359,472
2022-10-15 22:43:59.600000,1080,1920,1378,470
2022-10-15 22:43:59.620000,1080,1920,1429,457
2022-10-15 22:43:59.640000,1080,1920,1479,444
2022-10-15 22:43:59.650000,1080,1920,1477,440
2022-10-15 22:43:59.670000,1080,1920,1480,434
2022-10-15 22:43:59.690000,1080,1920,1483,429
2022-10-15 22:43:59.700000,1080,1920,1480,418
2022-10-15 22:43:59.720000,1080,1920,1485,410
2022-10-15 22:43:59.740000,1080,1920,1481,417
2022-10-15 22:43:59.750000,1080,1920,1480,426
2022-10-15 22:43:59.770000,1080,1920,1482,423
2022-10-15 22:43:59.790000,1080,1920,1480,422
2022-10-15 22:43:59.800000,1080,1920,1483,422
2022-10-15 22:43:59.820000,1080,1920,1481,421
2022-10-15 22:43:59.840000,1080,1920,1483,417
2022-10-15 22:43:59.850000,1080,1920,1485,419
2022-10-15 22:43:59.870000,1080,1920,1477,421
2022-10-15 22:43:59.890000,1080,1920,1457,412
2022-10-15 22:43:59.900000,1080,1920,1451,408
2022-10-15 22:43:59.920000,1080,1920,1450,406
2022-10-15 22:43:59.940000,1080,1920,1450,408
2022-10-15 22:43:59.950000,1080,1920,1451,411
2022-10-15 22:43:59.970000,1080,1920,1445,415
2022-10-15 22:43:59.990000,1080,1920,1443,414
2022-10-15 22:44:00,1080,1920,1443,417
2022-10-15 22:44:00.020000,1080,1920,1442,413
2022-10-15 22:44:00.040000,1080,1920,1445,412
2022-10-15 22:44:00.050000,1080,1920,1445,413
2022-10-15 22:44:00.070000,1080,1920,1443,412
2022-10-15 22:44:00.090000,1080,1920,1443,407
2022-10-15 22:44:00.100000,1080,1920,1448,405
2022-10-15 22:44:00.120000,1080,1920,1449,421
2022-10-15 22:44:00.140000,1080,1920,1433,414
2022-10-15 22:44:00.150000,1080,1920,1441,410
2022-10-15 22:44:00.170000,1080,1920,1449,415
2022-10-15 22:44:00.190000,1080,1920,1450,415
2022-10-15 22:44:00.200000,1080,1920,1445,412
2022-10-15 22:44:00.220000,1080,1920,1450,417
2022-10-15 22:44:00.240000,1080,1920,1450,420
2022-10-15 22:44:00.250000,1080,1920,1449,418
2022-10-15 22:44:00.270000,1080,1920,1449,417
2022-10-15 22:44:00.290000,1080,1920,1447,422
2022-10-15 22:44:00.300000,1080,1920,1452,421
2022-10-15 22:44:00.320000,1080,1920,1450,421
2022-10-15 22:44:00.340000,1080,1920,1442,423
2022-10-15 22:44:00.350000,1080,1920,1448,418
2022-10-15 22:44:00.370000,1080,1920,1448,420
2022-10-15 22:44:00.390000,1080,1920,1450,421
2022-10-15 22:44:00.400000,1080,1920,1467,438
2022-10-15 22:44:00.420000,1080,1920,1455,485
2022-10-15 22:44:00.440000,1080,1920,1452,493
2022-10-15 22:44:00.450000,1080,1920,1459,487
2022-10-15 22:44:00.470000,1080,1920,1455,485
2022-10-15 22:44:00.490000,1080,1920,1456,486
2022-10-15 22:44:00.500000,1080,1920,1460,486
2022-10-15 22:44:00.520000,1080,1920,1463,486
2022-10-15 22:44:00.540000,1080,1920,1458,486
2022-10-15 22:44:00.550000,1080,1920,1458,486
2022-10-15 22:44:00.570000,1080,1920,1456,488
2022-10-15 22:44:00.590000,1080,1920,1456,491
2022-10-15 22:44:00.600000,1080,1920,1462,488
2022-10-15 22:44:00.620000,1080,1920,1463,484
2022-10-15 22:44:00.640000,1080,1920,1455,487
2022-10-15 22:44:00.650000,1080,1920,1456,489
2022-10-15 22:44:00.670000,1080,1920,1458,488
2022-10-15 22:44:00.690000,1080,1920,1455,487
2022-10-15 22:44:00.700000,1080,1920,1457,489
2022-10-15 22:44:00.720000,1080,1920,1458,484
2022-10-15 22:44:00.740000,1080,1920,1460,481
2022-10-15 22:44:00.750000,1080,1920,1467,482
2022-10-15 22:44:00.770000,1080,1920,1465,483
