time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:44:17.390000,1080,1920,818,413
2022-10-15 22:44:17.410000,1080,1920,816,412
2022-10-15 22:44:17.420000,1080,1920,842,342
2022-10-15 22:44:17.440000,1080,1920,804,349
2022-10-15 22:44:17.609000,1080,1920,872,382
2022-10-15 22:44:17.620000,1080,1920,881,385
2022-10-15 22:44:17.640000,1080,1920,886,363
2022-10-15 22:44:17.660000,1080,1920,877,354
2022-10-15 22:44:17.670000,1080,1920,881,355
2022-10-15 22:44:17.690000,1080,1920,882,357
2022-10-15 22:44:17.710000,1080,1920,869,353
2022-10-15 22:44:17.719000,1080,1920,868,375
2022-10-15 22:44:17.739000,1080,1920,874,368
2022-10-15 22:44:17.760000,1080,1920,880,366
2022-10-15 22:44:17.770000,1080,1920,879,362
2022-10-15 22:44:17.790000,1080,1920,866,358
2022-10-15 22:44:17.810000,1080,1920,873,360
2022-10-15 22:44:17.820000,1080,1920,881,364
2022-10-15 22:44:17.839000,1080,1920,878,369
2022-10-15 22:44:17.859000,1080,1920,874,370
2022-10-15 22:44:17.870000,1080,1920,871,362
2022-10-15 22:44:17.890000,1080,1920,872,360
2022-10-15 22:44:17.910000,1080,1920,875,372
2022-10-15 22:44:17.920000,1080,1920,876,372
2022-10-15 22:44:17.940000,1080,1920,878,372
2022-10-15 22:44:17.960000,1080,1920,873,372
2022-10-15 22:44:17.969000,1080,1920,877,357
2022-10-15 22:44:17.989000,1080,1920,882,361
2022-10-15 22:44:18.010000,1080,1920,880,373
2022-10-15 22:44:18.020000,1080,1920,878,367
2022-10-15 22:44:18.040000,1080,1920,873,373
2022-10-15 22:44:18.060000,1080,1920,873,378
2022-10-15 22:44:18.070000,1080,1920,874,378
2022-10-15 22:44:18.089000,1080,1920,873,378
2022-10-15 22:44:18.109000,1080,1920,876,369
2022-10-15 22:44:18.120000,1080,1920,877,372
2022-10-15 22:44:18.140000,1080,1920,873,387
2022-10-15 22:44:18.160000,1080,1920,862,429
2022-10-15 22:44:18.170000,1080,1920,841,515
2022-10-15 22:44:18.190000,1080,1920,838,513
2022-10-15 22:44:18.210000,1080,1920,838,510
2022-10-15 22:44:18.219000,1080,1920,841,511
2022-10-15 22:44:18.239000,1080,1920,838,513
2022-10-15 22:44:18.260000,1080,1920,837,514
2022-10-15 22:44:18.270000,1080,1920,841,514
2022-10-15 22:44:18.290000,1080,1920,842,513
2022-10-15 22:44:18.310000,1080,1920,844,518
2022-10-15 22:44:18.320000,1080,1920,845,524
2022-10-15 22:44:18.339000,1080,1920,842,523
2022-10-15 22:44:18.359000,1080,1920,842,526
2022-10-15 22:44:18.370000,1080,1920,842,534
2022-10-15 22:44:18.390000,1080,1920,839,532
2022-10-15 22:44:18.410000,1080,1920,842,526
2022-10-15 22:44:18.420000,1080,1920,845,529
2022-10-15 22:44:18.440000,1080,1920,845,532
2022-10-15 22:44:18.460000,1080,1920,845,530
2022-10-15 22:44:18.469000,1080,1920,841,535
2022-10-15 22:44:18.489000,1080,1920,843,536
2022-10-15 22:44:18.510000,1080,1920,845,535
2022-10-15 22:44:18.520000,1080,1920,834,521
2022-10-15 22:44:18.540000,1080,1920,761,367
2022-10-15 22:44:18.560000,1080,1920,765,345
2022-10-15 22:44:18.570000,1080,1920,771,342
2022-10-15 22:44:18.589000,1080,1920,773,347
2022-10-15 22:44:18.609000,1080,1920,776,348
2022-10-15 22:44:18.620000,1080,1920,773,349
2022-10-15 22:44:18.640000,1080,1920,766,341
2022-10-15 22:44:18.660000,1080,1920,775,351
2022-10-15 22:44:18.670000,1080,1920,773,349
2022-10-15 22:44:18.690000,1080,1920,775,348
2022-10-15 22:44:18.710000,1080,1920,773,351
2022-10-15 22:44:18.719000,1080,1920,774,349
2022-10-15 22:44:18.739000,1080,1920,774,353
2022-10-15 22:44:18.760000,1080,1920,774,353
2022-10-15 22:44:18.770000,1080,1920,774,350
2022-10-15 22:44:18.790000,1080,1920,775,347
2022-10-15 22:44:18.810000,1080,1920,775,345
2022-10-15 22:44:18.820000,1080,1920,774,349
2022-10-15 22:44:18.839000,1080,1920,773,348
2022-10-15 22:44:18.859000,1080,1920,771,348
2022-10-15 22:44:18.870000,1080,1920,772,346
2022-10-15 22:44:18.890000,1080,1920,770,341
2022-10-15 22:44:18.910000,1080,1920,769,340
2022-10-15 22:44:18.920000,1080,1920,769,344
2022-10-15 22:44:18.940000,1080,1920,769,348
2022-10-15 22:44:18.960000,1080,1920,770,346
2022-10-15 22:44:18.969000,1080,1920,770,341
2022-10-15 22:44:18.989000,1080,1920,773,342
2022-10-15 22:44:19.010000,1080,1920,803,356
2022-10-15 22:44:19.020000,1080,1920,875,374
2022-10-15 22:44:19.040000,1080,1920,1012,433
2022-10-15 22:44:19.060000,1080,1920,1023,437
2022-10-15 22:44:19.070000,1080,1920,1024,423
2022-10-15 22:44:19.089000,1080,1920,1026,424
2022-10-15 22:44:19.109000,1080,1920,1030,418
2022-10-15 22:44:19.120000,1080,1920,1029,419
2022-10-15 22:44:19.140000,1080,1920,1025,422
2022-10-15 22:44:19.160000,1080,1920,1023,423
2022-10-15 22:44:19.170000,1080,1920,1029,412
2022-10-15 22:44:19.190000,1080,1920,1032,413
2022-10-15 22:44:19.210000,1080,1920,1028,418
2022-10-15 22:44:19.219000,1080,1920,1028,414
2022-10-15 22:44:19.239000,1080,1920,1027,418
2022-10-15 22:44:19.260000,1080,1920,1024,417
2022-10-15 22:44:19.270000,1080,1920,1027,415
2022-10-15 22:44:19.290000,1080,1920,1029,417
2022-10-15 22:44:19.310000,1080,1920,1027,407
2022-10-15 22:44:19.320000,1080,1920,1029,406
2022-10-15 22:44:19.339000,1080,1920,1029,420
2022-10-15 22:44:19.359000,1080,1920,1026,422
2022-10-15 22:44:19.370000,1080,1920,1024,421
2022-10-15 22:44:19.390000,1080,1920,1024,427
