time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:44:23.390000,1080,1920,907,365
2022-10-15 22:44:23.400000,1080,1920,888,389
2022-10-15 22:44:23.470000,1080,1920,746,388
2022-10-15 22:44:23.490000,1080,1920,813,325
2022-10-15 22:44:23.500000,1080,1920,872,306
2022-10-15 22:44:23.520000,1080,1920,885,329
2022-10-15 22:44:23.540000,1080,1920,895,318
2022-10-15 22:44:23.550000,1080,1920,888,308
2022-10-15 22:44:23.570000,1080,1920,890,340
2022-10-15 22:44:23.590000,1080,1920,888,347
2022-10-15 22:44:23.600000,1080,1920,887,343
2022-10-15 22:44:23.620000,1080,1920,883,343
2022-10-15 22:44:23.640000,1080,1920,874,337
2022-10-15 22:44:23.650000,1080,1920,882,336
2022-10-15 22:44:23.670000,1080,1920,887,334
2022-10-15 22:44:23.690000,1080,1920,884,336
2022-10-15 22:44:23.700000,1080,1920,882,334
2022-10-15 22:44:23.720000,1080,1920,888,335
2022-10-15 22:44:23.740000,1080,1920,891,333
2022-10-15 22:44:23.750000,1080,1920,884,329
2022-10-15 22:44:23.770000,1080,1920,884,341
2022-10-15 22:44:23.790000,1080,1920,863,354
2022-10-15 22:44:23.800000,1080,1920,715,356
2022-10-15 22:44:23.820000,1080,1920,713,356
2022-10-15 22:44:23.840000,1080,1920,718,357
2022-10-15 22:44:23.850000,1080,1920,721,365
2022-10-15 22:44:23.870000,1080,1920,720,356
2022-10-15 22:44:23.890000,1080,1920,719,360
2022-10-15 22:44:23.900000,1080,1920,712,368
2022-10-15 22:44:23.920000,1080,1920,716,361
2022-10-15 22:44:23.990000,1080,1920,462,667
2022-10-15 22:44:24,1080,1920,564,600
2022-10-15 22:44:24.020000,1080,1920,577,560
2022-10-15 22:44:24.040000,1080,1920,579,509
2022-10-15 22:44:24.050000,1080,1920,583,502
2022-10-15 22:44:24.070000,1080,1920,582,484
2022-10-15 22:44:24.090000,1080,1920,575,482
2022-10-15 22:44:24.100000,1080,1920,584,508
2022-10-15 22:44:24.120000,1080,1920,553,508
2022-10-15 22:44:24.140000,1080,1920,580,494
2022-10-15 22:44:24.150000,1080,1920,581,490
2022-10-15 22:44:24.170000,1080,1920,583,493
2022-10-15 22:44:24.190000,1080,1920,617,481
2022-10-15 22:44:24.220000,1080,1920,782,412
2022-10-15 22:44:24.240000,1080,1920,787,402
2022-10-15 22:44:24.250000,1080,1920,791,401
2022-10-15 22:44:24.270000,1080,1920,789,397
2022-10-15 22:44:24.290000,1080,1920,789,402
2022-10-15 22:44:24.300000,1080,1920,793,397
2022-10-15 22:44:24.320000,1080,1920,796,393
2022-10-15 22:44:24.340000,1080,1920,792,399
2022-10-15 22:44:24.350000,1080,1920,788,402
2022-10-15 22:44:24.370000,1080,1920,791,405
2022-10-15 22:44:24.390000,1080,1920,790,413
2022-10-15 22:44:24.400000,1080,1920,789,411
2022-10-15 22:44:24.420000,1080,1920,792,406
2022-10-15 22:44:24.430000,1080,1920,818,411
2022-10-15 22:44:24.450000,1080,1920,883,384
2022-10-15 22:44:24.470000,1080,1920,883,370
2022-10-15 22:44:24.480000,1080,1920,884,367
2022-10-15 22:44:24.500000,1080,1920,884,367
2022-10-15 22:44:24.520000,1080,1920,885,366
2022-10-15 22:44:24.540000,1080,1920,885,365
2022-10-15 22:44:24.550000,1080,1920,886,362
2022-10-15 22:44:24.570000,1080,1920,888,364
2022-10-15 22:44:24.580000,1080,1920,886,370
2022-10-15 22:44:24.600000,1080,1920,885,370
2022-10-15 22:44:24.620000,1080,1920,881,372
2022-10-15 22:44:24.640000,1080,1920,883,371
2022-10-15 22:44:24.650000,1080,1920,884,366
2022-10-15 22:44:24.670000,1080,1920,916,350
2022-10-15 22:44:24.680000,1080,1920,925,351
2022-10-15 22:44:24.700000,1080,1920,917,353
2022-10-15 22:44:24.720000,1080,1920,916,351
2022-10-15 22:44:24.730000,1080,1920,913,361
2022-10-15 22:44:24.750000,1080,1920,914,354
2022-10-15 22:44:24.770000,1080,1920,919,349
2022-10-15 22:44:24.790000,1080,1920,920,345
2022-10-15 22:44:24.800000,1080,1920,927,344
2022-10-15 22:44:24.820000,1080,1920,1048,468
2022-10-15 22:44:24.830000,1080,1920,1087,517
2022-10-15 22:44:24.850000,1080,1920,1089,515
2022-10-15 22:44:24.870000,1080,1920,1088,500
2022-10-15 22:44:24.890000,1080,1920,1092,501
2022-10-15 22:44:24.900000,1080,1920,1096,500
2022-10-15 22:44:24.920000,1080,1920,1087,500
2022-10-15 22:44:24.930000,1080,1920,1087,501
2022-10-15 22:44:24.950000,1080,1920,1086,503
2022-10-15 22:44:24.970000,1080,1920,1084,499
2022-10-15 22:44:24.980000,1080,1920,1086,497
2022-10-15 22:44:25,1080,1920,1084,508
2022-10-15 22:44:25.020000,1080,1920,1083,509
2022-10-15 22:44:25.040000,1080,1920,1082,513
2022-10-15 22:44:25.050000,1080,1920,1081,512
2022-10-15 22:44:25.070000,1080,1920,1072,527
2022-10-15 22:44:25.080000,1080,1920,1072,530
2022-10-15 22:44:25.100000,1080,1920,1071,532
2022-10-15 22:44:25.120000,1080,1920,1067,529
2022-10-15 22:44:25.140000,1080,1920,939,483
2022-10-15 22:44:25.150000,1080,1920,873,463
2022-10-15 22:44:25.200000,1080,1920,846,446
2022-10-15 22:44:25.220000,1080,1920,839,446
2022-10-15 22:44:25.230000,1080,1920,835,445
2022-10-15 22:44:25.250000,1080,1920,839,450
2022-10-15 22:44:25.270000,1080,1920,837,462
2022-10-15 22:44:25.290000,1080,1920,833,456
2022-10-15 22:44:25.300000,1080,1920,837,445
2022-10-15 22:44:25.320000,1080,1920,840,442
2022-10-15 22:44:25.330000,1080,1920,845,442
2022-10-15 22:44:25.350000,1080,1920,841,443
2022-10-15 22:44:25.370000,1080,1920,838,444
2022-10-15 22:44:25.390000,1080,1920,836,447
2022-10-15 22:44:25.400000,1080,1920,838,444
2022-10-15 22:44:25.420000,1080,1920,842,440
2022-10-15 22:44:25.430000,1080,1920,843,438
2022-10-15 22:44:25.450000,1080,1920,848,421
2022-10-15 22:44:25.470000,1080,1920,883,362
2022-10-15 22:44:25.480000,1080,1920,897,349
2022-10-15 22:44:25.500000,1080,1920,898,360
2022-10-15 22:44:25.520000,1080,1920,899,367
2022-10-15 22:44:25.540000,1080,1920,899,374
2022-10-15 22:44:25.550000,1080,1920,898,370
2022-10-15 22:44:25.570000,1080,1920,897,367
2022-10-15 22:44:25.580000,1080,1920,900,367
2022-10-15 22:44:25.600000,1080,1920,901,359
2022-10-15 22:44:25.620000,1080,1920,898,355
2022-10-15 22:44:25.640000,1080,1920,901,374
2022-10-15 22:44:25.650000,1080,1920,904,375
2022-10-15 22:44:25.670000,1080,1920,907,372
2022-10-15 22:44:25.680000,1080,1920,909,380
2022-10-15 22:44:25.700000,1080,1920,673,387
2022-10-15 22:44:25.720000,1080,1920,673,387
2022-10-15 22:44:25.750000,1080,1920,560,507
2022-10-15 22:44:25.770000,1080,1920,566,492
2022-10-15 22:44:25.780000,1080,1920,560,492
