time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:44:29.400000,1080,1920,608,450
2022-10-15 22:44:29.420000,1080,1920,779,444
2022-10-15 22:44:29.430000,1080,1920,917,431
2022-10-15 22:44:29.460000,1080,1920,960,417
2022-10-15 22:44:29.480000,1080,1920,957,418
2022-10-15 22:44:29.500000,1080,1920,956,413
2022-10-15 22:44:29.520000,1080,1920,954,410
2022-10-15 22:44:29.530000,1080,1920,954,409
2022-10-15 22:44:29.550000,1080,1920,950,410
2022-10-15 22:44:29.560000,1080,1920,940,418
2022-10-15 22:44:29.580000,1080,1920,947,422
2022-10-15 22:44:29.770000,1080,1920,948,351
2022-10-15 22:44:29.780000,1080,1920,944,348
2022-10-15 22:44:29.800000,1080,1920,960,302
2022-10-15 22:44:29.810000,1080,1920,960,303
2022-10-15 22:44:29.830000,1080,1920,942,305
2022-10-15 22:44:29.850000,1080,1920,932,301
2022-10-15 22:44:29.860000,1080,1920,954,308
2022-10-15 22:44:29.880000,1080,1920,957,319
2022-10-15 22:44:29.900000,1080,1920,954,319
2022-10-15 22:44:29.920000,1080,1920,956,323
2022-10-15 22:44:29.930000,1080,1920,957,326
2022-10-15 22:44:29.950000,1080,1920,934,312
2022-10-15 22:44:29.960000,1080,1920,900,305
2022-10-15 22:44:29.980000,1080,1920,903,305
2022-10-15 22:44:30,1080,1920,899,304
2022-10-15 22:44:30.020000,1080,1920,898,301
2022-10-15 22:44:30.030000,1080,1920,902,294
2022-10-15 22:44:30.050000,1080,1920,903,297
2022-10-15 22:44:30.060000,1080,1920,899,304
2022-10-15 22:44:30.080000,1080,1920,904,302
2022-10-15 22:44:30.100000,1080,1920,902,309
2022-10-15 22:44:30.110000,1080,1920,895,319
2022-10-15 22:44:30.130000,1080,1920,901,319
2022-10-15 22:44:30.150000,1080,1920,905,313
2022-10-15 22:44:30.170000,1080,1920,902,311
2022-10-15 22:44:30.180000,1080,1920,904,311
2022-10-15 22:44:30.200000,1080,1920,902,310
2022-10-15 22:44:30.210000,1080,1920,901,318
2022-10-15 22:44:30.230000,1080,1920,912,328
2022-10-15 22:44:30.250000,1080,1920,964,353
2022-10-15 22:44:30.270000,1080,1920,988,382
2022-10-15 22:44:30.280000,1080,1920,992,382
2022-10-15 22:44:30.300000,1080,1920,994,380
2022-10-15 22:44:30.310000,1080,1920,994,377
2022-10-15 22:44:30.330000,1080,1920,990,378
2022-10-15 22:44:30.350000,1080,1920,986,377
2022-10-15 22:44:30.360000,1080,1920,996,372
2022-10-15 22:44:30.380000,1080,1920,996,369
2022-10-15 22:44:30.400000,1080,1920,989,374
2022-10-15 22:44:30.410000,1080,1920,991,374
2022-10-15 22:44:30.430000,1080,1920,990,380
2022-10-15 22:44:30.450000,1080,1920,990,385
2022-10-15 22:44:30.460000,1080,1920,989,379
2022-10-15 22:44:30.480000,1080,1920,995,379
2022-10-15 22:44:30.500000,1080,1920,996,374
2022-10-15 22:44:30.510000,1080,1920,988,377
2022-10-15 22:44:30.530000,1080,1920,991,378
2022-10-15 22:44:30.550000,1080,1920,990,378
2022-10-15 22:44:30.560000,1080,1920,990,383
2022-10-15 22:44:30.580000,1080,1920,990,379
2022-10-15 22:44:30.600000,1080,1920,991,382
2022-10-15 22:44:30.610000,1080,1920,997,390
2022-10-15 22:44:30.630000,1080,1920,996,375
2022-10-15 22:44:30.650000,1080,1920,996,378
2022-10-15 22:44:30.660000,1080,1920,994,384
2022-10-15 22:44:30.680000,1080,1920,990,380
2022-10-15 22:44:30.700000,1080,1920,996,389
2022-10-15 22:44:30.710000,1080,1920,995,388
2022-10-15 22:44:30.730000,1080,1920,993,391
2022-10-15 22:44:30.750000,1080,1920,995,389
2022-10-15 22:44:30.760000,1080,1920,993,387
2022-10-15 22:44:30.780000,1080,1920,992,384
2022-10-15 22:44:30.800000,1080,1920,994,381
2022-10-15 22:44:30.810000,1080,1920,991,386
2022-10-15 22:44:30.830000,1080,1920,989,389
2022-10-15 22:44:30.850000,1080,1920,991,385
2022-10-15 22:44:30.860000,1080,1920,989,386
2022-10-15 22:44:30.880000,1080,1920,994,388
2022-10-15 22:44:30.900000,1080,1920,990,390
2022-10-15 22:44:30.910000,1080,1920,986,388
2022-10-15 22:44:30.930000,1080,1920,992,391
2022-10-15 22:44:30.950000,1080,1920,1009,421
2022-10-15 22:44:30.960000,1080,1920,1034,508
2022-10-15 22:44:30.980000,1080,1920,1031,523
2022-10-15 22:44:31,1080,1920,1036,511
2022-10-15 22:44:31.010000,1080,1920,1036,508
2022-10-15 22:44:31.030000,1080,1920,1036,507
2022-10-15 22:44:31.050000,1080,1920,1035,502
2022-10-15 22:44:31.060000,1080,1920,1036,492
2022-10-15 22:44:31.080000,1080,1920,1036,495
2022-10-15 22:44:31.100000,1080,1920,1034,515
2022-10-15 22:44:31.110000,1080,1920,1035,517
2022-10-15 22:44:31.130000,1080,1920,1036,519
2022-10-15 22:44:31.150000,1080,1920,1037,521
2022-10-15 22:44:31.160000,1080,1920,1032,516
2022-10-15 22:44:31.180000,1080,1920,1029,510
2022-10-15 22:44:31.200000,1080,1920,1036,502
2022-10-15 22:44:31.210000,1080,1920,1040,509
2022-10-15 22:44:31.230000,1080,1920,1033,516
2022-10-15 22:44:31.250000,1080,1920,1034,517
2022-10-15 22:44:31.260000,1080,1920,1036,514
2022-10-15 22:44:31.280000,1080,1920,1034,513
2022-10-15 22:44:31.300000,1080,1920,1036,520
2022-10-15 22:44:31.310000,1080,1920,1036,523
2022-10-15 22:44:31.330000,1080,1920,1035,518
2022-10-15 22:44:31.350000,1080,1920,1035,513
2022-10-15 22:44:31.360000,1080,1920,1037,515
2022-10-15 22:44:31.380000,1080,1920,1037,520
2022-10-15 22:44:31.400000,1080,1920,1034,518
2022-10-15 22:44:31.410000,1080,1920,1029,513
2022-10-15 22:44:31.430000,1080,1920,1027,513
2022-10-15 22:44:31.450000,1080,1920,1025,517
2022-10-15 22:44:31.460000,1080,1920,898,503
2022-10-15 22:44:31.480000,1080,1920,822,490
2022-10-15 22:44:31.500000,1080,1920,770,481
2022-10-15 22:44:31.510000,1080,1920,770,477
2022-10-15 22:44:31.530000,1080,1920,769,477
2022-10-15 22:44:31.550000,1080,1920,771,477
2022-10-15 22:44:31.560000,1080,1920,771,478
2022-10-15 22:44:31.580000,1080,1920,770,483
2022-10-15 22:44:31.600000,1080,1920,775,482
2022-10-15 22:44:31.610000,1080,1920,777,478
2022-10-15 22:44:31.630000,1080,1920,769,466
2022-10-15 22:44:31.650000,1080,1920,766,475
2022-10-15 22:44:31.660000,1080,1920,766,481
2022-10-15 22:44:31.680000,1080,1920,769,480
2022-10-15 22:44:31.700000,1080,1920,769,483
2022-10-15 22:44:31.710000,1080,1920,770,480
2022-10-15 22:44:31.730000,1080,1920,779,478
2022-10-15 22:44:31.750000,1080,1920,777,476
2022-10-15 22:44:31.760000,1080,1920,775,478
2022-10-15 22:44:31.780000,1080,1920,771,476
2022-10-15 22:44:31.800000,1080,1920,720,453
2022-10-15 22:44:31.810000,1080,1920,707,447
2022-10-15 22:44:31.830000,1080,1920,719,450
2022-10-15 22:44:31.850000,1080,1920,717,449
2022-10-15 22:44:31.860000,1080,1920,718,446
2022-10-15 22:44:31.880000,1080,1920,718,445
2022-10-15 22:44:31.900000,1080,1920,716,445
2022-10-15 22:44:31.910000,1080,1920,714,446
2022-10-15 22:44:31.930000,1080,1920,711,446
2022-10-15 22:44:31.950000,1080,1920,710,443
2022-10-15 22:44:31.960000,1080,1920,711,444
2022-10-15 22:44:31.980000,1080,1920,713,441
2022-10-15 22:44:32,1080,1920,708,434
2022-10-15 22:44:32.010000,1080,1920,710,432
2022-10-15 22:44:32.030000,1080,1920,715,431
2022-10-15 22:44:32.050000,1080,1920,710,430
2022-10-15 22:44:32.060000,1080,1920,711,430
2022-10-15 22:44:32.080000,1080,1920,716,435
2022-10-15 22:44:32.100000,1080,1920,756,427
2022-10-15 22:44:32.110000,1080,1920,888,368
2022-10-15 22:44:32.130000,1080,1920,927,350
2022-10-15 22:44:32.150000,1080,1920,928,352
2022-10-15 22:44:32.160000,1080,1920,925,350
2022-10-15 22:44:32.180000,1080,1920,927,351
2022-10-15 22:44:32.200000,1080,1920,924,364
2022-10-15 22:44:32.210000,1080,1920,925,356
2022-10-15 22:44:32.230000,1080,1920,925,356
2022-10-15 22:44:32.250000,1080,1920,925,354
2022-10-15 22:44:32.260000,1080,1920,926,355
2022-10-15 22:44:32.280000,1080,1920,925,355
2022-10-15 22:44:32.300000,1080,1920,926,363
2022-10-15 22:44:32.310000,1080,1920,926,363
2022-10-15 22:44:32.330000,1080,1920,943,320
2022-10-15 22:44:32.350000,1080,1920,948,300
2022-10-15 22:44:32.360000,1080,1920,945,302
2022-10-15 22:44:32.380000,1080,1920,947,307
2022-10-15 22:44:32.400000,1080,1920,946,309
2022-10-15 22:44:32.410000,1080,1920,942,306
2022-10-15 22:44:32.430000,1080,1920,940,305
2022-10-15 22:44:32.450000,1080,1920,942,311
2022-10-15 22:44:32.460000,1080,1920,942,316
2022-10-15 22:44:32.480000,1080,1920,942,314
2022-10-15 22:44:32.500000,1080,1920,947,311
2022-10-15 22:44:32.510000,1080,1920,947,310
2022-10-15 22:44:32.530000,1080,1920,941,316
2022-10-15 22:44:32.550000,1080,1920,937,316
2022-10-15 22:44:32.560000,1080,1920,939,314
2022-10-15 22:44:32.580000,1080,1920,943,316
2022-10-15 22:44:32.600000,1080,1920,944,316
2022-10-15 22:44:32.610000,1080,1920,943,315
2022-10-15 22:44:32.630000,1080,1920,939,314
2022-10-15 22:44:32.650000,1080,1920,942,314
2022-10-15 22:44:32.660000,1080,1920,941,319
2022-10-15 22:44:32.680000,1080,1920,937,313
2022-10-15 22:44:32.700000,1080,1920,926,319
2022-10-15 22:44:32.710000,1080,1920,925,315
2022-10-15 22:44:32.730000,1080,1920,856,444
2022-10-15 22:44:32.750000,1080,1920,856,555
2022-10-15 22:44:32.780000,1080,1920,955,551
2022-10-15 22:44:32.800000,1080,1920,982,462
2022-10-15 22:44:32.810000,1080,1920,992,422
2022-10-15 22:44:32.830000,1080,1920,1007,324
2022-10-15 22:44:32.850000,1080,1920,979,333
2022-10-15 22:44:32.860000,1080,1920,991,332
2022-10-15 22:44:32.880000,1080,1920,997,327
2022-10-15 22:44:32.900000,1080,1920,1005,356
2022-10-15 22:44:32.910000,1080,1920,1014,366
2022-10-15 22:44:32.930000,1080,1920,1010,371
2022-10-15 22:44:32.950000,1080,1920,1007,368
2022-10-15 22:44:32.960000,1080,1920,1008,357
2022-10-15 22:44:32.980000,1080,1920,1015,356
2022-10-15 22:44:33,1080,1920,1008,351
2022-10-15 22:44:33.010000,1080,1920,1005,353
2022-10-15 22:44:33.030000,1080,1920,1005,349
2022-10-15 22:44:33.050000,1080,1920,1011,353
2022-10-15 22:44:33.060000,1080,1920,1010,352
2022-10-15 22:44:33.080000,1080,1920,1008,347
2022-10-15 22:44:33.100000,1080,1920,1006,342
2022-10-15 22:44:33.110000,1080,1920,1006,342
2022-10-15 22:44:33.130000,1080,1920,1008,334
2022-10-15 22:44:33.150000,1080,1920,1004,340
2022-10-15 22:44:33.160000,1080,1920,1007,347
2022-10-15 22:44:33.180000,1080,1920,1005,343
2022-10-15 22:44:33.200000,1080,1920,1005,347
2022-10-15 22:44:33.210000,1080,1920,1007,348
2022-10-15 22:44:33.230000,1080,1920,999,340
2022-10-15 22:44:33.250000,1080,1920,996,342
2022-10-15 22:44:33.260000,1080,1920,997,340
2022-10-15 22:44:33.280000,1080,1920,997,339
2022-10-15 22:44:33.300000,1080,1920,1002,342
2022-10-15 22:44:33.310000,1080,1920,1005,349
2022-10-15 22:44:33.330000,1080,1920,1005,348
2022-10-15 22:44:33.350000,1080,1920,1006,347
2022-10-15 22:44:33.360000,1080,1920,1003,347
2022-10-15 22:44:33.380000,1080,1920,1006,343
2022-10-15 22:44:33.400000,1080,1920,1003,346
2022-10-15 22:44:33.410000,1080,1920,1000,344
2022-10-15 22:44:33.430000,1080,1920,1002,347
2022-10-15 22:44:33.450000,1080,1920,1000,345
2022-10-15 22:44:33.460000,1080,1920,1002,334
2022-10-15 22:44:33.480000,1080,1920,1003,334
2022-10-15 22:44:33.500000,1080,1920,1002,343
2022-10-15 22:44:33.510000,1080,1920,1001,342
2022-10-15 22:44:33.530000,1080,1920,1002,336
2022-10-15 22:44:33.550000,1080,1920,999,343
2022-10-15 22:44:33.560000,1080,1920,999,341
2022-10-15 22:44:33.580000,1080,1920,1002,340
2022-10-15 22:44:33.600000,1080,1920,1000,345
2022-10-15 22:44:33.610000,1080,1920,998,344
2022-10-15 22:44:33.630000,1080,1920,996,337
2022-10-15 22:44:33.650000,1080,1920,998,341
2022-10-15 22:44:33.660000,1080,1920,998,344
2022-10-15 22:44:33.680000,1080,1920,999,338
2022-10-15 22:44:33.690000,1080,1920,948,366
2022-10-15 22:44:33.710000,1080,1920,924,379
2022-10-15 22:44:33.730000,1080,1920,917,377
2022-10-15 22:44:33.750000,1080,1920,913,380
2022-10-15 22:44:33.760000,1080,1920,910,383
2022-10-15 22:44:33.780000,1080,1920,912,379
2022-10-15 22:44:33.800000,1080,1920,914,371
2022-10-15 22:44:33.810000,1080,1920,917,369
2022-10-15 22:44:33.830000,1080,1920,918,367
2022-10-15 22:44:33.840000,1080,1920,917,367
2022-10-15 22:44:33.860000,1080,1920,918,370
2022-10-15 22:44:33.880000,1080,1920,917,373
2022-10-15 22:44:33.900000,1080,1920,912,372
2022-10-15 22:44:33.910000,1080,1920,914,366
2022-10-15 22:44:33.930000,1080,1920,920,360
2022-10-15 22:44:33.940000,1080,1920,916,357
2022-10-15 22:44:33.960000,1080,1920,917,359
2022-10-15 22:44:33.980000,1080,1920,918,360
2022-10-15 22:44:34,1080,1920,917,356
2022-10-15 22:44:34.010000,1080,1920,917,355
2022-10-15 22:44:34.030000,1080,1920,919,358
2022-10-15 22:44:34.050000,1080,1920,921,361
2022-10-15 22:44:34.060000,1080,1920,923,360
2022-10-15 22:44:34.080000,1080,1920,922,359
2022-10-15 22:44:34.090000,1080,1920,921,366
2022-10-15 22:44:34.110000,1080,1920,922,373
2022-10-15 22:44:34.130000,1080,1920,921,362
2022-10-15 22:44:34.150000,1080,1920,918,357
2022-10-15 22:44:34.160000,1080,1920,922,358
2022-10-15 22:44:34.180000,1080,1920,922,359
2022-10-15 22:44:34.190000,1080,1920,920,362
2022-10-15 22:44:34.210000,1080,1920,921,367
2022-10-15 22:44:34.230000,1080,1920,924,364
2022-10-15 22:44:34.250000,1080,1920,924,360
2022-10-15 22:44:34.260000,1080,1920,925,364
2022-10-15 22:44:34.280000,1080,1920,926,369
2022-10-15 22:44:34.300000,1080,1920,923,372
2022-10-15 22:44:34.310000,1080,1920,922,367
2022-10-15 22:44:34.330000,1080,1920,921,369
2022-10-15 22:44:34.340000,1080,1920,923,373
2022-10-15 22:44:34.360000,1080,1920,914,362
2022-10-15 22:44:34.380000,1080,1920,912,360
2022-10-15 22:44:34.400000,1080,1920,923,360
2022-10-15 22:44:34.410000,1080,1920,920,357
2022-10-15 22:44:34.430000,1080,1920,922,364
2022-10-15 22:44:34.440000,1080,1920,926,365
2022-10-15 22:44:34.460000,1080,1920,928,362
2022-10-15 22:44:34.480000,1080,1920,927,357
2022-10-15 22:44:34.500000,1080,1920,923,357
2022-10-15 22:44:34.510000,1080,1920,922,356
2022-10-15 22:44:34.530000,1080,1920,917,353
2022-10-15 22:44:34.550000,1080,1920,918,353
2022-10-15 22:44:34.560000,1080,1920,923,360
2022-10-15 22:44:34.580000,1080,1920,929,367
2022-10-15 22:44:34.590000,1080,1920,926,365
2022-10-15 22:44:34.610000,1080,1920,926,365
2022-10-15 22:44:34.630000,1080,1920,928,360
2022-10-15 22:44:34.650000,1080,1920,929,358
2022-10-15 22:44:34.660000,1080,1920,928,369
2022-10-15 22:44:34.680000,1080,1920,926,368
2022-10-15 22:44:34.690000,1080,1920,927,365
2022-10-15 22:44:34.710000,1080,1920,926,376
2022-10-15 22:44:34.730000,1080,1920,924,371
2022-10-15 22:44:34.750000,1080,1920,924,367
2022-10-15 22:44:34.760000,1080,1920,926,365
2022-10-15 22:44:34.780000,1080,1920,928,363
2022-10-15 22:44:34.800000,1080,1920,925,366
2022-10-15 22:44:34.810000,1080,1920,924,364
2022-10-15 22:44:34.830000,1080,1920,921,359
2022-10-15 22:44:34.840000,1080,1920,922,362
2022-10-15 22:44:34.860000,1080,1920,930,360
2022-10-15 22:44:34.880000,1080,1920,933,355
2022-10-15 22:44:34.900000,1080,1920,931,365
2022-10-15 22:44:34.910000,1080,1920,933,371
2022-10-15 22:44:34.930000,1080,1920,939,361
2022-10-15 22:44:34.940000,1080,1920,936,358
2022-10-15 22:44:34.960000,1080,1920,930,362
2022-10-15 22:44:34.980000,1080,1920,933,364
2022-10-15 22:44:35,1080,1920,939,368
2022-10-15 22:44:35.010000,1080,1920,936,363
2022-10-15 22:44:35.030000,1080,1920,934,365
2022-10-15 22:44:35.050000,1080,1920,933,369
2022-10-15 22:44:35.060000,1080,1920,935,367
2022-10-15 22:44:35.080000,1080,1920,931,366
2022-10-15 22:44:35.090000,1080,1920,929,367
2022-10-15 22:44:35.110000,1080,1920,932,375
2022-10-15 22:44:35.130000,1080,1920,931,365
2022-10-15 22:44:35.140000,1080,1920,932,362
2022-10-15 22:44:35.160000,1080,1920,939,365
