time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:44:35.410000,1080,1920,990,371
2022-10-15 22:44:35.430000,1080,1920,1136,369
2022-10-15 22:44:35.440000,1080,1920,1153,374
2022-10-15 22:44:35.460000,1080,1920,1143,387
2022-10-15 22:44:35.480000,1080,1920,1128,372
2022-10-15 22:44:35.490000,1080,1920,1147,376
2022-10-15 22:44:35.510000,1080,1920,1157,366
2022-10-15 22:44:35.530000,1080,1920,1130,409
2022-10-15 22:44:35.690000,1080,1920,1130,439
2022-10-15 22:44:35.710000,1080,1920,1132,419
2022-10-15 22:44:35.730000,1080,1920,1136,332
2022-10-15 22:44:35.740000,1080,1920,1138,349
2022-10-15 22:44:35.760000,1080,1920,1147,366
2022-10-15 22:44:35.780000,1080,1920,1146,365
2022-10-15 22:44:35.790000,1080,1920,1144,346
2022-10-15 22:44:35.810000,1080,1920,1142,346
2022-10-15 22:44:35.830000,1080,1920,1145,337
2022-10-15 22:44:35.840000,1080,1920,1141,336
2022-10-15 22:44:35.860000,1080,1920,1138,340
2022-10-15 22:44:35.880000,1080,1920,1136,341
2022-10-15 22:44:35.890000,1080,1920,1141,342
2022-10-15 22:44:35.910000,1080,1920,1144,341
2022-10-15 22:44:35.930000,1080,1920,1139,344
2022-10-15 22:44:35.940000,1080,1920,1137,347
2022-10-15 22:44:35.960000,1080,1920,1142,342
2022-10-15 22:44:35.980000,1080,1920,1143,347
2022-10-15 22:44:35.990000,1080,1920,1134,358
2022-10-15 22:44:36.010000,1080,1920,1134,355
2022-10-15 22:44:36.030000,1080,1920,1142,351
2022-10-15 22:44:36.040000,1080,1920,1142,349
2022-10-15 22:44:36.060000,1080,1920,1134,351
2022-10-15 22:44:36.080000,1080,1920,1132,350
2022-10-15 22:44:36.090000,1080,1920,1134,348
2022-10-15 22:44:36.110000,1080,1920,1136,352
2022-10-15 22:44:36.130000,1080,1920,1158,365
2022-10-15 22:44:36.140000,1080,1920,1205,371
2022-10-15 22:44:36.160000,1080,1920,1259,375
2022-10-15 22:44:36.180000,1080,1920,1254,373
2022-10-15 22:44:36.190000,1080,1920,1254,371
2022-10-15 22:44:36.210000,1080,1920,1255,369
2022-10-15 22:44:36.230000,1080,1920,1255,365
2022-10-15 22:44:36.240000,1080,1920,1258,365
2022-10-15 22:44:36.260000,1080,1920,1261,367
2022-10-15 22:44:36.280000,1080,1920,1259,368
2022-10-15 22:44:36.290000,1080,1920,1262,363
2022-10-15 22:44:36.310000,1080,1920,1260,372
2022-10-15 22:44:36.330000,1080,1920,1260,367
2022-10-15 22:44:36.340000,1080,1920,1262,362
2022-10-15 22:44:36.360000,1080,1920,1261,363
2022-10-15 22:44:36.380000,1080,1920,1263,360
2022-10-15 22:44:36.390000,1080,1920,1263,360
2022-10-15 22:44:36.410000,1080,1920,1264,356
2022-10-15 22:44:36.430000,1080,1920,1264,354
2022-10-15 22:44:36.440000,1080,1920,1265,360
2022-10-15 22:44:36.460000,1080,1920,1262,362
2022-10-15 22:44:36.480000,1080,1920,1265,360
2022-10-15 22:44:36.490000,1080,1920,1261,354
2022-10-15 22:44:36.510000,1080,1920,1256,357
2022-10-15 22:44:36.530000,1080,1920,1258,360
2022-10-15 22:44:36.540000,1080,1920,1261,360
2022-10-15 22:44:36.560000,1080,1920,1260,369
2022-10-15 22:44:36.580000,1080,1920,1252,353
2022-10-15 22:44:36.590000,1080,1920,1256,356
2022-10-15 22:44:36.610000,1080,1920,1233,352
2022-10-15 22:44:36.630000,1080,1920,1206,348
2022-10-15 22:44:36.640000,1080,1920,1215,350
2022-10-15 22:44:36.660000,1080,1920,1213,355
2022-10-15 22:44:36.680000,1080,1920,1210,358
2022-10-15 22:44:36.690000,1080,1920,1208,355
2022-10-15 22:44:36.710000,1080,1920,1203,358
