time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:44:41.710000,1080,1920,971,316
2022-10-15 22:44:41.720000,1080,1920,861,339
2022-10-15 22:44:41.740000,1080,1920,817,373
2022-10-15 22:44:41.760000,1080,1920,448,610
2022-10-15 22:44:41.770000,1080,1920,455,597
2022-10-15 22:44:41.790000,1080,1920,559,521
2022-10-15 22:44:41.810000,1080,1920,554,531
2022-10-15 22:44:41.820000,1080,1920,612,495
2022-10-15 22:44:41.840000,1080,1920,613,490
2022-10-15 22:44:41.860000,1080,1920,606,479
2022-10-15 22:44:41.870000,1080,1920,612,463
2022-10-15 22:44:41.890000,1080,1920,643,433
2022-10-15 22:44:42.060000,1080,1920,525,508
2022-10-15 22:44:42.070000,1080,1920,523,510
2022-10-15 22:44:42.090000,1080,1920,601,469
2022-10-15 22:44:42.110000,1080,1920,615,471
2022-10-15 22:44:42.120000,1080,1920,627,467
2022-10-15 22:44:42.140000,1080,1920,615,466
2022-10-15 22:44:42.160000,1080,1920,614,464
2022-10-15 22:44:42.170000,1080,1920,610,462
2022-10-15 22:44:42.190000,1080,1920,608,463
2022-10-15 22:44:42.210000,1080,1920,614,461
2022-10-15 22:44:42.220000,1080,1920,617,470
2022-10-15 22:44:42.240000,1080,1920,618,465
2022-10-15 22:44:42.260000,1080,1920,627,470
2022-10-15 22:44:42.270000,1080,1920,621,477
2022-10-15 22:44:42.290000,1080,1920,618,463
2022-10-15 22:44:42.310000,1080,1920,619,460
2022-10-15 22:44:42.320000,1080,1920,616,458
2022-10-15 22:44:42.340000,1080,1920,623,475
2022-10-15 22:44:42.360000,1080,1920,619,496
2022-10-15 22:44:42.370000,1080,1920,619,485
2022-10-15 22:44:42.390000,1080,1920,618,467
2022-10-15 22:44:42.410000,1080,1920,621,474
2022-10-15 22:44:42.420000,1080,1920,628,498
2022-10-15 22:44:42.440000,1080,1920,616,493
2022-10-15 22:44:42.460000,1080,1920,616,479
2022-10-15 22:44:42.470000,1080,1920,618,479
2022-10-15 22:44:42.490000,1080,1920,620,488
2022-10-15 22:44:42.510000,1080,1920,614,486
2022-10-15 22:44:42.520000,1080,1920,617,482
2022-10-15 22:44:42.540000,1080,1920,622,485
2022-10-15 22:44:42.560000,1080,1920,623,493
2022-10-15 22:44:42.570000,1080,1920,627,491
2022-10-15 22:44:42.590000,1080,1920,618,476
2022-10-15 22:44:42.610000,1080,1920,622,483
2022-10-15 22:44:42.620000,1080,1920,621,483
2022-10-15 22:44:42.640000,1080,1920,614,481
2022-10-15 22:44:42.660000,1080,1920,612,479
2022-10-15 22:44:42.670000,1080,1920,612,476
2022-10-15 22:44:42.690000,1080,1920,612,488
2022-10-15 22:44:42.710000,1080,1920,612,489
2022-10-15 22:44:42.720000,1080,1920,580,530
2022-10-15 22:44:42.740000,1080,1920,564,568
2022-10-15 22:44:42.760000,1080,1920,572,593
2022-10-15 22:44:42.770000,1080,1920,574,590
2022-10-15 22:44:42.790000,1080,1920,573,604
2022-10-15 22:44:42.810000,1080,1920,580,608
2022-10-15 22:44:42.820000,1080,1920,574,591
2022-10-15 22:44:42.840000,1080,1920,569,590
2022-10-15 22:44:42.860000,1080,1920,573,597
2022-10-15 22:44:42.870000,1080,1920,573,599
2022-10-15 22:44:42.890000,1080,1920,569,593
2022-10-15 22:44:42.910000,1080,1920,567,587
2022-10-15 22:44:42.920000,1080,1920,570,586
2022-10-15 22:44:42.940000,1080,1920,573,586
2022-10-15 22:44:42.960000,1080,1920,575,593
2022-10-15 22:44:42.970000,1080,1920,577,600
2022-10-15 22:44:42.990000,1080,1920,580,603
2022-10-15 22:44:43.010000,1080,1920,580,603
2022-10-15 22:44:43.020000,1080,1920,586,590
2022-10-15 22:44:43.040000,1080,1920,591,580
2022-10-15 22:44:43.060000,1080,1920,585,585
2022-10-15 22:44:43.070000,1080,1920,582,584
2022-10-15 22:44:43.090000,1080,1920,581,574
2022-10-15 22:44:43.100000,1080,1920,581,580
2022-10-15 22:44:43.120000,1080,1920,587,584
2022-10-15 22:44:43.140000,1080,1920,581,573
2022-10-15 22:44:43.160000,1080,1920,577,576
2022-10-15 22:44:43.170000,1080,1920,581,580
2022-10-15 22:44:43.190000,1080,1920,577,571
2022-10-15 22:44:43.200000,1080,1920,576,568
2022-10-15 22:44:43.220000,1080,1920,582,577
2022-10-15 22:44:43.240000,1080,1920,563,574
2022-10-15 22:44:43.260000,1080,1920,487,529
2022-10-15 22:44:43.270000,1080,1920,474,508
2022-10-15 22:44:43.290000,1080,1920,475,506
2022-10-15 22:44:43.300000,1080,1920,476,501
2022-10-15 22:44:43.320000,1080,1920,476,492
2022-10-15 22:44:43.340000,1080,1920,476,500
2022-10-15 22:44:43.350000,1080,1920,479,504
2022-10-15 22:44:43.370000,1080,1920,479,503
2022-10-15 22:44:43.390000,1080,1920,479,500
2022-10-15 22:44:43.410000,1080,1920,478,499
2022-10-15 22:44:43.420000,1080,1920,478,506
2022-10-15 22:44:43.440000,1080,1920,479,508
2022-10-15 22:44:43.450000,1080,1920,476,510
2022-10-15 22:44:43.470000,1080,1920,477,513
2022-10-15 22:44:43.490000,1080,1920,477,508
2022-10-15 22:44:43.510000,1080,1920,480,506
2022-10-15 22:44:43.520000,1080,1920,481,506
2022-10-15 22:44:43.540000,1080,1920,476,506
2022-10-15 22:44:43.560000,1080,1920,476,509
2022-10-15 22:44:43.570000,1080,1920,473,509
2022-10-15 22:44:43.590000,1080,1920,479,515
2022-10-15 22:44:43.600000,1080,1920,501,514
2022-10-15 22:44:43.620000,1080,1920,581,514
2022-10-15 22:44:43.640000,1080,1920,606,514
2022-10-15 22:44:43.660000,1080,1920,625,513
2022-10-15 22:44:43.670000,1080,1920,622,510
2022-10-15 22:44:43.690000,1080,1920,623,508
2022-10-15 22:44:43.700000,1080,1920,625,506
2022-10-15 22:44:43.720000,1080,1920,622,502
2022-10-15 22:44:43.740000,1080,1920,621,502
2022-10-15 22:44:43.760000,1080,1920,622,501
2022-10-15 22:44:43.770000,1080,1920,624,503
2022-10-15 22:44:43.790000,1080,1920,625,511
2022-10-15 22:44:43.800000,1080,1920,627,513
2022-10-15 22:44:43.820000,1080,1920,619,501
2022-10-15 22:44:43.840000,1080,1920,617,495
2022-10-15 22:44:43.850000,1080,1920,616,502
2022-10-15 22:44:43.870000,1080,1920,616,505
2022-10-15 22:44:43.890000,1080,1920,620,510
2022-10-15 22:44:43.910000,1080,1920,622,516
2022-10-15 22:44:43.920000,1080,1920,629,514
2022-10-15 22:44:43.940000,1080,1920,628,511
2022-10-15 22:44:43.950000,1080,1920,621,508
2022-10-15 22:44:43.970000,1080,1920,623,506
2022-10-15 22:44:43.990000,1080,1920,622,501
2022-10-15 22:44:44.010000,1080,1920,617,501
2022-10-15 22:44:44.020000,1080,1920,617,509
2022-10-15 22:44:44.040000,1080,1920,644,518
2022-10-15 22:44:44.060000,1080,1920,713,536
2022-10-15 22:44:44.070000,1080,1920,752,523
2022-10-15 22:44:44.090000,1080,1920,766,529
2022-10-15 22:44:44.100000,1080,1920,768,533
2022-10-15 22:44:44.120000,1080,1920,771,541
2022-10-15 22:44:44.140000,1080,1920,768,542
2022-10-15 22:44:44.160000,1080,1920,765,545
2022-10-15 22:44:44.170000,1080,1920,766,542
2022-10-15 22:44:44.190000,1080,1920,767,541
2022-10-15 22:44:44.200000,1080,1920,769,539
2022-10-15 22:44:44.220000,1080,1920,766,535
2022-10-15 22:44:44.240000,1080,1920,765,534
2022-10-15 22:44:44.260000,1080,1920,766,527
2022-10-15 22:44:44.270000,1080,1920,762,525
2022-10-15 22:44:44.290000,1080,1920,763,525
2022-10-15 22:44:44.300000,1080,1920,764,528
2022-10-15 22:44:44.320000,1080,1920,764,532
2022-10-15 22:44:44.340000,1080,1920,766,537
2022-10-15 22:44:44.350000,1080,1920,768,538
2022-10-15 22:44:44.370000,1080,1920,765,529
2022-10-15 22:44:44.390000,1080,1920,764,531
2022-10-15 22:44:44.400000,1080,1920,767,536
2022-10-15 22:44:44.420000,1080,1920,769,533
2022-10-15 22:44:44.440000,1080,1920,768,531
2022-10-15 22:44:44.450000,1080,1920,766,530
2022-10-15 22:44:44.470000,1080,1920,769,532
2022-10-15 22:44:44.490000,1080,1920,772,529
2022-10-15 22:44:44.500000,1080,1920,775,529
2022-10-15 22:44:44.520000,1080,1920,770,541
2022-10-15 22:44:44.540000,1080,1920,771,543
2022-10-15 22:44:44.550000,1080,1920,463,527
2022-10-15 22:44:44.570000,1080,1920,471,528
2022-10-15 22:44:44.590000,1080,1920,477,511
2022-10-15 22:44:44.600000,1080,1920,473,508
2022-10-15 22:44:44.620000,1080,1920,473,506
2022-10-15 22:44:44.640000,1080,1920,469,509
2022-10-15 22:44:44.650000,1080,1920,468,514
2022-10-15 22:44:44.670000,1080,1920,471,510
2022-10-15 22:44:44.690000,1080,1920,469,506
2022-10-15 22:44:44.700000,1080,1920,466,511
2022-10-15 22:44:44.720000,1080,1920,474,518
2022-10-15 22:44:44.740000,1080,1920,476,515
2022-10-15 22:44:44.750000,1080,1920,480,517
2022-10-15 22:44:44.770000,1080,1920,477,517
2022-10-15 22:44:44.790000,1080,1920,477,514
2022-10-15 22:44:44.800000,1080,1920,484,514
2022-10-15 22:44:44.820000,1080,1920,480,510
2022-10-15 22:44:44.840000,1080,1920,483,513
2022-10-15 22:44:44.850000,1080,1920,482,518
2022-10-15 22:44:44.870000,1080,1920,477,515
2022-10-15 22:44:44.890000,1080,1920,477,515
2022-10-15 22:44:44.900000,1080,1920,478,519
2022-10-15 22:44:44.920000,1080,1920,476,517
2022-10-15 22:44:44.940000,1080,1920,470,514
2022-10-15 22:44:44.950000,1080,1920,473,519
2022-10-15 22:44:44.970000,1080,1920,476,523
2022-10-15 22:44:44.990000,1080,1920,476,528
2022-10-15 22:44:45,1080,1920,476,527
2022-10-15 22:44:45.020000,1080,1920,478,528
2022-10-15 22:44:45.040000,1080,1920,477,530
2022-10-15 22:44:45.050000,1080,1920,475,527
2022-10-15 22:44:45.070000,1080,1920,479,529
2022-10-15 22:44:45.090000,1080,1920,477,529
2022-10-15 22:44:45.100000,1080,1920,478,523
2022-10-15 22:44:45.120000,1080,1920,478,526
2022-10-15 22:44:45.140000,1080,1920,472,524
2022-10-15 22:44:45.150000,1080,1920,465,514
2022-10-15 22:44:45.170000,1080,1920,463,524
2022-10-15 22:44:45.190000,1080,1920,471,528
2022-10-15 22:44:45.200000,1080,1920,471,531
2022-10-15 22:44:45.220000,1080,1920,476,526
2022-10-15 22:44:45.240000,1080,1920,472,516
2022-10-15 22:44:45.250000,1080,1920,473,522
2022-10-15 22:44:45.270000,1080,1920,479,530
2022-10-15 22:44:45.290000,1080,1920,488,540
2022-10-15 22:44:45.300000,1080,1920,528,563
2022-10-15 22:44:45.320000,1080,1920,596,594
