time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:44:47.720000,1080,1920,895,382
2022-10-15 22:44:47.730000,1080,1920,891,390
2022-10-15 22:44:47.750000,1080,1920,887,389
2022-10-15 22:44:47.770000,1080,1920,888,389
2022-10-15 22:44:47.790000,1080,1920,894,400
2022-10-15 22:44:47.800000,1080,1920,884,422
2022-10-15 22:44:47.820000,1080,1920,815,515
2022-10-15 22:44:47.930000,1080,1920,827,528
2022-10-15 22:44:47.950000,1080,1920,853,526
2022-10-15 22:44:47.980000,1080,1920,929,396
2022-10-15 22:44:48,1080,1920,916,379
2022-10-15 22:44:48.020000,1080,1920,929,337
2022-10-15 22:44:48.040000,1080,1920,933,345
2022-10-15 22:44:48.050000,1080,1920,931,361
2022-10-15 22:44:48.070000,1080,1920,933,361
2022-10-15 22:44:48.080000,1080,1920,939,345
2022-10-15 22:44:48.100000,1080,1920,940,346
2022-10-15 22:44:48.120000,1080,1920,934,344
2022-10-15 22:44:48.140000,1080,1920,933,343
2022-10-15 22:44:48.150000,1080,1920,930,335
2022-10-15 22:44:48.170000,1080,1920,932,336
2022-10-15 22:44:48.180000,1080,1920,932,338
2022-10-15 22:44:48.200000,1080,1920,928,338
2022-10-15 22:44:48.220000,1080,1920,928,339
2022-10-15 22:44:48.230000,1080,1920,932,340
2022-10-15 22:44:48.250000,1080,1920,935,335
2022-10-15 22:44:48.270000,1080,1920,937,339
2022-10-15 22:44:48.290000,1080,1920,932,338
2022-10-15 22:44:48.300000,1080,1920,929,339
2022-10-15 22:44:48.320000,1080,1920,931,343
2022-10-15 22:44:48.330000,1080,1920,932,337
2022-10-15 22:44:48.350000,1080,1920,933,338
2022-10-15 22:44:48.370000,1080,1920,926,339
2022-10-15 22:44:48.390000,1080,1920,929,327
2022-10-15 22:44:48.400000,1080,1920,928,325
2022-10-15 22:44:48.420000,1080,1920,925,336
2022-10-15 22:44:48.430000,1080,1920,931,334
2022-10-15 22:44:48.450000,1080,1920,932,332
2022-10-15 22:44:48.470000,1080,1920,924,326
2022-10-15 22:44:48.480000,1080,1920,929,325
2022-10-15 22:44:48.500000,1080,1920,932,332
2022-10-15 22:44:48.520000,1080,1920,933,335
2022-10-15 22:44:48.540000,1080,1920,935,333
2022-10-15 22:44:48.550000,1080,1920,929,333
2022-10-15 22:44:48.570000,1080,1920,931,340
2022-10-15 22:44:48.580000,1080,1920,933,347
2022-10-15 22:44:48.600000,1080,1920,926,341
2022-10-15 22:44:48.620000,1080,1920,922,337
2022-10-15 22:44:48.640000,1080,1920,924,336
2022-10-15 22:44:48.650000,1080,1920,929,325
2022-10-15 22:44:48.670000,1080,1920,929,326
2022-10-15 22:44:48.680000,1080,1920,928,319
2022-10-15 22:44:48.700000,1080,1920,933,318
2022-10-15 22:44:48.720000,1080,1920,931,331
2022-10-15 22:44:48.730000,1080,1920,933,350
2022-10-15 22:44:48.750000,1080,1920,936,348
2022-10-15 22:44:48.770000,1080,1920,921,359
2022-10-15 22:44:48.790000,1080,1920,901,383
2022-10-15 22:44:48.800000,1080,1920,902,380
2022-10-15 22:44:48.820000,1080,1920,904,380
2022-10-15 22:44:48.830000,1080,1920,904,379
2022-10-15 22:44:48.850000,1080,1920,896,367
2022-10-15 22:44:48.870000,1080,1920,900,367
2022-10-15 22:44:48.890000,1080,1920,904,370
2022-10-15 22:44:48.900000,1080,1920,897,375
2022-10-15 22:44:48.920000,1080,1920,900,387
2022-10-15 22:44:48.930000,1080,1920,902,386
2022-10-15 22:44:48.950000,1080,1920,891,388
2022-10-15 22:44:48.970000,1080,1920,896,390
2022-10-15 22:44:48.980000,1080,1920,899,378
2022-10-15 22:44:49,1080,1920,893,380
2022-10-15 22:44:49.020000,1080,1920,897,390
2022-10-15 22:44:49.040000,1080,1920,895,394
2022-10-15 22:44:49.050000,1080,1920,892,400
2022-10-15 22:44:49.070000,1080,1920,895,391
2022-10-15 22:44:49.080000,1080,1920,892,388
2022-10-15 22:44:49.100000,1080,1920,893,388
2022-10-15 22:44:49.120000,1080,1920,893,390
2022-10-15 22:44:49.130000,1080,1920,894,396
2022-10-15 22:44:49.150000,1080,1920,896,398
2022-10-15 22:44:49.170000,1080,1920,891,394
2022-10-15 22:44:49.180000,1080,1920,889,398
2022-10-15 22:44:49.200000,1080,1920,890,404
2022-10-15 22:44:49.220000,1080,1920,889,394
2022-10-15 22:44:49.230000,1080,1920,890,388
2022-10-15 22:44:49.250000,1080,1920,888,393
2022-10-15 22:44:49.270000,1080,1920,892,396
2022-10-15 22:44:49.280000,1080,1920,894,404
2022-10-15 22:44:49.300000,1080,1920,873,388
2022-10-15 22:44:49.320000,1080,1920,830,355
2022-10-15 22:44:49.330000,1080,1920,831,358
2022-10-15 22:44:49.350000,1080,1920,833,361
2022-10-15 22:44:49.370000,1080,1920,830,357
2022-10-15 22:44:49.380000,1080,1920,825,354
2022-10-15 22:44:49.400000,1080,1920,827,356
2022-10-15 22:44:49.420000,1080,1920,828,352
2022-10-15 22:44:49.430000,1080,1920,829,350
2022-10-15 22:44:49.450000,1080,1920,829,347
2022-10-15 22:44:49.470000,1080,1920,831,341
2022-10-15 22:44:49.480000,1080,1920,835,344
2022-10-15 22:44:49.500000,1080,1920,829,348
2022-10-15 22:44:49.520000,1080,1920,828,347
2022-10-15 22:44:49.530000,1080,1920,829,347
2022-10-15 22:44:49.550000,1080,1920,826,346
2022-10-15 22:44:49.570000,1080,1920,829,341
2022-10-15 22:44:49.580000,1080,1920,832,329
2022-10-15 22:44:49.600000,1080,1920,843,329
2022-10-15 22:44:49.620000,1080,1920,914,339
2022-10-15 22:44:49.630000,1080,1920,935,343
2022-10-15 22:44:49.650000,1080,1920,931,336
2022-10-15 22:44:49.670000,1080,1920,928,332
2022-10-15 22:44:49.680000,1080,1920,930,334
2022-10-15 22:44:49.700000,1080,1920,930,334
2022-10-15 22:44:49.720000,1080,1920,931,339
2022-10-15 22:44:49.730000,1080,1920,935,345
2022-10-15 22:44:49.750000,1080,1920,932,351
2022-10-15 22:44:49.770000,1080,1920,933,352
2022-10-15 22:44:49.780000,1080,1920,933,355
2022-10-15 22:44:49.800000,1080,1920,928,356
2022-10-15 22:44:49.820000,1080,1920,934,352
2022-10-15 22:44:49.830000,1080,1920,938,347
2022-10-15 22:44:49.850000,1080,1920,930,345
2022-10-15 22:44:49.870000,1080,1920,930,350
2022-10-15 22:44:49.880000,1080,1920,933,354
2022-10-15 22:44:49.900000,1080,1920,933,345
2022-10-15 22:44:49.920000,1080,1920,937,344
2022-10-15 22:44:49.930000,1080,1920,932,347
2022-10-15 22:44:49.950000,1080,1920,931,345
2022-10-15 22:44:49.970000,1080,1920,934,343
2022-10-15 22:44:49.980000,1080,1920,937,345
2022-10-15 22:44:50,1080,1920,935,350
2022-10-15 22:44:50.020000,1080,1920,935,353
2022-10-15 22:44:50.030000,1080,1920,935,357
2022-10-15 22:44:50.050000,1080,1920,935,358
2022-10-15 22:44:50.070000,1080,1920,934,353
2022-10-15 22:44:50.080000,1080,1920,933,357
2022-10-15 22:44:50.100000,1080,1920,930,357
2022-10-15 22:44:50.120000,1080,1920,930,348
2022-10-15 22:44:50.130000,1080,1920,935,352
2022-10-15 22:44:50.150000,1080,1920,931,356
2022-10-15 22:44:50.170000,1080,1920,934,356
2022-10-15 22:44:50.180000,1080,1920,934,347
2022-10-15 22:44:50.200000,1080,1920,932,343
2022-10-15 22:44:50.220000,1080,1920,931,345
2022-10-15 22:44:50.230000,1080,1920,932,342
2022-10-15 22:44:50.250000,1080,1920,932,346
2022-10-15 22:44:50.270000,1080,1920,931,347
2022-10-15 22:44:50.280000,1080,1920,937,351
2022-10-15 22:44:50.300000,1080,1920,934,354
2022-10-15 22:44:50.320000,1080,1920,933,357
2022-10-15 22:44:50.330000,1080,1920,932,356
2022-10-15 22:44:50.350000,1080,1920,930,354
2022-10-15 22:44:50.370000,1080,1920,935,354
2022-10-15 22:44:50.380000,1080,1920,928,352
2022-10-15 22:44:50.400000,1080,1920,929,353
2022-10-15 22:44:50.420000,1080,1920,859,360
2022-10-15 22:44:50.430000,1080,1920,823,363
2022-10-15 22:44:50.450000,1080,1920,756,366
2022-10-15 22:44:50.470000,1080,1920,753,379
2022-10-15 22:44:50.480000,1080,1920,752,391
2022-10-15 22:44:50.500000,1080,1920,755,385
2022-10-15 22:44:50.520000,1080,1920,750,384
2022-10-15 22:44:50.530000,1080,1920,752,384
2022-10-15 22:44:50.550000,1080,1920,752,385
2022-10-15 22:44:50.570000,1080,1920,748,380
2022-10-15 22:44:50.580000,1080,1920,746,377
2022-10-15 22:44:50.600000,1080,1920,742,381
2022-10-15 22:44:50.620000,1080,1920,746,384
2022-10-15 22:44:50.630000,1080,1920,749,384
2022-10-15 22:44:50.650000,1080,1920,748,383
2022-10-15 22:44:50.670000,1080,1920,748,386
2022-10-15 22:44:50.680000,1080,1920,750,389
2022-10-15 22:44:50.700000,1080,1920,751,385
2022-10-15 22:44:50.720000,1080,1920,752,387
2022-10-15 22:44:50.730000,1080,1920,745,391
2022-10-15 22:44:50.750000,1080,1920,744,391
2022-10-15 22:44:50.770000,1080,1920,746,390
2022-10-15 22:44:50.780000,1080,1920,748,394
2022-10-15 22:44:50.800000,1080,1920,817,412
2022-10-15 22:44:50.820000,1080,1920,1012,460
2022-10-15 22:44:50.830000,1080,1920,1038,460
2022-10-15 22:44:50.850000,1080,1920,1028,449
2022-10-15 22:44:50.870000,1080,1920,1028,450
2022-10-15 22:44:50.880000,1080,1920,1038,446
2022-10-15 22:44:50.900000,1080,1920,1036,444
2022-10-15 22:44:50.920000,1080,1920,1039,443
2022-10-15 22:44:50.930000,1080,1920,1039,442
2022-10-15 22:44:50.950000,1080,1920,1038,436
2022-10-15 22:44:50.970000,1080,1920,1035,436
2022-10-15 22:44:50.980000,1080,1920,1034,437
2022-10-15 22:44:51,1080,1920,1033,433
2022-10-15 22:44:51.020000,1080,1920,1037,434
2022-10-15 22:44:51.030000,1080,1920,1037,434
2022-10-15 22:44:51.050000,1080,1920,1035,443
2022-10-15 22:44:51.070000,1080,1920,1038,448
2022-10-15 22:44:51.080000,1080,1920,1039,448
2022-10-15 22:44:51.100000,1080,1920,1040,448
2022-10-15 22:44:51.120000,1080,1920,1036,445
2022-10-15 22:44:51.130000,1080,1920,1037,445
2022-10-15 22:44:51.150000,1080,1920,1037,450
2022-10-15 22:44:51.170000,1080,1920,1028,445
2022-10-15 22:44:51.180000,1080,1920,943,392
2022-10-15 22:44:51.200000,1080,1920,919,375
2022-10-15 22:44:51.220000,1080,1920,931,368
2022-10-15 22:44:51.230000,1080,1920,930,372
2022-10-15 22:44:51.250000,1080,1920,928,369
2022-10-15 22:44:51.270000,1080,1920,928,366
2022-10-15 22:44:51.280000,1080,1920,931,381
2022-10-15 22:44:51.300000,1080,1920,929,380
2022-10-15 22:44:51.320000,1080,1920,925,365
2022-10-15 22:44:51.330000,1080,1920,925,363
2022-10-15 22:44:51.350000,1080,1920,933,375
2022-10-15 22:44:51.370000,1080,1920,939,375
2022-10-15 22:44:51.380000,1080,1920,939,367
2022-10-15 22:44:51.400000,1080,1920,936,368
2022-10-15 22:44:51.420000,1080,1920,931,359
2022-10-15 22:44:51.430000,1080,1920,931,352
2022-10-15 22:44:51.450000,1080,1920,935,368
