time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:44:59.730000,1080,1920,865,309
2022-10-15 22:44:59.740000,1080,1920,861,299
2022-10-15 22:44:59.760000,1080,1920,862,302
2022-10-15 22:44:59.880000,1080,1920,835,461
2022-10-15 22:44:59.890000,1080,1920,825,457
2022-10-15 22:44:59.910000,1080,1920,835,325
2022-10-15 22:44:59.930000,1080,1920,833,294
2022-10-15 22:44:59.940000,1080,1920,833,260
2022-10-15 22:44:59.960000,1080,1920,833,261
2022-10-15 22:44:59.980000,1080,1920,831,265
2022-10-15 22:44:59.990000,1080,1920,828,265
2022-10-15 22:45:00.010000,1080,1920,826,267
2022-10-15 22:45:00.030000,1080,1920,827,269
2022-10-15 22:45:00.040000,1080,1920,831,275
2022-10-15 22:45:00.060000,1080,1920,827,272
2022-10-15 22:45:00.080000,1080,1920,823,275
2022-10-15 22:45:00.090000,1080,1920,828,271
2022-10-15 22:45:00.110000,1080,1920,818,260
2022-10-15 22:45:00.130000,1080,1920,798,293
2022-10-15 22:45:00.280000,1080,1920,834,330
2022-10-15 22:45:00.290000,1080,1920,835,276
2022-10-15 22:45:00.310000,1080,1920,838,218
2022-10-15 22:45:00.330000,1080,1920,838,212
2022-10-15 22:45:00.340000,1080,1920,851,216
2022-10-15 22:45:00.360000,1080,1920,849,216
2022-10-15 22:45:00.380000,1080,1920,835,184
2022-10-15 22:45:00.390000,1080,1920,831,178
2022-10-15 22:45:00.410000,1080,1920,837,196
2022-10-15 22:45:00.430000,1080,1920,840,197
2022-10-15 22:45:00.440000,1080,1920,839,204
2022-10-15 22:45:00.460000,1080,1920,839,204
2022-10-15 22:45:00.480000,1080,1920,837,208
2022-10-15 22:45:00.490000,1080,1920,838,215
2022-10-15 22:45:00.510000,1080,1920,843,215
2022-10-15 22:45:00.530000,1080,1920,857,212
2022-10-15 22:45:00.540000,1080,1920,878,209
2022-10-15 22:45:00.560000,1080,1920,874,210
2022-10-15 22:45:00.580000,1080,1920,873,208
2022-10-15 22:45:00.590000,1080,1920,872,205
2022-10-15 22:45:00.610000,1080,1920,871,201
2022-10-15 22:45:00.630000,1080,1920,875,202
2022-10-15 22:45:00.640000,1080,1920,877,204
2022-10-15 22:45:00.660000,1080,1920,881,199
2022-10-15 22:45:00.680000,1080,1920,879,200
2022-10-15 22:45:00.690000,1080,1920,872,204
2022-10-15 22:45:00.710000,1080,1920,881,202
2022-10-15 22:45:00.730000,1080,1920,883,200
2022-10-15 22:45:00.740000,1080,1920,879,194
2022-10-15 22:45:00.760000,1080,1920,881,194
2022-10-15 22:45:00.780000,1080,1920,882,198
2022-10-15 22:45:00.790000,1080,1920,881,202
2022-10-15 22:45:00.810000,1080,1920,881,204
2022-10-15 22:45:00.830000,1080,1920,878,197
2022-10-15 22:45:00.840000,1080,1920,884,191
2022-10-15 22:45:00.860000,1080,1920,887,190
2022-10-15 22:45:00.880000,1080,1920,884,187
2022-10-15 22:45:00.890000,1080,1920,881,187
2022-10-15 22:45:00.910000,1080,1920,882,186
2022-10-15 22:45:00.930000,1080,1920,883,188
2022-10-15 22:45:00.940000,1080,1920,886,197
2022-10-15 22:45:00.960000,1080,1920,885,200
2022-10-15 22:45:00.980000,1080,1920,878,209
2022-10-15 22:45:00.990000,1080,1920,879,203
2022-10-15 22:45:01.010000,1080,1920,881,198
2022-10-15 22:45:01.030000,1080,1920,878,202
2022-10-15 22:45:01.040000,1080,1920,878,208
2022-10-15 22:45:01.060000,1080,1920,870,216
2022-10-15 22:45:01.080000,1080,1920,825,211
2022-10-15 22:45:01.090000,1080,1920,811,205
2022-10-15 22:45:01.110000,1080,1920,812,204
2022-10-15 22:45:01.130000,1080,1920,816,208
2022-10-15 22:45:01.140000,1080,1920,821,212
2022-10-15 22:45:01.160000,1080,1920,816,212
2022-10-15 22:45:01.180000,1080,1920,812,207
2022-10-15 22:45:01.190000,1080,1920,809,201
2022-10-15 22:45:01.210000,1080,1920,812,192
2022-10-15 22:45:01.230000,1080,1920,819,191
2022-10-15 22:45:01.240000,1080,1920,818,197
2022-10-15 22:45:01.260000,1080,1920,814,194
2022-10-15 22:45:01.280000,1080,1920,790,183
2022-10-15 22:45:01.290000,1080,1920,776,185
2022-10-15 22:45:01.310000,1080,1920,776,186
2022-10-15 22:45:01.330000,1080,1920,779,187
2022-10-15 22:45:01.340000,1080,1920,776,194
2022-10-15 22:45:01.360000,1080,1920,777,198
2022-10-15 22:45:01.380000,1080,1920,781,202
2022-10-15 22:45:01.390000,1080,1920,779,201
2022-10-15 22:45:01.410000,1080,1920,777,199
2022-10-15 22:45:01.430000,1080,1920,775,200
2022-10-15 22:45:01.440000,1080,1920,776,199
2022-10-15 22:45:01.460000,1080,1920,778,193
2022-10-15 22:45:01.480000,1080,1920,778,188
2022-10-15 22:45:01.490000,1080,1920,778,183
2022-10-15 22:45:01.510000,1080,1920,780,182
2022-10-15 22:45:01.530000,1080,1920,783,187
2022-10-15 22:45:01.540000,1080,1920,781,188
2022-10-15 22:45:01.560000,1080,1920,781,189
2022-10-15 22:45:01.580000,1080,1920,776,191
2022-10-15 22:45:01.590000,1080,1920,775,193
2022-10-15 22:45:01.610000,1080,1920,777,199
2022-10-15 22:45:01.630000,1080,1920,774,194
2022-10-15 22:45:01.640000,1080,1920,778,194
2022-10-15 22:45:01.660000,1080,1920,780,196
2022-10-15 22:45:01.680000,1080,1920,779,190
2022-10-15 22:45:01.690000,1080,1920,780,181
2022-10-15 22:45:01.710000,1080,1920,778,181
2022-10-15 22:45:01.720000,1080,1920,782,191
2022-10-15 22:45:01.740000,1080,1920,818,198
2022-10-15 22:45:01.760000,1080,1920,880,201
2022-10-15 22:45:01.780000,1080,1920,882,192
2022-10-15 22:45:01.790000,1080,1920,884,194
2022-10-15 22:45:01.810000,1080,1920,878,198
2022-10-15 22:45:01.820000,1080,1920,877,192
2022-10-15 22:45:01.840000,1080,1920,877,196
2022-10-15 22:45:01.860000,1080,1920,880,204
2022-10-15 22:45:01.880000,1080,1920,879,203
2022-10-15 22:45:01.890000,1080,1920,875,195
2022-10-15 22:45:01.910000,1080,1920,877,192
2022-10-15 22:45:01.930000,1080,1920,881,193
2022-10-15 22:45:01.940000,1080,1920,879,194
2022-10-15 22:45:01.960000,1080,1920,882,192
2022-10-15 22:45:01.970000,1080,1920,883,192
2022-10-15 22:45:01.990000,1080,1920,876,189
2022-10-15 22:45:02.010000,1080,1920,872,188
2022-10-15 22:45:02.030000,1080,1920,876,197
2022-10-15 22:45:02.040000,1080,1920,882,198
