time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:45:05.740000,1080,1920,1108,324
2022-10-15 22:45:05.760000,1080,1920,1110,323
2022-10-15 22:45:05.770000,1080,1920,1089,337
2022-10-15 22:45:05.790000,1080,1920,1065,340
2022-10-15 22:45:05.970000,1080,1920,1084,620
2022-10-15 22:45:06.010000,1080,1920,1170,332
2022-10-15 22:45:06.020000,1080,1920,1161,336
2022-10-15 22:45:06.040000,1080,1920,1140,327
2022-10-15 22:45:06.060000,1080,1920,1148,335
2022-10-15 22:45:06.070000,1080,1920,1154,344
2022-10-15 22:45:06.090000,1080,1920,1160,344
2022-10-15 22:45:06.110000,1080,1920,1157,341
2022-10-15 22:45:06.120000,1080,1920,1148,337
2022-10-15 22:45:06.140000,1080,1920,1156,336
2022-10-15 22:45:06.160000,1080,1920,1159,339
2022-10-15 22:45:06.170000,1080,1920,1155,333
2022-10-15 22:45:06.190000,1080,1920,1152,336
2022-10-15 22:45:06.210000,1080,1920,1154,344
2022-10-15 22:45:06.220000,1080,1920,1160,347
2022-10-15 22:45:06.240000,1080,1920,1151,320
2022-10-15 22:45:06.260000,1080,1920,1150,283
2022-10-15 22:45:06.270000,1080,1920,1156,249
2022-10-15 22:45:06.290000,1080,1920,1156,250
2022-10-15 22:45:06.300000,1080,1920,1156,253
2022-10-15 22:45:06.320000,1080,1920,1155,258
2022-10-15 22:45:06.340000,1080,1920,1154,260
2022-10-15 22:45:06.350000,1080,1920,1155,261
2022-10-15 22:45:06.370000,1080,1920,1157,266
2022-10-15 22:45:06.390000,1080,1920,1156,262
2022-10-15 22:45:06.410000,1080,1920,1156,258
2022-10-15 22:45:06.420000,1080,1920,1158,259
2022-10-15 22:45:06.440000,1080,1920,1161,259
2022-10-15 22:45:06.450000,1080,1920,1161,251
2022-10-15 22:45:06.470000,1080,1920,1148,260
2022-10-15 22:45:06.490000,1080,1920,1147,262
2022-10-15 22:45:06.510000,1080,1920,1156,257
2022-10-15 22:45:06.520000,1080,1920,1159,253
2022-10-15 22:45:06.540000,1080,1920,1159,255
2022-10-15 22:45:06.560000,1080,1920,1156,253
2022-10-15 22:45:06.570000,1080,1920,1153,247
2022-10-15 22:45:06.590000,1080,1920,1155,249
2022-10-15 22:45:06.600000,1080,1920,1159,248
2022-10-15 22:45:06.620000,1080,1920,1163,250
2022-10-15 22:45:06.640000,1080,1920,1165,248
2022-10-15 22:45:06.660000,1080,1920,1163,247
2022-10-15 22:45:06.670000,1080,1920,1165,256
2022-10-15 22:45:06.690000,1080,1920,1162,284
2022-10-15 22:45:06.700000,1080,1920,1157,328
