time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:45:11.750000,1080,1920,742,231
2022-10-15 22:45:11.770000,1080,1920,745,235
2022-10-15 22:45:11.790000,1080,1920,740,227
2022-10-15 22:45:11.800000,1080,1920,626,210
2022-10-15 22:45:11.820000,1080,1920,561,202
2022-10-15 22:45:11.830000,1080,1920,544,213
2022-10-15 22:45:11.850000,1080,1920,538,211
2022-10-15 22:45:11.870000,1080,1920,538,202
2022-10-15 22:45:11.890000,1080,1920,535,200
2022-10-15 22:45:11.900000,1080,1920,534,204
2022-10-15 22:45:11.920000,1080,1920,536,204
2022-10-15 22:45:11.930000,1080,1920,536,208
2022-10-15 22:45:11.950000,1080,1920,534,213
2022-10-15 22:45:11.970000,1080,1920,538,211
2022-10-15 22:45:11.980000,1080,1920,548,215
2022-10-15 22:45:12,1080,1920,497,209
2022-10-15 22:45:12.020000,1080,1920,485,207
2022-10-15 22:45:12.040000,1080,1920,490,208
2022-10-15 22:45:12.050000,1080,1920,490,205
2022-10-15 22:45:12.070000,1080,1920,485,203
2022-10-15 22:45:12.080000,1080,1920,488,202
2022-10-15 22:45:12.100000,1080,1920,487,207
2022-10-15 22:45:12.120000,1080,1920,481,205
2022-10-15 22:45:12.140000,1080,1920,484,206
2022-10-15 22:45:12.150000,1080,1920,487,217
2022-10-15 22:45:12.170000,1080,1920,488,224
2022-10-15 22:45:12.180000,1080,1920,486,224
2022-10-15 22:45:12.200000,1080,1920,489,230
2022-10-15 22:45:12.220000,1080,1920,487,232
2022-10-15 22:45:12.230000,1080,1920,487,219
2022-10-15 22:45:12.250000,1080,1920,489,214
2022-10-15 22:45:12.270000,1080,1920,487,222
2022-10-15 22:45:12.290000,1080,1920,500,228
2022-10-15 22:45:12.300000,1080,1920,499,242
2022-10-15 22:45:12.320000,1080,1920,483,262
2022-10-15 22:45:12.470000,1080,1920,371,247
2022-10-15 22:45:12.480000,1080,1920,372,257
2022-10-15 22:45:12.500000,1080,1920,491,216
2022-10-15 22:45:12.520000,1080,1920,494,218
2022-10-15 22:45:12.530000,1080,1920,497,206
2022-10-15 22:45:12.550000,1080,1920,500,206
2022-10-15 22:45:12.570000,1080,1920,496,212
2022-10-15 22:45:12.580000,1080,1920,493,210
2022-10-15 22:45:12.600000,1080,1920,498,209
2022-10-15 22:45:12.620000,1080,1920,521,205
2022-10-15 22:45:12.630000,1080,1920,561,191
2022-10-15 22:45:12.650000,1080,1920,603,220
2022-10-15 22:45:12.670000,1080,1920,620,250
2022-10-15 22:45:12.680000,1080,1920,626,254
2022-10-15 22:45:12.700000,1080,1920,627,254
2022-10-15 22:45:12.720000,1080,1920,627,265
2022-10-15 22:45:12.730000,1080,1920,626,260
2022-10-15 22:45:12.750000,1080,1920,631,255
2022-10-15 22:45:12.770000,1080,1920,620,271
2022-10-15 22:45:12.930000,1080,1920,799,233
2022-10-15 22:45:12.950000,1080,1920,799,227
2022-10-15 22:45:12.970000,1080,1920,629,229
2022-10-15 22:45:12.980000,1080,1920,635,213
2022-10-15 22:45:13,1080,1920,635,204
2022-10-15 22:45:13.020000,1080,1920,628,197
2022-10-15 22:45:13.030000,1080,1920,629,197
2022-10-15 22:45:13.050000,1080,1920,628,196
2022-10-15 22:45:13.070000,1080,1920,630,205
2022-10-15 22:45:13.080000,1080,1920,633,208
2022-10-15 22:45:13.100000,1080,1920,636,209
2022-10-15 22:45:13.120000,1080,1920,640,215
2022-10-15 22:45:13.130000,1080,1920,595,218
2022-10-15 22:45:13.150000,1080,1920,559,223
2022-10-15 22:45:13.170000,1080,1920,548,219
2022-10-15 22:45:13.180000,1080,1920,547,215
2022-10-15 22:45:13.200000,1080,1920,540,217
2022-10-15 22:45:13.220000,1080,1920,541,225
2022-10-15 22:45:13.230000,1080,1920,542,223
2022-10-15 22:45:13.250000,1080,1920,541,220
2022-10-15 22:45:13.270000,1080,1920,543,226
2022-10-15 22:45:13.280000,1080,1920,539,221
2022-10-15 22:45:13.300000,1080,1920,535,225
2022-10-15 22:45:13.320000,1080,1920,541,230
2022-10-15 22:45:13.330000,1080,1920,543,235
2022-10-15 22:45:13.350000,1080,1920,538,245
2022-10-15 22:45:13.370000,1080,1920,540,242
2022-10-15 22:45:13.380000,1080,1920,543,239
2022-10-15 22:45:13.400000,1080,1920,542,240
2022-10-15 22:45:13.420000,1080,1920,545,242
2022-10-15 22:45:13.430000,1080,1920,509,233
2022-10-15 22:45:13.450000,1080,1920,474,228
2022-10-15 22:45:13.470000,1080,1920,456,216
2022-10-15 22:45:13.480000,1080,1920,460,213
2022-10-15 22:45:13.500000,1080,1920,465,230
2022-10-15 22:45:13.520000,1080,1920,463,230
2022-10-15 22:45:13.530000,1080,1920,465,231
2022-10-15 22:45:13.550000,1080,1920,467,243
2022-10-15 22:45:13.570000,1080,1920,471,247
2022-10-15 22:45:13.580000,1080,1920,470,240
2022-10-15 22:45:13.600000,1080,1920,467,234
2022-10-15 22:45:13.620000,1080,1920,465,233
2022-10-15 22:45:13.630000,1080,1920,463,236
2022-10-15 22:45:13.650000,1080,1920,463,231
2022-10-15 22:45:13.670000,1080,1920,468,241
2022-10-15 22:45:13.680000,1080,1920,472,251
2022-10-15 22:45:13.700000,1080,1920,474,248
2022-10-15 22:45:13.720000,1080,1920,468,243
2022-10-15 22:45:13.730000,1080,1920,470,237
2022-10-15 22:45:13.750000,1080,1920,483,227
2022-10-15 22:45:13.770000,1080,1920,490,205
2022-10-15 22:45:13.780000,1080,1920,484,204
2022-10-15 22:45:13.800000,1080,1920,482,205
2022-10-15 22:45:13.820000,1080,1920,487,211
2022-10-15 22:45:13.830000,1080,1920,489,212
2022-10-15 22:45:13.850000,1080,1920,486,212
2022-10-15 22:45:13.870000,1080,1920,484,208
2022-10-15 22:45:13.880000,1080,1920,484,203
2022-10-15 22:45:13.900000,1080,1920,488,204
2022-10-15 22:45:13.920000,1080,1920,487,203
2022-10-15 22:45:13.930000,1080,1920,483,199
2022-10-15 22:45:13.950000,1080,1920,484,198
2022-10-15 22:45:13.970000,1080,1920,483,198
2022-10-15 22:45:13.980000,1080,1920,480,194
2022-10-15 22:45:14,1080,1920,483,191
2022-10-15 22:45:14.020000,1080,1920,484,192
2022-10-15 22:45:14.030000,1080,1920,481,194
2022-10-15 22:45:14.050000,1080,1920,483,197
2022-10-15 22:45:14.070000,1080,1920,486,196
2022-10-15 22:45:14.080000,1080,1920,485,199
2022-10-15 22:45:14.100000,1080,1920,480,190
2022-10-15 22:45:14.120000,1080,1920,485,191
2022-10-15 22:45:14.130000,1080,1920,483,195
2022-10-15 22:45:14.150000,1080,1920,480,197
2022-10-15 22:45:14.170000,1080,1920,478,198
2022-10-15 22:45:14.180000,1080,1920,473,194
2022-10-15 22:45:14.200000,1080,1920,473,196
2022-10-15 22:45:14.220000,1080,1920,445,213
2022-10-15 22:45:14.230000,1080,1920,403,227
2022-10-15 22:45:14.250000,1080,1920,404,224
2022-10-15 22:45:14.270000,1080,1920,407,226
2022-10-15 22:45:14.280000,1080,1920,406,226
2022-10-15 22:45:14.300000,1080,1920,406,226
2022-10-15 22:45:14.320000,1080,1920,407,232
2022-10-15 22:45:14.330000,1080,1920,408,238
2022-10-15 22:45:14.350000,1080,1920,409,239
2022-10-15 22:45:14.370000,1080,1920,407,234
2022-10-15 22:45:14.380000,1080,1920,405,230
2022-10-15 22:45:14.400000,1080,1920,409,237
2022-10-15 22:45:14.420000,1080,1920,412,240
2022-10-15 22:45:14.430000,1080,1920,404,242
2022-10-15 22:45:14.450000,1080,1920,408,243
2022-10-15 22:45:14.470000,1080,1920,411,241
2022-10-15 22:45:14.480000,1080,1920,413,240
2022-10-15 22:45:14.500000,1080,1920,415,237
2022-10-15 22:45:14.520000,1080,1920,412,239
2022-10-15 22:45:14.530000,1080,1920,407,243
2022-10-15 22:45:14.550000,1080,1920,409,250
2022-10-15 22:45:14.570000,1080,1920,408,252
2022-10-15 22:45:14.580000,1080,1920,402,247
2022-10-15 22:45:14.600000,1080,1920,405,250
2022-10-15 22:45:14.620000,1080,1920,411,254
2022-10-15 22:45:14.630000,1080,1920,413,255
2022-10-15 22:45:14.650000,1080,1920,410,248
2022-10-15 22:45:14.670000,1080,1920,411,245
2022-10-15 22:45:14.680000,1080,1920,414,248
2022-10-15 22:45:14.720000,1080,1920,622,226
2022-10-15 22:45:14.730000,1080,1920,625,230
2022-10-15 22:45:14.750000,1080,1920,627,235
2022-10-15 22:45:14.770000,1080,1920,627,234
2022-10-15 22:45:14.780000,1080,1920,628,233
2022-10-15 22:45:14.800000,1080,1920,629,241
2022-10-15 22:45:14.820000,1080,1920,624,242
2022-10-15 22:45:14.830000,1080,1920,622,235
2022-10-15 22:45:14.850000,1080,1920,628,237
2022-10-15 22:45:14.870000,1080,1920,627,241
2022-10-15 22:45:14.880000,1080,1920,629,240
2022-10-15 22:45:14.900000,1080,1920,629,234
2022-10-15 22:45:14.920000,1080,1920,625,234
2022-10-15 22:45:14.930000,1080,1920,629,236
2022-10-15 22:45:14.950000,1080,1920,627,238
2022-10-15 22:45:14.970000,1080,1920,623,242
2022-10-15 22:45:14.980000,1080,1920,626,242
2022-10-15 22:45:15,1080,1920,618,237
2022-10-15 22:45:15.020000,1080,1920,612,240
2022-10-15 22:45:15.030000,1080,1920,539,227
2022-10-15 22:45:15.050000,1080,1920,497,212
