time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:45:23.790000,1080,1920,1270,467
2022-10-15 22:45:23.810000,1080,1920,1258,381
2022-10-15 22:45:23.830000,1080,1920,1274,366
2022-10-15 22:45:23.840000,1080,1920,1286,390
2022-10-15 22:45:23.860000,1080,1920,1271,351
2022-10-15 22:45:23.880000,1080,1920,1266,345
2022-10-15 22:45:23.890000,1080,1920,1260,356
2022-10-15 22:45:23.910000,1080,1920,1260,356
2022-10-15 22:45:23.930000,1080,1920,1264,345
2022-10-15 22:45:23.940000,1080,1920,1265,344
2022-10-15 22:45:23.960000,1080,1920,1268,345
2022-10-15 22:45:23.980000,1080,1920,1269,349
2022-10-15 22:45:23.990000,1080,1920,1302,329
2022-10-15 22:45:24.010000,1080,1920,1318,315
2022-10-15 22:45:24.030000,1080,1920,1322,306
2022-10-15 22:45:24.040000,1080,1920,1325,298
2022-10-15 22:45:24.060000,1080,1920,1323,296
2022-10-15 22:45:24.080000,1080,1920,1314,301
2022-10-15 22:45:24.090000,1080,1920,1314,307
2022-10-15 22:45:24.110000,1080,1920,1317,308
2022-10-15 22:45:24.130000,1080,1920,1312,310
2022-10-15 22:45:24.140000,1080,1920,1313,313
2022-10-15 22:45:24.160000,1080,1920,1317,311
2022-10-15 22:45:24.180000,1080,1920,1320,307
2022-10-15 22:45:24.190000,1080,1920,1324,307
2022-10-15 22:45:24.210000,1080,1920,1321,308
2022-10-15 22:45:24.230000,1080,1920,1319,307
2022-10-15 22:45:24.240000,1080,1920,1323,309
2022-10-15 22:45:24.260000,1080,1920,1336,325
2022-10-15 22:45:24.280000,1080,1920,1339,335
2022-10-15 22:45:24.490000,1080,1920,1374,332
2022-10-15 22:45:24.510000,1080,1920,1386,320
2022-10-15 22:45:24.530000,1080,1920,1383,324
2022-10-15 22:45:24.540000,1080,1920,1383,331
2022-10-15 22:45:24.560000,1080,1920,1382,307
2022-10-15 22:45:24.580000,1080,1920,1384,307
2022-10-15 22:45:24.590000,1080,1920,1389,303
2022-10-15 22:45:24.610000,1080,1920,1389,307
2022-10-15 22:45:24.630000,1080,1920,1390,305
2022-10-15 22:45:24.640000,1080,1920,1388,303
2022-10-15 22:45:24.660000,1080,1920,1390,300
2022-10-15 22:45:24.680000,1080,1920,1391,304
2022-10-15 22:45:24.690000,1080,1920,1387,308
2022-10-15 22:45:24.710000,1080,1920,1385,310
2022-10-15 22:45:24.730000,1080,1920,1383,308
2022-10-15 22:45:24.740000,1080,1920,1380,304
2022-10-15 22:45:24.760000,1080,1920,1378,307
2022-10-15 22:45:24.780000,1080,1920,1383,308
2022-10-15 22:45:24.790000,1080,1920,1380,312
2022-10-15 22:45:24.810000,1080,1920,1380,312
2022-10-15 22:45:24.830000,1080,1920,1384,312
2022-10-15 22:45:24.840000,1080,1920,1380,313
2022-10-15 22:45:24.860000,1080,1920,1425,332
2022-10-15 22:45:24.880000,1080,1920,1456,339
2022-10-15 22:45:24.890000,1080,1920,1469,340
2022-10-15 22:45:24.910000,1080,1920,1469,340
2022-10-15 22:45:24.930000,1080,1920,1467,335
2022-10-15 22:45:24.940000,1080,1920,1468,337
2022-10-15 22:45:24.960000,1080,1920,1475,337
2022-10-15 22:45:24.970000,1080,1920,1474,343
2022-10-15 22:45:24.990000,1080,1920,1474,342
2022-10-15 22:45:25.010000,1080,1920,1471,337
2022-10-15 22:45:25.030000,1080,1920,1473,337
2022-10-15 22:45:25.040000,1080,1920,1472,340
2022-10-15 22:45:25.060000,1080,1920,1465,345
2022-10-15 22:45:25.070000,1080,1920,1465,346
2022-10-15 22:45:25.090000,1080,1920,1462,347
2022-10-15 22:45:25.110000,1080,1920,1465,344
2022-10-15 22:45:25.130000,1080,1920,1424,315
2022-10-15 22:45:25.140000,1080,1920,1401,296
2022-10-15 22:45:25.190000,1080,1920,1235,222
2022-10-15 22:45:25.210000,1080,1920,1232,219
2022-10-15 22:45:25.220000,1080,1920,1234,218
2022-10-15 22:45:25.240000,1080,1920,1234,219
2022-10-15 22:45:25.260000,1080,1920,1230,216
2022-10-15 22:45:25.280000,1080,1920,1227,219
2022-10-15 22:45:25.290000,1080,1920,1235,220
2022-10-15 22:45:25.310000,1080,1920,1239,215
2022-10-15 22:45:25.320000,1080,1920,1231,213
2022-10-15 22:45:25.340000,1080,1920,1233,215
2022-10-15 22:45:25.360000,1080,1920,1234,217
2022-10-15 22:45:25.380000,1080,1920,1234,211
2022-10-15 22:45:25.390000,1080,1920,1237,210
