time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:45:35.800000,1080,1920,653,309
2022-10-15 22:45:35.820000,1080,1920,708,239
2022-10-15 22:45:35.830000,1080,1920,726,216
2022-10-15 22:45:35.850000,1080,1920,728,203
2022-10-15 22:45:35.870000,1080,1920,728,196
2022-10-15 22:45:35.880000,1080,1920,731,198
2022-10-15 22:45:35.900000,1080,1920,729,200
2022-10-15 22:45:35.920000,1080,1920,726,203
2022-10-15 22:45:35.930000,1080,1920,727,201
2022-10-15 22:45:35.950000,1080,1920,728,204
2022-10-15 22:45:35.970000,1080,1920,727,206
2022-10-15 22:45:35.980000,1080,1920,727,212
2022-10-15 22:45:36,1080,1920,723,225
2022-10-15 22:45:36.020000,1080,1920,686,266
2022-10-15 22:45:36.120000,1080,1920,722,589
2022-10-15 22:45:36.150000,1080,1920,818,170
2022-10-15 22:45:36.170000,1080,1920,830,145
2022-10-15 22:45:36.180000,1080,1920,822,130
2022-10-15 22:45:36.200000,1080,1920,824,131
2022-10-15 22:45:36.220000,1080,1920,838,106
2022-10-15 22:45:36.230000,1080,1920,833,104
2022-10-15 22:45:36.250000,1080,1920,828,134
2022-10-15 22:45:36.270000,1080,1920,825,143
2022-10-15 22:45:36.280000,1080,1920,824,125
2022-10-15 22:45:36.300000,1080,1920,826,127
2022-10-15 22:45:36.330000,1080,1920,819,112
2022-10-15 22:45:36.350000,1080,1920,820,134
2022-10-15 22:45:36.370000,1080,1920,821,140
2022-10-15 22:45:36.380000,1080,1920,818,142
2022-10-15 22:45:36.400000,1080,1920,814,131
2022-10-15 22:45:36.420000,1080,1920,810,131
2022-10-15 22:45:36.430000,1080,1920,813,147
2022-10-15 22:45:36.450000,1080,1920,818,147
2022-10-15 22:45:36.470000,1080,1920,815,141
2022-10-15 22:45:36.530000,1080,1920,800,146
2022-10-15 22:45:36.550000,1080,1920,812,152
2022-10-15 22:45:36.570000,1080,1920,809,151
2022-10-15 22:45:36.580000,1080,1920,809,135
2022-10-15 22:45:36.600000,1080,1920,814,144
2022-10-15 22:45:36.650000,1080,1920,649,178
2022-10-15 22:45:36.670000,1080,1920,646,170
2022-10-15 22:45:36.680000,1080,1920,646,172
2022-10-15 22:45:36.700000,1080,1920,653,179
2022-10-15 22:45:36.720000,1080,1920,651,176
2022-10-15 22:45:36.730000,1080,1920,646,175
2022-10-15 22:45:36.750000,1080,1920,648,171
2022-10-15 22:45:36.770000,1080,1920,651,174
2022-10-15 22:45:36.780000,1080,1920,649,187
2022-10-15 22:45:36.800000,1080,1920,649,187
2022-10-15 22:45:36.820000,1080,1920,643,176
2022-10-15 22:45:36.830000,1080,1920,646,182
2022-10-15 22:45:36.850000,1080,1920,650,189
2022-10-15 22:45:36.870000,1080,1920,647,183
2022-10-15 22:45:36.880000,1080,1920,646,188
2022-10-15 22:45:36.900000,1080,1920,645,190
2022-10-15 22:45:36.920000,1080,1920,644,184
2022-10-15 22:45:36.930000,1080,1920,644,185
2022-10-15 22:45:36.950000,1080,1920,641,180
2022-10-15 22:45:36.970000,1080,1920,640,177
2022-10-15 22:45:36.980000,1080,1920,643,180
2022-10-15 22:45:37,1080,1920,642,180
2022-10-15 22:45:37.020000,1080,1920,641,172
2022-10-15 22:45:37.030000,1080,1920,670,206
2022-10-15 22:45:37.050000,1080,1920,693,254
2022-10-15 22:45:37.070000,1080,1920,687,253
2022-10-15 22:45:37.080000,1080,1920,693,255
2022-10-15 22:45:37.100000,1080,1920,693,252
2022-10-15 22:45:37.120000,1080,1920,694,248
2022-10-15 22:45:37.130000,1080,1920,691,249
2022-10-15 22:45:37.150000,1080,1920,687,244
2022-10-15 22:45:37.170000,1080,1920,688,242
2022-10-15 22:45:37.180000,1080,1920,692,244
2022-10-15 22:45:37.200000,1080,1920,689,244
2022-10-15 22:45:37.220000,1080,1920,689,249
2022-10-15 22:45:37.230000,1080,1920,729,255
2022-10-15 22:45:37.250000,1080,1920,799,254
2022-10-15 22:45:37.270000,1080,1920,913,240
2022-10-15 22:45:37.280000,1080,1920,926,240
2022-10-15 22:45:37.300000,1080,1920,927,237
2022-10-15 22:45:37.320000,1080,1920,924,239
2022-10-15 22:45:37.330000,1080,1920,925,236
2022-10-15 22:45:37.350000,1080,1920,927,235
2022-10-15 22:45:37.370000,1080,1920,926,236
2022-10-15 22:45:37.380000,1080,1920,924,241
2022-10-15 22:45:37.400000,1080,1920,926,242
2022-10-15 22:45:37.420000,1080,1920,930,269
2022-10-15 22:45:37.430000,1080,1920,933,289
2022-10-15 22:45:37.630000,1080,1920,811,276
2022-10-15 22:45:37.650000,1080,1920,840,211
2022-10-15 22:45:37.670000,1080,1920,840,191
2022-10-15 22:45:37.680000,1080,1920,844,191
2022-10-15 22:45:37.700000,1080,1920,847,196
2022-10-15 22:45:37.720000,1080,1920,848,203
2022-10-15 22:45:37.730000,1080,1920,844,206
2022-10-15 22:45:37.750000,1080,1920,841,198
2022-10-15 22:45:37.770000,1080,1920,840,200
2022-10-15 22:45:37.780000,1080,1920,838,200
2022-10-15 22:45:37.800000,1080,1920,844,204
2022-10-15 22:45:37.820000,1080,1920,848,202
2022-10-15 22:45:37.830000,1080,1920,844,194
2022-10-15 22:45:37.850000,1080,1920,844,193
2022-10-15 22:45:37.870000,1080,1920,844,192
2022-10-15 22:45:37.880000,1080,1920,848,196
2022-10-15 22:45:37.900000,1080,1920,852,202
2022-10-15 22:45:37.920000,1080,1920,751,244
2022-10-15 22:45:37.930000,1080,1920,693,272
2022-10-15 22:45:37.950000,1080,1920,672,277
2022-10-15 22:45:37.970000,1080,1920,678,287
2022-10-15 22:45:37.980000,1080,1920,677,292
