time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:45:59.850000,1080,1920,901,261
2022-10-15 22:45:59.870000,1080,1920,901,261
2022-10-15 22:45:59.880000,1080,1920,899,257
2022-10-15 22:45:59.900000,1080,1920,889,247
2022-10-15 22:45:59.920000,1080,1920,891,253
2022-10-15 22:45:59.930000,1080,1920,900,251
2022-10-15 22:45:59.950000,1080,1920,906,244
2022-10-15 22:45:59.970000,1080,1920,904,246
2022-10-15 22:45:59.980000,1080,1920,900,250
2022-10-15 22:46:00,1080,1920,904,253
2022-10-15 22:46:00.020000,1080,1920,884,261
2022-10-15 22:46:00.030000,1080,1920,626,312
2022-10-15 22:46:00.050000,1080,1920,575,326
2022-10-15 22:46:00.070000,1080,1920,543,336
2022-10-15 22:46:00.080000,1080,1920,540,330
2022-10-15 22:46:00.100000,1080,1920,543,327
2022-10-15 22:46:00.120000,1080,1920,544,332
2022-10-15 22:46:00.130000,1080,1920,538,327
2022-10-15 22:46:00.150000,1080,1920,538,322
2022-10-15 22:46:00.170000,1080,1920,543,332
2022-10-15 22:46:00.180000,1080,1920,549,338
2022-10-15 22:46:00.200000,1080,1920,553,357
2022-10-15 22:46:00.330000,1080,1920,1367,456
2022-10-15 22:46:00.350000,1080,1920,1388,398
2022-10-15 22:46:00.370000,1080,1920,1416,367
2022-10-15 22:46:00.380000,1080,1920,1415,366
2022-10-15 22:46:00.400000,1080,1920,1412,316
2022-10-15 22:46:00.420000,1080,1920,1411,313
2022-10-15 22:46:00.430000,1080,1920,1408,311
2022-10-15 22:46:00.450000,1080,1920,1406,318
2022-10-15 22:46:00.470000,1080,1920,1402,324
2022-10-15 22:46:00.480000,1080,1920,1401,325
2022-10-15 22:46:00.500000,1080,1920,1399,330
2022-10-15 22:46:00.520000,1080,1920,1399,332
2022-10-15 22:46:00.530000,1080,1920,1398,329
2022-10-15 22:46:00.550000,1080,1920,1397,329
2022-10-15 22:46:00.570000,1080,1920,1394,334
2022-10-15 22:46:00.580000,1080,1920,1419,336
2022-10-15 22:46:00.600000,1080,1920,1471,327
2022-10-15 22:46:00.620000,1080,1920,1479,323
2022-10-15 22:46:00.630000,1080,1920,1486,319
2022-10-15 22:46:00.650000,1080,1920,1484,322
2022-10-15 22:46:00.670000,1080,1920,1475,325
2022-10-15 22:46:00.680000,1080,1920,1477,324
2022-10-15 22:46:00.700000,1080,1920,1480,326
2022-10-15 22:46:00.720000,1080,1920,1476,323
2022-10-15 22:46:00.730000,1080,1920,1475,318
2022-10-15 22:46:00.750000,1080,1920,1479,314
2022-10-15 22:46:00.770000,1080,1920,1468,329
2022-10-15 22:46:00.780000,1080,1920,1466,328
2022-10-15 22:46:00.800000,1080,1920,1477,316
2022-10-15 22:46:00.820000,1080,1920,1480,310
2022-10-15 22:46:00.830000,1080,1920,1480,309
2022-10-15 22:46:00.850000,1080,1920,1479,312
2022-10-15 22:46:00.870000,1080,1920,1478,311
2022-10-15 22:46:00.880000,1080,1920,1480,311
2022-10-15 22:46:00.900000,1080,1920,1481,314
