time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:46:11.860000,1080,1920,976,492
2022-10-15 22:46:11.880000,1080,1920,988,502
2022-10-15 22:46:11.890000,1080,1920,980,512
2022-10-15 22:46:11.910000,1080,1920,973,506
2022-10-15 22:46:11.930000,1080,1920,963,502
2022-10-15 22:46:12.030000,1080,1920,1043,527
2022-10-15 22:46:12.040000,1080,1920,1035,522
2022-10-15 22:46:12.060000,1080,1920,1024,511
2022-10-15 22:46:12.070000,1080,1920,1021,516
2022-10-15 22:46:12.090000,1080,1920,1036,524
2022-10-15 22:46:12.110000,1080,1920,1041,533
2022-10-15 22:46:12.160000,1080,1920,1033,533
2022-10-15 22:46:12.180000,1080,1920,1035,525
2022-10-15 22:46:12.190000,1080,1920,1035,531
2022-10-15 22:46:12.210000,1080,1920,1027,525
2022-10-15 22:46:12.220000,1080,1920,932,397
2022-10-15 22:46:12.240000,1080,1920,928,385
2022-10-15 22:46:12.260000,1080,1920,935,379
2022-10-15 22:46:12.280000,1080,1920,931,378
2022-10-15 22:46:12.290000,1080,1920,932,377
2022-10-15 22:46:12.310000,1080,1920,934,373
2022-10-15 22:46:12.320000,1080,1920,931,378
2022-10-15 22:46:12.340000,1080,1920,931,380
2022-10-15 22:46:12.360000,1080,1920,932,386
2022-10-15 22:46:12.380000,1080,1920,930,385
2022-10-15 22:46:12.390000,1080,1920,932,375
2022-10-15 22:46:12.410000,1080,1920,935,372
2022-10-15 22:46:12.430000,1080,1920,992,296
2022-10-15 22:46:12.440000,1080,1920,1033,249
2022-10-15 22:46:12.460000,1080,1920,1049,248
2022-10-15 22:46:12.470000,1080,1920,1047,254
2022-10-15 22:46:12.630000,1080,1920,790,194
2022-10-15 22:46:12.640000,1080,1920,790,194
2022-10-15 22:46:12.710000,1080,1920,788,167
2022-10-15 22:46:12.720000,1080,1920,785,158
2022-10-15 22:46:12.740000,1080,1920,779,162
2022-10-15 22:46:12.760000,1080,1920,794,182
2022-10-15 22:46:12.780000,1080,1920,797,185
2022-10-15 22:46:12.790000,1080,1920,818,212
2022-10-15 22:46:12.810000,1080,1920,851,258
2022-10-15 22:46:12.840000,1080,1920,927,416
2022-10-15 22:46:12.860000,1080,1920,939,426
2022-10-15 22:46:12.880000,1080,1920,943,434
2022-10-15 22:46:13.060000,1080,1920,1001,521
2022-10-15 22:46:13.070000,1080,1920,999,507
2022-10-15 22:46:13.090000,1080,1920,995,511
2022-10-15 22:46:13.110000,1080,1920,1003,517
2022-10-15 22:46:13.120000,1080,1920,989,496
2022-10-15 22:46:13.140000,1080,1920,989,502
2022-10-15 22:46:13.160000,1080,1920,994,507
2022-10-15 22:46:13.170000,1080,1920,991,507
2022-10-15 22:46:13.190000,1080,1920,994,501
2022-10-15 22:46:13.210000,1080,1920,998,505
2022-10-15 22:46:13.220000,1080,1920,997,503
2022-10-15 22:46:13.240000,1080,1920,996,500
2022-10-15 22:46:13.260000,1080,1920,993,497
2022-10-15 22:46:13.270000,1080,1920,970,562
2022-10-15 22:46:13.290000,1080,1920,911,721
2022-10-15 22:46:13.310000,1080,1920,910,726
2022-10-15 22:46:13.320000,1080,1920,917,705
2022-10-15 22:46:13.340000,1080,1920,915,705
2022-10-15 22:46:13.360000,1080,1920,914,714
2022-10-15 22:46:13.370000,1080,1920,913,724
2022-10-15 22:46:13.390000,1080,1920,907,733
2022-10-15 22:46:13.410000,1080,1920,911,726
2022-10-15 22:46:13.420000,1080,1920,913,723
2022-10-15 22:46:13.440000,1080,1920,915,721
2022-10-15 22:46:13.460000,1080,1920,915,722
2022-10-15 22:46:13.470000,1080,1920,915,726
2022-10-15 22:46:13.490000,1080,1920,916,727
2022-10-15 22:46:13.510000,1080,1920,912,731
2022-10-15 22:46:13.520000,1080,1920,908,745
2022-10-15 22:46:13.540000,1080,1920,944,710
2022-10-15 22:46:13.560000,1080,1920,949,688
2022-10-15 22:46:13.570000,1080,1920,945,691
2022-10-15 22:46:13.590000,1080,1920,952,686
2022-10-15 22:46:13.610000,1080,1920,953,686
2022-10-15 22:46:13.620000,1080,1920,951,685
2022-10-15 22:46:13.640000,1080,1920,953,682
2022-10-15 22:46:13.660000,1080,1920,948,688
2022-10-15 22:46:13.670000,1080,1920,925,676
2022-10-15 22:46:13.690000,1080,1920,863,568
2022-10-15 22:46:13.710000,1080,1920,847,536
2022-10-15 22:46:13.720000,1080,1920,845,532
2022-10-15 22:46:13.740000,1080,1920,844,529
2022-10-15 22:46:13.760000,1080,1920,843,535
2022-10-15 22:46:13.770000,1080,1920,850,536
2022-10-15 22:46:13.790000,1080,1920,847,536
2022-10-15 22:46:13.810000,1080,1920,845,537
2022-10-15 22:46:13.820000,1080,1920,847,538
2022-10-15 22:46:13.840000,1080,1920,846,536
2022-10-15 22:46:13.860000,1080,1920,847,523
2022-10-15 22:46:13.870000,1080,1920,851,525
2022-10-15 22:46:13.890000,1080,1920,855,534
2022-10-15 22:46:13.910000,1080,1920,851,536
2022-10-15 22:46:13.920000,1080,1920,852,535
2022-10-15 22:46:13.940000,1080,1920,856,532
2022-10-15 22:46:13.960000,1080,1920,853,530
2022-10-15 22:46:13.970000,1080,1920,865,531
2022-10-15 22:46:13.990000,1080,1920,935,540
2022-10-15 22:46:14.010000,1080,1920,1028,549
2022-10-15 22:46:14.020000,1080,1920,1039,535
2022-10-15 22:46:14.040000,1080,1920,1043,537
2022-10-15 22:46:14.060000,1080,1920,1043,536
2022-10-15 22:46:14.070000,1080,1920,1043,531
2022-10-15 22:46:14.090000,1080,1920,1047,528
2022-10-15 22:46:14.110000,1080,1920,1048,530
2022-10-15 22:46:14.120000,1080,1920,1043,534
2022-10-15 22:46:14.140000,1080,1920,1042,538
2022-10-15 22:46:14.160000,1080,1920,1042,549
2022-10-15 22:46:14.170000,1080,1920,1044,539
2022-10-15 22:46:14.190000,1080,1920,1044,526
2022-10-15 22:46:14.210000,1080,1920,1035,487
2022-10-15 22:46:14.220000,1080,1920,1011,328
2022-10-15 22:46:14.240000,1080,1920,1010,270
2022-10-15 22:46:14.260000,1080,1920,1027,209
2022-10-15 22:46:14.270000,1080,1920,1030,221
2022-10-15 22:46:14.290000,1080,1920,1031,236
2022-10-15 22:46:14.390000,1080,1920,1029,190
2022-10-15 22:46:14.410000,1080,1920,1033,192
2022-10-15 22:46:14.420000,1080,1920,804,166
2022-10-15 22:46:14.440000,1080,1920,794,178
2022-10-15 22:46:14.460000,1080,1920,777,200
2022-10-15 22:46:14.470000,1080,1920,778,200
2022-10-15 22:46:14.490000,1080,1920,774,168
2022-10-15 22:46:14.510000,1080,1920,777,160
2022-10-15 22:46:14.520000,1080,1920,784,169
2022-10-15 22:46:14.540000,1080,1920,784,163
2022-10-15 22:46:14.560000,1080,1920,774,166
2022-10-15 22:46:14.570000,1080,1920,779,171
2022-10-15 22:46:14.610000,1080,1920,780,170
2022-10-15 22:46:14.620000,1080,1920,814,168
2022-10-15 22:46:14.640000,1080,1920,909,182
2022-10-15 22:46:14.660000,1080,1920,1079,196
2022-10-15 22:46:14.670000,1080,1920,1085,201
2022-10-15 22:46:14.690000,1080,1920,1082,221
2022-10-15 22:46:14.710000,1080,1920,1091,216
2022-10-15 22:46:14.720000,1080,1920,1086,205
2022-10-15 22:46:14.740000,1080,1920,1086,206
2022-10-15 22:46:14.760000,1080,1920,1089,195
2022-10-15 22:46:14.770000,1080,1920,1089,190
2022-10-15 22:46:14.790000,1080,1920,1085,198
2022-10-15 22:46:14.810000,1080,1920,1089,211
2022-10-15 22:46:14.820000,1080,1920,1092,211
2022-10-15 22:46:14.840000,1080,1920,1089,202
