time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:46:17.870000,1080,1920,699,313
2022-10-15 22:46:17.890000,1080,1920,699,306
2022-10-15 22:46:17.900000,1080,1920,703,307
2022-10-15 22:46:17.920000,1080,1920,698,303
2022-10-15 22:46:17.940000,1080,1920,692,304
2022-10-15 22:46:17.950000,1080,1920,697,314
2022-10-15 22:46:17.970000,1080,1920,701,315
2022-10-15 22:46:17.990000,1080,1920,696,299
2022-10-15 22:46:18,1080,1920,689,281
2022-10-15 22:46:18.020000,1080,1920,683,262
2022-10-15 22:46:18.040000,1080,1920,691,261
2022-10-15 22:46:18.050000,1080,1920,694,267
2022-10-15 22:46:18.070000,1080,1920,687,263
2022-10-15 22:46:18.090000,1080,1920,684,253
2022-10-15 22:46:18.100000,1080,1920,682,243
2022-10-15 22:46:18.120000,1080,1920,639,283
2022-10-15 22:46:18.290000,1080,1920,686,341
2022-10-15 22:46:18.300000,1080,1920,693,312
2022-10-15 22:46:18.320000,1080,1920,692,245
2022-10-15 22:46:18.340000,1080,1920,688,232
2022-10-15 22:46:18.350000,1080,1920,683,220
2022-10-15 22:46:18.370000,1080,1920,686,236
2022-10-15 22:46:18.390000,1080,1920,686,234
2022-10-15 22:46:18.400000,1080,1920,685,223
2022-10-15 22:46:18.420000,1080,1920,683,233
2022-10-15 22:46:18.440000,1080,1920,685,241
2022-10-15 22:46:18.450000,1080,1920,686,242
2022-10-15 22:46:18.470000,1080,1920,681,234
2022-10-15 22:46:18.490000,1080,1920,683,230
2022-10-15 22:46:18.500000,1080,1920,684,239
2022-10-15 22:46:18.520000,1080,1920,686,240
2022-10-15 22:46:18.540000,1080,1920,687,241
2022-10-15 22:46:18.550000,1080,1920,681,247
2022-10-15 22:46:18.570000,1080,1920,682,244
2022-10-15 22:46:18.590000,1080,1920,684,239
2022-10-15 22:46:18.600000,1080,1920,680,241
2022-10-15 22:46:18.620000,1080,1920,681,243
2022-10-15 22:46:18.640000,1080,1920,683,243
2022-10-15 22:46:18.650000,1080,1920,680,233
2022-10-15 22:46:18.670000,1080,1920,680,236
2022-10-15 22:46:18.690000,1080,1920,679,252
2022-10-15 22:46:18.700000,1080,1920,684,254
2022-10-15 22:46:18.720000,1080,1920,684,252
2022-10-15 22:46:18.740000,1080,1920,678,250
2022-10-15 22:46:18.750000,1080,1920,677,250
2022-10-15 22:46:18.770000,1080,1920,676,248
2022-10-15 22:46:18.790000,1080,1920,676,241
2022-10-15 22:46:18.800000,1080,1920,678,235
2022-10-15 22:46:18.820000,1080,1920,681,243
2022-10-15 22:46:18.840000,1080,1920,680,250
2022-10-15 22:46:18.850000,1080,1920,676,243
2022-10-15 22:46:18.870000,1080,1920,674,239
2022-10-15 22:46:18.890000,1080,1920,676,245
2022-10-15 22:46:18.900000,1080,1920,715,246
2022-10-15 22:46:18.920000,1080,1920,772,241
2022-10-15 22:46:18.940000,1080,1920,758,221
2022-10-15 22:46:18.950000,1080,1920,767,230
2022-10-15 22:46:18.970000,1080,1920,772,235
2022-10-15 22:46:18.990000,1080,1920,773,236
2022-10-15 22:46:19,1080,1920,762,225
2022-10-15 22:46:19.020000,1080,1920,771,230
2022-10-15 22:46:19.040000,1080,1920,771,231
2022-10-15 22:46:19.050000,1080,1920,769,228
2022-10-15 22:46:19.070000,1080,1920,768,228
2022-10-15 22:46:19.090000,1080,1920,744,250
2022-10-15 22:46:19.100000,1080,1920,699,291
2022-10-15 22:46:19.120000,1080,1920,653,333
2022-10-15 22:46:19.140000,1080,1920,656,342
2022-10-15 22:46:19.150000,1080,1920,657,348
2022-10-15 22:46:19.170000,1080,1920,657,335
2022-10-15 22:46:19.190000,1080,1920,655,328
2022-10-15 22:46:19.200000,1080,1920,658,339
2022-10-15 22:46:19.220000,1080,1920,657,349
2022-10-15 22:46:19.240000,1080,1920,653,350
2022-10-15 22:46:19.250000,1080,1920,653,343
2022-10-15 22:46:19.270000,1080,1920,653,342
2022-10-15 22:46:19.290000,1080,1920,657,346
2022-10-15 22:46:19.300000,1080,1920,657,349
2022-10-15 22:46:19.320000,1080,1920,654,345
2022-10-15 22:46:19.340000,1080,1920,653,346
2022-10-15 22:46:19.350000,1080,1920,656,349
2022-10-15 22:46:19.370000,1080,1920,662,349
2022-10-15 22:46:19.390000,1080,1920,656,348
2022-10-15 22:46:19.400000,1080,1920,655,339
