time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:46:29.910000,1080,1920,1128,453
2022-10-15 22:46:29.930000,1080,1920,1148,380
2022-10-15 22:46:29.950000,1080,1920,1162,274
2022-10-15 22:46:29.960000,1080,1920,1146,276
2022-10-15 22:46:29.980000,1080,1920,1153,291
2022-10-15 22:46:30,1080,1920,1155,291
2022-10-15 22:46:30.010000,1080,1920,1147,276
2022-10-15 22:46:30.030000,1080,1920,1150,285
2022-10-15 22:46:30.050000,1080,1920,1149,276
2022-10-15 22:46:30.060000,1080,1920,1148,273
2022-10-15 22:46:30.080000,1080,1920,1149,275
2022-10-15 22:46:30.100000,1080,1920,1147,276
2022-10-15 22:46:30.110000,1080,1920,1151,284
2022-10-15 22:46:30.130000,1080,1920,1150,284
2022-10-15 22:46:30.150000,1080,1920,1153,283
2022-10-15 22:46:30.160000,1080,1920,1156,282
2022-10-15 22:46:30.180000,1080,1920,1154,281
2022-10-15 22:46:30.200000,1080,1920,1153,280
2022-10-15 22:46:30.210000,1080,1920,1154,278
2022-10-15 22:46:30.230000,1080,1920,1157,277
2022-10-15 22:46:30.250000,1080,1920,1158,278
2022-10-15 22:46:30.260000,1080,1920,1156,279
2022-10-15 22:46:30.280000,1080,1920,1155,275
2022-10-15 22:46:30.300000,1080,1920,1157,279
2022-10-15 22:46:30.310000,1080,1920,1101,273
2022-10-15 22:46:30.330000,1080,1920,1068,259
2022-10-15 22:46:30.340000,1080,1920,945,257
2022-10-15 22:46:30.360000,1080,1920,951,257
2022-10-15 22:46:30.380000,1080,1920,953,256
2022-10-15 22:46:30.400000,1080,1920,949,259
2022-10-15 22:46:30.410000,1080,1920,948,256
2022-10-15 22:46:30.430000,1080,1920,949,251
2022-10-15 22:46:30.440000,1080,1920,954,250
2022-10-15 22:46:30.460000,1080,1920,946,260
2022-10-15 22:46:30.480000,1080,1920,943,262
2022-10-15 22:46:30.500000,1080,1920,946,270
2022-10-15 22:46:30.510000,1080,1920,949,277
2022-10-15 22:46:30.530000,1080,1920,948,275
2022-10-15 22:46:30.550000,1080,1920,947,272
2022-10-15 22:46:30.560000,1080,1920,945,272
2022-10-15 22:46:30.580000,1080,1920,948,271
2022-10-15 22:46:30.590000,1080,1920,949,270
2022-10-15 22:46:30.610000,1080,1920,947,269
2022-10-15 22:46:30.630000,1080,1920,942,271
2022-10-15 22:46:30.650000,1080,1920,944,273
2022-10-15 22:46:30.660000,1080,1920,1013,279
2022-10-15 22:46:30.680000,1080,1920,1141,296
2022-10-15 22:46:30.690000,1080,1920,1154,315
2022-10-15 22:46:30.710000,1080,1920,1154,301
2022-10-15 22:46:30.730000,1080,1920,1158,299
2022-10-15 22:46:30.750000,1080,1920,1159,297
2022-10-15 22:46:30.760000,1080,1920,1163,288
2022-10-15 22:46:30.780000,1080,1920,1160,285
2022-10-15 22:46:30.800000,1080,1920,1156,288
2022-10-15 22:46:30.810000,1080,1920,1157,284
2022-10-15 22:46:30.830000,1080,1920,1155,278
2022-10-15 22:46:30.840000,1080,1920,1159,287
2022-10-15 22:46:30.860000,1080,1920,1205,312
2022-10-15 22:46:30.880000,1080,1920,1278,332
2022-10-15 22:46:30.900000,1080,1920,1279,332
2022-10-15 22:46:30.910000,1080,1920,1280,332
2022-10-15 22:46:30.930000,1080,1920,1282,332
2022-10-15 22:46:30.940000,1080,1920,1281,336
2022-10-15 22:46:30.960000,1080,1920,1280,335
2022-10-15 22:46:30.980000,1080,1920,1280,333
2022-10-15 22:46:31,1080,1920,1278,330
2022-10-15 22:46:31.010000,1080,1920,1278,332
2022-10-15 22:46:31.030000,1080,1920,1282,333
2022-10-15 22:46:31.050000,1080,1920,1285,336
2022-10-15 22:46:31.060000,1080,1920,1280,335
2022-10-15 22:46:31.080000,1080,1920,1279,330
2022-10-15 22:46:31.090000,1080,1920,1278,328
2022-10-15 22:46:31.110000,1080,1920,1277,331
2022-10-15 22:46:31.130000,1080,1920,1282,333
2022-10-15 22:46:31.150000,1080,1920,1275,333
2022-10-15 22:46:31.160000,1080,1920,1273,326
2022-10-15 22:46:31.180000,1080,1920,1280,326
2022-10-15 22:46:31.190000,1080,1920,1262,321
2022-10-15 22:46:31.210000,1080,1920,1180,290
2022-10-15 22:46:31.230000,1080,1920,1175,279
2022-10-15 22:46:31.250000,1080,1920,1176,277
2022-10-15 22:46:31.260000,1080,1920,1176,281
2022-10-15 22:46:31.280000,1080,1920,1173,282
2022-10-15 22:46:31.300000,1080,1920,1176,279
2022-10-15 22:46:31.310000,1080,1920,1174,276
2022-10-15 22:46:31.330000,1080,1920,1174,273
2022-10-15 22:46:31.340000,1080,1920,1171,277
2022-10-15 22:46:31.360000,1080,1920,1178,283
2022-10-15 22:46:31.380000,1080,1920,1185,279
2022-10-15 22:46:31.400000,1080,1920,1181,271
2022-10-15 22:46:31.410000,1080,1920,1179,267
2022-10-15 22:46:31.430000,1080,1920,1171,273
2022-10-15 22:46:31.440000,1080,1920,1167,276
2022-10-15 22:46:31.460000,1080,1920,1174,277
2022-10-15 22:46:31.480000,1080,1920,1171,278
2022-10-15 22:46:31.500000,1080,1920,1172,275
2022-10-15 22:46:31.510000,1080,1920,1182,271
2022-10-15 22:46:31.530000,1080,1920,1178,273
2022-10-15 22:46:31.550000,1080,1920,1178,268
2022-10-15 22:46:31.560000,1080,1920,1157,280
2022-10-15 22:46:31.580000,1080,1920,1138,343
2022-10-15 22:46:31.590000,1080,1920,1140,378
