time,height,width,Gaze point X,Gaze point Y
2022-10-15 22:46:35.880000,1080,1920,1132,304
2022-10-15 22:46:35.890000,1080,1920,1135,300
2022-10-15 22:46:35.910000,1080,1920,1063,296
2022-10-15 22:46:35.930000,1080,1920,1028,301
2022-10-15 22:46:35.940000,1080,1920,1033,304
2022-10-15 22:46:35.960000,1080,1920,1031,304
2022-10-15 22:46:35.970000,1080,1920,1028,319
2022-10-15 22:46:35.990000,1080,1920,1031,321
2022-10-15 22:46:36.010000,1080,1920,1029,326
2022-10-15 22:46:36.030000,1080,1920,1025,331
2022-10-15 22:46:36.040000,1080,1920,1028,329
2022-10-15 22:46:36.060000,1080,1920,1025,328
2022-10-15 22:46:36.070000,1080,1920,1024,325
2022-10-15 22:46:36.090000,1080,1920,1031,318
2022-10-15 22:46:36.110000,1080,1920,1029,319
2022-10-15 22:46:36.130000,1080,1920,1029,323
2022-10-15 22:46:36.140000,1080,1920,1028,323
2022-10-15 22:46:36.160000,1080,1920,1031,326
2022-10-15 22:46:36.180000,1080,1920,1031,324
2022-10-15 22:46:36.190000,1080,1920,1031,319
2022-10-15 22:46:36.210000,1080,1920,1033,317
2022-10-15 22:46:36.220000,1080,1920,1028,316
2022-10-15 22:46:36.240000,1080,1920,1028,319
2022-10-15 22:46:36.260000,1080,1920,1032,312
2022-10-15 22:46:36.280000,1080,1920,1037,295
2022-10-15 22:46:36.420000,1080,1920,995,699
2022-10-15 22:46:36.440000,1080,1920,1013,530
2022-10-15 22:46:36.460000,1080,1920,1017,309
2022-10-15 22:46:36.470000,1080,1920,1022,256
2022-10-15 22:46:36.490000,1080,1920,1020,289
2022-10-15 22:46:36.510000,1080,1920,1019,295
2022-10-15 22:46:36.520000,1080,1920,1021,295
2022-10-15 22:46:36.540000,1080,1920,1023,297
2022-10-15 22:46:36.560000,1080,1920,1020,293
2022-10-15 22:46:36.570000,1080,1920,1020,284
2022-10-15 22:46:36.590000,1080,1920,1021,293
2022-10-15 22:46:36.610000,1080,1920,1020,290
2022-10-15 22:46:36.620000,1080,1920,1022,293
2022-10-15 22:46:36.640000,1080,1920,1020,288
2022-10-15 22:46:36.660000,1080,1920,1021,286
2022-10-15 22:46:36.670000,1080,1920,1018,290
2022-10-15 22:46:36.690000,1080,1920,1019,295
2022-10-15 22:46:36.710000,1080,1920,1021,304
2022-10-15 22:46:36.720000,1080,1920,1018,297
2022-10-15 22:46:36.740000,1080,1920,1017,297
2022-10-15 22:46:36.760000,1080,1920,1017,299
2022-10-15 22:46:36.770000,1080,1920,1018,295
2022-10-15 22:46:36.790000,1080,1920,1018,302
2022-10-15 22:46:36.810000,1080,1920,1016,303
2022-10-15 22:46:36.820000,1080,1920,1016,298
2022-10-15 22:46:36.840000,1080,1920,1015,298
2022-10-15 22:46:36.860000,1080,1920,1013,300
2022-10-15 22:46:36.870000,1080,1920,1017,301
2022-10-15 22:46:36.890000,1080,1920,1016,298
2022-10-15 22:46:36.910000,1080,1920,1018,300
2022-10-15 22:46:36.920000,1080,1920,1019,301
2022-10-15 22:46:36.940000,1080,1920,1015,295
2022-10-15 22:46:36.960000,1080,1920,1015,298
2022-10-15 22:46:36.970000,1080,1920,1014,300
2022-10-15 22:46:36.990000,1080,1920,1014,295
2022-10-15 22:46:37.010000,1080,1920,1014,296
2022-10-15 22:46:37.020000,1080,1920,1012,294
2022-10-15 22:46:37.040000,1080,1920,1010,292
2022-10-15 22:46:37.060000,1080,1920,1014,290
2022-10-15 22:46:37.070000,1080,1920,1014,290
2022-10-15 22:46:37.090000,1080,1920,1013,292
2022-10-15 22:46:37.110000,1080,1920,1016,289
2022-10-15 22:46:37.120000,1080,1920,990,289
2022-10-15 22:46:37.140000,1080,1920,941,299
2022-10-15 22:46:37.160000,1080,1920,937,302
2022-10-15 22:46:37.170000,1080,1920,938,302
2022-10-15 22:46:37.190000,1080,1920,940,304
2022-10-15 22:46:37.210000,1080,1920,938,299
2022-10-15 22:46:37.220000,1080,1920,937,302
2022-10-15 22:46:37.240000,1080,1920,937,302
2022-10-15 22:46:37.260000,1080,1920,937,303
2022-10-15 22:46:37.270000,1080,1920,933,307
2022-10-15 22:46:37.290000,1080,1920,936,302
2022-10-15 22:46:37.310000,1080,1920,940,305
2022-10-15 22:46:37.320000,1080,1920,937,310
2022-10-15 22:46:37.340000,1080,1920,935,310
2022-10-15 22:46:37.360000,1080,1920,934,310
2022-10-15 22:46:37.370000,1080,1920,934,316
2022-10-15 22:46:37.390000,1080,1920,939,313
2022-10-15 22:46:37.410000,1080,1920,940,314
2022-10-15 22:46:37.420000,1080,1920,933,320
2022-10-15 22:46:37.440000,1080,1920,853,349
2022-10-15 22:46:37.460000,1080,1920,815,370
2022-10-15 22:46:37.470000,1080,1920,821,386
2022-10-15 22:46:37.490000,1080,1920,822,384
2022-10-15 22:46:37.510000,1080,1920,825,376
2022-10-15 22:46:37.520000,1080,1920,821,377
2022-10-15 22:46:37.540000,1080,1920,823,378
2022-10-15 22:46:37.560000,1080,1920,829,379
2022-10-15 22:46:37.570000,1080,1920,823,376
2022-10-15 22:46:37.590000,1080,1920,825,375
2022-10-15 22:46:37.610000,1080,1920,828,383
2022-10-15 22:46:37.620000,1080,1920,828,381
2022-10-15 22:46:37.640000,1080,1920,828,382
2022-10-15 22:46:37.660000,1080,1920,822,383
2022-10-15 22:46:37.670000,1080,1920,821,383
2022-10-15 22:46:37.690000,1080,1920,824,386
2022-10-15 22:46:37.710000,1080,1920,817,389
2022-10-15 22:46:37.720000,1080,1920,985,299
2022-10-15 22:46:37.740000,1080,1920,979,297
2022-10-15 22:46:37.760000,1080,1920,971,298
2022-10-15 22:46:37.770000,1080,1920,976,309
2022-10-15 22:46:37.790000,1080,1920,978,310
2022-10-15 22:46:37.810000,1080,1920,976,309
2022-10-15 22:46:37.820000,1080,1920,981,307
2022-10-15 22:46:37.840000,1080,1920,978,305
2022-10-15 22:46:37.860000,1080,1920,978,308
2022-10-15 22:46:37.870000,1080,1920,983,304
2022-10-15 22:46:37.890000,1080,1920,980,303
2022-10-15 22:46:37.910000,1080,1920,982,303
2022-10-15 22:46:37.920000,1080,1920,984,302
2022-10-15 22:46:37.940000,1080,1920,985,320
2022-10-15 22:46:37.960000,1080,1920,986,330
2022-10-15 22:46:38.110000,1080,1920,976,267
2022-10-15 22:46:38.120000,1080,1920,968,274
2022-10-15 22:46:38.140000,1080,1920,948,269
2022-10-15 22:46:38.160000,1080,1920,952,277
2022-10-15 22:46:38.170000,1080,1920,976,287
2022-10-15 22:46:38.190000,1080,1920,980,282
2022-10-15 22:46:38.210000,1080,1920,976,282
2022-10-15 22:46:38.220000,1080,1920,976,290
2022-10-15 22:46:38.240000,1080,1920,971,292
2022-10-15 22:46:38.260000,1080,1920,996,299
2022-10-15 22:46:38.270000,1080,1920,1034,295
2022-10-15 22:46:38.290000,1080,1920,1033,299
2022-10-15 22:46:38.310000,1080,1920,1030,314
2022-10-15 22:46:38.320000,1080,1920,1030,312
2022-10-15 22:46:38.340000,1080,1920,1036,310
2022-10-15 22:46:38.360000,1080,1920,1034,308
2022-10-15 22:46:38.370000,1080,1920,1030,295
2022-10-15 22:46:38.390000,1080,1920,1032,291
2022-10-15 22:46:38.410000,1080,1920,1026,326
2022-10-15 22:46:38.420000,1080,1920,1023,346
2022-10-15 22:46:38.610000,1080,1920,1032,292
2022-10-15 22:46:38.620000,1080,1920,1029,292
2022-10-15 22:46:38.640000,1080,1920,1022,304
2022-10-15 22:46:38.660000,1080,1920,1022,305
2022-10-15 22:46:38.670000,1080,1920,1025,291
2022-10-15 22:46:38.690000,1080,1920,1028,294
2022-10-15 22:46:38.710000,1080,1920,1031,288
2022-10-15 22:46:38.720000,1080,1920,1024,294
2022-10-15 22:46:38.740000,1080,1920,1077,305
2022-10-15 22:46:38.760000,1080,1920,1139,308
2022-10-15 22:46:38.770000,1080,1920,1185,308
2022-10-15 22:46:38.790000,1080,1920,1184,306
2022-10-15 22:46:38.810000,1080,1920,1185,309
2022-10-15 22:46:38.820000,1080,1920,1187,309
2022-10-15 22:46:38.840000,1080,1920,1186,309
2022-10-15 22:46:38.860000,1080,1920,1186,313
2022-10-15 22:46:38.870000,1080,1920,1190,307
2022-10-15 22:46:38.890000,1080,1920,1190,305
2022-10-15 22:46:38.910000,1080,1920,1186,309
2022-10-15 22:46:38.920000,1080,1920,1186,307
2022-10-15 22:46:38.940000,1080,1920,1193,308
2022-10-15 22:46:38.960000,1080,1920,1187,314
2022-10-15 22:46:38.970000,1080,1920,1183,316
2022-10-15 22:46:38.990000,1080,1920,1180,315
2022-10-15 22:46:39.010000,1080,1920,1179,314
2022-10-15 22:46:39.020000,1080,1920,1185,317
2022-10-15 22:46:39.040000,1080,1920,1183,317
2022-10-15 22:46:39.060000,1080,1920,1179,316
2022-10-15 22:46:39.070000,1080,1920,1180,317
2022-10-15 22:46:39.090000,1080,1920,1185,311
2022-10-15 22:46:39.110000,1080,1920,1183,319
2022-10-15 22:46:39.120000,1080,1920,1180,323
2022-10-15 22:46:39.140000,1080,1920,1182,318
2022-10-15 22:46:39.160000,1080,1920,1180,321
2022-10-15 22:46:39.170000,1080,1920,1178,322
2022-10-15 22:46:39.190000,1080,1920,1183,322
2022-10-15 22:46:39.210000,1080,1920,1181,313
2022-10-15 22:46:39.220000,1080,1920,1171,308
2022-10-15 22:46:39.240000,1080,1920,1102,270
2022-10-15 22:46:39.260000,1080,1920,1069,246
2022-10-15 22:46:39.310000,1080,1920,1034,236
2022-10-15 22:46:39.320000,1080,1920,1035,232
2022-10-15 22:46:39.340000,1080,1920,1035,229
2022-10-15 22:46:39.360000,1080,1920,1035,226
2022-10-15 22:46:39.370000,1080,1920,1033,227
2022-10-15 22:46:39.390000,1080,1920,1032,228
2022-10-15 22:46:39.410000,1080,1920,1036,233
2022-10-15 22:46:39.420000,1080,1920,1039,234
2022-10-15 22:46:39.440000,1080,1920,1038,229
2022-10-15 22:46:39.460000,1080,1920,1036,227
2022-10-15 22:46:39.470000,1080,1920,1035,231
2022-10-15 22:46:39.490000,1080,1920,1037,235
2022-10-15 22:46:39.510000,1080,1920,1033,234
2022-10-15 22:46:39.520000,1080,1920,1030,234
2022-10-15 22:46:39.540000,1080,1920,1035,234
2022-10-15 22:46:39.560000,1080,1920,1035,235
2022-10-15 22:46:39.570000,1080,1920,1037,229
2022-10-15 22:46:39.590000,1080,1920,1039,232
2022-10-15 22:46:39.600000,1080,1920,1040,232
2022-10-15 22:46:39.620000,1080,1920,1033,231
2022-10-15 22:46:39.640000,1080,1920,1033,233
